galaxy,radial_points,deprojected_axisymmetric_Q90,angular_layer_velocity_change_km_s
NGC4013,36,0.0,0.0
NGC4051,7,0.0,0.0
NGC4068,6,0.0,0.0
NGC4085,7,0.0,0.0
NGC4088,12,0.0,0.0
NGC4100,24,0.0,0.0
NGC4138,7,0.0,0.0
NGC4157,17,0.0,0.0
NGC4183,23,0.0,0.0
NGC4214,14,0.0,0.0
NGC4217,19,0.0,0.0
NGC4389,6,0.0,0.0
NGC4559,32,0.0,0.0
NGC5005,18,0.0,0.0
NGC5033,22,0.0,0.0
NGC5055,28,0.0,0.0
NGC5371,19,0.0,0.0
NGC5585,24,0.0,0.0
NGC5907,19,0.0,0.0
NGC5985,33,0.0,0.0
NGC6015,44,0.0,0.0
NGC6195,23,0.0,0.0
NGC6503,31,0.0,0.0
NGC6674,15,0.0,0.0
NGC6789,4,0.0,0.0
NGC6946,58,0.0,0.0
NGC7331,36,0.0,0.0
NGC7793,46,0.0,0.0
NGC7814,18,0.0,0.0
PGC51017,6,0.0,0.0
UGC00128,22,0.0,0.0
UGC00191,9,0.0,0.0
UGC00634,4,0.0,0.0
UGC00731,12,0.0,0.0
UGC00891,5,0.0,0.0
UGC01230,11,0.0,0.0
UGC01281,25,0.0,0.0
UGC02023,5,0.0,0.0
UGC02259,8,0.0,0.0
UGC02455,8,0.0,0.0
UGC02487,17,0.0,0.0
UGC02885,19,0.0,0.0
UGC02916,43,0.0,0.0
UGC02953,115,0.0,0.0
UGC03205,48,0.0,0.0
UGC03546,30,0.0,0.0
UGC03580,47,0.0,0.0
UGC04278,25,0.0,0.0
UGC04305,22,0.0,0.0
UGC04325,8,0.0,0.0
UGC04483,8,0.0,0.0
UGC04499,9,0.0,0.0
UGC05005,11,0.0,0.0
UGC05253,73,0.0,0.0
UGC05414,6,0.0,0.0
UGC05716,12,0.0,0.0
UGC05721,23,0.0,0.0
UGC05750,11,0.0,0.0
UGC05764,10,0.0,0.0
UGC05829,11,0.0,0.0
UGC05918,8,0.0,0.0
UGC05986,15,0.0,0.0
UGC05999,5,0.0,0.0
UGC06399,9,0.0,0.0
UGC06446,17,0.0,0.0
UGC06614,13,0.0,0.0
UGC06628,7,0.0,0.0
UGC06667,9,0.0,0.0
UGC06786,45,0.0,0.0
UGC06787,71,0.0,0.0
UGC06818,8,0.0,0.0
UGC06917,11,0.0,0.0
UGC06923,6,0.0,0.0
UGC06930,10,0.0,0.0
UGC06973,9,0.0,0.0
UGC06983,17,0.0,0.0
UGC07089,12,0.0,0.0
UGC07125,13,0.0,0.0
UGC07151,11,0.0,0.0
UGC07232,4,0.0,0.0
UGC07261,7,0.0,0.0
UGC07323,10,0.0,0.0
UGC07399,10,0.0,0.0
UGC07524,31,0.0,0.0
UGC07559,7,0.0,0.0
UGC07577,9,0.0,0.0
UGC07603,12,0.0,0.0
UGC07608,8,0.0,0.0
UGC07690,7,0.0,0.0
UGC07866,7,0.0,0.0
UGC08286,17,0.0,0.0
UGC08490,30,0.0,0.0
UGC08550,11,0.0,0.0
UGC08699,41,0.0,0.0
UGC08837,8,0.0,0.0
UGC09037,22,0.0,0.0
UGC09133,68,0.0,0.0
UGC09992,5,0.0,0.0
UGC10310,7,0.0,0.0
UGC11455,36,0.0,0.0
UGC11557,12,0.0,0.0
UGC11820,10,0.0,0.0
UGC11914,65,0.0,0.0
UGC12506,31,0.0,0.0
UGC12632,15,0.0,0.0
UGC12732,16,0.0,0.0
UGCA281,7,0.0,0.0
UGCA442,8,0.0,0.0
UGCA444,36,0.0,0.0
