system_label,variant,width_over_R80,route_fraction_multiplier,contrast_cap,return_length_over_R80,gate_mode,contrast_mode,R50_kpc,R80_kpc,concentration_R50_over_R80,extent_gate,effective_route_fraction,return_length_kpc,endpoint_width_kpc,route_map_normalization_error,route_centroid_x_arcsec,route_centroid_y_arcsec,travel_mode,sources_crossing_center,source_weight_crossing_center,maximum_travel_arcsec,median_travel_arcsec,maximum_carrier_weighted_annular_mean_error,minimum_light_weight,maximum_light_weight,empty_annuli,contrast_strength,minimum_light_weight_after_strength,maximum_light_weight_after_strength,grid_spacing_arcsec,carrier_convergence_minimum,carrier_convergence_maximum,maximum_annular_convergence_mean_fraction,delta_convergence_minimum,delta_convergence_maximum,raw_correction_RMS_arcsec,raw_correction_maximum_arcsec,maximum_independent_circular_mean_deflection_arcsec,normalized_curl_RMS,maximum_edge_correction_arcsec,maximum_edge_delta_convergence
MACS1115,eta0p23_q0p5_A5p0,0.23,0.5,5.0,0.36,cluster_logistic,tanh,123.8750525126024,235.8412242033679,0.5252476658015643,0.35690490802826214,0.17845245401413107,84.90284071321244,54.24348156677462,0.0,2.749474544400773,1.902986488212408,constant,15,0.319542683314435,16.899224447890276,16.89922444789027,3.9196550874557736e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.11620563938291614,10.051000702673786,0.7251855861945378,8.480481214947822,0.0002339425419101704,2.931409972137747e-17,0.38798866615275296,0.0
MACS1115,eta0p23_q0p5_A10p0,0.23,0.5,10.0,0.36,cluster_logistic,tanh,123.8750525126024,235.841224203368,0.5252476658015641,0.35690490802826186,0.17845245401413093,84.90284071321247,54.24348156677464,0.0,2.7494745444007727,1.9029864882124086,constant,15,0.31954268331443497,16.89922444789028,16.899224447890276,3.1361463316121457e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.11794750270216736,10.051000702673786,0.7637070623889676,8.453448722268009,0.0002367758450971258,2.8661773658283316e-17,0.4136309354530905,0.0
MACS1115,eta0p23_q0p5_A20p0,0.23,0.5,20.0,0.36,cluster_logistic,tanh,123.8750525126024,235.8412242033679,0.5252476658015643,0.35690490802826214,0.17845245401413107,84.90284071321244,54.24348156677462,0.0,2.749474544400773,1.902986488212408,constant,15,0.319542683314435,16.899224447890276,16.89922444789027,3.8673161437832094e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.11838885642476377,10.051000702673786,0.7785590710049282,8.406744094930712,0.00023654576358755897,2.8740341180790354e-17,0.42187076064774387,0.0
MACS1115,eta0p23_q0p75_A5p0,0.23,0.75,5.0,0.36,cluster_logistic,tanh,123.8750525126024,235.841224203368,0.5252476658015641,0.35690490802826186,0.2676786810211964,84.90284071321247,54.24348156677464,0.0,2.7494745444007727,1.9029864882124086,constant,15,0.31954268331443497,16.89922444789028,16.899224447890276,4.082756441987806e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.12120801722317347,10.051000702673786,0.745867718490829,8.49674148912696,0.00023224771796470645,2.8928265189440756e-17,0.40520302819212906,0.0
MACS1115,eta0p23_q0p75_A10p0,0.23,0.75,10.0,0.36,cluster_logistic,tanh,123.8750525126024,235.8412242033679,0.5252476658015643,0.35690490802826214,0.26767868102119663,84.90284071321244,54.24348156677462,0.0,2.749474544400773,1.902986488212408,constant,15,0.319542683314435,16.899224447890276,16.89922444789027,3.875230178952236e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.12240606753634055,10.051000702673786,0.7851698445330754,8.4702738421458,0.00023505747185842418,2.8243024761314475e-17,0.4313527004385741,0.0
MACS1115,eta0p23_q0p75_A20p0,0.23,0.75,20.0,0.36,cluster_logistic,tanh,123.8750525126024,235.841224203368,0.5252476658015641,0.35690490802826186,0.2676786810211964,84.90284071321247,54.24348156677464,0.0,2.7494745444007727,1.9029864882124086,constant,15,0.31954268331443497,16.89922444789028,16.899224447890276,3.4094828361421284e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.12270912704136336,10.051000702673786,0.8001867954432803,8.423730593754852,0.00023481880900116936,2.904517346463172e-17,0.43972496199647576,0.0
MACS1115,eta0p23_q1p0_A5p0,0.23,1.0,5.0,0.36,cluster_logistic,tanh,123.8750525126024,235.8412242033679,0.5252476658015643,0.35690490802826214,0.35690490802826214,84.90284071321244,54.24348156677462,0.0,2.749474544400773,1.902986488212408,constant,15,0.319542683314435,16.899224447890276,16.89922444789027,3.9196550874557736e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.13164065332843788,10.051000702673786,0.7748243837453609,8.512908722086664,0.00023073681552310266,2.827521557399326e-17,0.42239866121811864,0.0
MACS1115,eta0p23_q1p0_A10p0,0.23,1.0,10.0,0.36,cluster_logistic,tanh,123.8750525126024,235.841224203368,0.5252476658015641,0.35690490802826186,0.35690490802826186,84.90284071321247,54.24348156677464,2.220446049250313e-16,2.7494745444007727,1.9029864882124086,constant,15,0.31954268331443497,16.89922444789028,16.899224447890276,5.365791819965343e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.13280046477627602,10.051000702673786,0.8149128691729243,8.487110438343462,0.0002334759834434763,2.776962101914634e-17,0.44914321850862937,0.0
MACS1115,eta0p23_q1p0_A20p0,0.23,1.0,20.0,0.36,cluster_logistic,tanh,123.8750525126024,235.8412242033679,0.5252476658015643,0.35690490802826214,0.35690490802826214,84.90284071321244,54.24348156677462,0.0,2.749474544400773,1.902986488212408,constant,15,0.319542683314435,16.899224447890276,16.89922444789027,3.423501152488359e-16,0.0,730.3182070044388,100.0,1.0,0.0,730.3182070044388,1.0,0.005772461352084527,1.3706856143382768,1.7649233012557786e-16,-0.13309319396177863,10.051000702673786,0.8300583575135206,8.440758017784285,0.00023321598002845612,2.8338889543356844e-17,0.45766133013676125,0.0
MACS1115,eta0p28_q0p5_A5p0,0.28,0.5,5.0,0.36,cluster_logistic,tanh,123.8750525126024,235.841224203368,0.5252476658015641,0.35690490802826186,0.17845245401413093,84.90284071321247,66.03554277694305,2.220446049250313e-16,2.7494745444007727,1.9029864882124086,constant,15,0.31954268331443497,16.89922444789028,16.899224447890276,3.783744212872586e-16,0.0,851.8488925370597,86.0,1.0,0.0,851.8488925370597,1.0,0.005772461352084527,1.3706856143382768,1.7693099928089571e-16,-0.08468756814404975,10.028042292778219,0.7596169952561356,8.252601020281151,0.0002951128445166651,2.8252801363140235e-17,0.47367595854868105,0.0
