system_label,variant,width_over_R80,route_fraction_multiplier,contrast_cap,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
MACS0429,eta0p18_q1p0_A20p0,0.18,1.0,20.0,2,2,True,15.117792531413789
MACS0429,eta0p23_q0p5_A5p0,0.23,0.5,5.0,2,2,True,14.564175041927067
MACS0429,eta0p23_q0p5_A10p0,0.23,0.5,10.0,2,2,True,15.07838423810695
MACS0429,eta0p23_q0p5_A20p0,0.23,0.5,20.0,2,2,True,15.09170460325197
MACS0429,eta0p23_q0p75_A5p0,0.23,0.75,5.0,2,2,True,15.10193203633397
MACS0429,eta0p23_q0p75_A10p0,0.23,0.75,10.0,2,2,True,15.123133045484579
MACS0429,eta0p23_q0p75_A20p0,0.23,0.75,20.0,2,2,True,15.135262112368208
MACS0429,eta0p23_q1p0_A5p0,0.23,1.0,5.0,2,2,True,15.141279763437476
MACS0429,eta0p23_q1p0_A10p0,0.23,1.0,10.0,2,2,True,15.15993511615007
MACS0429,eta0p23_q1p0_A20p0,0.23,1.0,20.0,2,2,True,15.170687226927967
MACS0429,eta0p28_q0p5_A5p0,0.28,0.5,5.0,2,2,True,14.857779014790086
MACS0429,eta0p28_q0p5_A10p0,0.28,0.5,10.0,2,2,True,14.878042178099983
MACS0429,eta0p28_q0p5_A20p0,0.28,0.5,20.0,2,2,True,14.88844555352782
MACS0429,eta0p28_q0p75_A5p0,0.28,0.75,5.0,2,2,True,14.908693503003116
MACS0429,eta0p28_q0p75_A10p0,0.28,0.75,10.0,2,2,True,14.928133053934458
MACS0429,eta0p28_q0p75_A20p0,0.28,0.75,20.0,2,2,True,14.937913387261132
MACS0429,eta0p28_q1p0_A5p0,0.28,1.0,5.0,2,2,True,14.955203233436471
MACS0429,eta0p28_q1p0_A10p0,0.28,1.0,10.0,2,2,True,14.973353047477671
MACS0429,eta0p28_q1p0_A20p0,0.28,1.0,20.0,2,2,True,14.982365711593632
MACS1115,eta0p18_q0p5_A5p0,0.18,0.5,5.0,2,0,False,inf
MACS1115,eta0p18_q0p5_A10p0,0.18,0.5,10.0,2,0,False,inf
MACS1115,eta0p18_q0p5_A20p0,0.18,0.5,20.0,2,0,False,inf
MACS1115,eta0p18_q0p75_A5p0,0.18,0.75,5.0,2,0,False,inf
MACS1115,eta0p18_q0p75_A10p0,0.18,0.75,10.0,2,0,False,inf
MACS1115,eta0p18_q0p75_A20p0,0.18,0.75,20.0,2,0,False,inf
MACS1115,eta0p18_q1p0_A5p0,0.18,1.0,5.0,2,1,False,inf
MACS1115,eta0p18_q1p0_A10p0,0.18,1.0,10.0,2,1,False,inf
MACS1115,eta0p18_q1p0_A20p0,0.18,1.0,20.0,2,1,False,inf
MACS1115,eta0p23_q0p5_A5p0,0.23,0.5,5.0,2,0,False,inf
MACS1115,eta0p23_q0p5_A10p0,0.23,0.5,10.0,2,0,False,inf
MACS1115,eta0p23_q0p5_A20p0,0.23,0.5,20.0,2,0,False,inf
MACS1115,eta0p23_q0p75_A5p0,0.23,0.75,5.0,2,1,False,inf
MACS1115,eta0p23_q0p75_A10p0,0.23,0.75,10.0,2,1,False,inf
MACS1115,eta0p23_q0p75_A20p0,0.23,0.75,20.0,2,1,False,inf
MACS1115,eta0p23_q1p0_A5p0,0.23,1.0,5.0,2,2,True,24.927556012855646
MACS1115,eta0p23_q1p0_A10p0,0.23,1.0,10.0,2,2,True,24.69031438740563
MACS1115,eta0p23_q1p0_A20p0,0.23,1.0,20.0,2,2,True,24.637357262816145
MACS1115,eta0p28_q0p5_A5p0,0.28,0.5,5.0,2,1,False,inf
MACS1115,eta0p28_q0p5_A10p0,0.28,0.5,10.0,2,1,False,inf
MACS1115,eta0p28_q0p5_A20p0,0.28,0.5,20.0,2,1,False,inf
MACS1115,eta0p28_q0p75_A5p0,0.28,0.75,5.0,2,2,True,25.709568359318755
MACS1115,eta0p28_q0p75_A10p0,0.28,0.75,10.0,2,2,True,25.52608679191116
MACS1115,eta0p28_q0p75_A20p0,0.28,0.75,20.0,2,2,True,25.504261062382906
MACS1115,eta0p28_q1p0_A5p0,0.28,1.0,5.0,2,2,True,23.9240559453054
MACS1115,eta0p28_q1p0_A10p0,0.28,1.0,10.0,2,2,True,23.82573611090611
MACS1115,eta0p28_q1p0_A20p0,0.28,1.0,20.0,2,2,True,23.80918737428519
MACS1931,eta0p18_q0p5_A5p0,0.18,0.5,5.0,4,3,False,inf
MACS1931,eta0p18_q0p5_A10p0,0.18,0.5,10.0,4,2,False,inf
MACS1931,eta0p18_q0p5_A20p0,0.18,0.5,20.0,4,2,False,inf
MACS1931,eta0p18_q0p75_A5p0,0.18,0.75,5.0,4,2,False,inf
MACS1931,eta0p18_q0p75_A10p0,0.18,0.75,10.0,4,3,False,inf
MACS1931,eta0p18_q0p75_A20p0,0.18,0.75,20.0,4,3,False,inf
MACS1931,eta0p18_q1p0_A5p0,0.18,1.0,5.0,4,4,True,14.017531127628898
MACS1931,eta0p18_q1p0_A10p0,0.18,1.0,10.0,4,4,True,14.243194783578858
MACS1931,eta0p18_q1p0_A20p0,0.18,1.0,20.0,4,4,True,14.33224849667047
MACS1931,eta0p23_q0p5_A5p0,0.23,0.5,5.0,4,3,False,inf
MACS1931,eta0p23_q0p5_A10p0,0.23,0.5,10.0,4,3,False,inf
MACS1931,eta0p23_q0p5_A20p0,0.23,0.5,20.0,4,3,False,inf
MACS1931,eta0p23_q0p75_A5p0,0.23,0.75,5.0,4,3,False,inf
MACS1931,eta0p23_q0p75_A10p0,0.23,0.75,10.0,4,3,False,inf
MACS1931,eta0p23_q0p75_A20p0,0.23,0.75,20.0,4,3,False,inf
MACS1931,eta0p23_q1p0_A5p0,0.23,1.0,5.0,4,2,False,inf
MACS1931,eta0p23_q1p0_A10p0,0.23,1.0,10.0,4,3,False,inf
MACS1931,eta0p23_q1p0_A20p0,0.23,1.0,20.0,4,4,True,10.988874457334305
MACS1931,eta0p28_q0p5_A5p0,0.28,0.5,5.0,4,3,False,inf
MACS1931,eta0p28_q0p5_A10p0,0.28,0.5,10.0,4,2,False,inf
MACS1931,eta0p28_q0p5_A20p0,0.28,0.5,20.0,4,2,False,inf
MACS1931,eta0p28_q0p75_A5p0,0.28,0.75,5.0,4,2,False,inf
MACS1931,eta0p28_q0p75_A10p0,0.28,0.75,10.0,4,2,False,inf
MACS1931,eta0p28_q0p75_A20p0,0.28,0.75,20.0,4,1,False,inf
MACS1931,eta0p28_q1p0_A5p0,0.28,1.0,5.0,4,1,False,inf
MACS1931,eta0p28_q1p0_A10p0,0.28,1.0,10.0,4,1,False,inf
MACS1931,eta0p28_q1p0_A20p0,0.28,1.0,20.0,4,1,False,inf
