name,rms_sigma,rms_mond,wins,delta_rms,R_d,R_max,R_min,n_points,V_flat,V_max,V_inner,V_bar_max,V_bar_outer,dV_dR_inner,dV_dR_outer,g_inner,g_outer,g_mean,g_min,g_max,g_range,g_inner_norm,g_outer_norm,gas_fraction_inner,gas_fraction_outer,bulge_fraction,disk_fraction,V_ratio_outer_inner,flatness,mean_residual,residual_trend,W_inner,W_outer,W_mean,h_inner,h_outer,h_mean,M_bar_est,rms_quartile,mass_proxy,surface_density_proxy,dynamical_time,acceleration_contrast
ESO116-G012,11.277270754344928,9.24108841469403,False,2.036182339650898,6.05,9.86,0.25,15,110.0,112.0,20.9,52.3288839934505,48.73688918072111,32.931034482758626,1.2987012987012994,1.9457686325340247e-11,8.537311170690597e-12,1.8410124475105323e-11,7.269910306178924e-12,3.3812624581808e-11,4.651037379796776,0.2025718123762756,0.08888099888909973,0.0003224172232083112,0.4968149201921546,0.0,0.7370014252320713,5.358851674641149,0.0128564869306645,10.45296132622539,0.5146563966151788,0.20611970973058816,0.911032299458431,0.7470008564049752,1.8475639224899605,3.080456761405744,2.1159584628818084,5070534483.545025,Good,119306.0,330.57851239669424,0.055,2.2791351909650825
ESO444-G084,11.522076012908096,10.54330408908242,False,0.9787719238256756,2.32,4.44,0.26,7,58.0,63.1,18.3,21.886235400360658,18.769738847595615,33.33333333333333,-0.3809523809523795,6.929077969988535e-12,3.948564028708102e-12,6.656867322162776e-12,1.7894162389868803e-12,1.0216838087382481e-11,5.709592807298419,0.07213786156317624,0.041108061781090596,0.37894890203728127,0.8499677785842423,0.0,0.22859822051145737,3.4262295081967213,0.10338629066502823,10.97578279705069,0.9676628237067795,0.4131972217786486,0.9232228982498953,0.7692592610337992,3.472703741643955,4.737406922125544,4.02942919465057,253074374.7208388,Good,14936.160000000002,625.0,0.039999999999999994,1.7548349019062515
ESO563-G021,56.6548751854029,45.76724985115782,False,10.88762533424508,27.06,42.41,0.45,30,320.0,321.0,18.9,200.91883149670164,149.2690793280126,44.269662921348306,-1.8181818181818197,1.530113091380428e-10,1.777361097008861e-11,7.457188847271853e-11,1.6300784528954842e-11,1.7460690189686698e-10,10.711564316841029,1.5929837539725014,0.1850390907984146,0.0,0.17539259783342062,0.0,0.9521540383087937,16.50793650793651,0.011015652194292128,47.79349752398666,0.32199370872168875,0.09460274997531944,0.9078117730924011,0.7138896683242936,0.30555861363679293,1.961713498492678,0.8853971045526045,210337113490.15244,Poor,4342784.0,139.8441720760687,0.0845625,8.608903919161225
F561-1,30.00377262247674,32.44393772072445,True,-2.4401650982477108,8.06,9.66,1.61,6,49.2,50.4,23.4,45.588423969249035,42.042294774542384,10.617283950617287,0.0,8.783610011955417e-12,7.161289693280329e-12,7.54043637335539e-12,6.7701717433570985e-12,8.783610011955417e-12,1.2973984036038535,0.09144518878439134,0.07455539203703201,0.06219859918473481,0.36896367249056716,0.0,0.690256255511125,2.1538461538461537,0.07976233735761687,-27.109221032706657,-0.9802745990229724,0.556556350398866,0.8827731339860289,0.7737284145760198,3.0298256560290118,3.408251724530636,3.321476393363548,4667251669.870835,Poor,23383.382400000002,37.26148181443146,0.1638211382113821,1.2265402445871396
F563-1,22.07374231338097,18.479039883072723,False,3.5947024303082458,11.84,20.1,1.07,17,111.5,112.5,22.1,38.63234460914843,37.961990129478146,29.014084507042256,-6.018518518518508,5.189714174959571e-12,2.4581560610625332e-12,3.8621940672536224e-12,2.406080501575079e-12,5.763814654073855e-12,2.395520287164424,0.0540295381762469,0.025591589876986915,0.022877430333077736,0.8190335696842332,0.0,0.3842152473241479,4.796380090497737,0.02128137847367056,18.817918489619927,-0.49278312472752656,0.36217234716222646,0.9142849022309159,0.7507793192026601,4.081610801502778,6.095044987756,4.9504461855937665,6973858423.925989,Fair,249888.225,88.68421578250548,0.10618834080717489,2.1112224147055687
F563-V1,27.362684275795747,29.313246715246144,True,-1.9505624394503975,6.55,7.87,1.31,6,28.6,29.5,12.0,26.05711707000604,24.90498528958,7.348484848484849,-0.9848484848484852,2.050070992861137e-12,3.1174381524514162e-12,3.0214300165816666e-12,2.050070992861137e-12,3.8273327462611254e-12,1.8669269306228229,0.021343061532607444,0.032455302544918005,0.2620207680260239,0.5477672473951363,0.0,0.49885018111669477,2.275,0.10349983721520523,-25.02748525939984,-0.9997658488724909,0.5568627241441778,0.883032932908079,0.7738588991591094,6.7019317201429525,5.376329901135212,5.547946945761139,1242231097.5458674,Poor,6437.345200000001,19.06555562030185,0.229020979020979,0.6576140063112563
F563-V2,27.609617507672905,23.508613653044826,False,4.101003854628079,8.7,10.47,0.28,10,117.0,118.0,11.9,48.67636952361998,48.09815982433696,38.813559322033896,0.0,2.3431510971206364e-12,7.725215786955525e-12,7.89461177138841e-12,2.3431510971206364e-12,1.0740608237613935e-11,4.5838308296944446,0.02439428596384703,0.0804263639980347,0.04457516533558556,0.6767733703664801,0.0,0.48686282806760484,9.915966386554622,0.012835874397166179,24.58372884266373,-0.13822956526485403,0.1682037278607175,0.8831978811747748,0.6544463092405065,6.250126356385062,3.263665265406712,3.437692389610735,5548192447.555202,Poor,143323.83000000002,180.85612366230683,0.07435897435897436,0.30331205777800835
F565-V2,8.017377224646795,6.941029183826452,False,1.076348040820343,6.29,8.8,1.26,7,73.5,83.1,21.7,30.15664603366893,28.238373741118014,14.88,3.6507936507936445,2.506712341449866e-12,3.4447403907156302e-12,3.2721653582722253e-12,2.506712341449866e-12,3.5310214178518194e-12,1.4086264943385964,0.026097103921968855,0.035862809814353545,0.33333333333333337,0.7529573506874738,0.0,0.3169083117436517,3.8294930875576036,0.12129586003609442,6.896777619081267,0.4918560226771775,0.5572546929165222,0.897859815141251,0.7914443894152565,6.032750727016494,5.0977155972296835,5.263419996152176,1860474343.4891305,Best,47539.8,136.54424086482442,0.085578231292517,0.7276926726339186
F567-2,17.93135794973122,19.373344966921394,True,-1.4419870171901756,7.67,9.59,1.92,5,47.6,52.2,26.9,33.65649491554342,28.641571310252676,10.418848167539265,2.1354166666666674,3.924860593540721e-12,3.4766190864120338e-12,3.5196340263999183e-12,3.0195801515962688e-12,3.924860593540721e-12,1.29980341520853,0.04086128794883149,0.03619469537646183,0.29267559568218304,0.35571711948984774,0.0,0.7838397698010687,1.9405204460966545,0.20098915262119582,-13.8528564891698,-0.9203361324254887,0.6113251005687236,0.8870825816729462,0.7888584390030998,4.752817274414991,5.0726648839184785,5.058867786388271,2525406617.143541,Fair,21728.638400000003,38.51440363494814,0.1611344537815126,1.1289302900282023
F568-1,33.443606621982326,30.05800204867938,False,3.3856045733029454,9.24,13.23,0.44,12,130.0,142.0,15.7,59.12452029403706,53.98886754542534,32.72727272727273,2.9032258064516134,5.216181582513403e-12,8.754476227881765e-12,7.884744848423085e-12,5.216181582513403e-12,9.249689457766255e-12,1.7732683020036504,0.05430508741819859,0.09114188019248065,0.06108370489386878,0.5854089620109009,0.0,0.5979122050544358,9.044585987261147,0.04708367442524543,30.634950126686945,0.1372071730416228,0.23029515199334744,0.8999637765088642,0.7156463968076373,4.070178344393976,3.0357065176469464,3.262568811565704,10751524297.122488,Poor,223587.0,197.94419145068497,0.07107692307692308,0.5958302297858328
F568-3,10.010070049888665,7.985346773018619,False,2.024723276870046,11.99,17.98,0.64,18,107.0,120.0,12.4,52.15391116685306,51.67781495646263,17.59259259259259,1.470588235294117,4.725433408943616e-12,5.4603127760498725e-12,6.9384530901764034e-12,4.725433408943616e-12,8.196388107350618e-12,1.734526211254545,0.0491959626600863,0.05684671017361636,0.014919232137423225,0.542075780700657,0.0,0.688587638531253,9.67741935483871,0.08077014672887242,5.266046673557851,-0.39393047788461155,0.2511510007383264,0.904050579469083,0.6851385797343645,4.2971316342691335,3.9685817601436146,3.5069417459808316,11369422078.942875,Good,205853.02000000002,79.63962184222187,0.11205607476635514,0.8654144190549672
F568-V1,28.806499395966565,25.827411917193523,False,2.9790874787730424,8.21,17.63,0.39,15,112.0,118.0,17.4,44.75253456509475,42.72257349518969,36.58227848101266,0.8561643835616438,6.131840237964672e-12,4.783850110432664e-12,6.8216392939559706e-12,3.3941513629517824e-12,1.1330350571745552e-11,3.3381983771907913,0.06383790803475994,0.049804132454573595,0.01669531424142419,0.5744837567596417,0.0,0.7139551341818885,6.781609195402299,0.023076822673283714,26.323676165802354,-0.30807068117391556,0.2298630964628827,0.9309982890821946,0.7480279387479712,3.720362130242936,4.268340254257285,3.6169267612478446,7568445509.461313,Poor,221150.72,186.10143893323993,0.07330357142857144,1.281779340157899
F571-8,24.366150768139303,27.9348912491535,True,-3.568740481014199,6.11,15.55,0.22,13,135.0,144.0,12.4,81.10435777441309,45.805483997424176,44.82142857142857,0.8988764044943818,1.0809940051847054e-10,6.158373572176808e-12,5.2910703313178264e-11,3.466502282895684e-12,1.5282071846386498e-10,44.084989996374325,1.1254108589106657,0.06411414363183285,0.0011532773604119152,0.062139162963899264,0.0,0.9814835355312961,11.612903225806452,0.07861507646123592,2.582443946864896,0.9196246294748617,0.18449616619249526,0.9411444740377419,0.7443836902273545,0.4435080982610008,3.7113752005565437,1.7344925290726607,6013442121.148264,Poor,283398.75,488.18577042277286,0.04525925925925926,17.553238570465695
F571-V1,4.17994853872957,6.314856160858179,True,-2.134907622128609,9.72,13.59,1.95,7,82.5,84.3,32.0,37.165716056602484,36.199179641433226,13.264248704663213,-0.2072538860103583,5.738383435531848e-12,3.746040916555014e-12,4.942918861791146e-12,2.8200375118565803e-12,7.1876185934483e-12,2.548767015767925,0.05974167294144405,0.038999616142129594,0.1784510945975413,0.6729946900299068,0.0,0.44897846251927465,2.621875,0.06429726530017495,-2.556942489925316,-0.688163296727249,0.5576230427784279,0.8978009200731991,0.7914810670644199,3.8606577008706946,4.873651228232694,4.323418043829375,3736497162.387439,Best,92496.9375,72.0402758725804,0.11781818181818182,1.5318528450055102
F574-1,12.001867463140544,8.824610426524464,False,3.17725703661608,9.87,12.6,0.47,14,98.8,99.7,15.3,46.483528803222335,45.11424722092088,27.340425531914896,0.2500000000000039,5.821248328070491e-12,5.629878822762716e-12,7.259808084090924e-12,5.5568888940324456e-12,1.2440571236837149e-11,2.2387655168339076,0.0606043701390064,0.05861204346277351,0.0007402358450621235,0.37642896238603446,0.0,0.7912839181860453,6.516339869281046,0.012713263417693212,9.054153159831651,-0.5083266091573815,0.23029515199334744,0.8891486213816207,0.7344082499535719,3.829963338096756,3.90184252811598,3.484352999056795,6329124834.659251,Good,122994.14399999999,100.20273689678075,0.09989878542510121,1.0339917627594453
F574-2,36.56381204649932,38.699659717100474,True,-2.1358476706011515,8.65,10.83,2.17,5,30.0,40.0,12.6,38.11981243395618,33.57530133545432,4.837209302325581,1.8348623853211012,2.3720391779733657e-12,4.255306432214067e-12,3.4943069682002787e-12,2.333576366385828e-12,4.34787582080692e-12,1.8631812883590255,0.02469503656679969,0.044301522893162026,0.46994817951550066,0.4658000850574727,0.0,0.6249046511040366,3.174603174603175,0.3436763147225691,-34.223163762758944,-0.9874290629743359,0.6118380355491655,0.8872183836342195,0.7890172904968923,6.210127698543934,4.549511434012325,5.2251757675030674,3658515530.935428,Poor,9747.0,12.02846737278225,0.28833333333333333,0.5574308726667133
F579-V1,23.407499728975584,18.494440542818275,False,4.913059186157309,9.16,15.16,0.42,14,114.0,114.0,35.7,58.19755450188608,56.9955778566698,45.33333333333333,0.0,8.913993303089223e-12,8.463648669796993e-12,1.28074403473238e-11,6.652338439663677e-12,1.7989897810936413e-11,2.704296838488261,0.09280259475481042,0.08811410676941574,0.02501383767231093,0.26558644139958004,0.0,0.8606254053012099,3.1932773109243695,0.007054673721340388,17.313268579433615,-0.9164926407090787,0.22365893161381584,0.9122715354444919,0.7366517438431865,3.0038498676991217,3.0960134431748356,2.4989116876750708,10968407992.823881,Poor,197019.36000000002,154.8883507179497,0.08035087719298245,1.0532092778022923
F583-1,11.654502407315116,10.323493534732554,False,1.3310088725825615,6.08,16.26,0.26,25,84.7,86.9,14.6,41.35500634747866,39.3195536444205,-25.555555555555554,-1.428571428571437,1.5643601375940971e-12,3.6338111241165562e-12,2.9177887075702127e-12,1.5643601375940971e-12,3.924868540138951e-12,2.5089290156518502,0.01628637973616294,0.037831204231446064,0.019917462037317358,0.8824431886915318,0.0,0.4892099556002495,5.876712328767123,0.04446342095814277,6.040134733253804,-0.5013452829512929,0.2117846675745427,0.9438309126934541,0.7280679580824834,7.710306038408977,4.953910917113595,5.659047400662954,6464748903.736661,Good,116650.70340000001,194.07056137465375,0.0717827626918536,0.43050122424137294
F583-4,4.4547498745743095,5.333115174984885,True,-0.8783653004105751,5.83,7.29,0.22,12,64.4,69.9,10.7,31.153954002662328,30.42160549235516,25.925925925925924,4.909090909090916,2.3338464031108233e-12,4.491971877361563e-12,5.802541109993784e-12,2.3338464031108233e-12,9.093166845948783e-12,3.8962147782426246,0.024297415827405383,0.04676542057085923,0.013941350398707471,0.2152702000982665,0.0,0.8578770912039403,6.532710280373832,0.04633220471279171,-1.9157627800567008,-0.8828551457664063,0.19165878020411747,0.887090822370321,0.7267819363974387,6.263165384761582,4.417618523335268,4.025547140512743,1555819449.2180781,Best,30234.254400000005,122.02101274239533,0.090527950310559,0.5195594422291103
IC2574,11.072403666456994,13.48669801531149,True,-2.4142943488544955,7.68,10.23,0.85,34,66.0,67.5,10.3,32.02326263827595,31.356499995187477,8.965517241379311,1.481481481481505,1.7530422019747627e-12,3.2012648708406786e-12,2.872468715523034e-12,1.7530422019747627e-12,3.3790485689540014e-12,1.9275340691442449,0.01825072776323086,0.033328013204640884,0.0,0.6857855760963226,0.0,0.5074313048415511,6.5533980582524265,0.03558792311886987,-10.482370860085851,-0.7790511635563272,0.41017030038872093,0.8932695703399077,0.77354075370513,7.269510653464676,5.30099121533173,5.669017264731959,2438831099.654861,Good,44561.880000000005,73.8525390625,0.11636363636363636,0.5476092334447787
IC4202,29.061874373647758,25.62045319043275,False,3.441421183215006,16.52,25.9,0.77,32,243.0,250.0,35.1,181.4475949137932,151.15337724218276,52.19512195121951,10.344827586206927,5.365338613428048e-10,2.9906731499293226e-11,1.2196610316288285e-10,2.7418281628077483e-11,5.365338613428048e-10,19.568471453490776,5.585794470944262,0.31135566175576845,0.00038656467596463127,0.16184117777369134,0.5715195684042762,0.554210703556266,7.037037037037036,0.017231320641852486,9.92501684178059,0.23983938282317113,0.22652124505619897,0.9078405281310136,0.7657111760099734,0.06424648189994342,1.3666305368277527,0.6496531940430237,131950372068.46693,Poor,1529369.0999999999,216.367716290768,0.0679835390946502,17.94023734607991
KK98-251,9.658131242719213,10.84637019716049,True,-1.1882389544412764,2.06,3.13,0.25,15,33.3,34.6,4.25,20.254547637506004,19.93217216292679,16.1875,-1.1764705882352904,9.908101101749839e-13,4.6638253876522425e-12,4.065172082359286e-12,9.908101101749839e-13,5.791056726571955e-12,5.844769514462478,0.010315214069284985,0.0485545683893987,0.4574639264269176,0.8020332547258043,0.0,0.21397622935687743,8.047058823529412,0.04603667639959502,-9.092902535096632,-0.9070110412031839,0.43263135285297716,0.9051843451569561,0.7653424046057551,9.745496827149562,4.328066393102276,5.150060404643615,276948314.72205615,Good,3470.8256999999994,261.3087944198322,0.06186186186186187,0.21244579884963383
NGC0024,23.931233833602445,20.9282676629855,False,3.0029661706169435,2.54,11.27,0.21,29,107.0,110.0,17.4,52.54158067664124,38.15500254853628,123.63636363636363,0.7352941176470591,2.6900495324506994e-11,4.937825387316727e-12,3.3521694989275895e-11,3.516673605676032e-12,4.370993195074532e-11,12.42934001045647,0.280058070656025,0.051407151969741875,0.013079116292049593,0.3518781873762003,0.0,0.8900575314047855,6.321839080459771,0.019919922111998715,22.642696177211466,-0.1758725297310322,0.3418783629913017,0.9653722138607677,0.7657591209719712,1.476203672940487,4.194858357297433,1.537106288240977,3204429726.9318223,Poor,129030.23,1774.5985491970985,0.023738317757009346,5.447842565191444
NGC0055,13.714217731213852,17.392342682882855,True,-3.6781249516690036,10.43,13.5,1.23,21,86.2,87.4,28.7,50.18619381861908,47.57251261985035,14.590163934426231,-1.4754098360655845,1.487039554452576e-11,5.696812397675425e-12,1.0518881825387206e-11,5.476661866013777e-12,1.550094659612838e-11,2.8303640018971707,0.15481403728271903,0.059308881481034324,0.3300971303797076,0.5280970988042123,0.0,0.41265900264040567,3.013937282229965,0.007522095959568091,-13.022604724643172,-0.9378096363647295,0.4256075897859378,0.890502138308869,0.7696921141483569,2.2008111491732043,3.8763012357362916,2.861193241494355,7160680937.10041,Fair,100310.94,68.30396498043388,0.12099767981438514,2.6103010783001386
NGC0100,3.125946070207014,6.002679810462169,True,-2.876733740255155,6.16,9.62,0.23,21,89.0,91.2,6.81,40.745356790682294,35.61618302364757,28.673913043478265,2.962962962962957,6.482973597452733e-12,4.429147691683432e-12,1.0375745782457616e-11,4.2868945394868926e-12,1.73663236690756e-11,4.0510265669269785,0.0674935184618143,0.04611136494774494,0.016073072062605873,0.33988673184761425,0.0,0.8451018101522297,13.392070484581499,0.020957080815375145,0.34695108149292575,0.9448695887383366,0.19002069953745834,0.9075133992304121,0.7596515499315802,3.6058173068769515,4.451620059257979,3.0464737797724806,2846189432.1383743,Best,76200.01999999999,208.7462050936077,0.06921348314606741,1.4637068006618406
NGC0247,7.052751977000075,5.405792901199021,False,1.6469590758010542,10.76,14.54,1.08,26,106.0,108.0,34.6,53.08517966438467,49.520876264827905,23.396226415094336,-1.886792452830191,7.627430330524952e-12,5.687597466310674e-12,8.212469507979238e-12,5.181671274005782e-12,9.45133611659558e-12,1.8239937689619317,0.07940833046609388,0.05921294585352605,0.03240155601737282,0.4713722324090616,0.0,0.6529813541070699,3.092485549132948,0.010981077014774576,1.173741731190351,-0.9007316744089895,0.3867492283526017,0.8946311994885245,0.770172098067331,3.28761688224677,3.87979148844959,3.181122113397931,7859040537.010194,Best,163371.44,97.0481336631611,0.10150943396226415,1.3410636698016136
NGC0289,24.173879788868163,23.450412720673405,False,0.7234670681947577,34.77,71.12,1.5,28,165.0,194.0,164.0,160.25189437257833,73.12342565504025,29.41176470588235,-0.3257328990228005,3.466051166558653e-10,2.5544342956301338e-12,5.866998740874645e-11,2.294095053170201e-12,3.466051166558653e-10,151.08576960527117,3.6084673935990845,0.026593931889425847,0.000928650846600004,0.5693703818074421,0.0,0.7917673230067636,1.0060975609756098,0.02573764044589329,-9.61748369596849,-0.9216336551277899,0.2132554658185074,0.9278076740196797,0.7462056394404801,0.11423050276600223,5.973240912927293,2.7907657364891247,83246457675.5108,Poor,1936242.0000000002,22.519487731904192,0.21072727272727274,135.6876225976147
NGC0300,7.831608276498369,5.662339852940226,False,2.169268423558143,7.71,11.8,0.91,25,93.5,97.0,33.1,41.86990983988382,33.779461666078824,30.22222222222222,1.458333333333338,1.7689074373455452e-11,3.266099858359867e-12,8.938463283565513e-12,2.998219542603557e-12,1.7689074373455452e-11,5.8998596073771274,0.1841589896750966,0.03400300306250753,0.0,0.4344815617577682,0.0,0.7230545937542477,2.824773413897281,0.014602020337286085,6.829480614290419,-0.1964890925428415,0.42581374420763995,0.9058051246416329,0.7906228969966569,1.9678569358857647,5.244686852444395,3.3491894780433573,2995010182.285158,Best,103158.55,147.06674001288607,0.08245989304812834,5.415962505916262
NGC0801,33.18686770029606,35.002028603913274,True,-1.8151609036172118,38.74,59.82,1.17,13,216.0,238.0,123.0,199.2242402419947,135.42114639604154,48.7179487179487,0.0,4.672924373099357e-10,1.149068619899886e-11,1.881451196786237e-10,9.203173438006829e-12,4.672924373099357e-10,50.7751419070441,4.864929691682937,0.11962825846086578,0.0003945198651633945,0.20632812054712163,0.0,0.9330721182602414,1.7560975609756098,0.012879484820607174,-10.787320361857798,-0.865744534161017,0.15949479692350374,0.9065605729758079,0.6022253881032579,0.07730345517836255,2.582315242095409,1.0710581902782994,236266028975.45425,Poor,2790961.92,31.08767689711722,0.17935185185185187,40.667061062954545
NGC0891,22.78702209314958,29.28807597864137,True,-6.501053885491789,10.64,17.11,0.92,18,216.0,234.0,234.0,265.08040342507405,153.11985679261053,-30.000000000000004,-2.3809523809523814,1.8617480409422636e-09,4.702336744169966e-11,3.174441919501181e-10,4.170809108308748e-11,1.8617480409422636e-09,44.637574930807546,19.382452185514925,0.4895550584704002,0.0005096007530581659,0.0951715407473429,0.35731790913239475,0.7285758162188989,0.8888888888888888,0.01880238656898202,-11.613482742409333,0.5442751256416121,0.3520306782249645,0.909941403124469,0.7923714492170764,0.011143951342091441,0.9594948943386526,0.42710267416608405,87597394842.01648,Fair,798284.1599999999,412.12052688111254,0.04925925925925926,39.59197612230747
