galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
NGC5985,ok,33,2.8271,0.8579,3.286885654779187,0.8579,sigma_power,constant,False,37.65367000588262
NGC6015,ok,44,2.8271,0.8579,2.549767409855386,0.8579,sigma_power,constant,False,42.62993612616531
NGC6195,ok,23,2.8271,0.8579,3.0984491139061574,0.8579,sigma_power,constant,False,43.710336046807
NGC6503,ok,31,2.8271,0.8579,2.265730800220736,0.8579,sigma_power,constant,False,41.6256988663263
NGC6674,ok,15,2.8271,0.8579,3.051092109194494,0.8579,sigma_power,constant,False,75.41183689722104
NGC6946,ok,58,2.8271,0.8579,2.566191329631375,0.8579,sigma_power,constant,False,27.20383386739905
NGC7331,ok,36,2.8271,0.8579,3.0333639820770797,0.8579,sigma_power,constant,False,70.68655073475482
NGC7793,ok,46,2.8271,0.8579,2.209523752064365,0.8579,sigma_power,constant,False,7.796695675735532
NGC7814,ok,18,2.8271,0.8579,2.9046558370303246,0.8579,sigma_power,constant,False,52.55253803733729
PGC51017,ok,6,2.8271,0.8579,1.1037918023943503,0.8579,sigma_power,constant,False,3.169546859852865
UGC00128,ok,22,2.8271,0.8579,2.3832707176043546,0.8579,sigma_power,constant,False,64.92551195613645
UGC00191,ok,9,2.8271,0.8579,1.7182967382640433,0.8579,sigma_power,constant,False,17.77824870926478
UGC00731,ok,12,2.8271,0.8579,1.8550125711456065,0.8579,sigma_power,constant,False,36.04336816580639
UGC01230,ok,11,2.8271,0.8579,2.1764189971835037,0.8579,sigma_power,constant,False,41.24823284271476
UGC01281,ok,25,2.8271,0.8579,1.6689101747202362,0.8579,sigma_power,constant,False,17.205360096544638
UGC02259,ok,8,2.8271,0.8579,1.9910532223631172,0.8579,sigma_power,constant,False,35.06234258072438
UGC02455,ok,8,2.8271,0.8579,1.4245945545965926,0.8579,sigma_power,constant,False,35.37808204018852
UGC02487,ok,17,2.8271,0.8579,3.464542012884033,0.8579,sigma_power,constant,False,105.14745215725999
