case,domain,variant,cell_kpc,geometry_weighted_mean,geometry_median,geometry_p90,geometry_maximum,geometry_r80_kpc,geometry_active_pixels,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,median_trace_length_kpc,median_screen
DDO50,sealed_galaxy_baryons_only,hybrid,0.21575836120636716,0.1187556338124541,0.036670416243532955,0.4005741620127864,0.9613419096508088,5.744909487872629,3207,0.11216216063488182,0.03499636256601549,0.38016034567299695,0.9568346129098092,5.744909487872629,3207,3.625612433800789,0.9892097999571712
DDO52,sealed_galaxy_baryons_only,path_incoherence,0.17166397654677024,0.0776103491340847,0.011414369794157775,0.20277985611464164,0.8666061374285237,2.922033650843861,1309,0.07541363902379827,0.01115469784691337,0.19876625167589101,0.8451791130197479,2.922033650843861,1309,1.5072018247105685,0.9897356815662595
DDO52,sealed_galaxy_baryons_only,component_cancellation,0.17166397654677024,0.02443544356382339,0.003871159629228682,0.0808006871234325,0.9369536678717268,2.922033650843861,1309,0.02388006892876114,0.0037932303283575836,0.07937369169509988,0.9358861765375034,2.922033650843861,1309,1.5072018247105685,0.9897356815662595
DDO52,sealed_galaxy_baryons_only,hybrid,0.17166397654677024,0.09933452685899999,0.024897370065438906,0.29175977333695624,0.941904065960795,2.922033650843861,1309,0.09666363819440354,0.02429196299320905,0.28480522687379844,0.9408309345322508,2.922033650843861,1309,1.5072018247105685,0.9897356815662595
DDO53,sealed_galaxy_baryons_only,path_incoherence,0.18130162716179044,0.15316915758580302,0.013508121750689162,0.4886820383708486,0.9471640397005046,2.313382873858873,735,0.14808437313255438,0.01315266816417825,0.4815558038185355,0.9192907987974153,2.313382873858873,735,2.096559696159884,0.9973191437646423
DDO53,sealed_galaxy_baryons_only,component_cancellation,0.18130162716179044,0.024691028383931994,0.003750301415302304,0.07889790482267087,0.9746389412480304,2.313382873858873,735,0.0241491165498053,0.0036548104739748104,0.07705417412275385,0.9737843363932601,2.313382873858873,735,2.096559696159884,0.9973191437646423
DDO53,sealed_galaxy_baryons_only,hybrid,0.18130162716179044,0.17474374886886393,0.03387054243111842,0.5448394029272543,0.9753256583364697,2.313382873858873,735,0.169201981247794,0.033244343056721214,0.5313312706316212,0.9744704513389645,2.313382873858873,735,2.096559696159884,0.9973191437646423
DDO87,sealed_galaxy_baryons_only,path_incoherence,0.3510743089274264,0.09591667878221037,0.015881065110380232,0.24346407647206444,0.9164318970711519,5.5923596903949075,1145,0.09397825333921236,0.015675206646745602,0.2397410713806442,0.9057734020921279,5.5923596903949075,1145,3.211871263736063,0.9959611374595215
DDO87,sealed_galaxy_baryons_only,component_cancellation,0.3510743089274264,0.033732518020606596,0.005034847083197014,0.11181606478258364,0.884413958811274,5.5923596903949075,1145,0.03323250734629745,0.004968130115504234,0.10981723859203851,0.883857565734952,5.5923596903949075,1145,3.211871263736063,0.9959611374595215
DDO87,sealed_galaxy_baryons_only,hybrid,0.3510743089274264,0.1257136237649363,0.036178167278578366,0.35330574565341377,0.9369582902731945,5.5923596903949075,1145,0.12335624117908517,0.035934510832237795,0.34926855435788323,0.9360166461956709,5.5923596903949075,1145,3.211871263736063,0.9959611374595215
NGC1569,sealed_galaxy_baryons_only,path_incoherence,0.08961319349813479,0.046680279924335676,0.004745462835389236,0.06529758869996749,0.8302657185380145,1.6940146692636127,1619,0.028792894077510532,0.0034648165349429765,0.049356557676909225,0.6042088206963695,1.6940146692636127,1619,4.30143328791047,0.9978989467230092
NGC1569,sealed_galaxy_baryons_only,component_cancellation,0.08961319349813479,0.02522449932660353,0.009560509429754172,0.06333617397230469,0.6083926759331225,1.6940146692636127,1619,0.01659195895351387,0.006750626718607971,0.04301544833382253,0.5826982153440672,1.6940146692636127,1619,4.30143328791047,0.9978989467230092
NGC1569,sealed_galaxy_baryons_only,hybrid,0.08961319349813479,0.06997920906193743,0.01964728071370181,0.15036938063200142,0.8414956268141173,1.6940146692636127,1619,0.044136002006082364,0.013474819849746543,0.1031951945872344,0.6766161637467094,1.6940146692636127,1619,4.30143328791047,0.9978989467230092
UGC8508,sealed_galaxy_baryons_only,path_incoherence,0.09435841563882619,0.05787370166316186,0.003295949749871463,0.1303583918233664,0.7903815155435031,1.0736076929030387,581,0.053983305341699754,0.0031492624698415475,0.12106574092955984,0.761619471706617,1.0736076929030387,581,0.9635250139499708,0.9935221827437191
UGC8508,sealed_galaxy_baryons_only,component_cancellation,0.09435841563882619,0.01091997494893536,0.00262821637887245,0.025312734668482384,0.8866444557504869,1.0736076929030387,581,0.010412074722798481,0.0025056148723164706,0.023730859898164137,0.8813787626502361,1.0736076929030387,581,0.9635250139499708,0.9935221827437191
UGC8508,sealed_galaxy_baryons_only,hybrid,0.09435841563882619,0.06746085748844262,0.008504157889849262,0.20338143665029762,0.9093065446683885,1.0736076929030387,581,0.06311783967818796,0.008008903453722873,0.19066950641478073,0.8996047219456849,1.0736076929030387,581,0.9635250139499708,0.9935221827437191
AS295,sealed_cluster_baryons_only,path_incoherence,14.0625,0.15087120631599116,0.017621143126339167,0.45586565281879715,0.990203832953192,392.52761068090086,3514,0.08060873420933061,0.010942916727642499,0.2694918568132849,0.7596502500553981,392.52761068090086,3514,548.6420273545976,0.966036586464376
AS295,sealed_cluster_baryons_only,component_cancellation,14.0625,0.04757691136276802,0.002988764012601841,0.19374470390299184,0.9198893372540407,392.52761068090086,3514,0.02986084894440249,0.0018362832884260458,0.12657938667993057,0.8794125609768257,392.52761068090086,3514,548.6420273545976,0.966036586464376
AS295,sealed_cluster_baryons_only,hybrid,14.0625,0.19033818581285325,0.0637248372360032,0.5247612033182842,0.9914729925800121,392.52761068090086,3514,0.10637569514967157,0.03932151427712609,0.3282797012068776,0.9360525624683182,392.52761068090086,3514,548.6420273545976,0.966036586464376
MACS0025,sealed_cluster_baryons_only,path_incoherence,14.0625,0.1606669546083559,0.020942134240891086,0.4664254381907566,0.9842618885873554,349.7017945249261,2787,0.07963146423070568,0.013056725209880583,0.25702798970265756,0.6093628836082349,349.7017945249261,2787,531.0401184547793,0.9686494446275465
MACS0025,sealed_cluster_baryons_only,component_cancellation,14.0625,0.08033548383280902,0.03085235842579892,0.2756916299470096,0.9039590717128103,349.7017945249261,2787,0.04813471953485075,0.017940573814784862,0.17391045016784745,0.8292673501859518,349.7017945249261,2787,531.0401184547793,0.9686494446275465
MACS0025,sealed_cluster_baryons_only,hybrid,14.0625,0.22807837318857893,0.12002094371971328,0.5578229165293339,0.9856002592727422,349.7017945249261,2787,0.12181808949712096,0.07311475815196238,0.32224235785599914,0.8424179588138555,349.7017945249261,2787,531.0401184547793,0.9686494446275465
MACS0159,sealed_cluster_baryons_only,path_incoherence,14.0625,0.03266554649342358,0.0014106558485004195,0.09054244665940328,0.801972251720671,335.960904564816,2579,0.009863857087710233,0.0005349944586249545,0.026279704690504956,0.4179935767495405,335.960904564816,2579,565.3886289153857,0.9351590933275898
MACS0159,sealed_cluster_baryons_only,component_cancellation,14.0625,0.023610101071825318,0.003331326626589859,0.05917130823192264,0.7727781920197543,335.960904564816,2579,0.008424246325346132,0.0012092266116103655,0.021256908513580496,0.4453712055862928,335.960904564816,2579,565.3886289153857,0.9351590933275898
MACS0159,sealed_cluster_baryons_only,hybrid,14.0625,0.05521766380443079,0.009897261173665739,0.15389241445269222,0.8579621369069175,335.960904564816,2579,0.01792083699675847,0.0035391281136973973,0.04836444969896426,0.48799732921488836,335.960904564816,2579,565.3886289153857,0.9351590933275898
PLCKG287,sealed_cluster_baryons_only,path_incoherence,14.0625,0.08099244731612189,0.0038021187527784717,0.2520777134289567,0.9774236760807923,646.4381055242033,9534,0.0442136464432179,0.0024043351837873686,0.15220972356359425,0.6365217927234192,646.4381055242033,9534,484.3548779174466,0.9095582121950332
PLCKG287,sealed_cluster_baryons_only,component_cancellation,14.0625,0.023754422653666524,0.0004732944796024263,0.0707368570908027,0.9437128806115146,646.4381055242033,9534,0.014653277013133511,0.00030185447071180585,0.04430227556615757,0.9023405278418103,646.4381055242033,9534,484.3548779174466,0.9095582121950332
PLCKG287,sealed_cluster_baryons_only,hybrid,14.0625,0.10110359220687255,0.00785630227555717,0.31116960120359327,0.9809908397911472,646.4381055242033,9534,0.05695770974326995,0.004918754883001282,0.19406701775247664,0.9195579128930357,646.4381055242033,9534,484.3548779174466,0.9095582121950332
