group_id,label,root_bin_id,member_bins,cells,expected_full_pha_source_counts,combined_full_pha_source_counts,full_pha_count_conservation_exact,links_exact,source_path,source_sha256,background_path,background_sha256,arf_path,arf_sha256,rmf_path,rmf_sha256
23,BULLET_primary8000_region023,134,5,45,8924,8924,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region023/BULLET_primary8000_region023_src.pi,fce9e15e501afe1f162b2a176e0e55367380f4dabd2e30034723345db5b23698,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region023/BULLET_primary8000_region023_bkg.pi,b85c12197f95a9f6db0edec6946c34cb4aa9ddba99e1a90fc6ab90926877878a,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region023/BULLET_primary8000_region023_src.arf,683d838c435ee656786c103958f40debb6521901c8e854d6eb18934809c99c1a,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region023/BULLET_primary8000_region023_src.rmf,38edad868f8c32369119d5845ce48d8f6381d34eacfc1f3bc68248a0f27e310d
24,BULLET_primary8000_region024,154,12,128,23765,23765,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region024/BULLET_primary8000_region024_src.pi,65801ac7e355a9ee3f0908d51780d3bb1bbf9fa213b1652531603f05e126e16f,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region024/BULLET_primary8000_region024_bkg.pi,d8146e620c7413a1fc29dbc51d62b9b0b15ad16485e57788078c7e5fcd69ac73,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region024/BULLET_primary8000_region024_src.arf,c553ba03ad5f5d16604a1751720e94e5538666a3249abbfe9a5b82011d5cec63,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region024/BULLET_primary8000_region024_src.rmf,74998e7dc8e63b1b613ed48f29b5137fed14dc68e3d616c3914c8bec146e071b
25,BULLET_primary8000_region025,159,5,45,11131,11131,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region025/BULLET_primary8000_region025_src.pi,fde281ab3150bd163e59f95b1993946482b9b43bd51342277d43d8ef1545bb94,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region025/BULLET_primary8000_region025_bkg.pi,a098abcd4ab546e67427fc7a59cfa75929fca3c70009c2693fb1e49d819ce9ee,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region025/BULLET_primary8000_region025_src.arf,5ba34564597b62612321f4735bc44056cb978cbea037897c1597cf33d47ca5ae,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region025/BULLET_primary8000_region025_src.rmf,74f19ef300ff3a30f871bfc41344eddbfef93641a41284f29323a21363a693c4
26,BULLET_primary8000_region026,166,7,63,12733,12733,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region026/BULLET_primary8000_region026_src.pi,df7eae4edd990dc25f86463c82133de8ea28d39fb8a1205305dc3475e0e9d715,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region026/BULLET_primary8000_region026_bkg.pi,aa8cb949030e08c4b0c60c86783c09eb48cf2fc1d4f96c580cb481aeb512e9bf,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region026/BULLET_primary8000_region026_src.arf,3aacb745fe7cf6aca3ca6d72429c49c15f8624f6c92a3780448912521742df43,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region026/BULLET_primary8000_region026_src.rmf,013ec335b1a4ef1898454582b085c58f3ddf8bdce329f6d5e14e3830216828ab
27,BULLET_primary8000_region027,173,8,72,13550,13550,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region027/BULLET_primary8000_region027_src.pi,5bb058253f710cfc61357ce46ad381976d09cee7d9d00d2bdedd2f1582b937bf,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region027/BULLET_primary8000_region027_bkg.pi,6dd5158688ce370e2a40ad6df75efc6c8946071c837f75942ec1569b53f80658,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region027/BULLET_primary8000_region027_src.arf,ac0bb3825223cde822db360fe44a221c368a5afad4f203d3964a29e945d4f0af,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region027/BULLET_primary8000_region027_src.rmf,7a8f02dcd155fb526579f0c40328b0616d53e785310f26f714bd3ee78bec82be
28,BULLET_primary8000_region028,176,10,105,19609,19609,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region028/BULLET_primary8000_region028_src.pi,784a0c2a4acec730924f1657db9146d167d432a6dc0c714809daa5652b831de9,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region028/BULLET_primary8000_region028_bkg.pi,41964197056f86169f8f034b654bfd500027216a9e40f12f98d298d208da364d,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region028/BULLET_primary8000_region028_src.arf,876331b56aab0a712a950a2086b3ab8672163f20854975018bcf0ad2fffa3775,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region028/BULLET_primary8000_region028_src.rmf,a978b7b042f52adf3af200162f729dca5e30cb5a6ab61823dc125d3b0a27e427
29,BULLET_primary8000_region029,188,5,54,8342,8342,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region029/BULLET_primary8000_region029_src.pi,e5e96408f802fd695204ec0fe954feb0ee45c49174bcfd797c9f72cb9d740bdb,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region029/BULLET_primary8000_region029_bkg.pi,88262bf574c8acfe70249d0d3b2c363e758b9017ef43fd025628ec8f72ec3668,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region029/BULLET_primary8000_region029_src.arf,4f58d1c17f8e664f6d3df91bad20e96b160eff58a2af17cbf7d9d6ef842d8dda,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region029/BULLET_primary8000_region029_src.rmf,76cc88199a2649ed32647e2115adea9c767f42ea483e89ee11e687da6cc0818a
30,BULLET_primary8000_region030,191,10,90,17116,17116,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region030/BULLET_primary8000_region030_src.pi,29cded9f6fbfb552393e38de182affb9a5beb7ef60e62c165e62a4d9755b5004,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region030/BULLET_primary8000_region030_bkg.pi,5385754fce2bfe434674e440a933c225f840a077cf5cd56c6ff979faf93a8488,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region030/BULLET_primary8000_region030_src.arf,aea720df959b745fac0781c4ef12c6acc64a77aa1cf78d43f3eab3273760cfd6,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region030/BULLET_primary8000_region030_src.rmf,5ea0e82ca60757a9a42357c1fd455a1cf9e0074160c16ed57ee53e8e76147774
31,BULLET_primary8000_region031,204,12,108,22928,22928,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region031/BULLET_primary8000_region031_src.pi,607a33fbe0084f3cc20a6f5f24013aa463abd6cc612e9c7c20f60b3b467073ed,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region031/BULLET_primary8000_region031_bkg.pi,e1c45f7b205b41b90fc53daafcb23467835860097039114302d2216cf7270a11,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region031/BULLET_primary8000_region031_src.arf,ccf5801f8c86b32ef6ccd2e7414a8d4057db37bcaa983f0242cc5726539d3d0f,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region031/BULLET_primary8000_region031_src.rmf,c2026db2a786d1afb5fa2bb82fc4f520a6b208735fc332efdb8c69d8caebd845
32,BULLET_primary8000_region032,211,10,96,17150,17150,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region032/BULLET_primary8000_region032_src.pi,c1cad4dc89a7d030a6d1c6e92adc3234c1394069decf857afb8ddf8267c1de34,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region032/BULLET_primary8000_region032_bkg.pi,611d268244d7e116de19ec6a4f613e7e5f85143ed63b09e8c7e04ac68352d63b,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region032/BULLET_primary8000_region032_src.arf,4b80f6966d2f62e5c892326c7d85602c1ed6d2f179ad219481bb1e04547ba64f,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region032/BULLET_primary8000_region032_src.rmf,caa6c5b4edd315e634f6db8fa5ed7addff0ac1157ce55bb5748b289c144d628d
