p_infinity,transition_power_n,chi_t,galaxy_equal_RMSE_km_s,cluster_all5_log_RMS_dex,cluster_reliable3_log_RMS_dex,cluster_all6_stress_log_RMS_dex,solar_solar_limb_fractional_force_change,solar_Mercury_fractional_force_change,solar_Earth_fractional_force_change,solar_Saturn_fractional_force_change,is_primary_dimension_fixed_formula,galaxy_ratio_to_fixed_RAR,all5_gap_fraction_closed_from_fixed_RAR,galaxy_gate_pass,solar_gate_pass,all5_cluster_gate_pass,reliable3_cluster_gate_pass,gap_closed_gate_pass,selected_primary_row
4.0,2.0,1.5e-06,13.867605642945247,0.3714789805031878,0.4698257541661362,0.4064484004244887,0.0,0.0,0.0,0.0,True,1.2693430570154673,0.36279574036363826,False,True,False,False,False,False
4.0,2.0,2e-06,12.161856604808136,0.3128829426900918,0.4000568604674938,0.34120764123533315,0.0,0.0,0.0,0.0,True,1.1132107906157787,0.463306527923522,False,True,False,False,False,False
4.0,2.0,3e-06,11.307736997743964,0.2846767877907271,0.3092636190917494,0.294085301481455,0.0,0.0,0.0,0.0,True,1.0350306908204525,0.5116890286655364,True,True,False,False,False,True
4.0,2.0,5e-06,11.028162428086693,0.3379172065697083,0.24220611393658367,0.31696165827997314,0.0,0.0,0.0,0.0,True,1.0094404016205951,0.42036482619023785,True,True,False,False,False,False
4.0,2.0,8e-06,10.960466987915835,0.41740792809179317,0.28850831204103605,0.3810489575357027,0.0,0.0,0.0,0.0,True,1.0032440372888622,0.28401302968527886,True,True,False,False,False,False
4.0,2.0,1e-05,10.946983519126162,0.4544644063355784,0.33540994685791786,0.41635448811255815,0.0,0.0,0.0,0.0,True,1.0020098554168557,0.2204494176820434,True,True,False,False,False,False
4.0,2.0,2e-05,10.930272443800408,0.5376945197978035,0.4593308119568357,0.509461740210831,0.0,0.0,0.0,0.0,True,1.000480241149897,0.07768337811687231,True,True,False,False,False,False
4.0,4.0,3e-07,120.46660687251243,1.1464457810498934,1.2324805069794829,1.2317282674039667,0.0,0.0,0.0,0.0,False,11.026665667668869,-0.9665180897654018,False,True,False,False,False,False
4.0,4.0,5e-07,37.422773798066856,0.8725783013596662,0.9557832771557944,0.9453610168907698,0.0,0.0,0.0,0.0,False,3.425417430946487,-0.49674850980665086,False,True,False,False,False,False
4.0,4.0,8e-07,13.754593972297132,0.6654862584165728,0.7522778703774802,0.7246106291558835,0.0,0.0,0.0,0.0,False,1.2589987637616509,-0.14151998053323456,False,True,False,False,False,False
4.0,4.0,1e-06,11.633033206292936,0.5813815358005328,0.6730728868249302,0.6340655106668367,0.0,0.0,0.0,0.0,False,1.064806017176459,0.0027462910977533728,False,True,False,False,False,False
4.0,4.0,1.5e-06,10.984486185342352,0.4492271995490861,0.5534095766662143,0.4914282309400982,0.0,0.0,0.0,0.0,False,1.0054425856376856,0.22943288820957908,True,True,False,False,False,False
4.0,4.0,2e-06,10.938576590546901,0.37897362358435127,0.48219076092537744,0.4128651092186414,0.0,0.0,0.0,0.0,False,1.001240344320444,0.34994005068423106,True,True,False,False,False,False
4.0,4.0,3e-06,10.927299570263262,0.3648426675719047,0.3989683556779222,0.37454881132608625,0.0,0.0,0.0,0.0,False,1.0002081252215296,0.3741791216315783,True,True,False,False,False,False
4.0,4.0,5e-06,10.925309130688765,0.4335991408013092,0.322875315462553,0.41059559952170877,0.0,0.0,0.0,0.0,False,1.000025934386331,0.25623996512801395,True,True,False,False,False,False
4.0,4.0,8e-06,10.92506881107731,0.4840401713197152,0.34730406913825157,0.4428207608705288,0.0,0.0,0.0,0.0,False,1.0000039372198322,0.1697176012967171,True,True,False,False,False,False
4.0,4.0,1e-05,10.92504340593373,0.5189626587149673,0.41210083136884684,0.4748214831923137,0.0,0.0,0.0,0.0,False,1.0000016118117232,0.10981446035665843,True,True,False,False,False,False
4.0,4.0,2e-05,10.925026897028909,0.576567399884211,0.5182499865628643,0.5559986671399206,0.0,0.0,0.0,0.0,False,1.0000001007027217,0.011004060913405889,True,True,False,False,False,False
5.0,1.0,3e-07,203.64463731740838,1.248964201006346,1.3429312994383305,1.335025670575896,0.0,0.0,0.0,0.0,False,18.640197387556032,-1.1423696919178425,False,True,False,False,False,False
5.0,1.0,5e-07,129.84374550598082,0.9764024014754293,1.0696681023617778,1.0469660568320212,0.0,0.0,0.0,0.0,False,11.884982966669929,-0.6748397675059774,False,True,False,False,False,False
5.0,1.0,8e-07,84.54246584967021,0.7662218402094084,0.8645271139803572,0.824218614860918,0.0,0.0,0.0,0.0,False,7.7384225375516635,-0.3143134498390736,False,True,False,False,False,False
5.0,1.0,1e-06,68.88210046643408,0.6770666253482301,0.7786956999526606,0.7303427796480981,0.0,0.0,0.0,0.0,False,6.304982866612599,-0.16138398233222961,False,True,False,False,False,False
5.0,1.0,1.5e-06,47.70072801999694,0.5289071889037491,0.635062875616614,0.575776374559376,0.0,0.0,0.0,0.0,False,4.366189051357157,0.0927564373487596,False,True,False,False,False,False
5.0,1.0,2e-06,37.09245705109988,0.4342233525544525,0.5395057662086289,0.4775264472049094,0.0,0.0,0.0,0.0,False,3.39518255982497,0.25516924401351315,False,True,False,False,False,False
5.0,1.0,3e-06,26.673412103685845,0.32060011641518105,0.4118510159076787,0.35731373918573567,0.0,0.0,0.0,0.0,False,2.441496487026952,0.4500691276180733,False,True,False,False,False,False
5.0,1.0,5e-06,18.833483181139258,0.23828379933186247,0.27182670261704517,0.2546375790354377,0.0,0.0,0.0,0.0,False,1.723884550146425,0.5912677165988511,False,True,False,False,False,False
5.0,1.0,8e-06,14.9609142241699,0.2514560921097984,0.1992690367458148,0.2393323253876673,0.0,0.0,0.0,0.0,False,1.369416832725908,0.568673057121998,False,True,False,True,False,False
5.0,1.0,1e-05,13.83892749668611,0.2792808691988143,0.19835662386873068,0.25776262949635065,0.0,0.0,0.0,0.0,False,1.2667180612678686,0.5209447402720464,False,True,False,True,False,False
5.0,1.0,2e-05,11.999147969390167,0.3842074596114397,0.28607101202368496,0.3538903349358106,0.0,0.0,0.0,0.0,False,1.098317586842759,0.34096236207805053,False,True,False,False,False,False
5.0,2.0,3e-07,180.85696275056716,1.5971921170178867,1.7205043474046975,1.7169449125164535,0.0,0.0,0.0,0.0,False,16.554373977105733,-1.7396910022818428,False,True,False,False,False,False
5.0,2.0,5e-07,79.52711959898755,1.2250585449699094,1.3384978216116026,1.3256133603019948,0.0,0.0,0.0,0.0,False,7.279353026509488,-1.1013639105538866,False,True,False,False,False,False
5.0,2.0,8e-07,36.013826722074775,0.9492762806098216,1.064143456805818,1.0288758442894825,0.0,0.0,0.0,0.0,False,3.2964523280541496,-0.6283098676457948,False,True,False,False,False,False
5.0,2.0,1e-06,25.399976881823164,0.8374409920447021,0.957848831142755,0.9078102437055853,0.0,0.0,0.0,0.0,False,2.3249351858875116,-0.4364768811472646,False,True,False,False,False,False
