galaxy,cv_fold,C_R50_over_R80,shape_activation,effective_route_fraction,R80_kpc,simple_shape_RMSE_km_s,fixed_RAR_RMSE_km_s,delta_MSE_km_s2
NGC2841,2,0.37915007990292476,0.09898985019701932,0.029696955059105794,22.603287736533694,6.870863649043496,7.305939146756822,6.167979532366495
NGC2903,3,0.5914333808558403,0.4785965399967158,0.14357896199901474,7.336462248337073,6.348856186661057,7.215384096169916,11.753792776357379
NGC2915,0,0.5172236172251395,0.30411810454433164,0.0912354313632995,8.977854539501221,3.6879805407304422,2.467750615572213,-7.511407368149369
NGC2955,3,0.4002998367469359,0.11951809098729752,0.035855427296189256,17.31072241930251,17.169822092352398,16.2614213951169,-30.368964893466682
NGC2976,4,0.842448854243127,0.9186757172436533,0.275602715173096,1.6385012841288593,9.642147298693596,4.871753598629634,-69.23702140394343
NGC2998,1,0.45887100411640386,0.19603067571601637,0.05880920271480491,18.868002174336866,6.246509810147026,8.128582907079444,27.054975269001062
NGC3109,0,0.7550344328341526,0.8249634579819749,0.24748903739459246,5.381026346726408,9.77268611494734,6.885114561282238,-48.10059137930384
NGC3198,3,0.3570473267848311,0.08094866945987567,0.0242846008379627,29.999925316145575,12.370216355111744,13.056706645528337,17.455335755109758
NGC3521,4,0.6489494220471941,0.6199872763756489,0.18599618291269465,3.6956368846040086,14.75472499417999,10.222246617986015,-113.20758373495316
NGC3726,2,0.6051342962153929,0.5128329215905338,0.15384987647716014,9.074916271937918,14.921941717796061,13.928415558559978,-28.663584657366812
NGC3741,3,0.7410900992102992,0.8039080148480628,0.24117240445441884,5.1624938226550325,4.87056029715362,2.6738903617497716,-16.572667941550833
NGC3769,4,0.27036349026163226,0.03569609853322911,0.010708829559968732,17.53693683078982,7.73975533006839,7.8989943066101755,2.4902984865379167
NGC3877,1,0.7479138674159423,0.8144424472764288,0.2443327341829286,8.242826026715143,7.095162563136862,18.413278888035396,288.7075076112312
NGC3893,2,0.520761372610513,0.31165651993622606,0.09349695598086781,8.169024064073009,5.272222560313033,6.667703292976181,16.661936477691686
NGC3917,0,0.6969328160201007,0.7249855656155776,0.21749566968467327,9.359459877323781,0.9451171981990327,5.812150396572734,32.887845714049
NGC3953,1,0.7119080311598086,0.7538180838477068,0.22614542515431202,10.18683803230256,4.599742522542132,16.945641341265507,265.99712919312435
NGC3972,3,0.8026854617827223,0.8835879331353123,0.2650763799405937,6.063959928183155,11.852482990576693,4.44701489125742,-120.70541159884459
NGC3992,4,0.6767073577961548,0.6828875101695766,0.20486625305087297,16.362648667810205,8.879415418774466,10.489908986742256,31.19417237096623
NGC4010,4,0.7098277172690863,0.7499371604902235,0.22498114814706704,7.15805114424184,11.847046131693508,6.32329390360707,-100.36845625507979
NGC4013,2,0.6628289814342098,0.6521015817280927,0.19563047451842783,5.928954412280422,7.827613711896079,11.656093923011076,74.5929891193922
NGC4088,2,0.6698198740645311,0.6677882888657177,0.20033648665971532,6.546930625966078,5.593091093407808,5.469366040094273,-1.3687030986212427
NGC4100,1,0.8080102489758709,0.8889541509344642,0.26668624528033924,6.419759259631213,10.813002668352595,13.468325850669155,64.47477451400265
NGC4157,0,0.6792855646491881,0.6884441641311643,0.20653324923934926,6.426252692371696,10.016218818292751,7.864278629444067,-38.47776105439117
NGC4183,3,0.7748322747158543,0.8517411264616181,0.25552233793848544,6.974287094688685,1.486903609223669,5.657091025725395,29.791796530220424
NGC4217,2,0.6639366677189068,0.654610283091632,0.1963830849274896,6.662724218953259,8.30800072717869,5.393641494206472,-39.93150751477582
NGC4559,2,0.5005574526216922,0.2700388504393433,0.08101165513180299,14.03998274149216,6.67160625305117,8.419135821329213,26.371517982237265
NGC5005,0,0.5636116440501674,0.41001979184810455,0.12300593755443136,7.12121472242733,14.081931221822272,6.317790110662855,-158.38631505374354
NGC5033,1,0.25761630270481234,0.03155874875132153,0.00946762462539646,20.66312261677009,20.496994376165436,18.466447712851103,-79.11708732509385
NGC5055,1,0.5313131026572057,0.33472994725830085,0.10041898417749025,10.52336513359186,9.010664289621813,9.456979950272132,8.242398839583316
NGC5371,2,0.6804083019440555,0.6908472004228606,0.20725416012685818,4.991934561530928,7.018141164934332,9.823916028063774,47.2550207155025
NGC5585,0,0.673408630830213,0.6757013434941288,0.20271040304823865,8.26392682897404,8.046757186113712,5.18374376228676,-37.879101819225774
NGC5907,3,0.5843580295641814,0.46097461140010737,0.1382923834200322,13.56891005273378,3.432449345715725,6.43653501640288,29.647274506476116
NGC5985,3,0.5419992220774866,0.35893080366754615,0.10767924110026385,30.671859295524996,4.925171946527778,9.78623768876818,71.51312939820254
NGC6015,1,0.5653920957044359,0.41433356476439404,0.1243000694293182,4.494563992239439,11.334859002284455,10.302801767610315,-22.33130433899474
NGC6195,0,0.49205970285012945,0.25361901538948245,0.07608570461684473,14.321039569892804,9.824937394378738,6.398007823679546,-55.59489069159698
NGC6503,1,0.22105107779358,0.02210736177572352,0.006632208532717056,10.662452255704931,2.4009813522002594,2.4887180995283913,0.4290063253068217
NGC6674,4,0.5937570685261941,0.48439773836603917,0.14531932150981175,10.324038245644125,13.460856607621333,13.826622944581777,9.98084144069233
NGC6946,3,0.6804288869119804,0.690891163523766,0.2072673490571298,4.837245524017191,4.1715180563029755,5.20922737718913,9.734486973194993
NGC7331,2,0.3498761111530183,0.07577137495919795,0.022731412487759384,13.565620025942293,8.684470424152417,9.842741337102742,21.459530481133
NGC7793,0,0.6250698879452798,0.562348511457329,0.1687045534371987,4.338357030035291,8.310622878449282,7.553521026829693,-12.010772725046316
NGC7814,0,0.4761233093069116,0.22465069635806714,0.06739520890742014,6.05892838535669,10.349853705294334,9.03172532123465,-25.547409442763723
UGC00128,1,0.6170675363990962,0.5425655629415824,0.1627696688824747,15.256782231948563,3.873270543574577,3.491815663311794,-2.8094480771729184
UGC00191,0,0.7305818402568924,0.7868125820612814,0.23604377461838438,7.942618288293019,9.162577529446166,13.435771716764645,96.56713464190098
UGC00731,3,0.7989508698143087,0.879691150480748,0.26390734514422437,9.337294326245265,13.131225031658262,18.26334138408822,161.1205676797009
UGC01281,0,0.7007464744458111,0.7325237026297439,0.21975711078892315,4.391215996247735,3.9901975115366395,2.0979512595329433,-11.520276693697328
UGC02259,4,0.6406240698512361,0.600186127251826,0.1800558381755478,6.559797686150769,3.4915757231251088,6.916821030566181,35.651312138565984
UGC02487,1,0.5186011856129872,0.3070412981612285,0.09211238944836854,18.72267748220777,8.917224394594868,11.107237816531176,43.85384100942244
UGC02885,0,0.42525938810036734,0.14837466099800434,0.0445123982994013,50.72462142370903,3.718828468292333,1.6990243086785866,-10.94300157510075
UGC02916,4,0.5841453418028459,0.4604461752514478,0.13813385257543434,16.692285940093385,22.574074055077965,26.122704634514104,172.80687797792064
UGC02953,3,0.5753157605376009,0.4386008453867001,0.13158025361601003,7.394985922534422,4.5917693706402085,5.226716777887954,6.234222323105854
UGC03205,4,0.5791538765526377,0.44807260211628713,0.13442178063488613,9.049602586341358,4.777378365861001,5.393515443224529,6.266664785704755
UGC03546,1,0.36175582105678705,0.08452143423700495,0.025356430271101484,8.633620392759477,2.5828384136202844,3.192058903221324,3.5181857707619715
UGC03580,2,0.5242401382887835,0.31916785932968966,0.0957503577989069,10.028385171086079,14.030587515223528,12.196812169711224,-48.09515891913051
UGC04278,4,0.9156937505326507,0.959181210221458,0.28775436306643737,6.23339518044176,11.666544362114632,8.848466543410192,-57.81289718333919
UGC04325,0,0.7158685530407466,0.7610937868260362,0.22832813604781085,5.759266333055183,9.486178419839828,14.637268093781799,124.26203623620782
UGC04483,1,0.7087694598793184,0.7479473509910398,0.22438420529731193,0.895411370933725,2.1818816514401265,3.4988397280720496,7.4812719018442015
UGC04499,2,0.6907730606236577,0.7125355502088355,0.21376066506265065,5.892777073594344,2.104787018717854,4.3967925417954525,14.901656261424922
UGC05005,1,0.6609162723740064,0.6477497843968647,0.1943249353190594,19.83793817455352,7.74885155344186,4.738421421085201,-37.59206283347923
UGC05253,1,0.28204835940979384,0.039943874868859454,0.011983162460657835,14.998765532929042,10.411096841551776,10.096223634197846,-6.457205772434207
UGC05716,4,0.7487773322389283,0.8157438252134978,0.2447231475640493,8.209478650160467,3.9310259205232954,7.885448809700025,46.727338142573515
UGC05721,1,0.6983640287014868,0.7278299313874926,0.21834897941624778,9.289006126506244,8.153154221503343,11.786515093921853,72.44801429962989
UGC05750,1,0.720589248131959,0.7695713641583772,0.23087140924751315,15.71073754802972,8.276078684315467,10.22019566312716,35.95892100362241
UGC05764,2,0.7656332922370078,0.839745127119345,0.2519235381358035,3.418665644861349,8.41863909529888,11.438464078910824,59.964976267638505
UGC05829,4,0.8457339431093839,0.9210965152426067,0.276328954572782,4.722158388017613,3.6736096354747962,7.63191569428316,44.75072941079234
UGC05918,1,0.7577832181350184,0.8288972828540341,0.2486691848562102,3.8126955478610385,3.7167195666275714,6.155415390714021,24.0751342952868
UGC05986,4,0.7333366587725806,0.7913969626219854,0.23741908878659562,8.448734044525061,4.696058953338921,4.356134976127785,-3.077057762990826
UGC06399,0,0.7240091991213876,0.7755800262654262,0.23267400787962786,6.669832659109163,2.522462009076646,2.0086707315000134,-2.3280564796501917
UGC06446,1,0.7787139740602919,0.8565762422347549,0.25697287267042646,8.313032940065364,7.6059857947366325,12.29153840529893,93.23089645920311
UGC06614,1,0.3017807543549806,0.04823687311989964,0.01447106193596989,43.73004163176749,25.101570312132587,24.52193562263683,-28.763505454190977
UGC06667,4,0.7810356760661753,0.8594049864904301,0.257821495947129,10.250036558407341,6.044042708905876,11.111189166334398,86.92807242298859
UGC06786,1,0.5101538420512208,0.2893667458325123,0.08681002374975369,13.13402905939259,12.106071855764995,9.605251129216189,-54.29612652163645
UGC06787,2,0.3647157025044422,0.08684006278214026,0.026052018834642077,23.961766203282586,10.352569660415584,10.415030163692613,1.2971547368697145
UGC06818,3,0.7346624787431663,0.7935772744257559,0.23807318232772676,4.49969652309631,14.074435491365403,11.075045216609665,-75.43310785065746
UGC06917,3,0.6932212799001534,0.7175239987180617,0.2152571996154185,9.877943527016066,1.6141065195337398,4.489501197191377,17.550281143181486
UGC06930,0,0.7233798571774391,0.774482721581267,0.23234481647438007,10.348803564184994,4.578019320387818,9.824900941945772,75.57041762120278
UGC06983,4,0.6821096883246756,0.6944691283564802,0.20834073850694407,11.74455848267258,7.375252167634926,12.509817879331646,102.10119883784205
UGC07089,1,0.7149943296436423,0.7595005596592406,0.22785016789777215,5.718380663144686,4.70611947694296,1.6774671264590666,-19.333664570911044
UGC07125,3,0.8322085985785758,0.910689747501773,0.2732069242505319,6.29382000304293,5.299781514598028,8.841143359570502,50.078131802002616
UGC07151,4,0.741118958898667,0.8039535052471506,0.24118605157414516,4.712190901024835,2.749667794769651,6.914394594065263,40.248179620845534
UGC07323,4,0.806464662082402,0.8874192331630254,0.2662257699489076,3.948813481566695,7.26985022563501,2.3972035807643235,-47.10413729553612
UGC07399,1,0.6390954985897086,0.5965125715558256,0.17895377146674768,9.865152372290773,1.3624608898271184,2.718488634085871,5.533880777345561
UGC07524,4,0.828769268408997,0.9078526102327391,0.2723557830698217,9.24808351845266,7.242665201296889,12.219060302328261,96.84923545385749
UGC07577,3,0.8158136754103262,0.8964266815619049,0.26892800446857146,1.3156909723771246,10.21119545554849,11.826089644456763,35.58788364731335
UGC07603,3,0.5055569175665866,0.28000620619858585,0.08400186185957575,4.076282793726096,3.817945559774278,2.8304395566194946,-6.565320213723762
UGC08286,1,0.6818450953697579,0.6939074216735106,0.20817222650205316,4.782978461793557,2.1650358055767875,1.6628877396124946,-1.9221844048759782
UGC08490,0,0.40782890149398854,0.12767089071983612,0.038301267215950834,6.5963206342644805,3.990110672255242,4.37448960998621,3.215176171032118
UGC08550,1,0.8387419076037808,0.9158629004822001,0.27475887014466,5.283332227021696,3.042909258736866,5.021043942995689,15.951585520587152
UGC08699,3,0.5413954024474558,0.35754260451824105,0.1072627813554723,8.163400333916416,3.6106460645239222,5.04451550895608,12.410371716836325
UGC08837,2,0.8132468302600717,0.894019104945807,0.2682057314837421,3.44649633989237,1.1785852752757082,3.0605495963611538,7.977900580689704
UGC09037,4,0.6072401580985574,0.5180924925496612,0.15542774776489834,20.238309607926173,8.157100435930387,11.514245830727017,66.03956952855877
UGC09133,1,0.4073298091755548,0.12711607858245974,0.03813482357473792,9.658897603080437,8.17840402315993,8.447615805367715,4.475920429059897
UGC11455,1,0.6042418891224942,0.510603132947411,0.1531809398842233,19.73914714072291,8.181696955062652,9.70022478093934,27.154195736268207
UGC11557,3,0.7240583477937381,0.7756655607192776,0.23269966821578328,5.439969128562216,12.32973081374191,8.331253866543895,-82.61247095053415
UGC11820,0,0.7202418773404696,0.7689547903415482,0.23068643710246445,9.141216724857435,1.2540307131898758,5.171719989776022,25.174094623025393
UGC11914,2,0.5188134721511879,0.30749315865510146,0.09224794759653043,3.908660332915686,9.172203747605453,6.804237536315959,-37.83167313697642
UGC12506,3,0.42529430713470107,0.14841878997532698,0.044525636992598094,38.45975900516989,26.66457948825257,28.839591719765888,120.72225127744957
UGC12632,1,0.7776656194129142,0.8552834823458386,0.2565850447037516,8.724585671200535,8.032777614036133,12.5245104000342,92.33784456400483
UGC12732,1,0.8373600211468161,0.9147919080669638,0.2744375724200891,11.884161603394379,4.89608150685396,10.320562524087405,82.54239669184005
UGCA442,2,0.7140277788587879,0.7577306376719615,0.22731919130158842,3.2613313320454904,6.6502173838624365,5.50641281933394,-13.904809115700996
UGCA444,2,0.6891078921971847,0.7091127739957649,0.21273383219872946,1.649177193576591,1.669528342644052,1.920193899772371,0.8998197258312319
