system,cohort,realization,local_jsd,simple_shape_jsd,cluster_locked_jsd,simple_improves_local,simple_beats_cluster_locked
MACS J0257.1-2325,development,34,0.43316078300989375,0.319569643353793,0.1556696327037636,True,False
MACS J0257.1-2325,development,35,0.42289639972202564,0.30574034657118543,0.13802406763548747,True,False
MACS J0257.1-2325,development,36,0.4289420227300422,0.3143052575992814,0.15004884418884373,True,False
MACS J0257.1-2325,development,37,0.4246025748867296,0.3084971062197017,0.14226617458355936,True,False
MACS J0257.1-2325,development,38,0.42108393839276703,0.30380077660108434,0.13614664474266405,True,False
MACS J0257.1-2325,development,39,0.4231110167973059,0.3071879654219162,0.1417379442835702,True,False
MACS J0257.1-2325,development,40,0.42844607641537646,0.3133473578971533,0.14820567731890627,True,False
MACS J0257.1-2325,development,41,0.4287787987711044,0.31401291704464485,0.14934332398180244,True,False
MACS J0257.1-2325,development,42,0.4363350564116418,0.32348419754718716,0.16056498247106576,True,False
MACS J0257.1-2325,development,43,0.4346963007316989,0.3216766609360503,0.15900570264815467,True,False
MACS J0257.1-2325,development,44,0.4264976828990979,0.31077175353454745,0.1446216803285475,True,False
MACS J0257.1-2325,development,45,0.4283088122954183,0.31337724511976617,0.14862777532505098,True,False
MACS J0257.1-2325,development,46,0.42549817782884586,0.3086323027388119,0.1408440594993226,True,False
MACS J0257.1-2325,development,47,0.42623805550614763,0.3110853809012929,0.1461173944191756,True,False
MACS J0257.1-2325,development,48,0.4216778240835284,0.3042033595865261,0.1360979096865259,True,False
MACS J0257.1-2325,development,49,0.42894831717892185,0.31450563109516017,0.1503310685119722,True,False
MACS J0257.1-2325,development,50,0.42865112649985876,0.3134916190405643,0.14819937103905553,True,False
MACS J0257.1-2325,development,51,0.428327874726987,0.3125592377927649,0.14621574274279525,True,False
MACS J0257.1-2325,development,52,0.41979344367564303,0.30180668748951145,0.1328235962711083,True,False
MACS J0257.1-2325,development,53,0.4226078858937581,0.30572776466648083,0.1387294538936702,True,False
MACS J0257.1-2325,development,54,0.4266573937958986,0.31059048190620037,0.14396767357478654,True,False
MACS J0257.1-2325,development,55,0.4235936447634555,0.307164256491158,0.14053769093028473,True,False
MACS J0257.1-2325,development,56,0.4237370642033651,0.3062765097565082,0.13810264313931542,True,False
MACS J0257.1-2325,development,57,0.4344237419310136,0.3204353877598526,0.15572591824131998,True,False
MACS J0257.1-2325,development,58,0.4248416427108747,0.30731554163568653,0.1386277604047637,True,False
MACS J0257.1-2325,development,59,0.4337725267525549,0.3203434934248648,0.15710380885379144,True,False
MACS J0257.1-2325,development,60,0.43030871011454347,0.3149725469208372,0.14938440694204674,True,False
MACS J0257.1-2325,development,61,0.42651581490494045,0.31038135182187976,0.1435537573760856,True,False
MACS J0257.1-2325,development,62,0.4307638188474641,0.3168618217121776,0.15317771966660268,True,False
MACS J0257.1-2325,development,63,0.4273331140112976,0.31133053973110075,0.14458342778559075,True,False
MACS J0257.1-2325,development,64,0.4229205740452814,0.3063582434793187,0.14018987714956718,True,False
MACS J0257.1-2325,development,65,0.42865617058654143,0.3134012312013603,0.1480138411348046,True,False
MACS J0257.1-2325,development,66,0.42067449349880204,0.3028312730118393,0.13437602444171987,True,False
MACS J0257.1-2325,development,67,0.4194943357909636,0.3020496953913185,0.13481177417354018,True,False
MACS J0257.1-2325,development,68,0.4231659761078403,0.30560758910536484,0.1369243192279015,True,False
MACS J0257.1-2325,development,69,0.42814023508421134,0.31343687426361766,0.14904270566930647,True,False
MACS J0257.1-2325,development,70,0.42414041602575514,0.30749656783156104,0.14038169623237493,True,False
MACS J0257.1-2325,development,71,0.4316951972218104,0.3180036915457617,0.15461582733579804,True,False
MACS J0257.1-2325,development,72,0.4284411996075721,0.31337333324017236,0.14849444734023257,True,False
MACS J0257.1-2325,development,73,0.4335426708762417,0.32038587741893143,0.15705584933170152,True,False
MACS J0257.1-2325,development,74,0.43220351537604174,0.3177799198617655,0.15283334612178037,True,False
MACS J0257.1-2325,development,75,0.4204138237367176,0.30321334778450215,0.13576633486357753,True,False
MACS J0257.1-2325,development,76,0.42863417808202336,0.3135095268669248,0.14818372264767332,True,False
MACS J0257.1-2325,development,77,0.4286514231231795,0.31360733902909566,0.14845560255831156,True,False
MACS J0257.1-2325,development,78,0.4339435676914595,0.3199703984954594,0.15576696890284564,True,False
MACS J0257.1-2325,development,79,0.43821045657875074,0.32564522123994233,0.16291339406769884,True,False
MACS J0257.1-2325,development,80,0.43101180329237904,0.3173383085794447,0.15405006827137024,True,False
MACS J0257.1-2325,development,81,0.42781637366244196,0.31285868166776687,0.1478005613710157,True,False
MACS J0257.1-2325,development,82,0.42179245710790025,0.30402270318994495,0.1354680861626126,True,False
MACS J0257.1-2325,development,83,0.4260428756846509,0.3103479465151463,0.14484233348824485,True,False
MACS J0257.1-2325,development,84,0.4266967521768775,0.3115239661375314,0.14628822032981298,True,False
MACS J0257.1-2325,development,85,0.42240028229204724,0.3046185183063552,0.1362355789334378,True,False
MACS J0257.1-2325,development,86,0.42643357751218325,0.3099873192783503,0.14315019217411884,True,False
MACS J0257.1-2325,development,87,0.43528407536080554,0.3220589562200033,0.15881588933675686,True,False
MACS J0257.1-2325,development,88,0.42496597626668225,0.3088907853539156,0.1430068104319345,True,False
MACS J0257.1-2325,development,89,0.42885896419304226,0.31353185163302444,0.1478251688424008,True,False
MACS J0257.1-2325,development,90,0.4312975473927395,0.31733055189398685,0.1532173003306473,True,False
MACS J0257.1-2325,development,91,0.428346130709476,0.3134784562450705,0.1489442811449106,True,False
MACS J0257.1-2325,development,92,0.4234659149009955,0.30609523551965795,0.1381628889141195,True,False
MACS J0257.1-2325,development,93,0.4227091132840325,0.30525213934030737,0.1372589415496243,True,False
MACS J0257.1-2325,development,94,0.4246048080843192,0.307372875069171,0.13914752524266327,True,False
MACS J0257.1-2325,development,95,0.42031840089344474,0.3023383741773398,0.13412048820502165,True,False
MACS J0257.1-2325,development,96,0.41823572353978444,0.2997599536535849,0.13062749229835247,True,False
MACS J0257.1-2325,development,97,0.42706531918556156,0.3112698971332779,0.14531551159641526,True,False
MACS J0257.1-2325,development,98,0.42735666737760325,0.3120884967900807,0.1470982464558772,True,False
MACS J0257.1-2325,development,99,0.42652397032297473,0.3090824418497117,0.14060690980600996,True,False
MACS J0553.4-3342,development,0,0.19415563514215128,0.1285237363967789,0.005739545175956736,True,False
MACS J0553.4-3342,development,1,0.19443827355358628,0.1292037194776065,0.006889846642982533,True,False
MACS J0553.4-3342,development,2,0.19722132050282598,0.13116578351595645,0.00683714438318393,True,False
MACS J0553.4-3342,development,3,0.19146675025390053,0.12685152644188202,0.0057716430836934765,True,False
MACS J0553.4-3342,development,4,0.1978080471829593,0.1313684424696122,0.0058920342785697315,True,False
