cohort,system_label,candidate_id,coherence_scale_kpc,porous_beta,phase_degrees,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
P0581_four,MACS1931,L10_beta1,10.0,1.0,-45.0,0.021081792605049235,4,4,True,27.0092695786581
P0581_four,MACS1931,L30_beta0p5,30.0,0.5,-67.5,0.02119193723055868,4,4,True,26.85725944234945
P0581_four,MACS1931,L30_beta0p5,30.0,0.5,-45.0,0.02119193723055868,4,4,True,26.892633957133054
P0581_four,MACS1931,L30_beta1,30.0,1.0,-67.5,0.02111893173940792,4,4,True,26.933695570259577
P0581_four,MACS1931,L30_beta1,30.0,1.0,-45.0,0.02111893173940792,4,4,True,26.969028373659224
P0581_four,MACS1931,L100_beta0p5,100.0,0.5,-67.5,0.021607027157293037,4,4,True,26.432862909228785
P0581_four,MACS1931,L100_beta0p5,100.0,0.5,-45.0,0.021607027157293037,4,4,True,26.469175191037042
P0581_four,MACS1931,L100_beta1,100.0,1.0,-67.5,0.02153381795246573,4,4,True,26.503299704437573
P0581_four,MACS1931,L100_beta1,100.0,1.0,-45.0,0.02153381795246573,4,4,True,26.5393901119147
RXJ2129,RXJ2129,L10_beta0p5,10.0,0.5,-67.5,0.007621515038348931,7,7,True,1.428206930833616
RXJ2129,RXJ2129,L10_beta0p5,10.0,0.5,-45.0,0.007621515038348931,7,7,True,1.4627203010886618
RXJ2129,RXJ2129,L10_beta1,10.0,1.0,-67.5,0.007509052557407521,7,7,True,2.7300282023950038
RXJ2129,RXJ2129,L10_beta1,10.0,1.0,-45.0,0.007509052557407521,7,7,True,2.763629877666567
RXJ2129,RXJ2129,L30_beta0p5,30.0,0.5,-67.5,0.007633665756204842,7,7,True,1.3780665363589402
RXJ2129,RXJ2129,L30_beta0p5,30.0,0.5,-45.0,0.007633665756204842,7,7,True,1.4128617343293604
RXJ2129,RXJ2129,L30_beta1,30.0,1.0,-67.5,0.007521195008213124,7,7,True,1.8668683130903185
RXJ2129,RXJ2129,L30_beta1,30.0,1.0,-45.0,0.007521195008213124,7,7,True,1.9033794271598496
RXJ2129,RXJ2129,L100_beta0p5,100.0,0.5,-67.5,0.007769289779166427,7,6,False,inf
RXJ2129,RXJ2129,L100_beta0p5,100.0,0.5,-45.0,0.007769289779166427,7,6,False,inf
RXJ2129,RXJ2129,L100_beta1,100.0,1.0,-67.5,0.007656764248014735,7,6,False,inf
RXJ2129,RXJ2129,L100_beta1,100.0,1.0,-45.0,0.007656764248014735,7,6,False,inf
