domain,observable,system,radius_kpc,gbar_m_s2,observed_g_m_s2,chi,mean_density_kg_m3,required_enhancement,predicted_enhancement,predicted_g_m_s2,absolute_fractional_error,passes_5_percent
SPARC,dynamics,D631-7,5.84,2.27833304451475e-12,1.8926151050355092e-11,4.562766038885174e-09,4.522301194109735e-23,8.30701687618549,0.4480501752580781,1.0208075198911043e-12,0.9460636493296954,False
SPARC,dynamics,D631-7,6.29,1.9716970752655836e-12,1.7632363948014276e-11,4.234456375854055e-09,3.633663183335338e-23,8.942734748257022,0.4746982336741208,9.359611189690026e-13,0.9469180013679103,False
SPARC,dynamics,D631-7,6.74,1.7162609356663562e-12,1.6008151454828236e-11,3.9495661003224164e-09,2.951743005301554e-23,9.327341269707864,0.5017780317098685,8.611820341992013e-13,0.9462035303308266,False
SPARC,dynamics,D631-7,7.19,1.4993409040832548e-12,1.4798912702697897e-11,3.701164765109054e-09,2.417278118300136e-23,9.870278775423944,0.5295571639639519,7.939867169814761e-13,0.9463483072755251,False
SPARC,dynamics,DDO064,0.1,2.086737784473227e-13,1.282185158855058e-11,1.3238947479587044e-08,2.418928334286534e-22,61.44447895635967,0.29325919137320267,6.11955035282527e-14,0.9952272491140907,False
SPARC,dynamics,DDO064,0.3,1.5021606149444357e-12,2.087169888378486e-11,1.3180209755919592e-08,5.80430517141e-22,13.894452215122744,0.23784327301358932,3.5727879725049065e-13,0.9828821410638471,False
SPARC,dynamics,DDO064,0.49,3.0651720418858303e-12,1.6095429548554707e-11,1.3031240932108283e-08,7.251267012538535e-22,5.2510688889919805,0.2257713074943397,6.920278995916589e-13,0.9570046951835591,False
SPARC,dynamics,DDO064,0.69,4.841597445327253e-12,1.590142371354035e-11,1.2759779449316006e-08,8.1338228271710525e-22,3.28433412589624,0.2198232150547882,1.0642955164328858e-12,0.933069168169727,False
SPARC,dynamics,DDO064,0.89,4.311682061003601e-12,1.8434208036867528e-11,1.2445521795640996e-08,5.6158027359821065e-22,4.275409869292803,0.23969759289840775,1.0334998113658088e-12,0.943935762832943,False
SPARC,dynamics,DDO064,1.09,4.73763131961053e-12,2.0879240880846838e-11,1.2134833589474592e-08,5.038367999884433e-22,4.407105465218697,0.24591195426158885,1.1650401763763356e-12,0.9442010280438374,False
SPARC,dynamics,DDO064,1.29,5.944993554533057e-12,3.13046718200289e-11,1.1768069237340833e-08,5.3421588736270285e-22,5.265720060564084,0.24253558583847,1.4418724945546032e-12,0.953940660906974,False
SPARC,dynamics,DDO064,1.48,7.744634789223781e-12,3.591681236156162e-11,1.1321566215553334e-08,6.065887467389335e-22,4.637637969906318,0.23539356679276646,1.8230372065427307e-12,0.9492427894716582,False
SPARC,dynamics,DDO064,1.68,8.626159705960873e-12,3.76864050656553e-11,1.0759511111336952e-08,5.952005646852087e-22,4.368850838642964,0.23644318363879036,2.0395966634540406e-12,0.945879776542741,False
SPARC,dynamics,DDO064,1.88,8.975776092083998e-12,3.6953330611643565e-11,1.015518748719701e-08,5.534383919189651e-22,4.117006733739024,0.24052324578048312,2.1588827990669037e-12,0.941578126698364,False
SPARC,dynamics,DDO064,2.08,8.851917525465187e-12,3.3544558552894904e-11,9.543112966495117e-09,4.933204803992597e-22,3.789524524646095,0.24714184464813937,2.1876792259166597e-12,0.9347828881853667,False
SPARC,dynamics,DDO064,2.27,8.323025763565968e-12,3.0604520506559424e-11,8.982932376853424e-09,4.250211123706451e-22,3.677090685040369,0.2560387693449149,2.1310172737294506e-12,0.9303691991098926,False
SPARC,dynamics,DDO064,2.37,8.165042914574582e-12,2.94399501223719e-11,8.699891649601456e-09,3.9936062881827137e-22,3.6056087433198494,0.25986738317456415,2.121828335718513e-12,0.9279269045328273,False
SPARC,dynamics,DDO064,2.98,6.95572319553336e-12,2.39209749424655e-11,7.116520328694478e-09,2.7057093883496023e-22,3.4390349170056727,0.28538119659881267,1.9850326087514275e-12,0.9170170691819289,False
SPARC,dynamics,DDO154,0.49,5.936290849604431e-12,1.2595387915954796e-11,9.142908015322383e-09,1.4043462952926904e-21,2.1217605799746315,0.19393599337619438,1.1512604628880482e-12,0.9085966648609745,False
SPARC,dynamics,DDO154,0.99,5.2868191057195954e-12,1.5272908942254174e-11,8.179606228499052e-09,6.1903382187188015e-22,2.8888654286905773,0.23427488667519192,1.2385689468646977e-12,0.918904188354187,False
SPARC,dynamics,DDO154,1.48,4.4234042487768284e-12,1.828872479957316e-11,7.362827453794571e-09,3.464575557931683e-22,4.134536156090732,0.26885765081687163,1.189266074939507e-12,0.9349727174544579,False
SPARC,dynamics,DDO154,1.97,4.014095030530957e-12,1.9354032620499495e-11,6.653104302088513e-09,2.361981792537565e-22,4.821518293237685,0.29496701549156057,1.1840256310552212e-12,0.9388227944908433,False
SPARC,dynamics,DDO154,2.47,3.5421468342912323e-12,1.9146051701736015e-11,6.004537076156676e-09,1.6623586546771517e-22,5.405211188984223,0.32155186879764397,1.1389839341220043e-12,0.940510766822032,False
SPARC,dynamics,DDO154,2.96,3.3326685205945295e-12,1.9313292792499527e-11,5.426259619821651e-09,1.3051352815349123e-22,5.795143643345046,0.34150159752256315,1.1381116237961889e-12,0.9410710728603366,False
SPARC,dynamics,DDO154,3.46,3.2294314104035377e-12,1.8631296333500446e-11,4.863021567801588e-09,1.0819447603877188e-22,5.769218777485151,0.3579718499758514,1.1560455363522774e-12,0.9379514170319098,False
SPARC,dynamics,DDO154,3.95,2.8794081953829544e-12,1.7587914316427822e-11,4.349174424855073e-09,8.450088600122448e-23,6.10816984706424,0.3811278139692148,1.0974225510313472e-12,0.9376035991938902,False
SPARC,dynamics,DDO154,4.44,2.424179183602526e-12,1.639921909088293e-11,3.9030613497176195e-09,6.329025847666637e-23,6.764854348147799,0.4104829408946662,9.950842005407958e-13,0.9393212448089063,False
SPARC,dynamics,DDO154,4.94,2.036055342130117e-12,1.5241109466414423e-11,3.520230574166751e-09,4.777687625234914e-23,7.485606678288619,0.4416402615244517,8.992040137766019e-13,0.9410014070328605,False
SPARC,dynamics,DDO154,5.43,1.7098521627259026e-12,1.3409306217959525e-11,3.205142276990163e-09,3.650176411760715e-23,7.842377551859202,0.47412713521430383,8.106873075532139e-13,0.9395429342595344,False
SPARC,dynamics,DDO154,5.92,1.4463258562851105e-12,1.1333147506709792e-11,2.939659278195566e-09,2.8320411885685294e-23,7.835818918303095,0.5073893942298576,7.338504000794823e-13,0.9352474323973101,False
SPARC,dynamics,DDO161,0.6,6.7930217744490035e-12,1.3827324968295958e-11,3.5134844634810874e-08,1.3124019836052464e-21,2.0355190116283004,0.1969433060933079,1.3378401666238156e-12,0.9032466388335207,False
SPARC,dynamics,DDO161,0.73,7.415551170106595e-12,1.2233275904099855e-11,3.481776163574484e-08,1.1775400788675272e-21,1.649678577286927,0.2018739307550399,1.497006463424554e-12,0.8776283249752548,False
SPARC,dynamics,DDO161,0.85,7.742658274516285e-12,1.3190352976190267e-11,3.4505507432383946e-08,1.0559085050631076e-21,1.7035948776926129,0.20697835057234282,1.6025626387046824e-12,0.8785049466380886,False
SPARC,dynamics,DDO161,0.98,8.384653305932656e-12,1.3227670569160675e-11,3.4145605256229045e-08,9.917772819609038e-22,1.577604951155379,0.20998039995201412,1.7606128546387165e-12,0.8668992514265169,False
SPARC,dynamics,DDO161,1.07,8.769892522142388e-12,1.387053535882188e-11,3.388057169168771e-08,9.500918990783743e-22,1.5816083633637805,0.2120672150342131,1.8598066833201074e-12,0.8659167339105451,False
SPARC,dynamics,DDO161,1.54,1.0173210234775976e-11,1.757617708010927e-11,3.235220305607995e-08,7.657595478446956e-22,1.727692308965275,0.22292453775357624,2.267858189057385e-12,0.8709697689821361,False
SPARC,dynamics,DDO161,2.02,1.0615811092355809e-11,1.7365603518254825e-11,3.0639214640958437e-08,6.091958470648962e-22,1.6358244666542134,0.23515681056894389,2.4963802780808084e-12,0.8562456942278684,False
SPARC,dynamics,DDO161,2.49,1.037598157597054e-11,1.612632598712107e-11,2.8945553474086848e-08,4.83042080971316e-22,1.5541976312359307,0.24837669480334756,2.577152009179992e-12,0.8401897610628623,False
SPARC,dynamics,DDO161,2.96,9.637140955901422e-12,1.5478662595421847e-11,2.7330853434141345e-08,3.774084520241525e-22,1.6061467468672124,0.2634014085915669,2.5384365025799144e-12,0.8360041452592479,False
SPARC,dynamics,DDO161,3.43,8.751359765370244e-12,1.557425932812978e-11,2.5847231235661848e-08,2.957580265098211e-22,1.7796387927917485,0.27929894201109395,2.4442455236263645e-12,0.8430586346272251,False
SPARC,dynamics,DDO161,3.9,8.053207318582195e-12,1.515097556577184e-11,2.4491404072833455e-08,2.3936430898601402e-22,1.881359186024189,0.2940110639311486,2.3677320517944638e-12,0.8437241191819027,False
SPARC,dynamics,DDO161,4.37,7.371161393006305e-12,1.53529137848334e-11,2.324693416389883e-08,1.955282913332711e-22,2.082835114613026,0.3089340158988789,2.2772024909802124e-12,0.8516762014758541,False
SPARC,dynamics,DDO161,4.86,6.762768866392586e-12,1.5945234248379137e-11,2.2058053762534557e-08,1.6130335376749602e-22,2.35779671956831,0.3239596367768508,2.1908641455623374e-12,0.86260069238023,False
SPARC,dynamics,DDO161,5.34,6.255882300723216e-12,1.609617391466071e-11,2.0985333778324784e-08,1.358008330365547e-22,2.5729662325648133,0.33812931311116134,2.1152971852478126e-12,0.8685838512641095,False
SPARC,dynamics,DDO161,5.81,5.798953683387734e-12,1.5668414843458217e-11,2.0012724725735334e-08,1.1569874002503898e-22,2.701938263163497,0.3519776858483177,2.0411022978203924e-12,0.8697314107257901,False
SPARC,dynamics,DDO161,6.28,5.456740567845898e-12,1.5610441641033766e-11,1.9104592077862048e-08,1.0072303059097854e-22,2.860763022713418,0.3645009028838162,1.9889868637825777e-12,0.8725861247541962,False
SPARC,dynamics,DDO161,6.75,5.168879487352939e-12,1.5929078363476943e-11,1.8247295116818035e-08,8.876622598841656e-23,3.081727558642398,0.3763768893876278,1.9454467830694156e-12,0.8778682144266399,False
SPARC,dynamics,DDO161,7.22,4.963878296849268e-12,1.5997824179661726e-11,1.7429763301237876e-08,7.96964633361319e-23,3.2228477861385234,0.38686762640018557,1.920363814441472e-12,0.8799609376328277,False
SPARC,dynamics,DDO161,7.69,4.833933745303136e-12,1.5425308705056876e-11,1.663925559957128e-08,7.286676275908681e-23,3.191046778422395,0.39585123751296425,1.9135186551339245e-12,0.875949409394535,False
SPARC,dynamics,DDO161,8.16,4.729811729893684e-12,1.5168276830168503e-11,1.5867632871721796e-08,6.719064607010464e-23,3.2069515017481365,0.4041961391896105,1.91177164031676e-12,0.8739625033402345,False
SPARC,dynamics,DDO161,8.64,4.568486242133701e-12,1.4840106005266876e-11,1.510146516926996e-08,6.129339830603704e-23,3.248363947865549,0.4139008728655851,1.8909004432935554e-12,0.8725817428377898,False
SPARC,dynamics,DDO161,9.11,4.43860368704203e-12,1.4119267837326769e-11,1.4374754560004912e-08,5.647849487045833e-23,3.181015660070367,0.4227765879853276,1.8765377222267242e-12,0.8670938363201974,False
SPARC,dynamics,DDO161,9.58,4.226413258867808e-12,1.4073540750428937e-11,1.367564310518785e-08,5.1140099993932283e-23,3.329901712971397,0.43385296663783857,1.8336419305972935e-12,0.869709978241161,False
SPARC,dynamics,DDO161,10.05,4.004715131488247e-12,1.38768556846003e-11,1.301153867473037e-08,4.619135356928271e-23,3.465129286098143,0.4455652304544324,1.7843618204659132e-12,0.8714145436818161,False
SPARC,dynamics,DDO161,10.52,3.685605666542481e-12,1.4035932164953317e-11,1.2391067717237441e-08,4.0611426907651256e-23,3.8083108815383997,0.46092254516158027,1.6987787442847028e-12,0.8789692964941489,False
SPARC,dynamics,DDO161,10.99,3.370704755629134e-12,1.3158448568271359e-11,1.1821750025687649e-08,3.5553154749554e-23,3.903767764381181,0.4774551854064337,1.6093604640492562e-12,0.8776937527475794,False
SPARC,dynamics,DDO161,11.46,3.0593987263778023e-12,1.2618791428036844e-11,1.130295600278016e-08,3.0946147110810264e-23,4.12459850990948,0.495461425954538,1.5158140555346434e-12,0.8798764474253249,False
SPARC,dynamics,DDO161,11.94,2.776051675049069e-12,1.203908792720925e-11,1.0822122452351573e-08,2.6951214534714796e-23,4.33676650741613,0.5142052621151858,1.4274603792139071e-12,0.8814311858303038,False
SPARC,dynamics,DDO161,12.41,2.5220867343505574e-12,1.1652808200266096e-11,1.0394657708273268e-08,2.3558268007261833e-23,4.620304306571248,0.5332705422144352,1.3449545603389558e-12,0.8845810780350574,False
SPARC,dynamics,DDO161,12.9,2.30915799401821e-12,1.1042993112261785e-11,9.988275897528694e-09,2.0750045824599855e-23,4.78225965519391,0.5520357129410534,1.2747376795213752e-12,0.8845659264148279,False
SPARC,dynamics,DDO161,13.37,2.0984837308604776e-12,1.0590609782522972e-11,9.632658264253682e-09,1.8194047370422777e-23,5.0467914650833725,0.5723105574486086,1.2009843938055959e-12,0.8865991271071562,False
SPARC,dynamics,DDO168,0.41,1.1275327208174567e-11,1.778476439329225e-11,1.9527061517463806e-08,3.1878686511975105e-21,1.577316920825,0.1614997779097812,1.820962839980306e-12,0.8976110788025337,False
SPARC,dynamics,DDO168,0.82,1.6086287776373918e-11,2.1640501313758008e-11,1.760129013839637e-08,2.2740347827451795e-21,1.3452762759560735,0.17402354396838982,2.799392808139978e-12,0.8706410370280906,False
SPARC,dynamics,DDO168,1.24,1.3531930114006174e-11,2.228401655928906e-11,1.5465850215138325e-08,1.265007740245873e-21,1.6467729563740556,0.1985997952108356,2.6874385494489653e-12,0.8794006214140642,False
SPARC,dynamics,DDO168,1.64,1.058944492479519e-11,2.5895407390606554e-11,1.3809541846566012e-08,7.484873584170338e-22,2.445397995316303,0.2241105850750974,2.3732066977163707e-12,0.9083541470532246,False
SPARC,dynamics,DDO168,2.06,9.858199674073904e-12,3.0457032545457724e-11,1.2335289858326067e-08,5.547349285444499e-22,3.0895126445406382,0.2403907344546118,2.36981986005084e-12,0.9221913738144438,False
SPARC,dynamics,DDO168,2.47,8.621881402459346e-12,3.561458992332259e-11,1.103462060908289e-08,4.046319884377739e-22,4.130721389088432,0.25905564875194265,2.233547080176415e-12,0.9372856156708474,False
SPARC,dynamics,DDO168,2.89,7.524804119664498e-12,3.138072377638064e-11,9.87046289304978e-09,3.018231019699923e-22,4.170304406246762,0.27793311883394,2.091392277592834e-12,0.933354237062978,False
SPARC,dynamics,DDO168,3.3,6.529243699969914e-12,2.9491484355675776e-11,8.881307718313897e-09,2.2935280746522545e-22,4.516830081838065,0.29709138523857137,1.939782055384277e-12,0.9342256892874584,False
SPARC,dynamics,DDO168,3.71,5.8031822357444335e-12,2.6424143802073327e-11,8.013324124696368e-09,1.813207141956288e-22,4.553388594160465,0.31472531733967624,1.8264083707246386e-12,0.9308810766242752,False
SPARC,dynamics,DDO168,4.12,5.1215014424248374e-12,2.126958057926593e-11,7.244420565287896e-09,1.4409708824297753e-22,4.1529970885248035,0.33316634082336605,1.7063118950942742e-12,0.9197768903465061,False
SPARC,dynamics,DDO170,1.87,4.172814415310666e-12,1.3297420005335651e-11,2.0832723892273092e-08,2.58667928610424e-22,3.1866789849425063,0.2885144362716835,1.2039171986997114e-12,0.9094623469653035,False
SPARC,dynamics,DDO170,3.36,4.0715776554933934e-12,1.7339712426760424e-11,1.872397897386976e-08,1.4046837772054681e-22,4.2587207942271705,0.3352904157735044,1.36516096496449e-12,0.9212696882528667,False
SPARC,dynamics,DDO170,4.86,4.1526645646575096e-12,1.837941958133957e-11,1.6606269909944658e-08,9.904799862071912e-23,4.425934070804346,0.36605123869564726,1.5200880077804022e-12,0.9172940145877223,False
SPARC,dynamics,DDO170,6.35,4.028755890391864e-12,1.5777032227112966e-11,1.4513631827992811e-08,7.354486413930012e-23,3.9161052832065204,0.39491106844477053,1.5910002931778137e-12,0.8991571881026099,False
SPARC,dynamics,DDO170,7.85,3.718827880944682e-12,1.4176696113096016e-11,1.251866038419487e-08,5.491507023400103e-23,3.8121409667109294,0.4258738339642345,1.5837514875110016e-12,0.8882848673007826,False
SPARC,dynamics,DDO170,9.34,3.169003488221152e-12,1.2078321955627233e-11,1.075689562655023e-08,3.933063541592608e-23,3.8113943391104073,0.4648423031407126,1.4730868801256725e-12,0.878038780094004,False
SPARC,dynamics,DDO170,10.83,2.5298850266934445e-12,1.0772673538319219e-11,9.299237852251629e-09,2.707867749329251e-23,4.258167238690323,0.5135515915384719,1.2992264818677677e-12,0.8793960963129236,False
SPARC,dynamics,DDO170,12.33,1.9257011486157932e-12,1.016874010233085e-11,8.151942457007469e-09,1.810426653063116e-23,5.280539043994551,0.573090788624512,1.1036015899153536e-12,0.8914711578022936,False
SPARC,dynamics,ESO079-G014,0.41,3.3509290301057276e-11,8.712479424383313e-11,2.568091730524717e-07,9.474067945200815e-21,2.6000190830984025,0.1278250735447931,4.283327497166469e-12,0.9508368710153982,False
SPARC,dynamics,ESO079-G014,0.98,3.8106541235967104e-11,8.400099918239795e-11,2.49801674151958e-07,4.507425711352615e-21,2.204372174904005,0.149752128579817,5.706535662900645e-12,0.9320658597106732,False
SPARC,dynamics,ESO079-G014,1.78,3.592433974313821e-11,5.289406966003744e-11,2.3963492640219397e-07,2.339504659243216e-21,1.4723741629834843,0.17292806974245023,6.212326728552881e-12,0.8825515455989498,False
SPARC,dynamics,ESO079-G014,2.69,3.519941342662835e-11,5.505421399900104e-11,2.2852438551006282e-07,1.5168347449151497e-21,1.5640662340512907,0.1905792574883055,6.708278074870722e-12,0.8781514149853734,False
SPARC,dynamics,ESO079-G014,3.36,3.340620803050979e-11,6.438049187892649e-11,2.2063371972148223e-07,1.1525055506456192e-21,1.9272014297500628,0.2028682410565117,6.7770586635174364e-12,0.8947342826106032,False
SPARC,dynamics,ESO079-G014,4.39,2.8491562486555165e-11,7.680425450428059e-11,2.0968933440010005e-07,7.523273810663796e-22,2.6956841886268474,0.2238439300713717,6.377663320864572e-12,0.916962108908835,False
SPARC,dynamics,ESO079-G014,5.65,2.491348476491638e-11,7.718217012170508e-11,1.9813800436130165e-07,5.111415111309864e-22,3.098007799791798,0.24507683535220126,6.1057180037809865e-12,0.9208921180351219,False
SPARC,dynamics,ESO079-G014,6.34,2.4181664806941443e-11,8.906520242788426e-11,1.92322775357633e-07,4.421321140885653e-22,3.683170829591424,0.25364637472475315,6.133591613089845e-12,0.9311336925545508,False
SPARC,dynamics,ESO079-G014,6.89,2.4430665707518858e-11,8.828183814743293e-11,1.8773303333996596e-07,4.110278043065408e-22,3.613566621734054,0.2580887899556854,6.305280950265401e-12,0.9285778243568579,False
SPARC,dynamics,ESO079-G014,8.34,2.6319600222282473e-11,9.215626094539877e-11,1.7510064499707518e-07,3.6582076998788814e-22,3.5014308791581956,0.2653748385039474,6.984559658476669e-12,0.9242096023989632,False
SPARC,dynamics,ESO079-G014,10.04,2.8636068406110648e-11,8.576122006100333e-11,1.5906300127904834e-07,3.3062432307733537e-22,2.994867132064217,0.2718964520821414,7.786045401202987e-12,0.90921251591728,False
SPARC,dynamics,ESO079-G014,11.65,2.738577156611039e-11,8.039358065660271e-11,1.4357974193194713e-07,2.7249226427616707e-22,2.9355967007367045,0.28489220488288614,7.801992843888239e-12,0.9029525394917528,False
SPARC,dynamics,ESO079-G014,13.36,2.462994697839384e-11,7.428807315810905e-11,1.2831076790677213e-07,2.137037487789302e-22,3.0161686187662875,0.30227009777451397,7.444896481340201e-12,0.8997834219566436,False
SPARC,dynamics,ESO079-G014,15.06,2.111315297259196e-11,6.741724725033368e-11,1.1496161652927481e-07,1.6251118020335212e-22,3.193139714274385,0.32336162221539155,6.827183395299053e-12,0.8987323915800305,False
SPARC,dynamics,ESO079-G014,16.67,1.8188774711193784e-11,6.159619136578e-11,1.0409938959294403e-07,1.2648032292280814e-22,3.3864948213291304,0.344195539010241,6.260495115655186e-12,0.8983623016806648,False
SPARC,dynamics,ESO116-G012,0.25,1.9459719434127788e-11,5.662419205688772e-11,8.348523634675864e-08,9.023015170707848e-21,2.9098154394550084,0.1291410417084845,2.513048439078103e-12,0.9556188203700398,False
SPARC,dynamics,ESO116-G012,0.83,2.3734249295241972e-11,6.24728537724215e-11,7.918462450117877e-08,3.3147633559073574e-21,2.6321815784140052,0.16012251560867952,3.800387703237674e-12,0.9391673747275597,False
SPARC,dynamics,ESO116-G012,1.38,3.0892970460879735e-11,6.22851947132523e-11,7.402698562294346e-08,2.5949900954316152e-21,2.016160757092784,0.16899648338830997,5.220803369307613e-12,0.9161790632052598,False
SPARC,dynamics,ESO116-G012,1.85,3.3816157619755966e-11,8.076389861539026e-11,6.880611958715908e-08,2.1188862977643294e-21,2.388322751612875,0.17678668630852046,5.978246449283282e-12,0.9259787287169905,False
SPARC,dynamics,ESO116-G012,2.68,2.402495677677317e-11,7.777918664506617e-11,6.056485442454062e-08,1.0391612479221366e-21,3.237432948069296,0.2077395399136509,4.9909334672522075e-12,0.9358320177603863,False
SPARC,dynamics,ESO116-G012,3.19,2.30963619659327e-11,7.049345142235926e-11,5.643944785385982e-08,8.392822067866113e-22,3.052145248084422,0.21823191455444502,5.040363291067958e-12,0.9284988436604021,False
SPARC,dynamics,ESO116-G012,3.68,2.227371665932629e-11,7.356886019795285e-11,5.2623128097360576e-08,7.016168232259548e-22,3.3029449607885097,0.22751287556623212,5.0675573267108134e-12,0.9311181753655629,False
SPARC,dynamics,ESO116-G012,4.13,2.1162424511843393e-11,8.163938917040963e-11,4.9267738966138165e-08,5.939781810998322e-22,3.8577521741292333,0.23655738691174177,5.006127843238666e-12,0.9386799938839676,False
SPARC,dynamics,ESO116-G012,5.23,1.6968002183011294e-11,6.831661886448207e-11,4.206755663787513e-08,3.76083382572353e-22,4.026202856862079,0.2636231366590468,4.473157958322991e-12,0.9345231360586466,False
SPARC,dynamics,ESO116-G012,6.05,1.3657353415333247e-11,6.364247725270827e-11,3.775659521850277e-08,2.6167744763170644e-22,4.659942180397574,0.2877050374283252,3.929289375530317e-12,0.9382599555336588,False
SPARC,dynamics,ESO116-G012,6.81,1.1279864009005791e-11,5.550726818220129e-11,3.45031707557365e-08,1.9200470616842912e-22,4.920916434620536,0.310318609557099,3.5003517152678416e-12,0.9369388581009244,False
SPARC,dynamics,ESO116-G012,7.56,1.0200335880883027e-11,5.0930818436360455e-11,3.1737638516773226e-08,1.564039795029274e-22,4.993053075027904,0.32644722289571826,3.329871320917814e-12,0.9346197170367764,False
SPARC,dynamics,ESO116-G012,8.32,9.559383929035046e-12,4.7131525723890406e-11,2.915969428534305e-08,1.3318695804118172e-22,4.9303936397759065,0.33977488510747045,3.2480385761860824e-12,0.9310856475299782,False
SPARC,dynamics,ESO116-G012,9.09,8.784555811431238e-12,4.392699848761719e-11,2.6734969320555408e-08,1.1202399205563205e-22,5.000480323712613,0.35484798682433916,3.117181944832424e-12,0.9290372196563546,False
SPARC,dynamics,ESO116-G012,9.86,7.270669929819732e-12,4.122954909410762e-11,2.4612769443053916e-08,8.547766226214167e-23,5.6706671451292054,0.3800128083786767,2.7629476988251922e-12,0.932986225667453,False
SPARC,dynamics,ESO563-G021,0.45,1.5302729709426741e-10,2.5725305999609366e-11,1.1871089535544864e-06,3.9419536679571625e-20,0.16810926212571173,0.09569483976248239,1.4643922674721706e-11,0.430758076310382,False
