case,domain,scenario,cells,cell_kpc,stellar_scale_height_kpc,gas_scale_height_kpc,multipole_gate,dipole_squared,quadrupole_squared,local_sigma_mass_weighted_mean,final_sigma_mass_weighted_mean,transverse_mismatch_mass_weighted_mean,survival_mass_weighted_mean,trace_length_mass_weighted_kpc,minimum_constitutive_eigenvalue_proxy,sigma_global_minimum,sigma_global_maximum,component_mass_relative_error,all_coefficients_finite,intensity_gate,amplitude_gate,minimum_constitutive_eigenvalue_conservative_bound
NGC1569,registered_galaxy_baryons_only,high,33,1.4338110959701524,1.449871436326227,3.7760423266710648,0.0187174795713916,0.0066192197476128,0.0122756488490124,0.0004560520146117,6.239331526674389e-05,0.0213475882199957,0.0269790378752923,1.4955571432808934,0.0007877784116317,1.2706595424739588e-10,0.0006291197382809341,1.6331714371881702e-16,True,0.0187174795713916,0.13681184002633542,9.99370880261719e-07
UGC8508,registered_galaxy_baryons_only,low,33,0.2064090342099327,0.8387582869108255,0.9486264504577574,0.044689997761041,0.0124221061147055,0.0332972753867202,5.199370215767894e-05,1.0991473279784946e-05,0.0204641772013398,0.0043205928332314,0.617386230938029,0.0010647781999116,1.3580805566992564e-11,0.0008073449182013459,7.718792336206074e-16,True,0.044689997761041,0.21140008931180942,9.991926550817986e-07
UGC8508,registered_galaxy_baryons_only,nominal,33,0.2064090342099327,0.8387582869108255,0.9486264504577574,0.044689997761041,0.0124221061147055,0.0332972753867202,5.953784956789622e-05,1.2586306716086334e-05,0.023736987961006,0.0041369135056201,0.6029784105384622,0.0012647345124904,1.648909403170637e-11,0.0012134790165614633,7.718792336206074e-16,True,0.044689997761041,0.21140008931180942,9.987865209834386e-07
UGC8508,registered_galaxy_baryons_only,high,33,0.2064090342099327,0.8387582869108255,0.9486264504577574,0.044689997761041,0.0124221061147055,0.0332972753867202,5.965716725856102e-05,1.2611530486549354e-05,0.0247689111845211,0.0038746176756088,0.5822086536244672,0.0016645378857683,1.8167478362628673e-11,0.0015140781071700316,7.718792336206074e-16,True,0.044689997761041,0.21140008931180942,9.984859218928298e-07
AS295,registered_cluster_baryons_only,low,33,112.5,228.1240687959865,376.8603127982883,0.0285520165357221,0.0071114984610937,0.0218560556338825,0.0153711688941189,0.0025973189714887522,0.0176963200447125,0.99999994828368,257.5533281365276,0.0059232293340401,7.338068003512529e-10,0.023638931723488153,1.0743894181977963e-16,True,0.0285520165357221,0.16897341961303294,9.763610682765117e-07
AS295,registered_cluster_baryons_only,nominal,33,112.5,228.1240688729596,376.8603127914748,0.0285520166304429,0.0071114984551311,0.0218560557373498,0.0171873409273012,0.0029042037753584417,0.0203302062103152,0.999999915689932,256.8173324980031,0.0071198026602996,8.395696194617564e-10,0.027014319829031064,1.4234424196736372e-16,True,0.0285520166304429,0.16897341989331605,9.72985680170969e-07
AS295,registered_cluster_baryons_only,high,33,112.5,228.12406889116403,376.8603127985037,0.0285520166028276,0.0071114983984605,0.0218560557655935,0.0181090973512692,0.0030599561091451647,0.0219909346125668,0.9999998821331728,256.29226551695393,0.0083134990420906,9.046739963090043e-10,0.029033353174905564,1.9608274653546263e-16,True,0.0285520166028276,0.16897341981160113,9.709666468250944e-07
MACS0025,registered_cluster_baryons_only,low,33,112.5,308.2616674151078,303.2657097036817,0.051328487755743,0.0487586066706714,0.0039340745660229,0.0874859999461144,0.019820645528371175,0.1055526116481396,0.9997027466072388,224.1077421167077,0.0057100493616962,7.802312490524083e-11,0.09931137161922801,1.4230548547942118e-16,True,0.051328487755743,0.22655791258692115,9.00688628380772e-07
MACS0025,registered_cluster_baryons_only,nominal,33,112.5,308.2616677185088,303.2657097036516,0.0513284878286304,0.0487586067165234,0.003934074597002,0.1001609325515708,0.02269225181775499,0.1235578872388827,0.999774669877044,224.51947759872968,0.0065211857128856,9.154967902526243e-11,0.11372960115223676,8.844536156046077e-17,True,0.0513284878286304,0.22655791274777934,8.862703988477633e-07
MACS0025,registered_cluster_baryons_only,high,33,112.5,308.2616677399295,303.2657096789034,0.0513284877592245,0.048758606665029,0.0039340745753351,0.1074432224338015,0.024342112197039863,0.1354618715423243,0.9998218763929352,224.82167488127885,0.007331008344147,1.0049809890856988e-10,0.12229448198822399,1.3998508172441023e-16,True,0.0513284877592245,0.22655791259460462,8.77705518011776e-07
MACS0159,registered_cluster_baryons_only,low,33,112.5,246.209172050366,345.3192892913739,0.0418070882115446,0.010648060939569,0.0320580910447693,0.0127607758939232,0.002609167990968143,0.0191060070698248,0.999999995538316,222.52420064905883,0.0127231748010905,1.3997423287659378e-12,0.011202022352734178,1.3673246206701984e-16,True,0.0418070882115446,0.20446781705575232,9.887979776472659e-07
MACS0159,registered_cluster_baryons_only,nominal,33,112.5,246.2091720428531,345.3192892971449,0.0418070885035846,0.0106480610517227,0.0320580912373977,0.0149409938151538,0.003054952400698054,0.0230737618600207,0.9999999952405088,222.46307917060324,0.0139181300044344,1.6831505075021873e-12,0.01317429569930276,1.1911406602669207e-16,True,0.0418070885035846,0.20446781776989892,9.868257043006972e-07
MACS0159,registered_cluster_baryons_only,high,33,112.5,246.20917214223329,345.319289318172,0.0418070883960061,0.0106480608606667,0.0320580913161814,0.016296641363463,0.003332138692278801,0.0259334451632505,0.9999999949761218,222.4102805627525,0.0151101965892087,1.8836014474195566e-12,0.01453614746207738,1.6923556936025422e-16,True,0.0418070883960061,0.20446781750682944,9.854638525379225e-07
PLCKG287,registered_cluster_baryons_only,low,33,112.5,259.19997276624235,543.8623197962129,0.0249923973634298,0.0093086242215754,0.016001386217146,0.0166757786155654,0.002636271165415189,0.0196550611277534,0.9999998215274948,373.5324331441455,0.0162271182143662,4.259793210418902e-11,0.08562605681618093,1.4572703851075056e-16,True,0.0249923973634298,0.15808983953255756,9.14373943183819e-07
PLCKG287,registered_cluster_baryons_only,nominal,33,112.5,259.199972957938,543.8623198233463,0.0249923971544804,0.0093086242641515,0.0160013859602644,0.0193486529251077,0.0030588254233147433,0.0232660257899611,0.9999998641948582,372.49547156881897,0.0181233390485034,5.058353830572217e-11,0.09555610436413088,1.5683721944570687e-16,True,0.0249923971544804,0.15808983887170105,9.044438956358691e-07
PLCKG287,registered_cluster_baryons_only,high,33,112.5,259.1999730148796,543.8623198125048,0.0249923973014978,0.0093086241993956,0.0160013861758062,0.0209861438095072,0.0033176961031414877,0.0257332046006145,0.9999998948468806,371.6486459101583,0.0200122651535368,5.602273907657672e-11,0.10083868100250247,1.4456671475866672e-16,True,0.0249923973014978,0.15808983933668158,8.991613189974975e-07
