galaxy,outer_points,active_outer_points,candidate_MSE_km2_s2,RAR_MSE_km2_s2,median_coherence,p95_formula_velocity_delta_km_s,candidate_RMSE_km_s,RAR_RMSE_km_s,delta_MSE_candidate_minus_RAR_km2_s2,comparison
NGC7814,6,6,87.87471428502833,81.57206227823114,0.5326162579249423,35.542426261853954,9.374151390127446,9.03172532123465,6.302652006797189,candidate_worse
NGC4013,11,11,143.3398352208243,135.86452554205573,0.7954314549211492,1.5147468633802816,11.972461535575059,11.656093923011076,7.475309678768582,candidate_worse
UGC02953,35,35,35.1293717319077,27.318568276255434,0.8983600393650275,0.1800111567022668,5.927003604850237,5.226716777887954,7.81080345565227,candidate_worse
UGC02885,6,6,11.03880321338528,2.886683601480749,0.880927943545283,0.398159750375072,3.3224694450642103,1.6990243086785866,8.152119611904531,candidate_worse
UGC03205,15,15,37.45622654909697,29.090008836301486,0.7814600589645572,1.9281794488326824,6.120149226048085,5.393515443224529,8.366217712795482,candidate_worse
UGC03580,15,15,162.28282379310843,148.76222710321582,0.9446439062728992,0.005687095198230452,12.739027584282422,12.196812169711224,13.520596689892614,candidate_worse
UGC06786,14,14,106.94923200970804,92.26084925530884,0.7988885311366049,1.4320278350940683,10.341626178203699,9.605251129216187,14.6883827543992,candidate_worse
NGC4217,6,6,46.15405016282947,29.091368568025825,0.3742244333221961,37.853557652445744,6.79367721950561,5.393641494206472,17.062681594803646,candidate_worse
NGC6195,7,7,91.47851897271913,40.93450411186467,0.6311782260039684,15.530986130080825,9.564440337663209,6.398007823679545,50.54401486085446,candidate_worse
UGC05253,22,22,156.21382373388303,101.93373167173517,0.43378367547187546,22.489277630880526,12.498552865587401,10.096223634197846,54.28009206214786,candidate_worse
UGC06787,22,22,250.79973884944118,108.47285331062697,0.7661636471413771,2.777346213200441,15.836658070737057,10.415030163692613,142.32688553881422,candidate_worse
NGC2955,8,8,639.8901101640247,264.43382578956573,0.6342810666959233,17.36421790261468,25.296049299525503,16.2614213951169,375.45628437445896,candidate_worse
UGC06614,4,4,1387.6766854349166,601.3253266807451,0.6160125953806779,17.816411435436304,37.25153265887079,24.52193562263683,786.3513587541715,candidate_worse
