gate_mode,return_length_over_R80,width_over_R80,route_mode,route_fraction_multiplier,candidate_id,cluster,extent_gate,effective_route_fraction,calibration_amplitude,calibration_RMS_arcsec,heldout_RMS_arcsec,heldout_median_minimum_J_singular_value,mass_sheet_R2
none,0.25,0.23,chord,0.75,K0016,SPT-CL J0615-5746,1.0,0.75,421.59472476005357,1.8747591361449834,15.21840339645228,0.3237754744089947,0.7829868617867435
none,0.25,0.23,chord,1.0,K0017,SMACS J0723.3-7327,1.0,1.0,163.19787098482877,6.28351192515948,6.57099872565182,0.27815282003728836,0.9617084367411575
none,0.25,0.23,chord,1.0,K0017,SPT-CL J0615-5746,1.0,1.0,395.2184184938095,1.8865321483881874,10.391109767970653,0.3306983695464133,0.7848753873433434
none,0.25,0.23,radial_arc_0.5,0.5,K0018,SMACS J0723.3-7327,1.0,0.5,239.1075831904763,6.937121535649823,31.08466668920652,0.1771861865011034,0.9056334403382857
none,0.25,0.23,radial_arc_0.5,0.5,K0018,SPT-CL J0615-5746,1.0,0.5,585.1152590509697,1.8367644791272415,5.9636510208860285,0.2761379220457893,0.7602570266018719
none,0.25,0.23,radial_arc_0.5,0.75,K0019,SMACS J0723.3-7327,1.0,0.75,263.178944763731,6.886214625293516,10.17992645155385,0.18058006117917044,0.8829890862343919
none,0.25,0.23,radial_arc_0.5,0.75,K0019,SPT-CL J0615-5746,1.0,0.75,620.1291569979489,1.8416378427945326,6.279237973603879,0.2772965231852538,0.7557604401623877
none,0.25,0.23,radial_arc_0.5,1.0,K0020,SMACS J0723.3-7327,1.0,1.0,288.61264554365465,7.502481668356674,6.584620885919474,0.17198406843252012,0.8507160872181146
none,0.25,0.23,radial_arc_0.5,1.0,K0020,SPT-CL J0615-5746,1.0,1.0,659.546737690367,1.8489757066496615,6.889845074958782,0.2745273357858665,0.7494625553188417
none,0.25,0.23,transverse_arc_0.5,0.5,K0021,SMACS J0723.3-7327,1.0,0.5,241.04760620736153,7.481929778684986,7.393461161351396,0.18616313701485127,0.9706456477752711
none,0.25,0.23,transverse_arc_0.5,0.5,K0021,SPT-CL J0615-5746,1.0,0.5,621.3423723074678,1.7847439930383107,15.483881625399029,0.16856287569483644,0.833706380267963
none,0.25,0.23,transverse_arc_0.5,0.75,K0022,SMACS J0723.3-7327,1.0,0.75,279.9022230334982,8.041663853595054,24.072091396250464,0.10827527640735765,0.9819544654174612
none,0.25,0.23,transverse_arc_0.5,0.75,K0022,SPT-CL J0615-5746,1.0,0.75,684.5900496690983,1.7446692894049933,5.313306095600616,0.13559480025522336,0.8606930154827204
none,0.25,0.23,transverse_arc_0.5,1.0,K0023,SMACS J0723.3-7327,1.0,1.0,1818.115234067776,11.515071153530563,13.217365426222466,3.2895114363955473,0.9817591626737809
none,0.25,0.23,transverse_arc_0.5,1.0,K0023,SPT-CL J0615-5746,1.0,1.0,760.2601170055228,2.198055937197594,4.65755470500392,0.05895364619708116,0.8795683007276983
none,0.25,0.28,endpoint,0.5,K0024,SMACS J0723.3-7327,1.0,0.5,203.24274069329317,5.653037650719679,6.255883845508208,0.22481082200831776,0.9712490247918207
none,0.25,0.28,endpoint,0.5,K0024,SPT-CL J0615-5746,1.0,0.5,437.9502277236859,1.8548820628882474,4.203563529297788,0.25866307043284176,0.8291261890502863
none,0.25,0.28,endpoint,0.75,K0025,SMACS J0723.3-7327,1.0,0.75,193.6526783499467,5.220884073881188,6.693594391124555,0.22454935979863372,0.9756809005561773
none,0.25,0.28,endpoint,0.75,K0025,SPT-CL J0615-5746,1.0,0.75,396.6615096372113,1.8623145652218638,3.7470850189928075,0.2569621305267141,0.8343150759234916
none,0.25,0.28,endpoint,1.0,K0026,SMACS J0723.3-7327,1.0,1.0,184.92146772750127,4.772384095490331,7.193723808486446,0.23576423369169436,0.9783851074851485
none,0.25,0.28,endpoint,1.0,K0026,SPT-CL J0615-5746,1.0,1.0,362.2009674414538,1.8656203224162726,3.6672958377485547,0.2553470603402511,0.836133504527645
none,0.25,0.28,chord,0.5,K0027,SMACS J0723.3-7327,1.0,0.5,210.4398712929564,6.09993590717688,6.144512773013458,0.22568897665185073,0.9657306580905962
none,0.25,0.28,chord,0.5,K0027,SPT-CL J0615-5746,1.0,0.5,488.7942582237404,1.840083364355652,5.689790704571714,0.24438000016291794,0.8186843815732111
none,0.25,0.28,chord,0.75,K0028,SMACS J0723.3-7327,1.0,0.75,203.72866028098085,5.897599305037101,6.430519108719978,0.2282507914444208,0.9696990348070289
none,0.25,0.28,chord,0.75,K0028,SPT-CL J0615-5746,1.0,0.75,462.2717791766455,1.846304142770089,4.644021841305026,0.2652375928968004,0.8238869546177109
none,0.25,0.28,chord,1.0,K0029,SMACS J0723.3-7327,1.0,1.0,197.50576210249884,5.701874312755711,6.731232329570911,0.22917677426435984,0.9728836796759113
none,0.25,0.28,chord,1.0,K0029,SPT-CL J0615-5746,1.0,1.0,438.41704760928195,1.8511942986583794,4.117911193682156,0.2658016660172969,0.8277505384111071
none,0.25,0.28,radial_arc_0.5,0.5,K0030,SMACS J0723.3-7327,1.0,0.5,261.5217001899015,6.224779803632857,7.25610106172964,0.17547668097199978,0.9352735628447241
none,0.25,0.28,radial_arc_0.5,0.5,K0030,SPT-CL J0615-5746,1.0,0.5,607.6926833694436,1.821331515434517,53.828230648562695,0.23262973161296946,0.7973450344321432
none,0.25,0.28,radial_arc_0.5,0.75,K0031,SMACS J0723.3-7327,1.0,0.75,282.5336483666405,6.1680159816471445,23.048489653038498,0.1648587798518501,0.919934306723089
none,0.25,0.28,radial_arc_0.5,0.75,K0031,SPT-CL J0615-5746,1.0,0.75,640.0171033235392,1.8225007954373202,24.363193315306308,0.22438580464224012,0.7923294807275278
none,0.25,0.28,radial_arc_0.5,1.0,K0032,SMACS J0723.3-7327,1.0,1.0,305.70911996221616,6.244422726194378,13.74495464845929,0.16554150993402295,0.8991236233126335
none,0.25,0.28,radial_arc_0.5,1.0,K0032,SPT-CL J0615-5746,1.0,1.0,675.950848233641,1.8255911314387752,14.800805789418229,0.21417333291374768,0.785731627438603
none,0.25,0.28,transverse_arc_0.5,0.5,K0033,SMACS J0723.3-7327,1.0,0.5,259.243697552851,6.7578251780607514,7.59686984143222,0.19659218952778934,0.9791932517828129
none,0.25,0.28,transverse_arc_0.5,0.5,K0033,SPT-CL J0615-5746,1.0,0.5,632.2794576033218,1.789844839160396,9.236010057391251,0.1810805333829225,0.8571224993353332
none,0.25,0.28,transverse_arc_0.5,0.75,K0034,SMACS J0723.3-7327,1.0,0.75,288.78741802087154,7.0182661052055195,9.81870162803689,0.16731318096935843,0.9871556617436212
none,0.25,0.28,transverse_arc_0.5,0.75,K0034,SPT-CL J0615-5746,1.0,0.75,682.3880474336657,1.7676933861398063,5.845843800402077,0.14898765330422048,0.8775429437883091
none,0.25,0.28,transverse_arc_0.5,1.0,K0035,SMACS J0723.3-7327,1.0,1.0,326.5506817422406,8.774405161968394,19.842929345099435,0.07223398705085526,0.9899016127895296
none,0.25,0.28,transverse_arc_0.5,1.0,K0035,SPT-CL J0615-5746,1.0,1.0,742.3246088473405,1.819137213680582,5.074778424558384,0.09688863787902836,0.8920243129258902
none,0.36,0.18,endpoint,0.5,K0036,SMACS J0723.3-7327,1.0,0.5,137.7729220044138,5.833409980119912,5.593603810968738,0.35225316398749146,0.9423326685881837
none,0.36,0.18,endpoint,0.5,K0036,SPT-CL J0615-5746,1.0,0.5,320.0739767521174,1.932985323459016,7.559512478375538,0.4816718776540959,0.734918508428134
none,0.36,0.18,endpoint,0.75,K0037,SMACS J0723.3-7327,1.0,0.75,124.15294461398935,4.897160027005585,6.627153557723158,0.41214835649748693,0.9476225159399306
none,0.36,0.18,endpoint,0.75,K0037,SPT-CL J0615-5746,1.0,0.75,265.5127888423433,1.9651212239178624,10.241175981068764,0.31523349953945007,0.7136374596272739
none,0.36,0.18,endpoint,1.0,K0038,SMACS J0723.3-7327,1.0,1.0,111.10236165103795,4.280621853281164,7.731050265843305,0.4288832949187086,0.9462131587054227
none,0.36,0.18,endpoint,1.0,K0038,SPT-CL J0615-5746,1.0,1.0,212.8831504268272,2.094540077367587,9.4294681225673,0.24112788181152378,0.6890436589329487
none,0.36,0.18,chord,0.5,K0039,SMACS J0723.3-7327,1.0,0.5,148.38154323693408,7.292611849787672,5.426821425760324,0.3024622727380781,0.9331091797238328
none,0.36,0.18,chord,0.5,K0039,SPT-CL J0615-5746,1.0,0.5,390.10573311848975,1.9150413317869472,16.457711692975252,0.44028749853851945,0.7420607775470642
none,0.36,0.18,chord,0.75,K0040,SMACS J0723.3-7327,1.0,0.75,137.07306976460015,6.742129504631109,5.885477326125915,0.3235324314760909,0.9435241353592528
none,0.36,0.18,chord,0.75,K0040,SPT-CL J0615-5746,1.0,0.75,349.6095382921993,1.941144617872715,8.094416059126342,0.4697566864883945,0.7369882286630233
none,0.36,0.18,chord,1.0,K0041,SMACS J0723.3-7327,1.0,1.0,127.62353240027436,6.2615943715989335,6.613669995013435,0.34522676245724343,0.9499822186975391
none,0.36,0.18,chord,1.0,K0041,SPT-CL J0615-5746,1.0,1.0,315.0167535665089,1.9788200462768064,9.509145903695044,0.4958060596636942,0.7280422049079087
none,0.36,0.18,radial_arc_0.5,0.5,K0042,SMACS J0723.3-7327,1.0,0.5,207.36693425663842,7.693124532422677,9.543841676641538,0.22257073607119554,0.8758765055495212
none,0.36,0.18,radial_arc_0.5,0.5,K0042,SPT-CL J0615-5746,1.0,0.5,534.3274997228442,1.883109592354532,4.22881356601718,0.358420244832389,0.7349218840536643
none,0.36,0.18,radial_arc_0.5,0.75,K0043,SMACS J0723.3-7327,1.0,0.75,224.06097288539982,7.597610169938041,6.58750164241798,0.21850186002959332,0.8593117965059387
none,0.36,0.18,radial_arc_0.5,0.75,K0043,SPT-CL J0615-5746,1.0,0.75,551.3246899131509,1.8920383158263956,4.2394622781236855,0.3795084738506056,0.7355452102540867
none,0.36,0.18,radial_arc_0.5,1.0,K0044,SMACS J0723.3-7327,1.0,1.0,173.4964639931191,8.13486344951067,6.623595853988006,0.4225001929402061,0.8357521928928765
none,0.36,0.18,radial_arc_0.5,1.0,K0044,SPT-CL J0615-5746,1.0,1.0,569.4477745808149,1.9007393687921434,4.451553776034617,0.4029358199899935,0.7356439796570198
none,0.36,0.18,transverse_arc_0.5,0.5,K0045,SMACS J0723.3-7327,1.0,0.5,214.80820353332564,8.44144950863224,6.170296799298249,0.15086529099960572,0.963656307104614
none,0.36,0.18,transverse_arc_0.5,0.5,K0045,SPT-CL J0615-5746,1.0,0.5,591.2382078955796,1.821084060212489,54.649551973123934,0.19306907610429913,0.8238189924419116
none,0.36,0.18,transverse_arc_0.5,0.75,K0046,SMACS J0723.3-7327,1.0,0.75,272.94157898706203,8.096098533513048,12.355433711651006,0.05969283006367906,0.9831020255063734
none,0.36,0.18,transverse_arc_0.5,0.75,K0046,SPT-CL J0615-5746,1.0,0.75,649.5543601585591,1.7695965066942525,5.675547055373866,0.12608508889810655,0.8589555934485651
none,0.36,0.18,transverse_arc_0.5,1.0,K0047,SMACS J0723.3-7327,1.0,1.0,354.33216487415586,7.154121232220456,26.41266070319002,0.06009484845094785,0.975771977575415
none,0.36,0.18,transverse_arc_0.5,1.0,K0047,SPT-CL J0615-5746,1.0,1.0,718.1457672815234,2.8863156031185024,5.01179495572412,0.062125381809939595,0.8822447509802819
none,0.36,0.23,endpoint,0.5,K0048,SMACS J0723.3-7327,1.0,0.5,167.73531472015873,5.521550689872003,5.905404691175215,0.2778191158652259,0.9606680971645393
none,0.36,0.23,endpoint,0.5,K0048,SPT-CL J0615-5746,1.0,0.5,358.76037419883676,1.8956378895634582,6.797799250851768,0.3526570626201949,0.7920256058627152
none,0.36,0.23,endpoint,0.75,K0049,SMACS J0723.3-7327,1.0,0.75,155.4304584381125,4.697187617806986,6.6682496494853085,0.3054722910044629,0.9648153704418333
none,0.36,0.23,endpoint,0.75,K0049,SPT-CL J0615-5746,1.0,0.75,308.2832970886587,1.9057489249369595,4.346761765388219,0.28390427279121444,0.7880149037524419
none,0.36,0.23,endpoint,1.0,K0050,SMACS J0723.3-7327,1.0,1.0,143.33951999413617,4.069448526074699,7.558561885464389,0.31202640385358305,0.9651562565152153
none,0.36,0.23,endpoint,1.0,K0050,SPT-CL J0615-5746,1.0,1.0,265.2774100852522,1.935737436241914,4.11607786597265,0.2054390548525737,0.7788954537992602
none,0.36,0.23,chord,0.5,K0051,SMACS J0723.3-7327,1.0,0.5,176.32525325825705,6.502049364374409,5.736401536180198,0.26681297882620264,0.9549632225860725
none,0.36,0.23,chord,0.5,K0051,SPT-CL J0615-5746,1.0,0.5,425.27154674073415,1.8707109009752285,15.049856370640851,0.32798753088016747,0.7838668518243768
none,0.36,0.23,chord,0.75,K0052,SMACS J0723.3-7327,1.0,0.75,167.2638165169466,6.071247593172802,6.192648861650259,0.2719726825871517,0.9615983142985078
none,0.36,0.23,chord,0.75,K0052,SPT-CL J0615-5746,1.0,0.75,387.882313174748,1.882046130092782,8.513541851985735,0.3496833390890168,0.786570566327977
none,0.36,0.23,chord,1.0,K0053,SMACS J0723.3-7327,1.0,1.0,159.2465117719727,5.6633671197906885,6.699667969800265,0.27514062544052614,0.9660851313654287
none,0.36,0.23,chord,1.0,K0053,SPT-CL J0615-5746,1.0,1.0,356.19393554158114,1.8918459487404888,5.773179213397907,0.35982071838718177,0.7861460800228162
none,0.36,0.23,radial_arc_0.5,0.5,K0054,SMACS J0723.3-7327,1.0,0.5,228.20631403737536,6.925473026421836,16.960994953229406,0.19712619148514582,0.915962188615355
none,0.36,0.23,radial_arc_0.5,0.5,K0054,SPT-CL J0615-5746,1.0,0.5,555.9501750424613,1.845740147875956,5.748813843443528,0.29151579117852666,0.7673880810586143
none,0.36,0.23,radial_arc_0.5,0.75,K0055,SMACS J0723.3-7327,1.0,0.75,244.50759746395352,6.736719947889541,30.44067188157986,0.18878287901604782,0.9030786956614518
none,0.36,0.23,radial_arc_0.5,0.75,K0055,SPT-CL J0615-5746,1.0,0.75,572.428668675669,1.8533171665798271,6.227408821612022,0.2957130311862592,0.768108340350573
none,0.36,0.23,radial_arc_0.5,1.0,K0056,SMACS J0723.3-7327,1.0,1.0,261.3026004292695,6.764055053953828,10.180668927784927,0.20811573999169902,0.885929280025496
none,0.36,0.23,radial_arc_0.5,1.0,K0056,SPT-CL J0615-5746,1.0,1.0,589.8964464650152,1.861418629754324,6.519802796040905,0.30020869302575603,0.76838273149764
none,0.36,0.23,transverse_arc_0.5,0.5,K0057,SMACS J0723.3-7327,1.0,0.5,240.86456681164077,6.940467182568268,6.731957552511293,0.17825424934901385,0.974971067036844
none,0.36,0.23,transverse_arc_0.5,0.5,K0057,SPT-CL J0615-5746,1.0,0.5,599.9338284144006,1.7887170394265508,21.627234329925006,0.1668458341187532,0.8443800486153885
none,0.36,0.23,transverse_arc_0.5,0.75,K0058,SMACS J0723.3-7327,1.0,0.75,275.899027418079,6.709972255848678,12.347738521737433,0.13458348005549872,0.9874883476439539
none,0.36,0.23,transverse_arc_0.5,0.75,K0058,SPT-CL J0615-5746,1.0,0.75,646.712282886092,1.7554210982071288,6.787014075576843,0.13935481131433475,0.8739570480703794
none,0.36,0.23,transverse_arc_0.5,1.0,K0059,SMACS J0723.3-7327,1.0,1.0,350.1261442394555,11.085309186047853,28.057154058251786,0.07589444620202038,0.9878185619675108
none,0.36,0.23,transverse_arc_0.5,1.0,K0059,SPT-CL J0615-5746,1.0,1.0,706.6790501106974,2.2593332198934295,5.480174436521519,0.07900889974296578,0.8938006414492757
none,0.36,0.28,endpoint,0.5,K0060,SMACS J0723.3-7327,1.0,0.5,199.5238605298552,5.294239547927962,6.185761593486631,0.22493372521231533,0.9726127466350547
none,0.36,0.28,endpoint,0.5,K0060,SPT-CL J0615-5746,1.0,0.5,405.50841060311876,1.8762034940577166,3.8316018397949962,0.2525335861102419,0.8362780967748245
none,0.36,0.28,endpoint,0.75,K0061,SMACS J0723.3-7327,1.0,0.75,188.01888546100955,4.678408045011644,6.7093550033637985,0.23343223933989315,0.9761270745568845
none,0.36,0.28,endpoint,0.75,K0061,SPT-CL J0615-5746,1.0,0.75,357.3042188339227,1.8893842612802823,3.673049992941612,0.2483425524422026,0.8400379995803083
none,0.36,0.28,endpoint,1.0,K0062,SMACS J0723.3-7327,1.0,1.0,176.62696796069727,4.170015987538727,7.3863211723045294,0.2357112221752264,0.9774110264875941
none,0.36,0.28,endpoint,1.0,K0062,SPT-CL J0615-5746,1.0,1.0,317.5433248609856,1.9052414612607633,3.743596243491493,0.21373077700340748,0.8391583916694855
none,0.36,0.28,chord,0.5,K0063,SMACS J0723.3-7327,1.0,0.5,207.79808029079248,5.908892237929379,6.129010264035453,0.22422671676863432,0.9684010019219793
none,0.36,0.28,chord,0.5,K0063,SPT-CL J0615-5746,1.0,0.5,465.29850835408286,1.8471847625989866,4.761981987171298,0.26673755672466526,0.8240465828342967
none,0.36,0.28,chord,0.75,K0064,SMACS J0723.3-7327,1.0,0.75,199.95220309028392,5.613840501254327,6.445883136627517,0.22505942123770506,0.9728002552600269
none,0.36,0.28,chord,0.75,K0064,SPT-CL J0615-5746,1.0,0.75,431.27795445155346,1.8538385583159556,4.020787481977405,0.2680100622846616,0.8296724610448076
none,0.36,0.28,chord,1.0,K0065,SMACS J0723.3-7327,1.0,1.0,192.6851975065567,5.314801342462144,6.798401974581924,0.22456119802203733,0.9760095474581613
none,0.36,0.28,chord,1.0,K0065,SPT-CL J0615-5746,1.0,1.0,401.760543463833,1.8577336762975396,3.749791391705795,0.26904458303681966,0.8329645445660554
none,0.36,0.28,radial_arc_0.5,0.5,K0066,SMACS J0723.3-7327,1.0,0.5,252.4304432753691,6.296026902929453,6.1556465017638216,0.1848774420746435,0.9423776815512223
none,0.36,0.28,radial_arc_0.5,0.5,K0066,SPT-CL J0615-5746,1.0,0.5,581.582404587245,1.828871604421642,91.50812701730338,0.2388845818711613,0.8039280374710362
none,0.36,0.28,radial_arc_0.5,0.75,K0067,SMACS J0723.3-7327,1.0,0.75,267.25428305778445,6.2321324354167915,9.171707183714364,0.1723321619156701,0.9334347063189982
none,0.36,0.28,radial_arc_0.5,0.75,K0067,SPT-CL J0615-5746,1.0,0.75,597.6627223355853,1.8333507142560506,86.71998992219244,0.23374905849087418,0.8036087095578662
none,0.36,0.28,radial_arc_0.5,1.0,K0068,SMACS J0723.3-7327,1.0,1.0,282.98063397746785,6.218789179282828,23.247434400460765,0.16812433037705998,0.922079724768433
none,0.36,0.28,radial_arc_0.5,1.0,K0068,SPT-CL J0615-5746,1.0,1.0,614.6615893882314,1.8389079184667587,82.19133986724123,0.23095640424115374,0.8028470981817584
none,0.36,0.28,transverse_arc_0.5,0.5,K0069,SMACS J0723.3-7327,1.0,0.5,263.71152910233576,6.248833379048085,7.170254184354172,0.1699431672146593,0.9819660917914377
none,0.36,0.28,transverse_arc_0.5,0.5,K0069,SPT-CL J0615-5746,1.0,0.5,613.8845313560723,1.7929784093770569,11.274220390252117,0.17125997139591098,0.8649651208471502
none,0.36,0.28,transverse_arc_0.5,0.75,K0070,SMACS J0723.3-7327,1.0,0.75,285.7855531939003,6.195980911161081,9.019640816050716,0.16184149621499982,0.9905176642039295
none,0.36,0.28,transverse_arc_0.5,0.75,K0070,SPT-CL J0615-5746,1.0,0.75,650.8663345285572,1.7701474034315792,7.319708333960974,0.1455692239947613,0.8870011527457042
none,0.36,0.28,transverse_arc_0.5,1.0,K0071,SMACS J0723.3-7327,1.0,1.0,343.77310859796063,6.795520099815748,17.58809200854501,0.04344307514064569,0.9933049104394557
none,0.36,0.28,transverse_arc_0.5,1.0,K0071,SPT-CL J0615-5746,1.0,1.0,694.050649932954,1.79599579117559,6.216660642615541,0.09718845844082113,0.9018012430085728
none,0.5,0.18,endpoint,0.5,K0072,SMACS J0723.3-7327,1.0,0.5,141.70568326740892,6.425681151874869,5.278838261066549,0.38103621792537423,0.9371595939107924
none,0.5,0.18,endpoint,0.5,K0072,SPT-CL J0615-5746,1.0,0.5,276.76329130612777,1.9491361073326423,6.1800293251890785,0.3172882854689717,0.746724450571977
none,0.5,0.18,endpoint,0.75,K0073,SMACS J0723.3-7327,1.0,0.75,121.43579517512633,7.2040472856749425,6.5017256401032295,0.47846838836474836,0.9367215047193869
none,0.5,0.18,endpoint,0.75,K0073,SPT-CL J0615-5746,1.0,0.75,219.60802142122034,1.955187815087439,7.244162952408935,0.11736454849471603,0.7243983970829628
none,0.5,0.18,endpoint,1.0,K0074,SMACS J0723.3-7327,1.0,1.0,70.6350565814233,7.32168767448859,9.675875246710142,0.6789638479604068,0.9284834400312585
none,0.5,0.18,endpoint,1.0,K0074,SPT-CL J0615-5746,1.0,1.0,167.69698023714477,2.0920514202081106,7.2881260516559285,0.09726894099665945,0.6998434508170222
none,0.5,0.18,chord,0.5,K0075,SMACS J0723.3-7327,1.0,0.5,147.1042328594185,6.78861111002726,5.331853847066417,0.316708847443934,0.9372554059561116
none,0.5,0.18,chord,0.5,K0075,SPT-CL J0615-5746,1.0,0.5,355.8858034915855,1.9220732075212172,6.498256603230797,0.4492972351524315,0.7463521902072079
none,0.5,0.18,chord,0.75,K0076,SMACS J0723.3-7327,1.0,0.75,135.80429894724745,6.064858612120788,5.8485586077378215,0.34166091480845495,0.9468848864843894
none,0.5,0.18,chord,0.75,K0076,SPT-CL J0615-5746,1.0,0.75,309.74943725690156,1.9343251229296439,7.641163339699126,0.4605768577371675,0.7376296504726993
none,0.5,0.18,chord,1.0,K0077,SMACS J0723.3-7327,1.0,1.0,126.29348569538287,5.424161317361388,6.605111404105569,0.37828035993904746,0.9515046477904943
