domain,system,radius_kpc,gbar_m_s2,target_chi,conservative_delta_q_over_target_chi,passes_5_percent
SPARC,UGC02885,31.22,3.2966507209279186e-11,4.873435075254648e-07,6192.522875668908,False
SPARC,UGC02885,35.1,2.7488078940792686e-11,4.470773561580847e-07,6491.389090662812,False
SPARC,UGC02885,38.97,2.390837550690099e-11,4.1293265868058477e-07,7027.033040492467,False
SPARC,UGC02885,42.85,2.0933624538991366e-11,3.830653669422586e-07,7500.411217955466,False
SPARC,UGC02885,46.73,1.7510757326096292e-11,3.5745924839961876e-07,7295.8242863809855,False
SPARC,UGC02885,50.71,1.593978960236221e-11,3.3460507917493945e-07,7972.968398086057,False
SPARC,UGC02885,54.58,1.4984660545107627e-11,3.1406074384499985e-07,8977.497268501465,False
SPARC,UGC02885,58.46,1.3714792702977281e-11,2.949452953365981e-07,9600.421037725588,False
SPARC,UGC02885,62.34,1.217713493360322e-11,2.7769981664256255e-07,9686.957885500326,False
SPARC,UGC02885,66.21,1.0929006183097695e-11,2.623494932247265e-07,9822.680480527157,False
SPARC,UGC02885,70.19,1.01456133456761e-11,2.4795083714037524e-07,10444.79305939511,False
SPARC,UGC02885,74.07,9.242412486592866e-12,2.3503732250744303e-07,10658.827519127151,False
SPARC,UGC02916,0.37,9.414023501519074e-10,1.846353409676642e-06,21.270058300466093,False
SPARC,UGC02916,0.74,1.1324429013364655e-09,1.7146317438650598e-06,117.24577763462163,False
SPARC,UGC02916,1.11,9.915219177482663e-10,1.5797267002538028e-06,252.37341918759554,False
SPARC,UGC02916,1.48,8.984045679586551e-10,1.4596867576495602e-06,442.4680993553275,False
SPARC,UGC02916,1.84,8.427000441771221e-10,1.352088184952053e-06,698.5177529231499,False
SPARC,UGC02916,2.21,7.877974660149404e-10,1.2485260469429626e-06,1024.8128238752884,False
SPARC,UGC02916,2.6,7.057362287873487e-10,1.1485355387472296e-06,1364.0993226510714,False
SPARC,UGC02916,2.96,6.028214607991227e-10,1.0676679454329273e-06,1565.6235276954153,False
SPARC,UGC02916,3.17,5.635063610843854e-10,1.025622488753618e-06,1720.7132322911218,False
SPARC,UGC02916,3.33,5.314188113652728e-10,9.9554901701875e-07,1816.4535293818458,False
SPARC,UGC02916,3.7,4.660850232454271e-10,9.321918949509085e-07,2023.3866099627862,False
SPARC,UGC02916,4.07,4.096058182632671e-10,8.765718064719402e-07,2196.950574174512,False
SPARC,UGC02916,4.44,3.5998278750181353e-10,8.276908723384814e-07,2328.3882022952434,False
SPARC,UGC02916,4.81,3.1710868105410496e-10,7.846849556332755e-07,2424.5109427196467,False
SPARC,UGC02916,5.18,2.806901663554044e-10,7.467153627022158e-07,2496.371607404924,False
SPARC,UGC02916,5.55,2.4870387798255053e-10,7.130905465107088e-07,2533.4774173267456,False
SPARC,UGC02916,5.92,2.2194800017996573e-10,6.831967782247562e-07,2562.082596722691,False
SPARC,UGC02916,6.28,2.0034297263446786e-10,6.570996065665081e-07,2591.6466064559672,False
