train_cluster,test_cluster,family_id,model,observed_images,global_roots,matched_images,image_RMS_arcsec,magnification_threshold,retained_roots,topology_correct
PLCKG287,AS295,1,AQUAL_contrast_hessian_fit,3,1,1,inf,1.7866968533846095,1,False
PLCKG287,AS295,1,QUMOND_contrast_source_fit,3,1,1,inf,1.7866968533846095,1,False
PLCKG287,AS295,1,P0707_plus_AQUAL_contrast_source_fit,3,3,3,16.131209696838855,1.7866968533846095,3,True
PLCKG287,AS295,2,glafic_v2_compact_halo,3,4,3,0.1543988535336748,1.9982748276902562,4,False
PLCKG287,AS295,2,P0707_baseline,3,1,1,inf,1.9982748276902562,1,False
PLCKG287,AS295,2,AQUAL_contrast_source_fit,3,1,1,inf,1.9982748276902562,1,False
PLCKG287,AS295,2,AQUAL_contrast_hessian_fit,3,1,1,inf,1.9982748276902562,1,False
PLCKG287,AS295,2,QUMOND_contrast_source_fit,3,1,1,inf,1.9982748276902562,1,False
PLCKG287,AS295,2,P0707_plus_AQUAL_contrast_source_fit,3,3,3,15.78047519342884,1.9982748276902562,3,True
PLCKG287,AS295,3,glafic_v2_compact_halo,3,4,3,0.16951023950750727,1.4211178216490366,4,False
PLCKG287,AS295,3,P0707_baseline,3,1,1,inf,1.4211178216490366,1,False
PLCKG287,AS295,3,AQUAL_contrast_source_fit,3,1,1,inf,1.4211178216490366,1,False
PLCKG287,AS295,3,AQUAL_contrast_hessian_fit,3,1,1,inf,1.4211178216490366,1,False
PLCKG287,AS295,3,QUMOND_contrast_source_fit,3,1,1,inf,1.4211178216490366,1,False
PLCKG287,AS295,3,P0707_plus_AQUAL_contrast_source_fit,3,3,3,16.039697523429098,1.4211178216490366,3,True
PLCKG287,AS295,4,glafic_v2_compact_halo,3,3,3,0.32316588667004936,2.947418282766988,3,True
PLCKG287,AS295,4,P0707_baseline,3,1,1,inf,2.947418282766988,1,False
PLCKG287,AS295,4,AQUAL_contrast_source_fit,3,1,1,inf,2.947418282766988,1,False
PLCKG287,AS295,4,AQUAL_contrast_hessian_fit,3,1,1,inf,2.947418282766988,1,False
PLCKG287,AS295,4,QUMOND_contrast_source_fit,3,1,1,inf,2.947418282766988,1,False
PLCKG287,AS295,4,P0707_plus_AQUAL_contrast_source_fit,3,3,3,15.599644407649128,2.947418282766988,3,True
PLCKG287,AS295,5,glafic_v2_compact_halo,3,1,1,inf,0.0,1,False
PLCKG287,AS295,5,P0707_baseline,3,1,1,inf,0.0,1,False
PLCKG287,AS295,5,AQUAL_contrast_source_fit,3,1,1,inf,0.0,1,False
PLCKG287,AS295,5,AQUAL_contrast_hessian_fit,3,1,1,inf,0.0,1,False
PLCKG287,AS295,5,QUMOND_contrast_source_fit,3,1,1,inf,0.0,1,False
PLCKG287,AS295,5,P0707_plus_AQUAL_contrast_source_fit,3,3,3,7.397782687305697,0.0,3,True
PLCKG287,AS295,6,glafic_v2_compact_halo,3,3,3,1.0035674996028456,6.752501998896364,3,True
PLCKG287,AS295,6,P0707_baseline,3,1,1,inf,6.752501998896364,0,False
PLCKG287,AS295,6,AQUAL_contrast_source_fit,3,3,3,11.044007179002387,6.752501998896364,3,True
PLCKG287,AS295,6,AQUAL_contrast_hessian_fit,3,3,3,4.5822483312848625,6.752501998896364,3,True
PLCKG287,AS295,6,QUMOND_contrast_source_fit,3,3,3,11.060947474339969,6.752501998896364,3,True
PLCKG287,AS295,6,P0707_plus_AQUAL_contrast_source_fit,3,3,3,24.32906017298035,6.752501998896364,3,True
