candidate_id,mode,aperture_r80_fraction,removal_fraction,system_label,affine_vector_R2_on_images,center_x_arcsec,center_y_arcsec,r80_arcsec,quadrupole_asymmetry,grid_spacing_arcsec,smoothing_width_arcsec,smoothing_width_kpc,asymmetry_gate,gate_minimum,gate_median,gate_maximum,metric_minimum_eigenvalue,metric_maximum_eigenvalue,maximum_Q_eigenvalue,RMS_Q_eigenvalue,maximum_edge_Q_eigenvalue,maximum_solver_edge_Q_eigenvalue,maximum_abs_circular_cross_mean,circular_mean_subtracted,full_metric_correction_RMS_arcsec,circular_residual_fraction,correction_RMS_arcsec_at_distance_ratio_one,correction_maximum_arcsec_at_distance_ratio_one,normalized_curl_RMS,affine_removal_mode,affine_aperture_r80_fraction,affine_aperture_arcsec,affine_removal_fraction,affine_taper_outer_factor,baryon_grid_affine_R2_before,baryon_grid_affine_R2_after,removed_affine_RMS_arcsec
trace_a0d75_f1d0,trace,0.75,1.0,MACS1115,0.9923515861809404,0.3310495047421327,-1.0646891524916011,56.52932839490306,0.10365884398962105,2.0,45.22346271592245,227.20571960621592,0.9486477414337011,0.9998322220011506,0.9999732705856326,0.9999999999955242,0.32033900294477813,3.121692927827417,1.0000000000000002,0.992083242455681,1.0000000000000002,1.0000000000000002,0.0,True,5.465556486075096,0.04377257431841234,0.8432597908995305,2.2355603089221225,4.366450000762375e-17,trace,0.75,42.39699629617729,1.0,2.0,0.00320657416764214,1.9113446381169297e-09,0.04813004126652428
trace_a0d75_f1d0,trace,0.75,1.0,MACS1931,0.5266601139347797,-0.9900241345509628,-0.26633593008553724,53.77355106035729,0.08611118058986449,2.0,43.01884084828583,214.9337333337269,0.8979329100801073,0.9998953913644232,0.9999878410043866,0.9999999999858928,0.3404391537492469,2.9373824631715473,1.0000000000000002,0.9935189307411075,1.0000000000000002,1.0000000000000002,0.0,True,4.080538539536187,0.044904055868852086,0.6941731651012218,1.980467702693764,4.4867861659788883e-17,trace,0.75,40.330163295267965,1.0,2.0,0.008019495642289542,4.60380344957656e-09,0.06237746302727844
trace_a1d00_f0d5,trace,1.0,0.5,MACS0329,0.12100696885710682,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,44.51591613380319,258.8646758196927,0.5484129442613193,0.999946104341878,0.9999918667292744,0.9999999999948115,0.5178367470337287,1.9311105396212178,1.0000000000000002,0.9919905460534739,1.0000000000000002,1.0000000000000002,0.0,True,2.055428185287115,0.035888772568280276,0.1998479121951129,1.068792957319559,4.517622496643349e-17,trace,1.0,55.64489516725398,0.5,2.0,0.0027286306513444325,0.0006840680901489815,0.005942059752072112
trace_a1d00_f0d5,trace,1.0,0.5,MACS0429,0.3097336372054891,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,43.6762861905063,236.34129996602525,0.41302141274796,0.9999762733586631,0.9999970141109471,0.9999999999808624,0.6091896681733181,1.6415248850141266,1.0000000000000002,0.9929171206493272,1.0000000000000002,1.0000000000000002,0.0,True,1.0343169095119988,0.03826428809837411,0.11264510437657259,0.6262838070006551,3.777712263852258e-17,trace,1.0,54.595357738132876,0.5,2.0,0.0011852515184471724,0.0002969907613158407,0.002718645557967961
trace_a1d00_f0d5,trace,1.0,0.5,MACS1115,0.9924229027178542,0.3310495047421327,-1.0646891524916011,56.52932839490306,0.10365884398962105,2.0,45.22346271592245,227.20571960621592,0.9486477414337011,0.9998322220011506,0.9999732705856326,0.9999999999955242,0.32033900294477813,3.121692927827417,1.0000000000000002,0.992083242455681,1.0000000000000002,1.0000000000000002,0.0,True,5.465556486075096,0.04377257431841234,0.6698722148286095,2.2404307634627094,4.1322245677323537e-17,trace,1.0,56.52932839490306,0.5,2.0,0.00036237902272917566,9.069422685281658e-05,0.006496884586038056
trace_a1d00_f0d5,trace,1.0,0.5,MACS1931,0.5263879012874357,-0.9900241345509628,-0.26633593008553724,53.77355106035729,0.08611118058986449,2.0,43.01884084828583,214.9337333337269,0.8979329100801073,0.9998953913644232,0.9999878410043866,0.9999999999858928,0.3404391537492469,2.9373824631715473,1.0000000000000002,0.9935189307411075,1.0000000000000002,1.0000000000000002,0.0,True,4.080538539536187,0.044904055868852086,0.5425962780405328,2.015610189892109,4.153535396722584e-17,trace,1.0,53.77355106035729,0.5,2.0,0.001842945966303855,0.0004618545454495582,0.011653373751894713
trace_a1d00_f1d0,trace,1.0,1.0,MACS0329,0.1226664793822585,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,44.51591613380319,258.8646758196927,0.5484129442613193,0.999946104341878,0.9999918667292744,0.9999999999948115,0.5178367470337287,1.9311105396212178,1.0000000000000002,0.9919905460534739,1.0000000000000002,1.0000000000000002,0.0,True,2.055428185287115,0.035888772568280276,0.19975862974312103,1.0654366437828875,3.9797657506103926e-17,trace,1.0,55.64489516725398,1.0,2.0,0.0027286306513444325,4.0288672398247627e-10,0.011884119504144223
trace_a1d00_f1d0,trace,1.0,1.0,MACS0429,0.31207435236890413,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,43.6762861905063,236.34129996602525,0.41302141274796,0.9999762733586631,0.9999970141109471,0.9999999999808624,0.6091896681733181,1.6415248850141266,1.0000000000000002,0.9929171206493272,1.0000000000000002,1.0000000000000002,0.0,True,1.0343169095119988,0.03826428809837411,0.11261187604328286,0.6247333505670551,3.53667000436088e-17,trace,1.0,54.595357738132876,1.0,2.0,0.0011852515184471724,6.404569097284707e-10,0.005437291115935922
trace_a1d00_f1d0,trace,1.0,1.0,MACS1115,0.9924288800517724,0.3310495047421327,-1.0646891524916011,56.52932839490306,0.10365884398962105,2.0,45.22346271592245,227.20571960621592,0.9486477414337011,0.9998322220011506,0.9999732705856326,0.9999999999955242,0.32033900294477813,3.121692927827417,1.0000000000000002,0.992083242455681,1.0000000000000002,1.0000000000000002,0.0,True,5.465556486075096,0.04377257431841234,0.6698402464021482,2.240455863676154,4.600827812346349e-17,trace,1.0,56.52932839490306,1.0,2.0,0.00036237902272917566,6.446077005506368e-11,0.012993769172076113
trace_a1d00_f1d0,trace,1.0,1.0,MACS1931,0.525333400455243,-0.9900241345509628,-0.26633593008553724,53.77355106035729,0.08611118058986449,2.0,43.01884084828583,214.9337333337269,0.8979329100801073,0.9998953913644232,0.9999878410043866,0.9999999999858928,0.3404391537492469,2.9373824631715473,1.0000000000000002,0.9935189307411075,1.0000000000000002,1.0000000000000002,0.0,True,4.080538539536187,0.044904055868852086,0.5424697160722438,2.005959006556427,3.8102658614218594e-17,trace,1.0,53.77355106035729,1.0,2.0,0.001842945966303855,5.619759102515332e-10,0.023306747503789426
