chi_0,alpha_Ncoh,ell_0,n_total,n_improved,pct_improved,mean_delta_rms,median_delta_rms,mean_F
2000,0.65,6.0,171,104,60.8,20.39,-2.24,1.611
2000,0.75,1.5,171,104,60.8,18.71,-2.24,1.592
2000,0.75,2.2,171,104,60.8,19.78,-2.24,1.605
2000,0.75,3.0,171,104,60.8,20.89,-2.23,1.619
2000,0.75,4.0,171,103,60.2,22.12,-2.08,1.635
2000,0.75,6.0,171,102,59.6,24.12,-2.02,1.665
2000,0.85,1.5,171,104,60.8,20.69,-2.23,1.619
2000,0.85,2.2,171,102,59.6,22.83,-2.08,1.650
2000,0.85,3.0,171,102,59.6,25.19,-2.02,1.690
2000,0.85,4.0,171,102,59.6,27.93,-2.02,1.749
2000,0.85,6.0,171,102,59.6,32.66,-2.02,1.889
3000,0.45,1.5,171,105,61.4,17.02,-2.24,1.573
3000,0.45,2.2,171,105,61.4,17.32,-2.24,1.576
3000,0.45,3.0,171,105,61.4,17.61,-2.24,1.579
3000,0.45,4.0,171,105,61.4,17.90,-2.24,1.582
3000,0.45,6.0,171,104,60.8,18.33,-2.24,1.587
3000,0.55,1.5,171,105,61.4,17.55,-2.24,1.579
3000,0.55,2.2,171,105,61.4,18.07,-2.24,1.585
3000,0.55,3.0,171,104,60.8,18.57,-2.24,1.590
3000,0.55,4.0,171,104,60.8,19.11,-2.24,1.596
3000,0.55,6.0,171,104,60.8,19.91,-2.24,1.606
3000,0.65,1.5,171,104,60.8,18.48,-2.24,1.590
3000,0.65,2.2,171,104,60.8,19.42,-2.24,1.601
3000,0.65,3.0,171,104,60.8,20.37,-2.23,1.612
3000,0.65,4.0,171,104,60.8,21.41,-2.08,1.625
3000,0.65,6.0,171,102,59.6,23.05,-2.02,1.647
3000,0.75,1.5,171,104,60.8,20.21,-2.23,1.613
3000,0.75,2.2,171,104,60.8,22.04,-2.08,1.637
3000,0.75,3.0,171,102,59.6,23.99,-2.02,1.667
3000,0.75,4.0,171,102,59.6,26.21,-2.02,1.705
3000,0.75,6.0,171,102,59.6,29.91,-2.02,1.786
3000,0.85,1.5,171,102,59.6,23.70,-2.06,1.673
3000,0.85,2.2,171,102,59.6,27.63,-2.02,1.753
3000,0.85,3.0,171,102,59.6,32.09,-2.02,1.882
3000,0.85,4.0,171,101,59.1,37.42,-2.02,2.110
3000,0.85,6.0,171,100,58.5,46.83,-1.87,2.811
5000,0.45,1.5,171,105,61.4,17.60,-2.24,1.580
5000,0.45,2.2,171,105,61.4,18.12,-2.24,1.585
5000,0.45,3.0,171,104,60.8,18.63,-2.24,1.591
5000,0.45,4.0,171,104,60.8,19.16,-2.24,1.597
5000,0.45,6.0,171,104,60.8,19.94,-2.24,1.606
5000,0.55,1.5,171,104,60.8,18.55,-2.24,1.591
5000,0.55,2.2,171,104,60.8,19.49,-2.24,1.602
5000,0.55,3.0,171,104,60.8,20.43,-2.23,1.613
5000,0.55,4.0,171,104,60.8,21.45,-2.08,1.626
5000,0.55,6.0,171,102,59.6,23.02,-2.02,1.647
5000,0.65,1.5,171,104,60.8,20.30,-2.23,1.614
5000,0.65,2.2,171,103,60.2,22.11,-2.08,1.639
5000,0.65,3.0,171,102,59.6,24.02,-2.02,1.666
5000,0.65,4.0,171,102,59.6,26.15,-2.02,1.701
5000,0.65,6.0,171,102,59.6,29.61,-2.02,1.769
5000,0.75,1.5,171,102,59.6,23.78,-2.02,1.675
5000,0.75,2.2,171,102,59.6,27.62,-2.02,1.750
5000,0.75,3.0,171,102,59.6,31.89,-2.02,1.859
5000,0.75,4.0,171,101,59.1,36.87,-2.02,2.035
5000,0.75,6.0,171,100,58.5,45.44,-1.87,2.511
5000,0.85,1.5,171,102,59.6,31.46,-2.02,1.938
5000,0.85,2.2,171,101,59.1,40.49,-2.02,2.403
5000,0.85,3.0,171,100,58.5,51.08,-1.87,3.439
5000,0.85,4.0,171,99,57.9,64.07,-1.87,5.921
5000,0.85,6.0,171,99,57.9,87.59,-1.87,16.266
