system_label,variant,contrast_mode,nominal_cap,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
MACS1931,hard_A7p5,hard,7.5,4,4,True,10.744129084783228
MACS1931,hard_A10p0,hard,10.0,4,4,True,10.827214712993754
MACS1931,hard_A15p0,hard,15.0,4,4,True,10.90619653757564
MACS1931,hard_A20p0,hard,20.0,4,4,True,10.920836065429118
MACS1931,tanh_A3p0,tanh,3.0,4,1,False,inf
MACS1931,tanh_A5p0,tanh,5.0,4,2,False,inf
MACS1931,tanh_A7p5,tanh,7.5,4,3,False,inf
MACS1931,tanh_A10p0,tanh,10.0,4,3,False,inf
MACS1931,tanh_A15p0,tanh,15.0,4,3,False,inf
MACS1931,tanh_A20p0,tanh,20.0,4,4,True,10.988874457334305
MACS1931,exponential_A3p0,exponential,3.0,4,1,False,inf
MACS1931,exponential_A5p0,exponential,5.0,4,1,False,inf
MACS1931,exponential_A7p5,exponential,7.5,4,1,False,inf
MACS1931,exponential_A10p0,exponential,10.0,4,1,False,inf
MACS1931,exponential_A15p0,exponential,15.0,4,2,False,inf
MACS1931,exponential_A20p0,exponential,20.0,4,2,False,inf
MACS1931,rational_A3p0,rational,3.0,4,2,False,inf
MACS1931,rational_A5p0,rational,5.0,4,2,False,inf
MACS1931,rational_A7p5,rational,7.5,4,1,False,inf
MACS1931,rational_A10p0,rational,10.0,4,1,False,inf
MACS1931,rational_A15p0,rational,15.0,4,1,False,inf
MACS1931,rational_A20p0,rational,20.0,4,1,False,inf
