system_label,variant,contrast_mode,nominal_cap,source,route_fraction_multiplier,return_length_over_R80,width_over_R80,gate_mode,ordinary_geometry,source_positions,field_policy,contrast_cap,parameter,level,R50_kpc,R80_kpc,concentration_R50_over_R80,extent_gate,effective_route_fraction,return_length_kpc,endpoint_width_kpc,route_map_normalization_error,route_centroid_x_arcsec,route_centroid_y_arcsec,maximum_carrier_weighted_annular_mean_error,minimum_light_weight,maximum_light_weight,empty_annuli,contrast_strength,minimum_light_weight_after_strength,maximum_light_weight_after_strength,grid_spacing_arcsec,carrier_convergence_minimum,carrier_convergence_maximum,maximum_annular_convergence_mean_fraction,delta_convergence_minimum,delta_convergence_maximum,raw_correction_RMS_arcsec,raw_correction_maximum_arcsec,maximum_independent_circular_mean_deflection_arcsec,normalized_curl_RMS,maximum_edge_correction_arcsec,maximum_edge_delta_convergence
MACS0329,tanh_A15p0,tanh,15.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,15.0,smooth_saturation,tanh_A15p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.635528660629812e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,1.2946422819900005e-16,-0.2389715053546692,9.498793648695537,0.7171101288625814,8.15677415397509,0.0001910353624031691,3.137250995895968e-17,0.24191822393522783,0.0
MACS0329,tanh_A20p0,tanh,20.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,20.0,smooth_saturation,tanh_A20p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.513541064297448e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.323161667614516e-16,-0.2392394584062884,9.498793648695539,0.7220367877123232,8.177777448710268,0.00019102819062577492,3.1597313112647814e-17,0.24483818394777782,0.0
MACS0329,exponential_A3p0,exponential,3.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,3.0,smooth_saturation,exponential_A3p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.408904891329392e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,1.316774717816641e-16,-0.20736376294413864,9.498793648695537,0.622209486486946,7.018445453913305,0.00017763658405312022,3.158659574332961e-17,0.20198314748098345,0.0
MACS0329,exponential_A5p0,exponential,5.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,5.0,smooth_saturation,exponential_A5p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.5488728417515114e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,9.208775171849121e-17,-0.21948556114617754,9.498793648695539,0.656222194760883,7.376681321646426,0.0001833941734853406,3.143819607636013e-17,0.21590920934510277,0.0
MACS0329,exponential_A7p5,exponential,7.5,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,7.5,smooth_saturation,exponential_A7p5,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.408904891329392e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,9.107490612680525e-17,-0.22606993710688572,9.498793648695537,0.6765691592021676,7.638996840268654,0.0001860837672738036,3.055333438105889e-17,0.22446841921245303,0.0
MACS0329,exponential_A10p0,exponential,10.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,10.0,smooth_saturation,exponential_A10p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.2162769349392287e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.3377561609798998e-16,-0.2294059416987689,9.498793648695539,0.6882156873109233,7.775513711779868,0.00018737547260416765,2.9976205031471496e-17,0.2295897013143419,0.0
MACS0329,exponential_A15p0,exponential,15.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,15.0,smooth_saturation,exponential_A15p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.8350180027455657e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,8.815652848047143e-17,-0.23277067464297996,9.498793648695537,0.701529122222448,7.916939533305585,0.00018862952621023776,3.0862244112666445e-17,0.23585647750936709,0.0
MACS0329,exponential_A20p0,exponential,20.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,20.0,smooth_saturation,exponential_A20p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.316483795646751e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,1.7283966361092217e-16,-0.23446369370279022,9.498793648695537,0.7091589795336717,8.072437021180145,0.00018924190348823533,3.0864111398728134e-17,0.23967444633009688,0.0
MACS0329,rational_A3p0,rational,3.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,3.0,smooth_saturation,rational_A3p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,3.7887733540173914e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,1.2361126808926376e-16,-0.18947264077896037,9.498793648695537,0.5870934098596265,7.134643387458106,0.00016502819134467384,3.062287743234503e-17,0.18813757288307068,0.0
MACS0329,rational_A5p0,rational,5.0,P0581 K0338 primary,1.0,0.36,0.23,cluster_logistic,P0581 fitted geometry held fixed,P0581 fitted source positions held fixed,ordinary baryonic field local; only zero-monopole angular distribution of the P0554 excess changes,5.0,smooth_saturation,rational_A5p0,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,56.15272887442255,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,4.2704442216232106e-16,0.0,648.331964339609,114.0,1.0,0.0,648.331964339609,1.0,0.005025401364310198,2.006153940456033,1.316774717816641e-16,-0.20554695048812732,9.498793648695537,0.6258256554501201,7.305965201292726,0.00017552610674964608,3.038047019947819e-17,0.20387721824315846,0.0
