catalog_id,ra_deg,dec_deg,instrument_code,spectroscopic_redshift,f160w_kron_mag,rest_frame_velocity_km_s
576,177.7034708,-28.0961019,v,0.3902,19.19,1495.3863660811141
1190,177.7075831,-28.0863687,m,0.3906,19.2,1582.0754307814707
908,177.6959579,-28.0909943,m,0.384,19.22,151.70586322562724
1109,177.6993098,-28.0875997,m,0.386,19.22,585.1511867273987
894,177.721122,-28.0896119,m,0.373,19.23,-2232.243416034116
1002,177.7007267,-28.0876564,m,0.3983,19.23,3250.8399262632865
2353,177.6906759,-28.0717362,d,0.396,19.24,2752.377804236256
1611,177.7029433,-28.0811398,m,0.3981,19.28,3207.4953939131137
837,177.6917111,-28.091282,m,0.3759,19.3,-1603.747696956545
3267,177.6956245,-28.0886161,m,0.3752,19.37,-1755.4535601821724
1303,177.7377381,-28.0843609,d,0.3638,19.39,-4226.09190414226
419,177.6913478,-28.1009665,d,0.3722,19.4,-2405.6215454348294
1168,177.7276596,-28.0862416,m,0.3917,19.41,1820.4703587074425
2927,177.7137242,-28.0709294,v,0.3785,19.42,-1040.2687764042444
1132,177.6818771,-28.0873672,m,0.3767,19.43,-1430.3695675558436
1227,177.7257844,-28.086893,m,0.387,19.43,801.8738484782845
1158,177.74158,-28.0867796,d,0.3919,19.44,1863.8148910576272
742,177.7397307,-28.0932457,d,0.3791,19.47,-910.2351793537154
367,177.6920554,-28.1012704,d,0.387,19.47,801.8738484782845
2278,177.7122913,-28.0713655,m,0.3765,19.49,-1473.714099906016
1340,177.679852,-28.0853641,m,0.3709,19.55,-2687.3610057109736
988,177.7132076,-28.090024,m,0.3828,19.57,-108.36133087544287
822,177.7118803,-28.0924199,m,0.3832,19.58,-21.67226617508617
624,177.7159738,-28.094695,m,0.3769,19.64,-1387.0250352056592
2556,177.7144577,-28.0673332,d,0.3811,19.66,-476.78985585194386
3204,177.7432772,-28.0790502,v,0.387,19.7,801.8738484782845
20,177.7085483,-28.1162299,v,0.3795,19.74,-823.5461146533587
543,177.6876217,-28.0985546,d,0.3865,19.77,693.5125176028416
2001,177.7204899,-28.0544835,d,0.388,19.79,1018.5965102291703
2153,177.7084388,-28.0732129,m,0.3821,19.79,-260.0671941010581
2709,177.7176333,-28.065713,d,0.3954,19.83,2622.3442071857153
1459,177.718067,-28.0819793,m,0.4017,19.85,3987.6969762163003
619,177.7209246,-28.09627,m,0.3822,19.89,-238.39492792597193
2888,177.7093972,-28.0698806,m,0.3727,19.91,-2297.260214559387
2504,177.7166718,-28.0618853,d,0.3897,19.92,1387.0250352056712
1347,177.7109856,-28.0854159,m,0.3884,19.99,1105.285574929527
1624,177.7146471,-28.0815417,m,0.3807,20.01,-563.4789205523006
818,177.6861998,-28.0937881,m,0.3997,20.09,3554.2516527145285
2405,177.6911113,-28.0606635,d,0.3807,20.11,-563.4789205523006
550,177.6833663,-28.0970328,v,0.3873,20.13,866.890647003543
1025,177.7457002,-28.0896506,d,0.3863,20.14,650.1679852526572
2849,177.6922157,-28.0702813,v,0.386,20.15,585.1511867273987
1734,177.7131141,-28.0461013,d,0.3837,20.18,86.68906470035671
1700,177.7068381,-28.0813556,m,0.3741,20.21,-1993.8484881081442
1852,177.7133525,-28.0783953,m,0.3859,20.22,563.4789205523126
1674,177.6991095,-28.0797564,m,0.3956,20.27,2665.6887395358995
943,177.7240443,-28.0915911,m,0.376,20.28,-1582.0754307814589
2012,177.7025977,-28.0741926,m,0.3907,20.28,1603.7476969565569
1609,177.699979,-28.0814049,m,0.3826,20.29,-151.70586322561522
1610,177.7150187,-28.0822959,m,0.3781,20.31,-1126.9578411046011
572,177.7226088,-28.0976035,m,0.3871,20.32,823.5461146533706
841,177.7271968,-28.0931155,m,0.3786,20.32,-1018.5965102291582
502,177.7161261,-28.0993045,m,0.365,20.33,-3966.024710041202
1304,177.6843335,-28.0864962,m,0.3723,20.39,-2383.949279259731
1597,177.6979135,-28.0831276,m,0.3948,20.62,2492.310610135186
562,177.7141182,-28.0980354,m,0.3856,20.67,498.462122027042
788,177.7267819,-28.093618,m,0.3885,20.68,1126.957841104613
2991,177.705867,-28.0724299,m,0.3851,20.71,390.10079115159914
1249,177.6846088,-28.0870927,m,0.3707,20.72,-2730.705538061158
574,177.7209325,-28.0973361,m,0.3881,20.73,1040.2687764042564
994,177.6961704,-28.0908799,m,0.3838,20.73,108.36133087544287
1922,177.7090716,-28.0801953,m,0.3769,20.77,-1387.0250352056592
963,177.7241391,-28.0913598,m,0.3888,20.8,1191.9746396298717
1091,177.7166166,-28.0862507,m,0.3815,20.82,-390.10079115158715
1198,177.6802489,-28.0880328,m,0.3723,20.84,-2383.949279259731
551,177.7218215,-28.0968153,m,0.3813,20.85,-433.4453235017715
1171,177.713874,-28.0884818,m,0.4004,20.85,3705.957515940144
3184,177.7047915,-28.079486,m,0.3868,20.87,758.5293161281
2454,177.7069955,-28.0681235,m,0.3811,20.89,-476.78985585194386
1337,177.6797058,-28.0858456,m,0.3858,20.9,541.8066543772144
1648,177.7166862,-28.0817934,m,0.3934,20.92,2188.898883683956
3102,177.7008747,-28.0778196,m,0.376,20.94,-1582.0754307814589
1717,177.717851,-28.0767877,m,0.3857,20.97,520.1343882021282
3098,177.6974778,-28.0760508,m,0.3839,20.98,130.03359705054106
