galaxy,model,field_job_id,field_job_sha256,field_result_sha256,field_input_bundle_sha256,observation_bundle_sha256,field_artifact_hashes_valid,universal_gravity_parameters,per_object_gravity_parameters,adapter_valid_pixels,independent_valid_pixels,valid_pixel_support_exact,adapter_declared_weighted_rmse_km_s,independent_declared_weighted_rmse_km_s,weighted_rmse_parity_difference_m_s,prediction_parity_rmse_m_s,prediction_parity_max_abs_m_s,p0712_original_weighted_rmse_km_s,p0712_to_p0731_score_change_km_s
DDO53,newtonian_poisson,job_e72be15094cc92b91fd74f2e,402898eb87a72108534f870e6ead5abf8ef2daf61781489c60ee4b0424eff204,a0b6040ed9898b3aa939d4dcec7fe39e7ff90d0315df10adc45b0f7a2c06680b,3e819d1aa4ee04a398e88e77a592051d893734bb66a7108cfbfdf72ce0762d36,b078aa119d495048863eab0f90244bd7b3a7a65c1262dfe0bba2416e508a3b87,True,1,0,21365,21365,True,20.04978103920232,20.049781039202323,3.637978807091713e-12,2.981454336622069e-11,1.0031726560555398e-09,21.90694427524486,-1.8571632360425419
DDO53,aqual_simple_mu,job_92afa2d1b21307e394e8658a,9889cb0aaca2209f7574899ecb0db5addf4412779f2332f16177f049c765e139,2f42ad9a8db75e9ccbd5f5b63b1f24c5fc9d7dcf6de039d8a21ba36013179af0,3e819d1aa4ee04a398e88e77a592051d893734bb66a7108cfbfdf72ce0762d36,b078aa119d495048863eab0f90244bd7b3a7a65c1262dfe0bba2416e508a3b87,True,2,0,21365,21365,True,23.050732866951552,23.050732866951552,0.0,9.807476488174043e-11,4.591129254549742e-09,27.71741962217447,-4.666686755222919
DDO53,qumond_simple_nu,job_cfefd4be90e69f2d5cba40ad,810d524a4ddf7e90343dd585e2594c34f54869ec5918ab2d7dfed4ceba89e02f,330b95f84adb7810e34e815869f213c91df6d70f783c3baadf10e3e4313c328e,3e819d1aa4ee04a398e88e77a592051d893734bb66a7108cfbfdf72ce0762d36,b078aa119d495048863eab0f90244bd7b3a7a65c1262dfe0bba2416e508a3b87,True,2,0,21365,21365,True,22.401073314262703,22.4010733142627,3.637978807091713e-12,8.863752618533776e-11,2.688466338440776e-09,27.65132872168268,-5.250255407419978
DDO53,refracted_gravity_published_fixture,job_a47d93aa4eba562b573e4d31,359923a96c24469beef6c34bdf86a36fc74c4927d76542a748ec7ae56a874941,09e00ecec3a9fdb02d58bd0e3013526a8e88f3647276629c7e5306b607066279,3e819d1aa4ee04a398e88e77a592051d893734bb66a7108cfbfdf72ce0762d36,b078aa119d495048863eab0f90244bd7b3a7a65c1262dfe0bba2416e508a3b87,True,4,0,21365,21365,True,22.174523900810495,22.174523900810495,0.0,9.156165404423147e-11,3.874447429552674e-09,,
DDO87,newtonian_poisson,job_e0bd70d5208d50d86eaa26a7,dba03e6db6b31cf1a95955d36089da8d5138f93379a61d70dadff91b4add027a,669825d81b51256afcb6432b6579e6dca2c1cd21c969973c97e43f4fa33fb587,46ec47c7cf5e6fb9ff7b7dd618f4effaa9a0fe6ccbf3d7f07ce01d319988b640,2fd9d6bafb4acb6a05d13595fe6fd04b3473ebe6c706e39ff49fad6b94bb9557,True,1,0,34222,34222,True,16.52487813546107,16.52487813546107,0.0,9.299133434330852e-12,2.1827872842550278e-10,15.799956641669723,0.7249214937913457
DDO87,aqual_simple_mu,job_fb0680ddc3d131dd77f8758c,574a6ff8f0fb9bb8afdeb3939d72e0daf669afecc31ded266691468bf3100cec,fae1b8946844531d17c51fa888a1063e4219f06cca33753965f60fcaa99f545e,46ec47c7cf5e6fb9ff7b7dd618f4effaa9a0fe6ccbf3d7f07ce01d319988b640,2fd9d6bafb4acb6a05d13595fe6fd04b3473ebe6c706e39ff49fad6b94bb9557,True,2,0,34222,34222,True,7.859534300783714,7.859534300783718,3.637978807091713e-12,3.4226757951473576e-11,8.840288501232862e-10,7.64393130560734,0.2156029951763747
DDO87,qumond_simple_nu,job_f28084ae3dccb10ac0ed61d5,902ddd04bedc42e2e77e45f32b1ca55c19e90d0369874fa4d3de1df1956c83bb,405b1042906bc71d8c3cdf94cdb220fc09eb154aa64c6b1acee804f32f930f79,46ec47c7cf5e6fb9ff7b7dd618f4effaa9a0fe6ccbf3d7f07ce01d319988b640,2fd9d6bafb4acb6a05d13595fe6fd04b3473ebe6c706e39ff49fad6b94bb9557,True,2,0,34222,34222,True,8.46882940105191,8.468829401051915,5.4569682106375694e-12,3.011461301173961e-11,5.784386303275824e-10,7.71815698379383,0.7506724172580794
DDO87,refracted_gravity_published_fixture,job_f95a784ca9a43841c3834135,0aee9d54a6c026185731b9c30053aa8fa60665d61fe3a147650a78be0006810e,b6b86a474ee0b5c20f8240cd7535e345871cbe8e9e0deb34728bac6e31ea4ad5,46ec47c7cf5e6fb9ff7b7dd618f4effaa9a0fe6ccbf3d7f07ce01d319988b640,2fd9d6bafb4acb6a05d13595fe6fd04b3473ebe6c706e39ff49fad6b94bb9557,True,4,0,34222,34222,True,8.937476635324247,8.93747663532425,3.637978807091713e-12,2.8380574465906706e-11,7.494236342608929e-10,,
DDO101,newtonian_poisson,job_34062f4d57e20991ecbe9221,d7dfb1e0725964b12fab9c563b5ae4cc6ee607004dc2ea0cb8a71cf9b90ed62f,6975c7fd4a1f19d2ae5c49d45e809dcc3f0ca77b4cd9b3d268ea151e02693ce5,f753c66b7daa41893216eecc2ba95e3f874931397564ca482cf205b338a61f41,8e950ad7477d507c0ad25b223817310d36cba654e72c76029fe484cb19a46081,True,1,0,6115,6115,True,30.874588934878105,30.87458893487811,3.637978807091713e-12,1.4834979952121088e-11,2.3669599613640457e-10,41.35627129933808,-10.481682364459978
DDO101,aqual_simple_mu,job_a172897eff2096dc9ecc72f1,63a4f91296477bfdc76f29421952028e0beba6724e37bc6fa06d453e55a036b4,7957dd6a628e8d97d5d8af5804472042d1da326bc1a2b9fd87809ff69d1ec227,f753c66b7daa41893216eecc2ba95e3f874931397564ca482cf205b338a61f41,8e950ad7477d507c0ad25b223817310d36cba654e72c76029fe484cb19a46081,True,2,0,6115,6115,True,24.552837386819537,24.552837386819537,0.0,3.2705161878971994e-11,4.611138137988746e-10,50.98456722730181,-26.431729840482273
