galaxy,role,filename,url,relative_path,bytes,sha256,valid,shape,finite,beam_major_deg,beam_minor_deg,beam_position_angle_deg,unit
DDO50,V_band,d50v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo50/d50v.fits,data/raw/p0633_little_things_baryons/DDO50/d50v.fits,3574080,234ab4b5818f6c86c2b04ebf58750acfe72c126f975dcf65dd4823318c943e9a,True,951x938,True,,,,
DDO50,UBV_calibration,d50_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo50/d50_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO50/d50_ubvcalib.txt,32554,52da402fb73ff4bd7ea94f4e79dd9b9fc154c1b928048b1b01270459d22ad384,True,,,,,,
DDO52,H_I_moment_0,DDO52_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo52/HI/DDO52_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO52/DDO52_NA_X0_P_R.FITS,4366080,15eb27b5f248d67e9b6a1bdb14ed57a8b5662cf46b64d64b779d67848c1f0039,True,1024x1024,True,0.0032669,0.0019848,72.92,JY/B*M/S
DDO52,B_band,d52b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo52/d52b.fits,data/raw/p0633_little_things_baryons/DDO52/d52b.fits,4095360,6b606077920bf075ae159bec678ec31f2177a652eed08e3acc10fe0d1762b9c3,True,1011x1011,True,,,,
DDO52,V_band,d52v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo52/d52v.fits,data/raw/p0633_little_things_baryons/DDO52/d52v.fits,4095360,a42b10e871a4d99c9c2a4b29c939fa2513197a659913c3b1c03e686cc6c6d785,True,1011x1011,True,,,,
DDO52,UBV_calibration,d52_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo52/d52_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO52/d52_ubvcalib.txt,36885,b5799b8ef5e006c7ef2b3b9d62bc52b458db64170adc910caa742dfbf2ce4fa2,True,,,,,,
DDO53,H_I_moment_0,DDO53_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo53/HI/DDO53_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO53/DDO53_NA_X0_P_R.FITS,4245120,fab3b248854649b02564a9f7f6975fba3e2b93f455c93c632672cb6bc18746e4,True,1024x1024,True,0.0032651,0.0026474,-5.95,JY/B*M/S
DDO53,B_band,d53b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo53/d53b.fits,data/raw/p0633_little_things_baryons/DDO53/d53b.fits,16513920,0416de04d678b06ed344d79176ef282c0c3cbcb299a025c1bb1ef4ed1daed0f5,True,2042x2021,True,,,,
DDO53,V_band,d53v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo53/d53v.fits,data/raw/p0633_little_things_baryons/DDO53/d53v.fits,16513920,145f27d56859effc319cc1e61e49cce13ae0c1ea38cab12acf8d8c237859189d,True,2042x2021,True,,,,
DDO53,UBV_calibration,d53_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo53/d53_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO53/d53_ubvcalib.txt,32466,b9cefbcf450a79268887c70b12b765321a405435b04632288bf38149c71e36dd,True,,,,,,
DDO87,H_I_moment_0,DDO87_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo87/HI/DDO87_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO87/DDO87_NA_X0_P_R.FITS,4348800,a906a40b8e1036d1fceeb8e01e91df53461ed870136a890532c1bf292820f63a,True,1024x1024,True,0.0035472,0.0032943,63.09,JY/B*M/S
DDO87,B_band,d87b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo87/d87b.fits,data/raw/p0633_little_things_baryons/DDO87/d87b.fits,3349440,475315f099bb8f82c68d0aa53003e65ee44ca071fbf3a3a47f7f50818b5ef956,True,914x914,True,,,,
DDO87,V_band,d87v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo87/d87v.fits,data/raw/p0633_little_things_baryons/DDO87/d87v.fits,3349440,479a54c68a9cd1a4ed3ddc7b63253f22c73fe812dc7e592c38d708b4ac0c0a6e,True,914x914,True,,,,
DDO87,UBV_calibration,d87_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo87/d87_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO87/d87_ubvcalib.txt,32554,31f1b64d02d4523961d7ba267c676666c60c3aa6b7049a1b59742cb22412bf88,True,,,,,,
DDO101,H_I_moment_0,DDO101_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo101/HI/DDO101_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO101/DDO101_NA_X0_P_R.FITS,4380480,bfbf8c44c8e3745e7f10bd2f2cbdb98874297e9af5a6e246fa3868e0f8404f24,True,1024x1024,True,0.0035144,0.0034662,46.85,JY/B*M/S
DDO101,B_band,d101b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo101/d101b.fits,data/raw/p0633_little_things_baryons/DDO101/d101b.fits,3113280,6cbf87ae09aa9f8366b305a2e1edc5eca454323ee8c47dd2f425b9d765193887,True,881x881,True,,,,
DDO101,V_band,d101v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo101/d101v.fits,data/raw/p0633_little_things_baryons/DDO101/d101v.fits,3113280,cbf9ff4107801f8f5dc3bd041be152c74a1fbca0bf6f909cfb83644bb50c4399,True,881x881,True,,,,
DDO101,UBV_calibration,d101_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo101/d101_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO101/d101_ubvcalib.txt,33293,944c20c6b01701b29e868220cf4ba6ee5950e107200bf56f87d7af413127c880,True,,,,,,
DDO126,H_I_moment_0,DDO126_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo126/HI/DDO126_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO126/DDO126_NA_X0_P_R.FITS,4386240,7b33e74ac88f43fd07225f7c3f1626a1f3f2b9aa5ee5ea188da31f553e0115f4,True,1024x1024,True,0.0033864,0.0025792,75.69,JY/B*M/S
DDO126,B_band,d126b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo126/d126b.fits,data/raw/p0633_little_things_baryons/DDO126/d126b.fits,3473280,1ec3202217decdf0a4635cf2e891680e8c40824573230c9529e7ae259e4d5be6,True,961x902,True,,,,
DDO126,V_band,d126v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo126/d126v.fits,data/raw/p0633_little_things_baryons/DDO126/d126v.fits,3473280,94aede93d3c57487588d688afeb3b31081f34ee5dfdef75319197f046da6e3b5,True,961x902,True,,,,
DDO126,UBV_calibration,d126_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo126/d126_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO126/d126_ubvcalib.txt,32571,5d56c62ef39129ed1cba6dc1298f089284b8dddbf804f12a82c7207e1bf7fa66,True,,,,,,
DDO133,H_I_moment_0,DDO133_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo133/HI/DDO133_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO133/DDO133_NA_X0_P_R.FITS,4377600,e29c0b9d43cf3cf54449beba2932d975d6cfb961cc65217734e502053016f867,True,1024x1024,True,0.0053254,0.0050349,-83.95,JY/B*M/S
DDO133,B_band,d133b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo133/d133b.fits,data/raw/p0633_little_things_baryons/DDO133/d133b.fits,3556800,ae7ee1048d968c29d07ffe01ad59650620f6431ec234f9df8e982807d8f491db,True,942x942,True,,,,
DDO133,V_band,d133v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo133/d133v.fits,data/raw/p0633_little_things_baryons/DDO133/d133v.fits,3556800,ebb302b7c1065a543fc7d29c18e6e987ede2512d9b3d08ada27005ea412edd3b,True,942x942,True,,,,
DDO133,UBV_calibration,d133_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo133/d133_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO133/d133_ubvcalib.txt,32577,4183341d2810c6945dd0c12e578f42b919b3dd4b3c73ead0e739a4dfe27fa52a,True,,,,,,
DDO210,H_I_moment_0,DDO210_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo210/HI/DDO210_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO210/DDO210_NA_X0_P_R.FITS,4345920,6c3858d8f8003f488af5cb3bbc3efe0150016c08a9e73d80b2b84a96b496b2a5,True,1024x1024,True,0.0046232,0.0039228,-4.0,JY/B*M/S
DDO210,B_band,d210b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo210/d210b.fits,data/raw/p0633_little_things_baryons/DDO210/d210b.fits,32031360,fc316029985ed7213b2597be79b55514deac265ebc6d244bd1cd75451f075af1,True,2001x4000,True,,,,
DDO210,V_band,d210v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo210/d210v.fits,data/raw/p0633_little_things_baryons/DDO210/d210v.fits,32031360,5d93c388acc03f32752f4d69b767d27bdd33180791d285b68158033bf2d99cfa,True,2001x4000,True,,,,
DDO210,UBV_calibration,d210_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo210/d210_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO210/d210_ubvcalib.txt,31431,185ba13c517d008cf1f6b668b09985b969fe951560ff04724bc20a625eb6271b,True,,,,,,
DDO216,H_I_moment_0,DDO216_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo216/HI/DDO216_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO216/DDO216_NA_X0_P_R.FITS,1111680,78856f19ae0fd62d5f575e0127acfab86b354ba76c30c6921f015f409a911dfc,True,512x512,True,0.00556,0.0052543,55.2,JY/B*M/S
DDO216,B_band,d216b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo216/d216b.fits,data/raw/p0633_little_things_baryons/DDO216/d216b.fits,16119360,e6e50e662c14463a161e48c74887d2968b9146a19019a65a4312441cd2602e00,True,2018x1996,True,,,,
DDO216,V_band,d216v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo216/d216v.fits,data/raw/p0633_little_things_baryons/DDO216/d216v.fits,16119360,c21bcf3dbf06cc3a5934032d58274491e6a9b87f0b0313959b2a84c87bbeb49f,True,2018x1996,True,,,,
DDO216,UBV_calibration,d216_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo216/d216_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO216/d216_ubvcalib.txt,32511,14314f1150e44bcc22389964cfa4e8d2056881f025579502483032b0e9b5c044,True,,,,,,
NGC1569,H_I_moment_0,NGC1569_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ngc1569/HI/NGC1569_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/NGC1569/NGC1569_NA_X0_P_R.FITS,16827840,265cb9eda01f4466e46fbceb189f365c04cd63726fc2c3e53983f9b20c38dd61,True,2048x2048,True,0.0021405,0.0019545,16.5,JY/B*M/S
NGC1569,B_band,n1569b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ngc1569/n1569b.fits,data/raw/p0633_little_things_baryons/NGC1569/n1569b.fits,16695360,cc8049d3c220a5586ba5917c38ecc898d315efafe8d3242dadbf81f65b3eecd0,True,2041x2044,True,,,,
NGC1569,V_band,n1569v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ngc1569/n1569v.fits,data/raw/p0633_little_things_baryons/NGC1569/n1569v.fits,16695360,265f457606c7a0111eb1633ac3709b9d2c7f1cb38666c991172415e000ba1656,True,2041x2044,True,,,,
NGC1569,UBV_calibration,n1569_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ngc1569/n1569_ubvcalib.txt,data/raw/p0633_little_things_baryons/NGC1569/n1569_ubvcalib.txt,32525,3aeceebbd644294dd1b6a61084d67910ee3a83c2b87b44b50ac8eef30f2c0ca3,True,,,,,,
UGC8508,H_I_moment_0,UGC8508_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ugc8508/HI/UGC8508_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/UGC8508/UGC8508_NA_X0_P_R.FITS,4389120,260ec1bb6882cbd06254291aa4d60b0e2d89607fc3ff18fa53da57e7f1ca7a55,True,1024x1024,True,0.0026385,0.0016482,-85.8,JY/B*M/S
UGC8508,B_band,u8508b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ugc8508/u8508b.fits,data/raw/p0633_little_things_baryons/UGC8508/u8508b.fits,3196800,8348021230cf96e8f137b6e235b7e6afc119d44659b6d3af70a54dc0d6befa3f,True,893x893,True,,,,
UGC8508,V_band,u8508v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ugc8508/u8508v.fits,data/raw/p0633_little_things_baryons/UGC8508/u8508v.fits,3196800,852ec6a79ba27d67f2ffffc6298fa08f2d87a1184d49d547106a6b92d6b7828e,True,893x893,True,,,,
UGC8508,UBV_calibration,u8508_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ugc8508/u8508_ubvcalib.txt,data/raw/p0633_little_things_baryons/UGC8508/u8508_ubvcalib.txt,32584,a1880423bfddb344bc933ae0f8950e9a9e89c629429a04a882400ca1e7b3fa72,True,,,,,,
