candidate_id,route_geometry,strength,route_fraction,gate_power,scalar_completion,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s
contract__s0.1__f0.75__n2__none,contract,0.1,0.75,2.0,none,71.14930853470912,65.51096488740072,-65.02904434881899
contract__s0.1__f0.75__n1__none,contract,0.1,0.75,1.0,none,71.18183438234878,65.54112897466409,-65.05679837468776
contract__s0.2__f0.25__n4__none,contract,0.2,0.25,4.0,none,71.18220201312297,65.52700230766963,-65.06918019609499
contract__s0.2__f0.25__n2__none,contract,0.2,0.25,2.0,none,71.19675033142083,65.5395097955768,-65.07953086694714
contract__s0.2__f0.25__n1__none,contract,0.2,0.25,1.0,none,71.22729587844424,65.56831953596482,-65.10800984523179
contract__s0.1__f0.5__n0__none,contract,0.1,0.5,0.0,none,71.24522512246236,65.61114941029555,-65.12606352810431
contract__s0.1__f0.5__n4__none,contract,0.1,0.5,4.0,none,71.27667960715168,65.63310036775138,-65.18863381005241
contract__s0.1__f0.5__n2__none,contract,0.1,0.5,2.0,none,71.2870535936541,65.64188730654713,-65.19496649096295
contract__s0.1__f0.5__n1__none,contract,0.1,0.5,1.0,none,71.30908196621817,65.66233441562657,-65.21370925740251
contract__s0.1__f0.25__n0__none,contract,0.1,0.25,0.0,none,71.40637577979821,65.75998396903667,-65.32845829795788
contract__s0.1__f0.25__n4__none,contract,0.1,0.25,4.0,none,71.4223388304794,65.77110502803917,-65.35983832198873
contract__s0.1__f0.25__n2__none,contract,0.1,0.25,2.0,none,71.42760430132182,65.77556629470524,-65.36305144681825
contract__s0.1__f0.25__n1__none,contract,0.1,0.25,1.0,none,71.43880063662517,65.78596846119062,-65.3725516557533
contract__s0.05__f1__n0__none,contract,0.05,1.0,0.0,none,71.49381446852874,65.90115053320334,-65.44624526424911
contract__s0.05__f1__n4__none,contract,0.05,1.0,4.0,none,71.51040316303857,65.90837257771886,-65.48512675023673
contract__s0.05__f1__n2__none,contract,0.05,1.0,2.0,none,71.51152633917012,65.90881809570045,-65.48256656367991
contract__s0.05__f0.75__n0__none,contract,0.05,0.75,0.0,none,71.51202190424684,65.90280828065801,-65.46735268369156
contract__s0.05__f1__n1__none,contract,0.05,1.0,1.0,none,71.51324563858482,65.90839344260537,-65.4786608786016
contract__s0.05__f0.75__n4__none,contract,0.05,0.75,4.0,none,71.52457610531684,65.90828464411582,-65.49655501377273
contract__s0.05__f0.75__n2__none,contract,0.05,0.75,2.0,none,71.52547374998568,65.90866175909834,-65.49466010053031
contract__s0.05__f0.75__n1__none,contract,0.05,0.75,1.0,none,71.52689727188002,65.9084708652609,-65.49180453171824
contract__s0.05__f0.5__n0__none,contract,0.05,0.5,0.0,none,71.53097847543383,65.90520184837467,-65.48892383496269
contract__s0.05__f0.5__n4__none,contract,0.05,0.5,4.0,none,71.53942333177392,65.90889278771124,-65.5084197059058
contract__s0.05__f0.5__n2__none,contract,0.05,0.5,2.0,none,71.54005864899152,65.90917289851352,-65.50717337026653
contract__s0.05__f0.5__n1__none,contract,0.05,0.5,1.0,none,71.54109736314898,65.9091305889315,-65.50531918223346
contract__s0.05__f0.25__n0__none,contract,0.05,0.25,0.0,none,71.55069224489246,65.90833257011319,-65.51096528459968
contract__s0.05__f0.25__n4__none,contract,0.05,0.25,4.0,none,71.55495250396629,65.91019812858623,-65.520727134818
contract__s0.05__f0.25__n2__none,contract,0.05,0.25,2.0,none,71.55528863969137,65.91035257067352,-65.52011250658796
contract__s0.05__f0.25__n1__none,contract,0.05,0.25,1.0,none,71.55585308131414,65.9103739253991,-65.51921042913382
diffuse__s0.25__f0.25__n1__none,diffuse,0.25,0.25,1.0,none,71.86299748090623,66.2345021808688,-65.89807419683184
diffuse__s0.25__f0.25__n2__none,diffuse,0.25,0.25,2.0,none,71.89480785749262,66.26488630041192,-65.93211469410096
diffuse__s0.25__f0.25__n4__none,diffuse,0.25,0.25,4.0,none,71.91069451695692,66.27892859468152,-65.94733015049374
diffuse__s0.25__f0.25__n0__none,diffuse,0.25,0.25,0.0,none,71.94398245094968,66.30784294841867,-66.0023621499985
diffuse__s0.4__f0.25__n1__none,diffuse,0.4,0.25,1.0,none,72.07787364458329,66.45055912066657,-66.14636951576763
diffuse__s0.4__f0.25__n2__none,diffuse,0.4,0.25,2.0,none,72.13313059136483,66.50269921789487,-66.20138561678421
diffuse__s0.4__f0.25__n4__none,diffuse,0.4,0.25,4.0,none,72.16148760740306,66.52803512963082,-66.22628121923805
diffuse__s0.25__f0.5__n1__none,diffuse,0.25,0.5,1.0,none,72.16400029926906,66.56558817010932,-66.26833704968627
diffuse__s0.4__f0.25__n0__none,diffuse,0.4,0.25,0.0,none,72.22914190986384,66.58519979700542,-66.34009363330415
diffuse__s0.25__f0.5__n2__none,diffuse,0.25,0.5,2.0,none,72.23025597632031,66.62829259516529,-66.33773517667892
diffuse__s0.5__f0.25__n1__none,diffuse,0.5,0.25,1.0,none,72.25163176874099,66.6244148638714,-66.33870731864253
diffuse__s0.25__f0.5__n4__none,diffuse,0.25,0.5,4.0,none,72.26339405735914,66.65734087728538,-66.36877768417793
diffuse__s0.5__f0.25__n2__none,diffuse,0.5,0.25,2.0,none,72.32548958889244,66.69414166728016,-66.40911405235933
diffuse__s0.25__f0.5__n0__none,diffuse,0.25,0.5,0.0,none,72.33107484022072,66.71626658424513,-66.47932289624043
diffuse__s0.5__f0.25__n4__none,diffuse,0.5,0.25,4.0,none,72.36419078386942,66.72909559542936,-66.44136970554848
diffuse__s0.6__f0.25__n1__none,diffuse,0.6,0.25,1.0,none,72.44065153889603,66.81277255897356,-66.54290693579327
diffuse__s0.5__f0.25__n0__none,diffuse,0.5,0.25,0.0,none,72.46307562036507,66.81166303336853,-66.60531162072274
diffuse__s0.25__f0.75__n1__none,diffuse,0.25,0.75,1.0,none,72.47471893105141,66.90593525421865,-66.64462400353744
diffuse__s0.6__f0.25__n2__none,diffuse,0.6,0.25,2.0,none,72.53461974621509,66.90167146133331,-66.62935135828461
diffuse__s0.25__f0.75__n2__none,diffuse,0.25,0.75,2.0,none,72.57835308256281,67.00307503104801,-66.75084943327701
diffuse__s0.6__f0.25__n4__none,diffuse,0.6,0.25,4.0,none,72.58498491715841,66.94764140947106,-66.66963436391674
diffuse__s0.4__f0.5__n1__none,diffuse,0.4,0.5,1.0,none,72.60583331967455,67.00812903930972,-66.77221631106428
diffuse__s0.25__f0.75__n4__none,diffuse,0.25,0.75,4.0,none,72.63027124178325,67.0481813597236,-66.79841042059782
diffuse__s0.6__f0.25__n0__none,diffuse,0.6,0.25,0.0,none,72.7208989208794,67.06034208796432,-66.88980876444622
diffuse__s0.4__f0.5__n2__none,diffuse,0.4,0.5,2.0,none,72.7227447612584,67.11700906684935,-66.88544271356265
diffuse__s0.25__f0.75__n0__none,diffuse,0.25,0.75,0.0,none,72.7334692486367,67.13823738655037,-66.96497115989924
diffuse__s0.75__f0.25__n1__none,diffuse,0.75,0.25,1.0,none,72.73863530938684,67.10824250351563,-66.85674212942227
diffuse__s0.4__f0.5__n4__none,diffuse,0.4,0.5,4.0,none,72.7829777175028,67.17021067771034,-66.9368127152832
diffuse__s0.25__f1__n1__none,diffuse,0.25,1.0,1.0,none,72.79578890285106,67.25610163963488,-67.0273484175847
diffuse__s0.75__f0.25__n2__none,diffuse,0.75,0.25,2.0,none,72.8642546973614,67.22750938754383,-66.9677890309867
