galaxy,sigma_v,rms_gr,rms_pair,delta_rms,improvement_pct
NGC3769,17.925,38.65390422651838,21.841140705355173,-16.812763521163205,43.49564127503805
NGC3877,25.2,29.10908735068305,41.3686467896405,12.25955943895745,-42.115918274125406
NGC3893,27.375,33.81205976768977,27.201844830020782,-6.610214937668985,19.549873574947345
NGC3917,20.55,26.009308864899815,10.707039183139903,-15.302269681759912,58.833818927079186
NGC3949,23.55,32.027021331325585,38.12064794065635,6.093626609330762,-19.026516847417824
NGC3953,32.925,18.26639069797791,31.953262733230538,13.686872035252627,-74.92926359430034
NGC3972,16.95,21.173242996045843,9.787319386823981,-11.385923609221862,53.77505756368173
NGC3992,37.2,51.50181558835592,32.21962288610755,-19.282192702248366,37.43983096900353
NGC4010,17.775,17.706376631874576,10.328841138250773,-7.377535493623803,41.665980832820125
NGC4013,26.7,39.2720830188511,28.637403044554674,-10.634679974296425,27.079490459397437
NGC4051,22.95,29.682131008832762,47.35828493160941,17.67615392277665,-59.55149890523901
NGC4068,3.9675,6.0332781675934655,4.714175918086019,-1.3191022495074467,21.86377310750792
NGC4085,19.05,33.53583468853068,39.974753927531886,6.438919239001208,-19.20011623030612
NGC4088,25.875,50.78967092195533,71.1309230682028,20.341252146247477,-40.049978227865175
NGC4100,25.725,29.35765118897049,13.10633052464766,-16.25132066432283,55.356338147475384
NGC4138,24.3,31.520891576041766,23.288892450332263,-8.231999125709503,26.11600977672357
NGC4157,27.675,40.01023827592091,44.340732334037384,4.3304940581164715,-10.82346480481388
NGC4183,16.5,33.263626959210285,12.295653471178502,-20.96797348803178,63.035740250886896
NGC4214,12.015,33.48453104145477,29.299488090153083,-4.185042951301689,12.498436803909515
NGC4217,27.675,64.40844387153237,69.72534411150266,5.316900239970295,-8.254973913940947
NGC4389,11.4525,57.39781645079807,71.36905059431525,13.971234143517187,-24.34105512618839
NGC4559,18.3,23.931662308749097,13.451413754741628,-10.480248554007469,43.792396945932296
NGC5005,39.6,57.02955192190641,60.97189595051093,3.9423440286045164,-6.9128090538094655
NGC5033,29.625,61.16313286997931,45.210439277382775,-15.952693592596532,26.082204825100757
NGC5055,26.925,58.26922066188828,62.42288002706062,4.153659365172338,-7.1283935463531805
NGC5371,31.95,35.62745617971017,63.294075053834895,27.666618874124723,-77.65533058147682
NGC5585,13.4625,24.178154775922287,14.948386057646328,-9.22976871827596,38.173999644784246
NGC5907,32.325,43.258327077427516,23.365604028576755,-19.892723048850762,45.98588154656336
NGC5985,43.725,80.13943130227766,70.89248200372903,-9.246949298548628,11.53857613946634
NGC6015,23.175,43.27900492409794,23.881727620602135,-19.397277303495805,44.81913883536476
NGC6195,37.725,43.84749983065521,56.53513811367767,12.687638283022459,-28.935830622096542
NGC6503,17.25,41.67287570412551,20.780229702776023,-20.892646001349487,50.134879458969436
NGC6674,36.3,77.68970787051921,58.978504764377846,-18.71120310614137,24.08453271226893
NGC6946,23.55,27.29685221130175,35.59509388516526,8.298241673863512,-30.39999487716675
NGC7331,35.775,70.71859232887839,76.25000687041994,5.531414541541551,-7.82172602618783
NGC7793,16.2,11.486837363798388,7.591378638746528,-3.89545872505186,33.91236945104389
NGC7814,32.1,53.457344257273526,44.30478402301037,-9.152560234263156,17.121240049290023
PGC51017,2.8575,4.522399935416963,5.8413267134084625,1.3189267779915,-29.164310915148988
UGC00128,19.575,65.11324314929104,40.08887854588187,-25.02436460340917,38.43206603307032
UGC00191,8.64,23.831490758619328,15.96782520055143,-7.863665558067899,32.996951964592405
UGC00731,10.4625,36.16596928486053,28.621814283428133,-7.544155001432397,20.85981697880406
UGC01230,15.6,43.73505435771638,25.387358420623027,-18.347695937093352,41.95192210583404
UGC01281,8.032499999999999,18.461825570134042,16.014760318952792,-2.4470652511812503,13.254730643430532
UGC02259,12.4875,39.096000450093676,31.91331105400648,-7.182689396087195,18.371928876090404
UGC02455,5.4075,35.37808204018852,41.285306737945795,5.907224697757279,-16.69741364454646
UGC02487,49.875,109.51773009092928,97.90189316288064,-11.615836928048637,10.606352887705357
UGC02885,44.7,69.35716763455243,56.136209182320655,-13.22095845223177,19.06213719956658
UGC02916,31.425,39.97364888805376,41.02413833603192,1.0504894479781584,-2.627954858261889
UGC02953,39.45,62.22481167957494,56.42876793325167,-5.796043746323271,9.314682664159513
UGC03205,32.55,33.64653417615317,23.819715834297195,-9.826818341855972,29.20603438799556
UGC03546,29.175,72.11935937530671,72.26898256704301,0.14962319173629623,-0.207466057702568
UGC03580,18.45,39.24452840755697,34.193058524406545,-5.051469883150425,12.871781336472138
UGC04278,12.57,27.66685900630416,22.102535624346945,-5.564323381957216,20.111872405499053
UGC04305,5.010000000000001,4.955072428351265,10.266609559206543,5.311537130855278,-107.19393525843218
UGC04325,13.41,35.331222541708,30.59945318915819,-4.7317693525498115,13.392600120089321
UGC04483,3.12,7.079526352533245,6.808945631430584,-0.27058072110266096,3.822017288004584
UGC04499,10.035,21.50254779202607,12.162756077735645,-9.339791714290426,43.43574447375004
UGC05005,11.3325,33.6105146121397,7.537312773146368,-26.073201838993334,77.57453921748647
UGC05253,32.775,44.104843857397995,40.99573247775521,-3.1091113796427834,7.049364894466738
UGC05414,7.334999999999999,12.492346698655776,8.145728388222537,-4.346618310433239,34.79424975373884
UGC05716,10.815,34.860659179032254,25.143795275843157,-9.716863903189097,27.87343708358082
UGC05721,11.7825,36.993423389983725,33.481533041356535,-3.5118903486271904,9.493282931955045
UGC05750,8.3475,20.787271481906608,8.243809685373579,-12.543461796533029,60.342030975305974
UGC05764,7.4925,27.9551391121523,26.34501856799797,-1.6101205441543307,5.7596584931834585
UGC05829,7.484999999999999,20.89128746050334,14.80785861633741,-6.083428844165928,29.11945401003715
UGC05918,5.714999999999999,18.378285164393436,16.102132985718324,-2.2761521786751118,12.385008494073144
UGC05986,16.95,38.97404649965343,30.176941522047287,-8.797104977606146,22.571700317759852
UGC06399,11.625,28.750319030139067,20.133913530937182,-8.616405499201885,29.969773518580002
UGC06446,12.254999999999995,37.554663229842475,29.550063465046495,-8.00459976479598,21.314529478819015
UGC06614,29.025,50.98495587013215,41.59856856914479,-9.386387300987359,18.410111651162698
