galaxy,fold,points,baryonic_mass_solar,gas_fraction,stellar_bulge_fraction,hubble_type,mean_surface_R80,potential_depth_median,selected_MSE,constant_MSE,RAR_MSE,selected_mean_residual,constant_mean_residual,RAR_mean_residual,selected_q_mean,potential_activation_fraction,selected_RMSE_km_s,constant_RMSE_km_s,RAR_RMSE_km_s,mass_regime,gas_regime,bulge_regime,hubble_regime,surface_regime
NGC1003,2,11,9428799962.582546,0.7145339586198657,0.0,6,4795279.230996616,1.9251676176737724e-08,355.67616883560066,649.6218838200951,59.121548795559605,-18.11744936984526,-25.039437469568238,-6.366989759180897,1.4914441698220104,0.0,18.859378803014714,25.48768102084015,7.689053829669787,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
NGC1090,3,8,35548100088.771454,0.2608079650370006,0.0,4,131153740.77610222,9.224722423479341e-08,7.1804635980899265,2.0621832580177593,13.791475558042704,2.4303139885901963,1.1340299513281593,3.1436919252705806,1.2753079095477176,1.0,2.6796387066337743,1.4360303819967595,3.7136875956443487,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC2403,4,22,14220350426.247763,0.4780164836328727,0.0,6,30718131.47392971,3.8812286957012846e-08,22.362979467712186,58.56624859671553,11.260790597723638,-2.9222609579081573,-6.385749795758582,2.9813898083256447,1.3168925619117606,1.0,4.7289512016632385,7.652858851221256,3.3557101480496847,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC2683,0,4,53823984719.49303,0.0462919445643709,0.0981405519700203,3,383573183.1405301,7.344675002625509e-08,210.4991101589088,163.68336461377532,505.7457409083813,12.530232255002375,10.13519810540928,21.90743036544493,1.2861246332692526,1.0,14.50858746256536,12.79387996714739,22.488791450595592,giant_above_1e10,gas_poor_below_0p2,modest_bulge,early_T_le_4,high_surface_tertile
NGC2841,1,15,294878110322.3099,0.1219827959195423,0.3455303989733738,3,183717038.04429287,2.402282584914988e-07,141.94265557708437,135.38734755598543,53.37674681611381,-2.6638228011487097,-0.053167668791009724,1.6356126526234296,1.2155158552963268,0.13333333333333333,11.913968926310172,11.635606883870967,7.305939146756822,giant_above_1e10,gas_poor_below_0p2,bulged_above_0p2,early_T_le_4,high_surface_tertile
NGC2903,2,11,60035491207.76603,0.0608482836646851,0.0,4,355046161.2687356,9.048931186406245e-08,5.642474435678676,9.321789367701607,52.061767655261754,-0.05829288037225214,-1.3276305631008385,6.806197390022419,1.2575076300974357,1.0,2.3753893229697476,3.0531605538689917,7.215384096169916,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC2915,3,9,1707973966.4625154,0.6643868159280027,0.0,11,6745066.640340886,8.450391270267433e-09,66.40350766003556,164.91610009592142,6.089793100657036,-8.052929857702615,-12.769885215894664,-2.2631135813158574,1.4882542561369119,0.0,8.148834742466898,12.841966364070629,2.467750615572213,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
NGC2955,4,8,154611502671.20023,0.0717197009117846,0.1381925057964443,3,164233422.57058623,3.372475678535604e-07,191.63551408953495,202.37767720223047,264.43382578956573,1.0785646142474086,2.7105947904970833,-5.160809534720251,1.1945114254973097,0.0,13.843247960270558,14.225950836489998,16.2614213951169,giant_above_1e10,gas_poor_below_0p2,modest_bulge,early_T_le_4,high_surface_tertile
NGC2976,0,9,1422607179.0879574,0.1269021897866987,0.0,5,168671439.4132899,4.148251189823898e-08,9.013455430813178,19.485397975770148,23.733983125760783,-2.5858070679013014,-4.0959465853060175,-4.461448412968881,1.332487673544069,1.0,3.002241734240129,4.414226769862435,4.871753598629634,intermediate_1e9_to_1e10,gas_poor_below_0p2,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC2998,1,4,103907476375.41264,0.2649595348313506,0.0,5,92906283.86831787,1.708304894848358e-07,60.29012681455703,70.02493478758336,66.0738600772641,7.463528761122198,8.147039343146048,7.03124336920164,1.2367009638815851,0.5,7.764671713250794,8.368090271237719,8.128582907079444,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC3109,2,8,662474606.4815897,0.8649027714096161,0.0,9,7282644.763653255,5.6527857061662226e-09,147.29359283137174,224.32291821360153,47.404802521980706,-12.125831217013985,-14.964797749097679,-6.861864319004161,1.4171614799990293,0.0,12.136457177915297,14.977413602274645,6.885114561282238,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
NGC3198,3,13,41540480034.01731,0.4614225727754429,0.0,5,14692012.563259758,6.046184532266358e-08,16.192521448418667,8.048751920468561,170.47758842738384,3.403134395069615,-2.014589399070642,12.121247621790364,1.3679506283427503,0.0,4.023993221716292,2.8370322381792845,13.056706645528337,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
NGC3521,4,13,44245734629.30099,0.0879947316027583,0.0,4,1031200112.2631928,3.892978997285812e-07,76.35507478925093,68.7834340944452,104.49432591892653,-3.8554583810623493,-2.6061661720614278,-5.285135523324232,1.1771073812184882,0.23076923076923078,8.738139091891988,8.29357788258151,10.222246617986016,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC3726,0,4,29257682787.925354,0.2085345815719773,0.0,5,113084947.48954669,5.9388641130471103e-08,380.7893893140532,494.74758389861984,194.00075997193568,-17.163883411590767,-20.005299671594308,-12.153743283067115,1.3021212970146248,1.0,19.513825594025718,22.242922107911536,13.928415558559978,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC3741,1,7,303018160.5165492,0.9523210884405248,0.0,10,3619092.59535471,2.5411606333199105e-09,51.33471629828239,141.71201291318653,7.1496896666583245,-7.114173980745805,-11.859793543697393,-2.6328574601360475,1.65135131923151,0.0,7.164824931446852,11.904285485201811,2.6738903617497716,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
NGC3769,2,4,13991327217.715996,0.364107484188613,0.0,3,14481100.436775055,2.144575741197536e-08,65.45607144283036,132.12773403123143,62.39411105585997,-7.880073702929469,-11.355431386078788,6.184574852259534,1.33349524344988,0.75,8.090492657609323,11.494682859097567,7.8989943066101755,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,early_T_le_4,low_surface_tertile
NGC3877,3,4,43636518046.7339,0.0689120468739596,0.0,5,204431562.90290383,2.0989039913526118e-07,530.0687860978611,587.5831271893817,339.04883940857013,22.935868194875326,24.152751893796683,18.330819565767385,1.217617201605365,0.25,23.023222756553025,24.24011400941385,18.4132788880354,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC3893,4,3,43164632840.022156,0.1991385777391765,0.0,5,205891220.30552858,1.0992762424219985e-07,33.710293236483174,25.384180097019968,44.4582672031654,4.496178463000557,3.7668545307441548,4.918022381752858,1.2362538612177627,1.0,5.806056599490154,5.038271538635048,6.667703292976181,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC3917,0,6,18770095364.43206,0.2196079889754627,0.0,6,68204814.59424254,6.831217858577473e-08,41.57867468130229,21.349569552244517,33.781092232380594,6.039191133412568,3.820228095765657,5.689463424178972,1.2939569874957217,1.0,6.448152811565673,4.6205594414794104,5.812150396572735,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC3953,1,3,99152585471.14616,0.0409756376118175,0.0,4,304141279.3200836,3.4252243697668613e-07,616.740762316622,725.7010451565952,287.15476046680664,24.768839277866505,26.872509884608224,16.842140332381575,1.206127016602591,0.0,24.834265890430945,26.938838971948943,16.945641341265507,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC3972,2,3,11458876576.27131,0.2060517632608766,0.0,4,99192656.9909364,6.800147793031496e-08,8.994761299915508,17.348795710036445,19.775941443065246,-1.9042441296215316,-3.31652647901214,-3.9645663177126003,1.2759825984186477,1.0,2.9991267562268034,4.165188556360498,4.44701489125742,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC3992,3,3,191878910152.88776,0.1828888984675756,0.0,4,228123569.9835801,2.1173739533419197e-07,75.44678537812796,116.75836147116058,110.03819055013594,8.187113827053517,10.410689660786156,10.478815628681852,1.2154908518734535,0.0,8.686010901336008,10.805478308300868,10.489908986742256,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC4010,4,4,9611367899.184145,0.3081281307040127,0.0,7,59709816.208328374,5.236666481480924e-08,31.33958518716104,57.8126685822937,39.98404579139433,-4.522268304868323,-6.986456502692636,-5.218356512342719,1.2967979924317579,1.0,5.598176952112271,7.603464248768038,6.32329390360707,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC4013,0,11,41069826977.81108,0.0771570775752762,0.2303325793088489,3,371891950.6044266,7.286517830324345e-08,332.47189344121944,424.2925870748115,135.86452554205573,-17.752190659434557,-20.1300673499142,-11.114881769597412,1.2890773991051687,1.0,18.233811818739916,20.59836369896433,11.656093923011076,giant_above_1e10,gas_poor_below_0p2,bulged_above_0p2,early_T_le_4,high_surface_tertile
NGC4088,1,4,36016985193.97326,0.1848151325210802,0.0,4,267474267.4009216,1.1311859146013153e-07,48.86731687858407,51.883893948586376,29.913964880536504,2.187203232507926,1.5911152131299673,0.4137038114145497,1.2612133463996498,1.0,6.990516209736165,7.203047545906273,5.469366040094273,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC4100,2,8,45020027925.73217,0.1443588970108449,0.0,4,347710978.06907225,1.0473992991294682e-07,140.82988582396268,123.87316080069088,181.395801219803,10.754742827070658,10.04221042384113,11.901298237728344,1.2484380824165047,1.0,11.86717682618586,11.129832020326761,13.468325850669155,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC4157,3,6,45823472496.89951,0.1909341007888347,0.030487515113026,3,353201489.6127764,9.916856993169254e-08,97.13306655518055,121.86594669533936,61.84687836153065,-8.765630561228866,-9.855958699142121,-7.427922625106912,1.2693777507373019,1.0,9.855610917400329,11.039291041336819,7.864278629444067,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC4183,4,7,9269067305.599031,0.4856562063593039,0.0,6,60657781.30592509,3.1008619726915533e-08,8.525757653210658,18.24271896176767,32.002678873342795,0.7031425394026282,-2.9897634228058143,5.4097338419315,1.3332172742725585,1.0,2.9198900070397613,4.271149606577563,5.657091025725395,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC4217,0,6,39730344912.68963,0.0394707515731288,0.89999199350575,3,284884478.2816102,1.2575639077557308e-07,13.462962404794277,16.273669932495853,29.091368568025825,-3.431881069983111,-3.792519968727021,-5.177712303089066,1.2447751325246572,1.0,3.6691909741514244,4.034063699608108,5.393641494206472,giant_above_1e10,gas_poor_below_0p2,bulged_above_0p2,early_T_le_4,high_surface_tertile
NGC4559,1,10,15385354698.258595,0.4674449814287114,0.0,6,24844170.00900402,4.7770969772196374e-08,28.69650405294642,16.850391537898993,70.88184797798876,3.139365614497474,0.5678611976215862,7.125298258872791,1.3188701076708909,0.9,5.356911801863684,4.104922841893498,8.419135821329215,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC5005,2,6,104496888148.75304,0.0044410998849073,0.044123641698952,4,655911617.0130292,5.419370769582637e-07,6.653288796220103,11.119467189250036,39.91447188238937,0.7251324463809681,2.335611543106429,-5.587958377005957,1.191577126429089,0.0,2.579396983060208,3.3345865094866016,6.317790110662855,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC5033,3,7,106070624737.13971,0.1704253200276849,0.2503490180769429,5,79077576.03072953,1.1193902190038674e-07,101.02630954372025,91.3169850103385,341.0096911314637,8.947211705588282,8.18286631019015,18.058267274502604,1.2597038670671952,0.8571428571428571,10.051184484612758,9.555992099742365,18.466447712851103,giant_above_1e10,gas_poor_below_0p2,bulged_above_0p2,middle_T_5_to_7,middle_surface_tertile
NGC5055,4,9,90571053370.6587,0.1642126728183273,0.0,4,260333625.735543,1.0064978466737058e-07,7.939324456127739,17.29253993442741,89.4344697798491,-2.1740990416158845,-3.47720070538851,8.883859275290222,1.2432854635063109,1.0,2.8176806873965936,4.158429984312278,9.456979950272132,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC5371,0,6,79117129482.61937,0.071845700215394,0.0,4,1010608349.3598853,2.8591757837340024e-07,124.64200555741321,159.54028671971847,96.50932612644833,6.687833066955723,9.023175426756325,4.8126599223286775,1.181675456928951,0.16666666666666666,11.164318409890198,12.630925806120407,9.823916028063774,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
NGC5585,1,8,3355703984.708502,0.5842723228163386,0.0,7,15640867.774425197,1.8847650904615483e-08,78.93849139095302,130.33469711114483,26.871199393046886,-8.204483959166959,-10.979859102111448,-3.6574183753643403,1.3658820955130149,0.75,8.884733613955627,11.416422255292805,5.18374376228676,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
NGC5907,2,6,110324814183.62675,0.2487788182964383,0.0,5,190736322.44388896,1.5521569429726434e-07,28.04721815653596,37.03973060740447,41.428983017380425,2.6302521353120247,3.4767145066491643,5.680399136890017,1.220426064967633,1.0,5.295962439116799,6.086027489865986,6.43653501640288,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC5985,3,10,334259051339.5852,0.1286760421619463,0.0683070793001573,3,113097523.97107127,4.4829095413608084e-07,511.5471097346464,566.2271899033072,95.77044810106676,22.44681605735034,23.632386729153108,8.800121474241688,1.2322719972188356,0.0,22.617407228385982,23.795528779653274,9.78623768876818,giant_above_1e10,gas_poor_below_0p2,modest_bulge,early_T_le_4,high_surface_tertile
NGC6015,4,14,19663715110.857285,0.3487252358028516,0.0,6,309842197.7440993,6.249461836049068e-08,137.3059051643533,196.65367595024506,106.14772426267425,-11.144222937759068,-13.555420043362284,-9.450874674955562,1.2826255652891245,1.0,11.717760245215521,14.023326137198874,10.302801767610315,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC6195,0,7,157396932597.66153,0.0748288312861656,0.2743847240961125,3,244285282.2472971,3.3483998783826097e-07,22.341376692071975,37.887874959020444,40.93450411186467,2.004266762082133,4.57437641335399,-5.564277106782847,1.1957651451958828,0.0,4.726666551817673,6.155312742584282,6.398007823679545,giant_above_1e10,gas_poor_below_0p2,bulged_above_0p2,early_T_le_4,high_surface_tertile
NGC6503,1,10,10110593136.48059,0.2268004199452638,0.0,6,28308220.023808435,2.2889351759813717e-08,62.5184702758764,129.7382279932329,6.193717778920208,-7.541208193310827,-11.110671970226933,2.2370451878339184,1.3563191809541935,1.0,7.906862226944162,11.390269004427985,2.4887180995283913,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC6674,2,5,181220686644.7167,0.2806569520446753,0.1102105692902177,3,541201123.4570408,2.0403326621611955e-07,312.6978522290968,251.92130856866297,191.17550205163522,-15.583700082617247,-13.22043885259194,-12.643715533996044,1.2005720089979923,0.6,17.68326475029701,15.87202912575021,13.826622944581777,giant_above_1e10,gas_intermediate,modest_bulge,early_T_le_4,high_surface_tertile
NGC6946,3,18,25581185333.33088,0.1904229219266114,0.0913202879670453,6,347996221.60515946,9.136412445660719e-08,40.9590748996056,28.838530880377895,27.136049867256745,6.115063186284811,4.960304318993625,4.910163104861173,1.2757583670333184,1.0,6.399927726123601,5.3701518489124584,5.20922737718913,giant_above_1e10,gas_poor_below_0p2,modest_bulge,middle_T_5_to_7,high_surface_tertile
NGC7331,4,11,120801186264.92361,0.0828655796852202,0.0499675795306555,3,208949833.6938986,1.8230802626188258e-07,154.73419035833885,125.18319357353552,96.87955702911107,-10.672692862401414,-8.957855821622216,-8.996789246863369,1.1944240544509104,0.5454545454545454,12.439219845245074,11.188529553678425,9.842741337102742,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
