galaxy,void_score,ra_deg,dec_deg,distance_mpc,sgx_hmpc,sgy_hmpc,sgz_hmpc,delta_grouped_64,void_score_grouped_64,delta_ungrouped_64,void_score_ungrouped_64,delta_ungrouped_128,void_score_ungrouped_128
NGC4010,-0.1047071117,179.6582,47.26144,18,5.101236716,12.40982409,0.5336985497,0.1047071117,-0.1047071117,0.0191979953,-0.0191979953,0.03062758687,-0.03062758687
NGC4013,-0.1240543889,179.63045,43.94741,18,4.427629844,12.67452979,0.2521361718,0.1240543889,-0.1240543889,0.03560316891,-0.03560316891,0.04843035516,-0.04843035516
NGC4051,-0.1218622278,180.79003,44.53131,18,4.481856285,12.64877177,0.4824116863,0.1218622278,-0.1218622278,0.0311391692,-0.0311391692,0.04364921339,-0.04364921339
NGC4068,-0.1620355393,181.00327,52.5882,4.37,1.477275821,2.892548254,0.2802697745,0.1620355393,-0.1620355393,0.04924426419,-0.04924426419,-0.04022974987,0.04022974987
NGC4085,-0.08993490502,181.34476,50.35285,18,5.630501337,12.14717807,1.026987684,0.08993490502,-0.08993490502,0.004280301103,-0.004280301103,0.01299747389,-0.01299747389
NGC4088,-0.08903405085,181.39284,50.53939,18,5.665023607,12.1292993,1.0482319,0.08903405085,-0.08903405085,0.00350970959,-0.00350970959,0.01203157251,-0.01203157251
NGC4100,-0.09412458823,181.53556,49.5825,18,5.467859696,12.22396121,0.994216678,0.09412458823,-0.09412458823,0.00717896827,-0.00717896827,0.01657158833,-0.01657158833
NGC4138,-0.1289720639,182.37417,43.68531,18,4.217931344,12.73089768,0.6666958709,0.1289720639,-0.1289720639,0.03341707787,-0.03341707787,0.04588304579,-0.04588304579
NGC4157,-0.09074970964,182.76817,50.485,18,5.587098145,12.14761212,1.23735123,0.09074970964,-0.09074970964,0.002475450351,-0.002475450351,0.01071654356,-0.01071654356
NGC4183,-0.1300828775,183.32032,43.69859,18,4.169036104,12.73809827,0.8192523923,0.1300828775,-0.1300828775,0.03209962488,-0.03209962488,0.04435337625,-0.04435337625
NGC4214,-0.1728657854,183.91321,36.32689,2.87,0.4075962664,2.101018723,0.05960076056,0.1728657854,-0.1728657854,0.07453904819,-0.07453904819,-0.02864283097,0.02864283097
NGC4217,-0.1105278933,183.96208,47.09178,18,4.840948996,12.47062437,1.166158062,0.1105278933,-0.1105278933,0.01521581114,-0.01521581114,0.02587506573,-0.02587506573
NGC4389,-0.1218291483,186.3965,45.6846,18,4.427931578,12.59432412,1.444854939,0.1218291483,-0.1218291483,0.01863538539,-0.01863538539,0.0292854427,-0.0292854427
NGC4559,-0.3304804943,188.99012,27.95996,9,0.2001288306,6.700353166,0.3781691458,0.3304804943,-0.3304804943,0.2607309762,-0.2607309762,0.09748169201,-0.09748169201
NGC5005,-0.245258222,197.73444,37.05904,16.9,1.908478116,12.15955622,2.729365946,0.245258222,-0.245258222,0.1394917707,-0.1394917707,0.08712858785,-0.08712858785
NGC5033,-0.2666525511,198.36447,36.59392,15.7,1.659543766,11.29457739,2.618026924,0.2666525511,-0.2666525511,0.1611979149,-0.1611979149,0.09052087715,-0.09052087715
NGC5055,-0.2258824716,198.95537,42.02932,9.9,1.70762709,6.951606237,1.817502025,0.2258824716,-0.2258824716,0.1122195956,-0.1122195956,0.01962307254,-0.01962307254
NGC5371,0.3056421884,208.91642,40.46174,39.7,5.448548546,27.0022388,10.87711914,-0.3056421884,0.3056421884,-0.5831633463,0.5831633463,-0.3627727793,0.3627727793
NGC5585,-0.1506621577,214.95071,56.72948,7.06,2.342143952,4.174003867,2.197911355,0.1506621577,-0.1506621577,0.01004515173,-0.01004515173,-0.06407353435,0.06407353435
NGC5907,0.03679719861,228.97183,56.32988,17.3,5.653309285,9.341447426,6.880198235,-0.03679719861,0.03679719861,-0.1667926454,0.1667926454,-0.1269820946,0.1269820946
NGC5985,0.651895483,234.9044,59.33203,39.7,14.47937796,19.90807395,16.46619289,-0.651895483,0.651895483,-0.8749202662,0.8749202662,-0.3289252061,0.3289252061
NGC6015,0.07497708813,237.85536,62.31007,17,6.799400983,8.109427276,6.98845187,-0.07497708813,0.07497708813,-0.1698378453,0.1698378453,-0.1620531017,0.1620531017
NGC6195,-0.02761970308,249.13576,39.02791,127.8,18.22641966,56.06271291,74.92834332,0.02761970308,-0.02761970308,0.3185946393,-0.3185946393,1.122607517,-1.122607517
NGC6503,0.06533991852,267.3601,70.14433,6.26,3.217394973,2.100674233,2.654065515,-0.06533991852,0.06533991852,-0.2377905055,0.2377905055,-0.180908398,0.180908398
NGC6674,0.01019742609,279.64109,25.37516,51.2,4.660993555,5.083435288,37.56736786,-0.01019742609,0.01019742609,-0.3341165544,0.3341165544,-0.2831661712,0.2831661712
NGC6789,0.05673888362,289.17468,63.97116,3.52,1.804080906,0.7759478885,1.7431732,-0.05673888362,0.05673888362,-0.2109530703,0.2109530703,-0.1666082126,0.1666082126
NGC6946,0.1814514475,308.71801,60.15391,5.52,3.013300319,0.5330570979,2.755564633,-0.1814514475,0.1814514475,-0.3637198098,0.3637198098,-0.2385567694,0.2385567694
NGC7331,0.6617536519,339.26693,34.41576,14.7,7.421635217,-4.63629928,6.609205862,-0.6617536519,0.6617536519,-0.7380036857,0.7380036857,-0.5463443543,0.5463443543
NGC7793,0.1483898263,359.45721,-32.59099,3.61,-0.4066949707,-2.658132072,0.1466466897,-0.1483898263,0.1483898263,-0.2866708971,0.2866708971,-0.1948791743,0.1948791743
NGC7814,0.7211104902,0.81213,16.14531,14.4,6.493812119,-8.001720989,3.033483662,-0.7211104902,0.7211104902,-0.8232190883,0.8232190883,-0.6321812431,0.6321812431
PGC51017,-0.1723784326,214.256,43.5017,13.6,2.324258668,8.855263385,4.372108346,0.1723784326,-0.1723784326,0.02862407754,-0.02862407754,-0.01377412586,0.01377412586
UGC00128,0.1841886709,3.46203,35.99402,64.5,39.74796142,-23.00785744,14.35213392,-0.1841886709,0.1841886709,-0.02334636723,0.02334636723,0.9360864964,-0.9360864964
UGC00191,0.757911228,5.02073,10.87913,17.1,7.129273294,-10.28296427,2.48293207,-0.757911228,0.757911228,-0.8093117912,0.8093117912,-0.7108836016,0.7108836016
UGC00634,0.1528321882,15.3538,7.62567,30.9,12.96387359,-19.05935834,0.2142038565,-0.1528321882,0.1528321882,0.1599241855,-0.1599241855,-0.7639520244,0.7639520244
UGC00731,0.3682313736,17.68334,49.60211,12.5,8.906647973,-2.303124376,1.524094812,-0.3682313736,0.3682313736,-0.4187987044,0.4187987044,-0.3826937564,0.3826937564
UGC00891,0.5245650373,20.32915,12.41251,10.2,4.904259864,-5.805734575,-0.3763055564,-0.5245650373,0.5245650373,-0.6573718829,0.6573718829,-0.4576546238,0.4576546238
UGC01230,-0.2590501713,26.38438,25.52144,53.7,32.50506484,-23.22967288,-2.936440324,0.2590501713,-0.2590501713,0.06620439447,-0.06620439447,0.4551160567,-0.4551160567
UGC01281,0.2949495732,27.38172,32.58876,5.27,3.448105663,-1.880146395,-0.1779890118,-0.2949495732,0.2949495732,-0.4598761954,0.4598761954,-0.2834491118,0.2834491118
UGC02023,0.3200290496,38.32583,33.49111,10.4,6.963061643,-3.108208371,-1.430938096,-0.3200290496,0.3200290496,-0.4142920754,0.4142920754,-0.3407583202,0.3407583202
UGC02259,0.2815579524,41.98113,37.53787,10.5,7.263066662,-2.499018089,-1.535793039,-0.2815579524,0.2815579524,-0.3703980976,0.3703980976,-0.3213467803,0.3213467803
UGC02455,0.2895127683,44.92625,25.23783,6.92,4.26259699,-2.341831957,-1.730791082,-0.2895127683,0.2895127683,-0.4350089748,0.4350089748,-0.2846300757,0.2846300757
UGC02487,-0.2931256253,45.4264,35.20561,69.1,46.94155489,-16.68436654,-13.24313028,0.2931256253,-0.2931256253,0.8197659712,-0.8197659712,1.108316375,-1.108316375
UGC02885,0.2468053552,58.26718,35.59211,80.6,54.00107319,-12.07725309,-23.52344223,-0.2468053552,0.2468053552,0.4551747981,-0.4551747981,1.220509031,-1.220509031
UGC02916,0.3061666067,60.64137,71.70593,65.4,47.29648936,11.83987245,1.779744164,-0.3061666067,0.3061666067,0.2035873043,-0.2035873043,0.892102229,-0.892102229
UGC02953,0.106759373,61.94527,69.81246,16.5,11.98599347,2.800185302,0.08002374368,-0.106759373,0.106759373,-0.1251090711,0.1251090711,-0.2333818188,0.2333818188
UGC03205,-0.5672452501,74.06197,30.05236,50,30.02157951,-2.926435409,-21.94153002,0.5672452501,-0.5672452501,0.7645436156,-0.7645436156,0.1749698006,-0.1749698006
UGC03546,-0.1599187304,102.53604,60.8458,28.7,18.74180993,9.076403722,-4.975954197,0.1599187304,-0.1599187304,0.2594568419,-0.2594568419,-0.09365910473,0.09365910473
UGC03580,0.001027032118,103.87902,69.56316,20.7,13.77343901,6.865414145,-1.272795061,-0.001027032118,0.001027032118,0.01400408697,-0.01400408697,-0.139282212,0.139282212
UGC04278,-0.1334692165,123.49546,45.74214,9.51,4.764045034,4.238014276,-3.110381424,0.1334692165,-0.1334692165,0.01766350134,-0.01766350134,-0.0370257222,0.0370257222
UGC04305,-0.01844611271,124.77006,70.71992,3.45,2.150361994,1.410199112,-0.1058935797,0.01844611271,-0.01844611271,-0.111647194,0.111647194,-0.1143062749,0.1143062749
UGC04325,-0.118111425,124.83524,50.00953,9.6,5.032653354,4.352761213,-2.64846835,0.118111425,-0.118111425,0.002444948832,-0.002444948832,-0.04806339331,0.04806339331
UGC04483,-0.02679735032,129.26238,69.77578,3.34,2.038319252,1.428364001,-0.1153290755,0.02679735032,-0.02679735032,-0.1012718092,0.1012718092,-0.1094404235,0.1094404235
UGC04499,-0.08899180225,129.42284,51.65247,12.5,6.450922622,6.008434822,-3.039725862,0.08899180225,-0.08899180225,-0.001916376996,0.001916376996,-0.04071865372,0.04071865372
UGC05005,0.05320994479,141.12246,22.27483,53.7,10.20749402,30.20846351,-24.25026643,-0.05320994479,0.05320994479,0.2066257089,-0.2066257089,-0.2146759443,0.2146759443
UGC05253,0.08300370686,147.59262,72.27864,22.9,13.33011901,10.65448711,0.7952277604,-0.08300370686,0.08300370686,-0.05108777594,0.05108777594,-0.1120049748,0.1120049748
UGC05414,-0.1938092381,150.98897,40.75698,9.4,3.083053812,5.88937035,-2.232453769,0.1938092381,-0.1938092381,0.09566103924,-0.09566103924,0.02497246038,-0.02497246038
UGC05716,-0.06872064949,157.93031,25.30783,21.3,2.70453903,14.354533,-6.254486,0.06872064949,-0.06872064949,0.06308709279,-0.06308709279,0.186294854,-0.186294854
