plateifu,redshift,sersic_n,effective_radius_kpc,last_radius_re,dispersion_slope,dispersion_intercept,log_mbar_msun,err_log_mbar_msun,mean_sigma_los_km_s,err_mean_sigma_los_km_s,log_gbar,err_log_gbar,log_gobs,err_log_gobs,radius_kpc
8239-6103,0.097,6.0,9.5,0.81,-0.543,1.152,11.361,0.088,245.0,36.0,-9.51,0.09,-9.1,0.13,7.695
9486-6103,0.098,6.0,11.5,0.81,-0.03,1.014,11.401,0.078,243.0,9.0,-9.62,0.08,-9.15,0.03,9.315000000000001
9000-9101,0.105,6.0,8.8,0.72,-0.309,1.112,11.225,0.088,203.0,16.0,-9.39,0.09,-9.07,0.07,6.336
8447-3702,0.109,6.0,9.8,0.76,-0.375,1.153,11.596,0.106,251.0,24.0,-9.2,0.11,-8.97,0.08,7.448
9891-9101,0.111,5.8,15.2,0.81,0.171,0.877,11.609,0.101,268.0,29.0,-9.67,0.1,-9.26,0.09,12.312
8466-6104,0.113,6.0,13.1,0.74,-0.35,1.129,11.552,0.087,211.0,19.0,-9.46,0.09,-9.24,0.08,9.693999999999999
9891-3701,0.114,6.0,16.8,0.73,-0.118,1.041,11.462,0.091,209.0,12.0,-9.73,0.09,-9.35,0.05,12.264
8081-3701,0.115,6.0,8.2,0.73,-0.208,1.075,11.556,0.094,281.0,16.0,-9.02,0.09,-8.78,0.05,5.986
8131-3703,0.119,6.0,8.1,0.73,-0.362,1.133,11.592,0.084,277.0,30.0,-8.97,0.08,-8.77,0.09,5.912999999999999
9891-12701,0.12,6.0,18.3,0.81,0.482,0.853,11.442,0.095,303.0,47.0,-9.99,0.1,-9.18,0.13,14.823000000000002
9085-6102,0.12,2.9,12.8,0.74,0.344,0.89,11.702,0.092,315.0,23.0,-9.35,0.09,-8.98,0.06,9.472
9506-6103,0.12,6.0,12.3,0.78,-0.087,1.025,11.578,0.087,293.0,22.0,-9.45,0.09,-8.99,0.07,9.594000000000001
8943-3704,0.124,6.0,8.7,0.73,-0.519,1.195,11.697,0.082,269.0,37.0,-8.93,0.08,-8.82,0.12,6.350999999999999
9490-9102,0.125,5.0,16.1,0.84,0.035,0.972,11.619,0.088,284.0,20.0,-9.76,0.09,-9.21,0.06,13.524000000000001
9043-9101,0.127,6.0,24.2,0.78,0.615,0.785,11.582,0.092,338.0,44.0,-10.04,0.09,-9.22,0.11,18.876
8725-12704,0.129,6.0,29.5,0.84,0.655,0.77,12.068,0.086,499.0,76.0,-9.83,0.09,-9.01,0.13,24.779999999999998
8989-12704,0.129,5.3,20.3,0.81,0.083,0.872,11.758,0.094,300.0,61.0,-9.77,0.09,-9.32,0.18,16.443
8989-12703,0.13,6.0,13.2,0.78,0.491,0.832,11.644,0.124,284.0,48.0,-9.45,0.12,-9.09,0.15,10.296
8728-3703,0.131,6.0,12.0,0.81,-0.36,1.142,11.596,0.09,234.0,25.0,-9.47,0.09,-9.18,0.09,9.72
9865-12703,0.131,6.0,11.5,0.73,0.053,1.018,11.498,0.083,218.0,12.0,-9.37,0.08,-9.13,0.05,8.395
8717-1901,0.131,6.0,16.1,0.65,-0.013,0.995,11.493,0.081,272.0,8.0,-9.49,0.08,-9.02,0.03,10.465000000000002
8991-6102,0.133,6.0,13.1,0.78,-0.083,1.024,11.654,0.099,264.0,15.0,-9.43,0.1,-9.1,0.05,10.218
8555-3702,0.133,6.0,6.3,0.76,-0.339,1.137,11.457,0.089,238.0,25.0,-8.96,0.09,-8.83,0.09,4.788
8554-6103,0.133,6.0,14.5,0.74,0.001,0.974,11.594,0.088,305.0,27.0,-9.5,0.09,-9.0,0.08,10.73
8995-6103,0.133,6.0,9.0,0.62,-0.315,1.086,11.458,0.096,213.0,19.0,-8.95,0.1,-8.92,0.08,5.58
8720-12705,0.135,6.0,23.6,0.78,-0.25,0.95,11.236,0.096,230.0,54.0,-10.37,0.1,-9.6,0.2,18.408
8615-12704,0.135,5.1,18.0,0.81,1.095,0.538,11.572,0.081,495.0,125.0,-9.85,0.08,-8.98,0.22,14.580000000000002
8554-6102,0.136,5.6,12.7,0.74,0.044,0.965,11.775,0.115,312.0,23.0,-9.21,0.12,-8.93,0.06,9.398
8616-12703,0.138,4.0,14.2,0.78,0.135,0.923,11.884,0.089,309.0,13.0,-9.3,0.09,-9.06,0.04,11.076
8616-3702,0.138,6.0,12.5,0.76,-0.072,1.033,11.581,0.089,287.0,17.0,-9.43,0.09,-8.98,0.05,9.5
8247-9102,0.14,4.5,18.2,0.78,0.355,0.859,11.734,0.084,334.0,28.0,-9.66,0.08,-9.1,0.07,14.196
9888-6104,0.147,6.0,13.8,0.77,-0.081,1.03,11.729,0.087,273.0,11.0,-9.38,0.09,-9.08,0.03,10.626000000000001
8725-6104,0.148,6.0,17.1,0.67,0.14,0.933,11.614,0.083,287.0,35.0,-9.47,0.08,-9.05,0.11,11.457000000000003
