galaxy,void_score,void_wall_score,inside_catalog_void,void_index,voronoi_overlap,wall_distance_hmpc,void_effective_radius_hmpc,center_distance_hmpc,center_distance_over_radius,catalog_x_hmpc,catalog_y_hmpc,catalog_z_hmpc
NGC7793,0.06356647442,0.06356647442,True,10,0.4614831802,2.156869202,33.93092383,38.49130599,1.134401945,342.5712087,340.4803779,339.1758062
NGC7814,0,0,False,-1,0,0,,,,349.9186849,340.6335126,343.2269084
PGC51017,0.05354263221,0.05354263221,True,10,0.4147019015,1.816750975,33.93092383,38.19972896,1.125808691,334.9474172,336.7185298,346.8754641
UGC00128,0.0979589916,0.0979589916,True,75,0.7349865118,1.760417921,17.97096818,12.99951715,0.7233620924,375.9735052,342.6460572,366.3144643
UGC00191,0,0,False,-1,0,0,,,,351.8919307,341.5008181,342.69787
UGC00634,0,0,False,-1,0,0,,,,360.612405,346.0224353,343.2924027
UGC00731,0,0,False,-1,0,0,,,,345.7562084,342.1757862,346.982798
UGC00891,0,0,False,-1,0,0,,,,346.8612857,342.856791,341.9930758
UGC01230,0.1320557715,0.1320557715,True,75,0.8107943479,2.373170067,17.97096818,13.37401317,0.7442010379,370.0637229,355.1655152,356.2560118
UGC01281,0,0,False,-1,0,0,,,,343.1850479,341.89071,342.4329851
UGC02023,0,0,False,-1,0,0,,,,345.1336461,344.1628262,344.4081221
UGC02259,0,0,False,-1,0,0,,,,344.7148765,344.2925791,344.8566972
UGC02455,0,0,False,-1,0,0,,,,343.5180542,343.5102946,342.5093083
UGC02487,0.1839789692,0.1839789692,True,50,0.7274566173,3.384905882,18.39833051,17.51326213,0.9518940926,367.4850362,367.8897051,367.628998
UGC02885,0.0603829739,0.0603829739,True,50,0.4643767588,1.110945911,18.39833051,21.6925373,1.179049223,363.975841,378.4619699,372.4457687
UGC02916,0,0,False,-1,0,0,,,,347.3540538,352.6845483,382.7863894
UGC02953,0,0,False,-1,0,0,,,,342.3237159,343.9220211,351.0462204
UGC03205,0.1663741758,0.1663741758,True,86,0.6009502607,3.244794031,19.50299086,15.43947536,0.7916465462,348.5931011,368.8396459,357.5519408
UGC03546,0,0,False,-1,0,0,,,,338.4333387,349.7944357,357.5686166
UGC03580,0,0,False,-1,0,0,,,,339.3192968,345.278503,353.7094209
UGC04278,0,0,False,-1,0,0,,,,338.005685,344.2691478,345.1383735
UGC04305,0,0,False,-1,0,0,,,,340.0575984,341.1372427,342.717683
UGC04325,0,0,False,-1,0,0,,,,338.100051,343.9485462,345.508791
UGC04483,0,0,False,-1,0,0,,,,340.0023742,341.108795,342.6343077
UGC04499,0,0,False,-1,0,0,,,,337.146102,344.5797854,347.1760299
UGC05005,0.04825308706,0.04825308706,True,96,0.5129367303,0.9736415657,20.17780882,21.52819584,1.066924364,314.1553519,361.7404056,354.361733
UGC05253,0,0,False,-1,0,0,,,,336.4923845,343.0440343,355.3548919
UGC05414,0,0,False,-1,0,0,,,,336.2594502,342.8516424,344.679167
UGC05716,0,0,False,-1,0,0,,,,328.3476909,345.4270539,346.7007461
UGC05721,0,0,False,-1,0,0,,,,337.0423499,341.891952,342.4542955
UGC05750,0.1415307632,0.1415307632,True,96,0.5686795491,2.855780681,20.17780882,15.18783737,0.7527000331,305.6713072,353.9127632,354.8190985
UGC05764,0,0,False,-1,0,0,,,,336.4478087,342.0408501,343.1615424
UGC05829,0,0,False,-1,0,0,,,,335.9213904,342.1056835,343.828316
UGC05918,0,0,False,-1,0,0,,,,338.4404185,341.1532554,345.2479297
UGC05986,0,0,False,-1,0,0,,,,335.9859741,341.8689663,344.0055646
UGC05999,0.3668760589,0.3668760589,True,28,0.8720868568,7.420673788,20.22665041,11.63372062,0.5751679284,309.6698255,349.7809596,344.8075396
UGC06399,0,0,False,-1,0,0,,,,332.8664222,341.7299774,350.0117932
UGC06446,0,0,False,-1,0,0,,,,335.7184667,341.2002267,347.0900081
UGC06614,0.0568041091,0.0568041091,True,45,0.5307984498,1.076736916,18.95526456,17.76822451,0.9373767615,283.0156273,345.719369,358.3054168
UGC06628,0,0,False,-1,0,0,,,,333.3763262,341.1202215,347.8899081
UGC06667,0,0,False,-1,0,0,,,,332.9079955,341.0828933,350.1062619
UGC06786,0,0,False,-1,0,0,,,,322.744849,341.3406162,349.5654375
UGC06787,0,0,False,-1,0,0,,,,332.4153797,340.8793363,352.5373895
UGC06818,0,0,False,-1,0,0,,,,331.9621629,340.8435672,349.2889626
UGC06917,0,0,False,-1,0,0,,,,332.6921454,340.6212734,349.9488763
UGC06923,0,0,False,-1,0,0,,,,333.1510767,340.6018357,350.3102763
UGC06930,0,0,False,-1,0,0,,,,332.5044126,340.594584,349.7908665
UGC06973,0,0,False,-1,0,0,,,,331.4947739,340.5443587,348.8163994
UGC06983,0,0,False,-1,0,0,,,,333.073069,340.5271046,350.2518473
UGC07089,0,0,False,-1,0,0,,,,331.5590316,340.2673216,348.8823331
UGC07125,0,0,False,-1,0,0,,,,329.7112757,340.0900233,348.5776364
UGC07151,0,0,False,-1,0,0,,,,337.2800862,340.359737,343.891248
UGC07232,0.06419306547,0.06419306547,True,10,0.4390967143,2.178130015,33.93092383,39.15334832,1.153913419,338.9562498,340.4072963,341.6499812
UGC07261,0,0,False,-1,0,0,,,,332.1709925,339.945322,343.6473784
UGC07323,0,0,False,-1,0,0,,,,336.7006524,340.2092743,344.3937309
UGC07399,0,0,False,-1,0,0,,,,336.5492355,340.1433054,344.6498624
UGC07524,0.06036638978,0.06036638978,True,10,0.4114788592,2.048287374,33.93092383,39.23682102,1.156373496,337.8267722,340.1976179,342.2838203
UGC07559,0.05923002055,0.05923002055,True,10,0.4071988843,2.009729316,33.93092383,39.30676535,1.15843487,337.8208629,340.1818852,342.54361
UGC07577,0.06513523343,0.06513523343,True,10,0.4405048466,2.210098644,33.93092383,39.09930151,1.152320571,339.2298197,340.345832,341.7140138
UGC07603,0.06307012633,0.06307012633,True,10,0.4183061922,2.140027653,33.93092383,39.02621246,1.150166516,337.5729941,340.1310734,341.7413742
UGC07608,0,0,False,-1,0,0,,,,336.4579263,339.9905019,344.3290265
UGC07690,0,0,False,-1,0,0,,,,336.4820127,339.9272921,344.2457067
UGC07866,0.06313580984,0.06313580984,True,10,0.4168875851,2.142256355,33.93092383,39.12715932,1.153141586,338.105726,340.0535213,342.4374496
UGC08286,0.05708353656,0.05708353656,True,10,0.401174299,1.936897131,33.93092383,39.06716379,1.151373419,337.4746931,339.5139525,343.5771952
UGC08490,0.06838939672,0.06838939672,True,10,0.4230071789,2.320515411,33.93092383,39.14773105,1.153747869,338.9667576,339.8679764,343.1976631
UGC08550,0.05855922237,0.05855922237,True,10,0.4059581507,1.986968514,33.93092383,38.9404444,1.147638791,337.6958184,339.2800017,343.8862075
UGC08699,0,0,False,-1,0,0,,,,322.5291864,331.6235933,358.2350921
UGC08837,0.05732585329,0.05732585329,True,10,0.4058006495,1.945119162,33.93092383,38.97719885,1.148722005,337.96243,339.1112488,344.4674055
UGC09037,0.1700221468,0.1700221468,True,62,0.7485730785,3.77981818,22.2313284,15.28551935,0.6875666209,292.6486936,310.4579743,347.4954445
UGC09133,0,0,False,-1,0,0,,,,314.2142669,322.7485009,362.9943441
UGC09992,0.0318895943,0.0318895943,True,10,0.3816122635,1.082043395,33.93092383,39.20222279,1.15535383,338.9021867,338.1795609,347.2200113
UGC10310,0.039165301,0.039165301,True,10,0.4162902495,1.328914845,33.93092383,36.2159322,1.067342946,337.41643,334.1563908,348.0761177
UGC11455,0,0,False,-1,0,0,,,,346.7873437,325.3095526,391.4393416
UGC11557,0,0,False,-1,0,0,,,,345.3151778,333.8731428,354.8002034
UGC11820,0.07501818082,0.07501818082,True,10,0.4036581119,2.545436179,33.93092383,35.07273456,1.033651036,350.5619514,334.0573091,343.5301169
UGC11914,0,0,False,-1,0,0,,,,349.1747754,335.8813839,346.4892768
UGC12506,0.06816849949,0.06816849949,True,15,0.4242684059,1.421902269,20.85864116,28.4760375,1.365191399,405.3052084,328.9297208,359.4694984
UGC12632,0,0,False,-1,0,0,,,,345.4790667,339.8440028,344.8641603
UGC12732,0,0,False,-1,0,0,,,,348.5344217,339.8205009,344.4739232
UGCA281,0.05587699626,0.05587699626,True,10,0.3941813039,1.895958104,33.93092383,39.60621392,1.167260111,337.9534405,340.20691,343.3967527
UGCA442,0.06608908454,0.06608908454,True,10,0.4653567354,2.242463694,33.93092383,38.2955367,1.128632303,343.0070945,340.3220634,338.9320927
UGCA444,0.06319587565,0.06319587565,True,10,0.4556572466,2.144294443,33.93092383,38.79296047,1.143292197,341.1432049,340.5055274,340.3220873
