z,D,f,sigma_8,f_sigma_8
1.561122421920986270e-01,7.106531427322980710e-01,6.013728406342041533e-01,7.378955543082164059e-01,4.437503455856827705e-01
1.587773561551266699e-01,7.096686312721277590e-01,6.027709657831202827e-01,7.368733022615540085e-01,4.441658320639940150e-01
1.614486138403430360e-01,7.086832028904552772e-01,6.041682984120445576e-01,7.358500981438186317e-01,4.445773016818869161e-01
1.641260294104913697e-01,7.076968665104125256e-01,6.055648140991103379e-01,7.348259512202045540e-01,4.449847405458650651e-01
1.668096170609625339e-01,7.067096310857349239e-01,6.069604884342204576e-01,7.338008707876824133e-01,4.453881349467480044e-01
1.694993910198705489e-01,7.057215056003528497e-01,6.083552970263712556e-01,7.327748661745757675e-01,4.457874713650935017e-01
1.721953655481309742e-01,7.047324990679644241e-01,6.097492155034973660e-01,7.317479467401167836e-01,4.461827364710811983e-01
1.748975549395297424e-01,7.037426205316245076e-01,6.111422195039362126e-01,7.307201218740195792e-01,4.465739171182750988e-01
1.776059735208075363e-01,7.027518790633289214e-01,6.125342846893823134e-01,7.296914009960490111e-01,4.469610003531080955e-01
1.803206356517295106e-01,7.017602837635799062e-01,6.139253867515500618e-01,7.286617935555689263e-01,4.473439734196807960e-01
1.830415557251643399e-01,7.007678437609550226e-01,6.153155014018373281e-01,7.276313090310947418e-01,4.477228237521432841e-01
1.857687481671603802e-01,6.997745682116844890e-01,6.167046043771552410e-01,7.265999569298547955e-01,4.480975389788841579e-01
1.885022274370187212e-01,6.987804662992125326e-01,6.180926714437516845e-01,7.255677467873342668e-01,4.484681069252069996e-01
1.912420080273746770e-01,6.977855472337705089e-01,6.194796783928147033e-01,7.245346881668326411e-01,4.488345156100277955e-01
1.939881044642730590e-01,6.967898202519291484e-01,6.208656010572275452e-01,7.235007906589984161e-01,4.491967532578783895e-01
1.967405313072441153e-01,6.957932946161573540e-01,6.222504152953710621e-01,7.224660638813711344e-01,4.495548082869952888e-01
1.994993031493792479e-01,6.947959796143825528e-01,6.236340970051336141e-01,7.214305174779243046e-01,4.499086693192915765e-01
2.022644346174131691e-01,6.937978845595378363e-01,6.250166221247802634e-01,7.203941611185964433e-01,4.502583251807598663e-01
2.050359403717973983e-01,6.927990187891152063e-01,6.263979666258878698e-01,7.193570044988260026e-01,4.506037648961542796e-01
2.078138351067797540e-01,6.917993916647130481e-01,6.277781065284937512e-01,7.183190573390818567e-01,4.509449776996613535e-01
2.105981335504829577e-01,6.907990125715818275e-01,6.291570178880897535e-01,7.172803293843917904e-01,4.512819530252706879e-01
2.133888504649774642e-01,6.897978909181756713e-01,6.305346768058095464e-01,7.162408304038766493e-01,4.516146805138330222e-01
2.161860006463680595e-01,6.887960361356807448e-01,6.319110594391618152e-01,7.152005701902608426e-01,4.519431500204203478e-01
2.189895989248662467e-01,6.877934576775610598e-01,6.332861419832276351e-01,7.141595585594006090e-01,4.522673516005277228e-01
2.217996601648715149e-01,6.867901650190968432e-01,6.346599006875083271e-01,7.131178053498046232e-01,4.525872755218008914e-01
2.246161992650492767e-01,6.857861676569132481e-01,6.360323118583950386e-01,7.120753204221448307e-01,4.529029122654041895e-01
2.274392311584074733e-01,6.847814751085156137e-01,6.374033518521862174e-01,7.110321136587738344e-01,4.532142525206470651e-01
2.302687708123816179e-01,6.837760969118205079e-01,6.387729970806523827e-01,7.099881949632378397e-01,4.535212871885500041e-01
2.331048332289089586e-01,6.827700426246822163e-01,6.401412240181802993e-01,7.089435742597848256e-01,4.538240073864823754e-01
2.359474334445101906e-01,6.817633218244210092e-01,6.415080091934827200e-01,7.078982614928754913e-01,4.541224044418220029e-01
2.387965865303696145e-01,6.807559441073496309e-01,6.428733291990970100e-01,7.068522666266905397e-01,4.544164698982283146e-01
2.416523075924112973e-01,6.797479190882931288e-01,6.442371606920834770e-01,7.058055996446331859e-01,4.547061955156319057e-01
2.445146117713850042e-01,6.787392564001124562e-01,6.455994803920441782e-01,7.047582705488333321e-01,4.549915732683225134e-01
2.473835142429425815e-01,6.777299656932218586e-01,6.469602650888383044e-01,7.037102893596476338e-01,4.552725953498607536e-01
2.502590302177207793e-01,6.767200566351102564e-01,6.483194916398495877e-01,7.026616661151615650e-01,4.555492541705912779e-01
2.531411749414163026e-01,6.757095389098501936e-01,6.496771369748137737e-01,7.016124108706801588e-01,4.558215423604601857e-01
2.560299636948750734e-01,6.746984222176172219e-01,6.510331780959406345e-01,7.005625336982287399e-01,4.560894527685023792e-01
2.589254117941670597e-01,6.736867162742048443e-01,6.523875920722052024e-01,6.995120446860489949e-01,4.563529784582363025e-01
2.618275345906702078e-01,6.726744308105360171e-01,6.537403560622109255e-01,6.984609539380927101e-01,4.566121127230402532e-01
2.647363474711517117e-01,6.716615755721708769e-01,6.550914472890430051e-01,6.974092715735091819e-01,4.568668490678873817e-01
2.676518658578457277e-01,6.706481603188246821e-01,6.564408430598090982e-01,6.963570077261458380e-01,4.571171812223571718e-01
2.705741052085417486e-01,6.696341948238648811e-01,6.577885207697794501e-01,6.953041725440257670e-01,4.573631031427902172e-01
2.735030810166616533e-01,6.686196888738219490e-01,6.591344578886326744e-01,6.942507761888394580e-01,4.576046090019931234e-01
2.764388088113436392e-01,6.676046522678992234e-01,6.604786319739198719e-01,6.931968288354360963e-01,4.578416931978883109e-01
2.793813041575250455e-01,6.665890948174786335e-01,6.618210206652369587e-01,6.921423406713104187e-01,4.580743503487127999e-01
2.823305826560218446e-01,6.655730263456238749e-01,6.631616016983723494e-01,6.910873218960866815e-01,4.583025753020474879e-01
2.852866599436154615e-01,6.645564566865740375e-01,6.645003528980362173e-01,6.900317827209927479e-01,4.585263631289607233e-01
2.882495516931338209e-01,6.635393956852558839e-01,6.658372521756822371e-01,6.889757333683542706e-01,4.587457091217105321e-01
2.912192736135337245e-01,6.625218531967851376e-01,6.671722775363685409e-01,6.879191840710762174e-01,4.589606087976602633e-01
2.941958414499865615e-01,6.615038390859625528e-01,6.685054070869822507e-01,6.868621450721197341e-01,4.591710579040752527e-01
2.971792709839560231e-01,6.604853632267807528e-01,6.698366190182430957e-01,6.858046266239904432e-01,4.593770524048823578e-01
3.001695780332902519e-01,6.594664355019225210e-01,6.711658916303944178e-01,6.847466389882170823e-01,4.595785884974425417e-01
3.031667784522991127e-01,6.584470658022584244e-01,6.724932033198284254e-01,6.836881924348300332e-01,4.597756626024421256e-01
3.061708881318421227e-01,6.574272640263416623e-01,6.738185325852985574e-01,6.826292972418369631e-01,4.599682713672281764e-01
3.091819229994074991e-01,6.564070400799137950e-01,6.751418580276324910e-01,6.815699636947094575e-01,4.601564116646721381e-01
3.121998990192034196e-01,6.553864038753984822e-01,6.764631583494560285e-01,6.805102020858573297e-01,4.603400805920256356e-01
3.152248321922384022e-01,6.543653653314017715e-01,6.777824123666360556e-01,6.794500227141094806e-01,4.605192754777348019e-01
3.182567385564067930e-01,6.533439343722070580e-01,6.790995989999962790e-01,6.783894358841903172e-01,4.606939938747873220e-01
3.212956341865758070e-01,6.523221209272732635e-01,6.804146972747343591e-01,6.773284519061978370e-01,4.608642335593200468e-01
3.243415351946650205e-01,6.512999349307386776e-01,6.817276863331088732e-01,6.762670810950887068e-01,4.610299925381997621e-01
3.273944577297396297e-01,6.502773863209104777e-01,6.830385454238434573e-01,6.752053337701486857e-01,4.611912690407830584e-01
3.304544179780908308e-01,6.492544850397714562e-01,6.843472539148903744e-01,6.741432202544795915e-01,4.613480615264942131e-01
3.335214321633235279e-01,6.482312410324645446e-01,6.856537912929917544e-01,6.730807508744649503e-01,4.615003686834105445e-01
3.365955165464427079e-01,6.472076642467995411e-01,6.869581371512096801e-01,6.720179359592569623e-01,4.616481894187721147e-01
3.396766874259351532e-01,6.461837646327520668e-01,6.882602712136904888e-01,6.709547858402569176e-01,4.617915228745388401e-01
3.427649611378638106e-01,6.451595521419555279e-01,6.895601733092331376e-01,6.698913108505877290e-01,4.619303684084806183e-01
3.458603540559481715e-01,6.441350367272105082e-01,6.908578234034825627e-01,6.688275213245834516e-01,4.620647256146480641e-01
3.489628825916530896e-01,6.431102283419719567e-01,6.921532015742426491e-01,6.677634275972583744e-01,4.621945943056323669e-01
3.520725631942775991e-01,6.420851369398619113e-01,6.934462880251760497e-01,6.666990400037997588e-01,4.623199745205833211e-01
3.551894123510361823e-01,6.410597724741619041e-01,6.947370630900245869e-01,6.656343688790418156e-01,4.624408665268075480e-01
3.583134465871540275e-01,6.400341448973114744e-01,6.960255072273642263e-01,6.645694245569437886e-01,4.625572708150443857e-01
3.614446824659498514e-01,6.390082641604155622e-01,6.973116010223469052e-01,6.635042173700798074e-01,4.626691880994096007e-01
3.645831365889251607e-01,6.379821402127471286e-01,6.985953251886888316e-01,6.624387576491214125e-01,4.627766193174789877e-01
3.677288255958492957e-01,6.369557830012499977e-01,6.998766605741444380e-01,6.613730557223219675e-01,4.628795656326562535e-01
3.708817661648537989e-01,6.359292024700403667e-01,7.011555881561312153e-01,6.603071219149985183e-01,4.629780284299930271e-01
3.740419750125150156e-01,6.349024085599166423e-01,7.024320890498740866e-01,6.592409665490235327e-01,4.630720093202887466e-01
3.772094688939462426e-01,6.338754112078567315e-01,7.037061445010818206e-01,6.581745999423022075e-01,4.631615101339394136e-01
3.803842646028854357e-01,6.328482203465356504e-01,7.049777358921862636e-01,6.571080324082719804e-01,4.632465329237529517e-01
3.835663789717811412e-01,6.318208459038284763e-01,7.062468447457570520e-01,6.560412742553862753e-01,4.633270799658524286e-01
3.867558288718886406e-01,6.307932978023227388e-01,7.075134527141133667e-01,6.549743357866084636e-01,4.634031537515164167e-01
3.899526312133529959e-01,6.297655859588291438e-01,7.087775416030113185e-01,6.539072272989034929e-01,4.634747570013583728e-01
3.931568029453027524e-01,6.287377202838875245e-01,7.100390933468940791e-01,6.528399590827251853e-01,4.635418926477216095e-01
3.963683610559380899e-01,6.277097106812922211e-01,7.112980900257259709e-01,6.517725414215229662e-01,4.636045638443426764e-01
3.995873225726185307e-01,6.266815670475934796e-01,7.125545138701289138e-01,6.507049845912250552e-01,4.636627739682701033e-01
4.028137045619581968e-01,6.256532992716250519e-01,7.138083472385708950e-01,6.496372988597467479e-01,4.637165266036053501e-01
4.060475241299135174e-01,6.246249172340192501e-01,7.150595726515655004e-01,6.485694944864878186e-01,4.637658255623498538e-01
4.092887984218742670e-01,6.235964308067202255e-01,7.163081727677570454e-01,6.475015817218268133e-01,4.638106748673943014e-01
4.125375446227548260e-01,6.225678498525100135e-01,7.175541303980365049e-01,6.464335708066288877e-01,4.638510787602481700e-01
4.157937799570818882e-01,6.215391842245301390e-01,7.187974284949195658e-01,6.453654719717490940e-01,4.638870416927033391e-01
4.190575216890921606e-01,6.205104437658131022e-01,7.200380501616646667e-01,6.442972954375459915e-01,4.639185683312846420e-01
4.223287871228196266e-01,6.194816383087986544e-01,7.212759786603114565e-01,6.432290514133793824e-01,4.639456635609290336e-01
4.256075936021888051e-01,6.184527776748680594e-01,7.225111973936936272e-01,6.421607500971265869e-01,4.639683324719073854e-01
4.288939585111033459e-01,6.174238716738761346e-01,7.237436899208259389e-01,6.410924016746966103e-01,4.639865803682491907e-01
4.321878992735437297e-01,6.163949301036786288e-01,7.249734399596901024e-01,6.400240163195394238e-01,4.640004127679933088e-01
4.354894333536558637e-01,6.153659627496648188e-01,7.262004313772059128e-01,6.389556041921604645e-01,4.640098353952301635e-01
4.387985782558450065e-01,6.143369793843022064e-01,7.274246481947906906e-01,6.378871754396485683e-01,4.640148541821551009e-01
4.421153515248694710e-01,6.133079897666678937e-01,7.286460745930208871e-01,6.368187401951881377e-01,4.640154752704966357e-01
4.454397707459278877e-01,6.122790036419931692e-01,7.298646949062000955e-01,6.357503085775877416e-01,4.640117050065036275e-01
4.487718535447615675e-01,6.112500307412064293e-01,7.310804936295078882e-01,6.346818906908041624e-01,4.640035499439424949e-01
4.521116175877422094e-01,6.102210807804754333e-01,7.322934554149753694e-01,6.336134966234679977e-01,4.639910168399641877e-01
4.554590805819656030e-01,6.091921634607598834e-01,7.335035650749452962e-01,6.325451364484186989e-01,4.639741126557328510e-01
4.588142602753491062e-01,6.081632884673547901e-01,7.347108075807438077e-01,6.314768202222305060e-01,4.639528445539951584e-01
4.621771744567184648e-01,6.071344654694494913e-01,7.359151680673952090e-01,6.304085579847547027e-01,4.639272199004750297e-01
4.655478409559115072e-01,6.061057041196803441e-01,7.371166318242012849e-01,6.293403597586550990e-01,4.638972462563309418e-01
4.689262776438665181e-01,6.050770140536909647e-01,7.383151843101356526e-01,6.282722355489510635e-01,4.638629313862647763e-01
4.723125024327183841e-01,6.040484048896864744e-01,7.395108111488009062e-01,6.272041953425553373e-01,4.638242832537040616e-01
4.757065332758949605e-01,6.030198862279948502e-01,7.407034981237493598e-01,6.261362491078178438e-01,4.637813100162440083e-01
4.791083881682076662e-01,6.019914676506420426e-01,7.418932311791107681e-01,6.250684067940852628e-01,4.637340200244427502e-01
4.825180851459536235e-01,6.009631587209176562e-01,7.430799964260026425e-01,6.240006783312493921e-01,4.636824218242080464e-01
4.859356422870066972e-01,5.999349689829434062e-01,7.442637801463829472e-01,6.229330736292993942e-01,4.636265241575474594e-01
4.893610777109160814e-01,5.989069079612500124e-01,7.454445687770717699e-01,6.218656025778825924e-01,4.635663359509635817e-01
4.927944095789964507e-01,5.978789851603484307e-01,7.466223489390352297e-01,6.207982750458589383e-01,4.635018663320404353e-01
4.962356560944334305e-01,5.968512100643118545e-01,7.477971074038708421e-01,6.197311008808671362e-01,4.634331246069289256e-01
4.996848355023735255e-01,5.958235921363597143e-01,7.489688311233139162e-01,6.186640899088929890e-01,4.633601202770323835e-01
5.031419660900218194e-01,5.947961408184370136e-01,7.501375072117543175e-01,6.175972519338319700e-01,4.632828630264745340e-01
5.066070661867427827e-01,5.937688655308130947e-01,7.513031229474319561e-01,6.165305967370731111e-01,4.632013627212068219e-01
5.100801541641486470e-01,5.927417756716687469e-01,7.524656657853512343e-01,6.154641340770703462e-01,4.631156294153074282e-01
5.135612484362082064e-01,5.917148806166909747e-01,7.536251233461119803e-01,6.143978736889210701e-01,4.630256733424020776e-01
5.170503674593363019e-01,5.906881897186737618e-01,7.547814834166672870e-01,6.133318252839525808e-01,4.629315049144739347e-01
5.205475297324950734e-01,5.896617123071150601e-01,7.559347339678911259e-01,6.122659985493028589e-01,4.628331347309524446e-01
5.240527537972918815e-01,5.886354576878206624e-01,7.570848631234176063e-01,6.112004031475093413e-01,4.627305735579097523e-01
5.275660582380730101e-01,5.876094351425190654e-01,7.582318591924918083e-01,6.101350487161095737e-01,4.626238323465173274e-01
5.310874616820302485e-01,5.865836539284595696e-01,7.593757106501697329e-01,6.090699448672232119e-01,4.625129222192073120e-01
5.346169827992939272e-01,5.855581232780417977e-01,7.605164061392658548e-01,6.080051011871676625e-01,4.623978544692054493e-01
5.381546403030343928e-01,5.845328523984216762e-01,7.616539344815173029e-01,6.069405272360490766e-01,4.622786405656232889e-01
5.417004529495599296e-01,5.835078504711423975e-01,7.627882846636340197e-01,6.058762325473789900e-01,4.621552921432802719e-01
5.452544395384140152e-01,5.824831266517471740e-01,7.639194458552103217e-01,6.048122266276720893e-01,4.620278210118671236e-01
5.488166189124812355e-01,5.814586900694179716e-01,7.650474073842585820e-01,6.037485189560714005e-01,4.618962391394283440e-01
5.523870099580818760e-01,5.804345498266033632e-01,7.661721587629582997e-01,6.026851189839619316e-01,4.617605586662524852e-01
5.559656316050751723e-01,5.794107149986548189e-01,7.672936896676463281e-01,6.016220361345925305e-01,4.616207918910735231e-01
5.595525028269541234e-01,5.783871946334611103e-01,7.684119899614040294e-01,6.005592798026968548e-01,4.614769512829779430e-01
5.631476426409540714e-01,5.773639977510918175e-01,7.695270496655660653e-01,5.994968593541226687e-01,4.613290494625508220e-01
5.667510701081490687e-01,5.763411333434484973e-01,7.706388589793417010e-01,5.984347841254699096e-01,4.611770992120007850e-01
5.703628043335520204e-01,5.753186103739078572e-01,7.717474082858255535e-01,5.973730634237206516e-01,4.610211134770205166e-01
5.739828644662201551e-01,5.742964377769759210e-01,7.728526881240974644e-01,5.963117065258790594e-01,4.608611053483935294e-01
5.776112696993489504e-01,5.732746244579510764e-01,7.739546892174072878e-01,5.952507226786221128e-01,4.606970880771700805e-01
5.812480392703831544e-01,5.722531792925755756e-01,7.750534024655267862e-01,5.941901210979376735e-01,4.605290750683599943e-01
5.848931924611131539e-01,5.712321111267067986e-01,7.761488189281553485e-01,5.931299109687832027e-01,4.603570798693830124e-01
5.885467485977784463e-01,5.702114287759888489e-01,7.772409298480696949e-01,5.920701014447447008e-01,4.601811161821543483e-01
5.922087270511706691e-01,5.691911410255129367e-01,7.783297266474309417e-01,5.910107016476837671e-01,4.600011978591480588e-01
5.958791472367330755e-01,5.681712566294947475e-01,7.794152009114823088e-01,5.899517206674030900e-01,4.598173388920586691e-01
5.995580286146688920e-01,5.671517843109684653e-01,7.804973443952152312e-01,5.888931675613287009e-01,4.596295534141035533e-01
6.032453906900412388e-01,5.661327327614592564e-01,7.815761490401704759e-01,5.878350513541693578e-01,4.594378557082225423e-01
6.069412530128768246e-01,5.651141106406637471e-01,7.826516069581368473e-01,5.867773810375854771e-01,4.592422601957532602e-01
6.106456351782709735e-01,5.640959265761502639e-01,7.837237104270503574e-01,5.857201655698773823e-01,4.590427814323705946e-01
6.143585568264864349e-01,5.630781891630566305e-01,7.847924518960203155e-01,5.846634138756717780e-01,4.588394341093861573e-01
6.180800376430659604e-01,5.620609069637887423e-01,7.858578239953200040e-01,5.836071348456085550e-01,4.586322330579132300e-01
6.218100973589295588e-01,5.610440885077153661e-01,7.869198195243595206e-01,5.825513373360240443e-01,4.584211932401383027e-01
6.255487557504846308e-01,5.600277422908840341e-01,7.879784314495835718e-01,5.814960301686563637e-01,4.582063297464575857e-01
6.292960326397227799e-01,5.590118767757278340e-01,7.890336529183475944e-01,5.804412221303399955e-01,4.579876578018922118e-01
6.330519478943343881e-01,5.579965003907814136e-01,7.900854772426554318e-01,5.793869219727120212e-01,4.577651927549633570e-01
6.368165214278085351e-01,5.569816215303998730e-01,7.911338979077741085e-01,5.783331384119193563e-01,4.575389500810579935e-01
6.405897731995386923e-01,5.559672485544835396e-01,7.921789085721457901e-01,5.772798801283335335e-01,4.573089453807224203e-01
6.443717232149321905e-01,5.549533897882003020e-01,7.932205030650395505e-01,5.762271557662622667e-01,4.570751943766514502e-01
6.481623915255085855e-01,5.539400535217192667e-01,7.942586753834167679e-01,5.751749739336726730e-01,4.568377129102501044e-01
6.519617982290151215e-01,5.529272480099501896e-01,7.952934196933806321e-01,5.741233432019209326e-01,4.565965169408521263e-01
6.557699634695277613e-01,5.519149814722811298e-01,7.963247303307291469e-01,5.730722721054797297e-01,4.563516225444143593e-01
6.595869074375602104e-01,5.509032620923207668e-01,7.973526018068674004e-01,5.720217691416710215e-01,4.561030459152786709e-01
6.634126503701700539e-01,5.498920980176396078e-01,7.983770287977136615e-01,5.709718427703970312e-01,4.558508033581848973e-01
6.672472125510631180e-01,5.488814973595357305e-01,7.993980061404216686e-01,5.699225014138969980e-01,4.555949112848309279e-01
6.710906143107076005e-01,5.478714681927787655e-01,8.004155288561359827e-01,5.688737534564810572e-01,4.553353862252443873e-01
6.749428760264370997e-01,5.468620185553684232e-01,8.014295921264795730e-01,5.678256072442807723e-01,4.550722448127545450e-01
6.788040181225596381e-01,5.458531564483040111e-01,8.024401912949886695e-01,5.667780710850081061e-01,4.548055037832585690e-01
6.826740610704677970e-01,5.448448898353560610e-01,8.034473218736556399e-01,5.657311532477193872e-01,4.545351799773748036e-01
6.865530253887415224e-01,5.438372266428298518e-01,8.044509795491140425e-01,5.646848619625696175e-01,4.542612903423453585e-01
6.904409316432640331e-01,5.428301747593460291e-01,8.054511601595000236e-01,5.636392054205843216e-01,4.539838519173883813e-01
6.943378004473279574e-01,5.418237420356267764e-01,8.064478597203860177e-01,5.625941917734379460e-01,4.537028818468094582e-01
6.982436524617452456e-01,5.408179362842687743e-01,8.074410744047870736e-01,5.615498291332177150e-01,4.534183973671498946e-01
7.021585083949510864e-01,5.398127652795360332e-01,8.084308005556255505e-01,5.605061255722089131e-01,4.531304158126728265e-01
