a,D,f
1.095847194190263316e-03,1.093220359709576577e-03,9.496174095188237851e-01
1.097741290273713871e-03,1.095013845610163855e-03,9.487813953417429946e-01
1.099638660171243631e-03,1.096808694049055538e-03,9.479493312121834991e-01
1.101539309541415407e-03,1.098604909565127847e-03,9.471212023802045854e-01
1.103443244052568478e-03,1.100402496707571665e-03,9.462969941849949107e-01
1.105350469382843743e-03,1.102201460035920734e-03,9.454766920503836491e-01
1.107260991220192833e-03,1.104001804120076802e-03,9.446602814847269158e-01
1.109174815262400872e-03,1.105803533540343020e-03,9.438477480836813260e-01
1.111091947217101661e-03,1.107606652887441938e-03,9.430390775185224506e-01
1.113012392801791340e-03,1.109411166762548900e-03,9.422342555529275021e-01
1.114936157743852017e-03,1.111217079777322182e-03,9.414332680279098309e-01
1.116863247780561317e-03,1.113024396553927067e-03,9.406361008694446024e-01
1.118793668659117313e-03,1.114833121725066628e-03,9.398427400806734777e-01
1.120727426136647852e-03,1.116643259934005372e-03,9.390531717490429031e-01
1.122664525980234624e-03,1.118454815834601761e-03,9.382673820414032528e-01
1.124604973966927043e-03,1.120267794091340955e-03,9.374853572063256424e-01
1.126548775883756768e-03,1.122082199379354980e-03,9.367070835678054097e-01
1.128495937527762430e-03,1.123898036384452436e-03,9.359325475285564799e-01
1.130446464705997653e-03,1.125715309803152972e-03,9.351617355732848580e-01
1.132400363235556854e-03,1.127534024342712222e-03,9.343946342614506406e-01
1.134357638943588693e-03,1.129354184721154553e-03,9.336312302315146194e-01
1.136318297667310382e-03,1.131175795667296478e-03,9.328715101932546494e-01
1.138282345254032837e-03,1.132998861920778318e-03,9.321154609377420019e-01
1.140249787561168921e-03,1.134823388232095208e-03,9.313630693301315766e-01
1.142220630456259461e-03,1.136649379362625507e-03,9.306143223086764671e-01
1.144194879816986480e-03,1.138476840084661369e-03,9.298692068894531815e-01
1.146172541531188154e-03,1.140305775181441484e-03,9.291277101620354362e-01
1.148153621496883318e-03,1.142136189447176672e-03,9.283898192852022557e-01
1.150138125622281659e-03,1.143968087687077199e-03,9.276555214926259785e-01
1.152126059825806913e-03,1.145801474717390075e-03,9.269248040937809741e-01
1.154117430036113350e-03,1.147636355365424425e-03,9.261976544639773934e-01
1.156112242192098780e-03,1.149472734469584017e-03,9.254740600566709885e-01
1.158110502242930360e-03,1.151310616879398048e-03,9.247540083897166641e-01
1.160112216148053701e-03,1.153150007455549771e-03,9.240374870572023447e-01
1.162117389877219322e-03,1.154990911069911190e-03,9.233244837195067056e-01
1.164126029410491757e-03,1.156833332605568428e-03,9.226149861056808232e-01
1.166138140738274273e-03,1.158677276956857072e-03,9.219089820200511154e-01
1.168153729861325140e-03,1.160522749029396219e-03,9.212064593285415048e-01
1.170172802790770631e-03,1.162369753740111677e-03,9.205074059681374044e-01
1.172195365548131269e-03,1.164218296017272827e-03,9.198118099435910189e-01
1.174221424165331146e-03,1.166068380800523198e-03,9.191196593265026360e-01
1.176250984684723078e-03,1.167920013040913427e-03,9.184309422572216608e-01
1.178284053159104217e-03,1.169773197700934436e-03,9.177456469401720218e-01
1.180320635651729714e-03,1.171627939754544320e-03,9.170637616448356066e-01
1.182360738236339385e-03,1.173484244187202171e-03,9.163852747081285832e-01
1.184404366997166610e-03,1.175342115995902130e-03,9.157101745311514440e-01
1.186451528028964128e-03,1.177201560189206336e-03,9.150384495811022534e-01
1.188502227437019006e-03,1.179062581787275075e-03,9.143700883861755058e-01
1.190556471337167813e-03,1.180925185821900389e-03,9.137050795416912230e-01
1.192614265855821993e-03,1.182789377336539464e-03,9.130434117045305165e-01
1.194675617129978273e-03,1.184655161386348899e-03,9.123850735959908587e-01
