z,E,H_kms_Mpc,D_A_Mpc,D_L_Mpc,D_V_Mpc,r_d_Mpc
1.000000000000000000e+00,1.761072400555979467e+00,1.232750680389185476e+02,1.651716155642031254e+03,6.606864622568125014e+03,2.982808867912941878e+03,1.470000000000000000e+02
1.010000000000000009e+00,1.771322677291988779e+00,1.239925874104391994e+02,1.655562609538361585e+03,6.688638498795933629e+03,3.001533737428586846e+03,1.470000000000000000e+02
1.020000000000000018e+00,1.781615635067721248e+00,1.247130944547404567e+02,1.659301570436610518e+03,6.770614128009546221e+03,3.020095912672589293e+03,1.470000000000000000e+02
1.030000000000000027e+00,1.791951041810478928e+00,1.254365729267335041e+02,1.662935139728807599e+03,6.852789417308445081e+03,3.038497020555378185e+03,1.470000000000000000e+02
1.040000000000000036e+00,1.802328667766276427e+00,1.261630067436393148e+02,1.666465375165095111e+03,6.935162305287060917e+03,3.056738675078667256e+03,1.470000000000000000e+02
1.050000000000000044e+00,1.812748285487397526e+00,1.268923799841177953e+02,1.669894291853289815e+03,7.017730761513449579e+03,3.074822477207429074e+03,1.470000000000000000e+02
1.060000000000000053e+00,1.823209669819288781e+00,1.276246768873501907e+02,1.673223863232875146e+03,7.100492786015029196e+03,3.092750014754562471e+03,1.470000000000000000e+02
1.070000000000000062e+00,1.833712597886828499e+00,1.283598818520779901e+02,1.676456022024191043e+03,7.183446408771457754e+03,3.110522862277764489e+03,1.470000000000000000e+02
1.080000000000000071e+00,1.844256849080019300e+00,1.290979794356013315e+02,1.679592661153533300e+03,7.266589689214646569e+03,3.128142580988073405e+03,1.470000000000000000e+02
1.090000000000000080e+00,1.854842205039139769e+00,1.298389543527397620e+02,1.682635634654865044e+03,7.349920715735915110e+03,3.145610718669603102e+03,1.470000000000000000e+02
1.100000000000000089e+00,1.865468449639392956e+00,1.305827914747574994e+02,1.685586758548816761e+03,7.433437605200282633e+03,3.162928809609998098e+03,1.470000000000000000e+02
1.110000000000000098e+00,1.876135368975080153e+00,1.313294758282555961e+02,1.688447811699624708e+03,7.517138502467900253e+03,3.180098374541139947e+03,1.470000000000000000e+02
1.120000000000000107e+00,1.886842751343354774e+00,1.320789925940348155e+02,1.691220536650633449e+03,7.601021579922607998e+03,3.197120920589647085e+03,1.470000000000000000e+02
1.130000000000000115e+00,1.897590387227565012e+00,1.328313271059295460e+02,1.693906640438978229e+03,7.685085037007599567e+03,3.213997941236767474e+03,1.470000000000000000e+02
1.140000000000000124e+00,1.908378069280235900e+00,1.335864648496165046e+02,1.696507795390023603e+03,7.769327099768152948e+03,3.230730916287192940e+03,1.470000000000000000e+02
1.150000000000000133e+00,1.919205592305707420e+00,1.343443914613995105e+02,1.699025639892137860e+03,7.853746020401410533e+03,3.247321311846435492e+03,1.470000000000000000e+02
1.159999999999999920e+00,1.930072753242468186e+00,1.351050927269727424e+02,1.701461779152344207e+03,7.938340076813177802e+03,3.263770580306343618e+03,1.470000000000000000e+02
1.169999999999999929e+00,1.940979351145204701e+00,1.358685545801643286e+02,1.703817785933379355e+03,8.023107572181688738e+03,3.280080160338384303e+03,1.470000000000000000e+02
1.179999999999999938e+00,1.951925187166597908e+00,1.366347631016618323e+02,1.706095201272680697e+03,8.108046834528284307e+03,3.296251476894321513e+03,1.470000000000000000e+02
1.189999999999999947e+00,1.962910064538887500e+00,1.374037045177221046e+02,1.708295535183792708e+03,8.193156216294988553e+03,3.312285941213943261e+03,1.470000000000000000e+02
1.199999999999999956e+00,1.973933788555229052e+00,1.381753651988660181e+02,1.710420267340676446e+03,8.278434093928874063e+03,3.328184950839476187e+03,1.470000000000000000e+02
1.209999999999999964e+00,1.984996166550872632e+00,1.389497316585610633e+02,1.712470847745385072e+03,8.363878867473235005e+03,3.343949889636373427e+03,1.470000000000000000e+02
1.219999999999999973e+00,1.996097007884175545e+00,1.397267905518922646e+02,1.714448697379562645e+03,8.449488960165435856e+03,3.359582127820141977e+03,1.470000000000000000e+02
1.229999999999999982e+00,2.007236123917477411e+00,1.405065286742234036e+02,1.716355208840196610e+03,8.535262818041413993e+03,3.375083021988907149e+03,1.470000000000000000e+02
1.239999999999999991e+00,2.018413327997850892e+00,1.412889329598495465e+02,1.718191746960053024e+03,8.621198909546763389e+03,3.390453915161418081e+03,1.470000000000000000e+02
1.250000000000000000e+00,2.029628435437752731e+00,1.420739904806426637e+02,1.719959649413201078e+03,8.707295725154330285e+03,3.405696136820194170e+03,1.470000000000000000e+02
1.260000000000000009e+00,2.040881263495590847e+00,1.428616884446913389e+02,1.721660227306026627e+03,8.793551776988259007e+03,3.420811002959556845e+03,1.470000000000000000e+02
1.270000000000000018e+00,2.052171631356222381e+00,1.436520141949355605e+02,1.723294765754118316e+03,8.879965598454396968e+03,3.435799816138256574e+03,1.470000000000000000e+02
1.280000000000000027e+00,2.063499360111400893e+00,1.444449552077980456e+02,1.724864524445406232e+03,8.966535743877002460e+03,3.450663865536461344e+03,1.470000000000000000e+02
1.290000000000000036e+00,2.074864272740185811e+00,1.452404990918129783e+02,1.726370738189904387e+03,9.053260788141678859e+03,3.465404427016834234e+03,1.470000000000000000e+02
1.300000000000000044e+00,2.086266194089335002e+00,1.460386335862534111e+02,1.727814617456421274e+03,9.140139326344467918e+03,3.480022763189496345e+03,1.470000000000000000e+02
1.310000000000000053e+00,2.097704950853684913e+00,1.468393465597579279e+02,1.729197348896572521e+03,9.227169973447000302e+03,3.494520123480602251e+03,1.470000000000000000e+02
1.320000000000000062e+00,2.109180371556534261e+00,1.476426260089573645e+02,1.730520095856425996e+03,9.314351363937628776e+03,3.508897744204359697e+03,1.470000000000000000e+02
1.330000000000000071e+00,2.120692286530051707e+00,1.484484600571036026e+02,1.731783998876108853e+03,9.401682151498507665e+03,3.523156848638234806e+03,1.470000000000000000e+02
1.340000000000000080e+00,2.132240527895705728e+00,1.492568369526993877e+02,1.732990176177676631e+03,9.489161008678483995e+03,3.537298647101177721e+03,1.470000000000000000e+02
1.350000000000000089e+00,2.143824929544737579e+00,1.500677450681316145e+02,1.734139724141557508e+03,9.576786626571751185e+03,3.551324337034648124e+03,1.470000000000000000e+02
1.360000000000000098e+00,2.155445327118681753e+00,1.508811728983077103e+02,1.735233717771861620e+03,9.664557714502163435e+03,3.565235103086270556e+03,1.470000000000000000e+02
1.370000000000000107e+00,2.167101557989948191e+00,1.516971090592963662e+02,1.736273211150841689e+03,9.752472999713163517e+03,3.579032117195937190e+03,1.470000000000000000e+02
1.380000000000000115e+00,2.178793461242473750e+00,1.525155422869731296e+02,1.737259237882777825e+03,9.840531227063205733e+03,3.592716538684172519e+03,1.470000000000000000e+02
1.390000000000000124e+00,2.190520877652450071e+00,1.533364614356714810e+02,1.738192811527566164e+03,9.928731158726612193e+03,3.606289514342618531e+03,1.470000000000000000e+02
1.400000000000000133e+00,2.202283649669134036e+00,1.541598554768393399e+02,1.739074926024267370e+03,1.001707157389978238e+04,3.619752178526473472e+03,1.470000000000000000e+02
1.409999999999999920e+00,2.214081621395756372e+00,1.549857134977029034e+02,1.739906556104863967e+03,1.010555126851266141e+04,3.633105653248721865e+03,1.470000000000000000e+02
1.419999999999999929e+00,2.225914638570527071e+00,1.558140246999368514e+02,1.740688657698484349e+03,1.019416905494540151e+04,3.646351048276029815e+03,1.470000000000000000e+02
1.429999999999999938e+00,2.237782548547748718e+00,1.566447783983423960e+02,1.741422168326324709e+03,1.028292376175011304e+04,3.659489461226146886e+03,1.470000000000000000e+02
1.439999999999999947e+00,2.249685200279043507e+00,1.574779640195330330e+02,1.742108007487513760e+03,1.037181423337766137e+04,3.672521977666716339e+03,1.470000000000000000e+02
1.449999999999999956e+00,2.261622444294693057e+00,1.583135711006285078e+02,1.742747077036131714e+03,1.046083932990938229e+04,3.685449671215321814e+03,1.470000000000000000e+02
1.459999999999999964e+00,2.273594132685110569e+00,1.591515892879577052e+02,1.743340261549620436e+03,1.054999792679368147e+04,3.698273603640693182e+03,1.470000000000000000e+02
1.469999999999999973e+00,2.285600119082438653e+00,1.599920083357706915e+02,1.743888428688782824e+03,1.063928891458739417e+04,3.710994824964917370e+03,1.470000000000000000e+02
1.479999999999999982e+00,2.297640258642279054e+00,1.608348181049595098e+02,1.744392429549602639e+03,1.072871119870187613e+04,3.723614373566585073e+03,1.470000000000000000e+02
1.489999999999999991e+00,2.309714408025559607e+00,1.616800085617891511e+02,1.744853099007063520e+03,1.081826369915369651e+04,3.736133276284731437e+03,1.470000000000000000e+02
1.500000000000000000e+00,2.321822425380545507e+00,1.625275697766381597e+02,1.745271256051180444e+03,1.090794535031987834e+04,3.748552548523492078e+03,1.470000000000000000e+02
1.510000000000000009e+00,2.333964170324998477e+00,1.633774919227498685e+02,1.745647704115433044e+03,1.099775510069763914e+04,3.760873194357369357e+03,1.470000000000000000e+02
1.520000000000000018e+00,2.346139503928477144e+00,1.642297652749933548e+02,1.745983231397783811e+03,1.108769191266848611e+04,3.773096206637027535e+03,1.470000000000000000e+02
1.530000000000000027e+00,2.358348288694793737e+00,1.650843802086355367e+02,1.746278611174467187e+03,1.117775476226664978e+04,3.785222567095516752e+03,1.470000000000000000e+02
1.540000000000000036e+00,2.370590388544626226e+00,1.659413271981238154e+02,1.746534602106727334e+03,1.126794263895176118e+04,3.797253246454859891e+03,1.470000000000000000e+02
1.550000000000000044e+00,2.382865668798284986e+00,1.668005968158799135e+02,1.746751948540668309e+03,1.135825454538569466e+04,3.809189204532902750e+03,1.470000000000000000e+02
1.560000000000000053e+00,2.395173996158642460e+00,1.676621797311049704e+02,1.746931380800401257e+03,1.144868949721350873e+04,3.821031390350377023e+03,1.470000000000000000e+02
1.570000000000000062e+00,2.407515238694214688e+00,1.685260667085950104e+02,1.747073615474631197e+03,1.153924652284839431e+04,3.832780742238086987e+03,1.470000000000000000e+02
1.580000000000000071e+00,2.419889265822418256e+00,1.693922486075692575e+02,1.747179355696862331e+03,1.162992466326059548e+04,3.844438187944158926e+03,1.470000000000000000e+02
1.590000000000000080e+00,2.432295948292982679e+00,1.702607163805087680e+02,1.747249291419359452e+03,1.172072297177020482e+04,3.856004644741290122e+03,1.470000000000000000e+02
1.600000000000000089e+00,2.444735158171535083e+00,1.711314610720074256e+02,1.747284099681029375e+03,1.181164051384375853e+04,3.867481019533936433e+03,1.470000000000000000e+02
1.610000000000000098e+00,2.457206768823344767e+00,1.720044738176341070e+02,1.747284444869363597e+03,1.190267636689459505e+04,3.878868208965382564e+03,1.470000000000000000e+02
1.620000000000000107e+00,2.469710654897241398e+00,1.728797458428068694e+02,1.747250978976579972e+03,1.199382962008683535e+04,3.890167099524634068e+03,1.470000000000000000e+02
1.630000000000000115e+00,2.482246692309702407e+00,1.737572684616791605e+02,1.747184341850115516e+03,1.208509937414306478e+04,3.901378567653088339e+03,1.470000000000000000e+02
1.640000000000000124e+00,2.494814758229107365e+00,1.746370330760374827e+02,1.747085161437591978e+03,1.217648474115544195e+04,3.912503479850932763e+03,1.470000000000000000e+02
