Galaxy,R_d,V_max,N_points,RMS_Sigma,RMS_MOND,RMS_GR,RMS_DM,RAR_Sigma,RAR_MOND,Winner_RMS,Winner_RAR
F583-1,2.360,86.9,24,10.98,8.65,33.43,7.57,0.2079,0.2121,MOND,Sigma
F583-4,1.930,69.9,12,17.36,16.39,19.02,2.35,0.1738,0.0315,MOND,MOND
IC2574,2.780,67.5,34,19.73,20.67,18.90,11.44,0.0519,0.1359,Sigma,Sigma
IC4202,4.780,250.0,32,49.63,52.71,35.22,85.80,0.2189,0.2204,Sigma,Sigma
KK98-251,1.340,34.6,12,10.70,13.77,8.67,3.38,0.0318,0.0789,Sigma,Sigma
NGC0024,1.340,110.0,29,12.07,7.11,32.60,10.56,0.1039,0.0990,MOND,MOND
NGC0055,6.110,87.4,21,19.44,26.95,22.25,12.97,0.0485,0.0783,Sigma,Sigma
NGC0100,1.660,91.2,20,18.56,17.19,27.28,9.50,0.0533,0.1302,MOND,Sigma
NGC0247,3.740,108.0,26,19.09,17.77,32.17,14.49,0.1137,0.0401,MOND,MOND
NGC0289,6.740,194.0,28,65.40,51.88,55.65,45.84,0.0843,0.0498,MOND,MOND
NGC0300,1.750,97.0,25,13.73,9.79,36.12,4.40,0.0393,0.0690,MOND,Sigma
NGC0801,8.720,238.0,13,90.01,83.63,37.74,86.69,0.1012,0.0750,MOND,MOND
NGC0891,2.550,234.0,18,89.30,91.94,69.85,107.85,0.0866,0.0911,Sigma,Sigma
NGC1003,1.610,115.0,36,35.38,21.58,48.15,21.33,0.0359,0.0912,MOND,Sigma
NGC1090,3.530,176.0,24,62.17,52.72,25.71,51.02,0.1187,0.1375,MOND,Sigma
NGC1705,0.390,73.2,14,4.90,8.90,38.07,16.83,0.0753,0.0321,Sigma,MOND
NGC2366,0.650,53.7,24,20.70,15.35,17.02,5.67,0.0809,0.1209,MOND,Sigma
NGC2403,1.390,136.0,73,21.67,18.34,37.90,20.00,0.0450,0.0762,MOND,Sigma
NGC2683,2.180,212.0,11,68.51,50.92,33.12,44.80,0.0979,0.0466,MOND,MOND
NGC2841,3.640,323.0,50,20.33,8.81,87.87,59.76,0.0567,0.0224,MOND,MOND
NGC2903,2.330,216.0,34,70.88,68.17,61.46,75.53,0.2244,0.2358,MOND,Sigma
NGC2915,0.550,86.5,30,11.41,17.11,48.76,14.80,0.2491,0.3024,Sigma,Sigma
NGC2955,18.760,276.0,24,57.68,75.77,44.14,104.28,0.0575,0.0597,Sigma,Sigma
NGC2976,1.010,88.7,25,12.96,18.57,3.48,9.98,0.0563,0.0963,Sigma,Sigma
NGC2998,6.200,214.0,13,53.43,45.58,35.12,59.67,0.2501,0.1949,MOND,MOND
NGC3109,1.560,67.3,24,1.23,4.37,30.60,7.37,0.0384,0.1250,Sigma,Sigma
NGC3198,3.140,157.0,43,43.10,35.01,37.61,36.17,0.1296,0.1405,MOND,Sigma
NGC3521,2.400,220.0,41,59.99,64.98,52.52,79.79,0.0309,0.0430,Sigma,Sigma
NGC3726,3.400,169.0,12,69.71,64.13,35.31,67.26,0.0396,0.0765,MOND,Sigma
NGC3741,0.200,51.6,21,7.85,4.00,25.08,6.65,0.0703,0.1314,MOND,Sigma
NGC3769,3.380,126.0,12,45.43,39.80,38.65,30.37,0.0592,0.0735,MOND,Sigma
NGC3877,2.530,171.0,13,55.62,60.39,29.11,64.43,0.2018,0.2035,Sigma,Sigma
NGC3893,2.380,194.0,10,46.24,43.35,33.81,52.22,0.0505,0.0563,MOND,Sigma
NGC3917,2.630,138.0,17,29.40,25.86,26.01,25.89,0.0970,0.1266,MOND,Sigma
NGC3949,3.590,169.0,7,42.97,53.16,32.03,57.82,0.0515,0.0528,Sigma,Sigma
NGC3953,4.890,224.0,8,51.08,60.76,18.27,85.84,0.0433,0.0317,Sigma,MOND
NGC3972,2.180,134.0,10,18.16,19.85,21.17,19.85,0.0679,0.0883,Sigma,Sigma
NGC3992,4.960,272.0,9,58.74,42.02,51.50,71.13,0.0768,0.0325,MOND,MOND
NGC4010,2.810,129.0,12,29.58,32.93,17.71,28.02,0.0913,0.0973,Sigma,Sigma
NGC4013,3.530,198.0,36,60.50,51.70,39.27,57.32,0.0369,0.0487,MOND,Sigma
NGC4051,4.650,161.0,7,57.75,67.13,29.68,64.79,0.0596,0.0440,Sigma,MOND
NGC4068,0.590,41.9,5,18.12,17.77,6.53,4.65,0.1197,0.1707,MOND,Sigma
NGC4085,1.650,136.0,7,49.62,55.43,33.54,51.60,0.1666,0.1804,Sigma,Sigma
NGC4088,2.580,182.0,12,93.42,92.20,50.79,92.09,0.0347,0.0527,MOND,Sigma
NGC4100,2.150,195.0,24,47.21,36.52,29.36,35.61,0.0774,0.0374,MOND,MOND
NGC4138,1.510,195.0,7,51.11,40.86,31.52,39.31,0.0755,0.0471,MOND,MOND
NGC4157,2.320,201.0,17,79.00,69.63,40.01,76.81,0.0294,0.0636,MOND,Sigma
NGC4183,2.790,115.0,23,33.30,24.62,33.26,16.56,0.1180,0.0462,MOND,MOND
NGC4214,0.510,80.6,14,7.01,7.22,33.48,12.66,0.1175,0.0975,Sigma,MOND
NGC4217,2.940,191.0,19,81.12,84.38,64.41,90.62,0.2046,0.2145,Sigma,Sigma
NGC4389,2.790,110.0,6,70.84,80.50,57.40,67.83,0.2043,0.2173,Sigma,Sigma
NGC4559,2.100,124.0,32,51.48,42.00,23.93,31.04,0.0354,0.0464,MOND,Sigma
NGC5005,9.450,265.0,18,62.44,72.42,57.03,104.29,0.0437,0.0307,Sigma,MOND
NGC5033,5.160,225.0,22,55.13,47.57,61.16,58.00,0.0731,0.0666,MOND,MOND
NGC5055,3.200,206.0,28,95.75,83.77,58.27,80.64,0.0466,0.0391,MOND,MOND
NGC5371,7.440,242.0,19,102.40,100.59,35.63,100.07,0.1247,0.0955,MOND,MOND
NGC5585,1.530,92.3,24,19.61,19.52,24.18,11.75,0.0826,0.1430,MOND,Sigma
NGC5907,5.340,235.0,19,70.11,53.61,43.26,67.44,0.1018,0.0559,MOND,MOND
NGC5985,7.010,305.0,33,39.28,28.44,80.14,60.40,0.1160,0.0836,MOND,MOND
NGC6015,2.300,166.0,44,34.69,23.53,43.28,26.86,0.0966,0.0591,MOND,MOND
NGC6195,13.940,258.0,23,70.75,87.94,43.85,115.28,0.0418,0.0446,Sigma,Sigma
NGC6503,2.160,121.0,31,33.48,24.36,41.67,18.79,0.0565,0.0502,MOND,MOND
NGC6674,6.040,291.0,15,56.86,31.66,77.69,57.92,0.1007,0.0467,MOND,MOND
NGC6946,2.440,181.0,58,61.61,57.84,27.30,54.86,0.0432,0.0257,MOND,MOND
NGC7331,5.020,257.0,36,97.55,97.62,70.72,122.04,0.0462,0.0677,Sigma,Sigma
NGC7793,1.210,116.0,45,19.15,20.49,11.29,11.00,0.0996,0.1056,Sigma,Sigma
NGC7814,2.540,265.0,18,31.56,31.90,53.46,52.30,0.0531,0.0691,Sigma,Sigma
PGC51017,0.530,20.5,6,29.18,25.88,4.52,5.65,0.3759,0.2822,MOND,MOND
UGC00128,5.950,134.0,22,31.25,17.60,65.11,20.12,0.1221,0.0709,MOND,MOND
UGC00191,1.580,83.8,9,13.67,10.03,23.83,5.19,0.1242,0.0774,MOND,MOND
UGC00731,2.300,74.0,12,15.34,10.43,36.17,4.70,0.2642,0.1561,MOND,MOND
UGC00891,1.430,63.8,5,12.80,11.89,25.54,6.34,0.0781,0.1440,MOND,Sigma
UGC01230,4.340,113.0,11,32.05,22.60,43.74,13.51,0.1956,0.1760,MOND,MOND
UGC01281,1.630,56.9,22,4.41,7.96,19.64,6.78,0.0571,0.1466,Sigma,Sigma
UGC02023,1.550,58.8,5,19.32,22.78,8.85,7.43,0.0932,0.1619,Sigma,Sigma
UGC02259,1.620,90.0,8,10.76,6.09,39.10,10.04,0.1585,0.0845,MOND,MOND
UGC02455,0.990,61.0,8,56.19,58.44,35.38,39.58,0.1622,0.1978,Sigma,Sigma
UGC02487,7.890,383.0,17,32.37,8.72,109.52,75.00,0.0705,0.0211,MOND,MOND
UGC02885,11.400,305.0,19,57.31,48.16,69.36,98.24,0.0609,0.0488,MOND,MOND
UGC02916,6.150,218.0,43,54.33,59.15,39.97,64.37,0.1142,0.1037,Sigma,MOND
UGC02953,3.550,319.0,115,53.76,49.69,62.22,79.70,0.1186,0.1191,MOND,Sigma
UGC03205,3.190,237.0,48,36.27,32.57,33.65,57.41,0.0862,0.0639,MOND,MOND
UGC03546,3.790,262.0,30,79.31,79.76,72.12,88.99,0.0542,0.0662,Sigma,Sigma
UGC03580,2.430,131.0,47,42.95,45.67,39.24,43.69,0.1297,0.1697,Sigma,Sigma
UGC04278,2.210,92.8,24,6.35,10.03,28.24,8.96,0.0724,0.1227,Sigma,Sigma
UGC04305,1.160,37.3,21,36.27,34.26,5.02,9.36,0.1782,0.1363,MOND,MOND
UGC04325,1.860,92.7,8,12.84,8.15,35.33,12.97,0.1566,0.0878,MOND,MOND
UGC04483,0.180,24.3,7,9.25,7.36,7.56,5.62,0.0508,0.0823,MOND,Sigma
UGC04499,1.730,74.3,9,19.10,17.51,21.50,4.85,0.0656,0.1047,MOND,Sigma
UGC05005,3.200,100.0,11,30.33,25.27,33.61,22.42,0.0313,0.1517,MOND,Sigma
UGC05253,8.070,248.0,73,43.54,48.18,44.10,63.30,0.0748,0.0705,Sigma,MOND
UGC05414,1.470,61.4,6,13.91,16.31,12.49,3.86,0.0146,0.0833,Sigma,Sigma
UGC05716,1.140,74.7,12,16.18,7.37,34.86,3.20,0.0978,0.0343,MOND,MOND
UGC05721,0.380,82.6,23,6.74,10.22,36.99,16.95,0.0741,0.1061,Sigma,Sigma
UGC05750,3.460,78.9,10,25.29,24.43,21.80,14.34,0.0981,0.1565,MOND,Sigma
UGC05764,1.170,55.8,10,9.57,6.66,27.96,16.73,0.2158,0.1094,MOND,MOND
UGC05829,1.990,68.6,11,12.85,12.24,20.89,2.43,0.1197,0.0386,MOND,MOND
UGC05918,1.660,44.5,8,7.55,7.77,18.38,7.60,0.1603,0.0633,Sigma,MOND
UGC05986,1.670,116.0,15,6.03,6.98,38.97,7.19,0.0539,0.1091,Sigma,Sigma
UGC05999,3.220,100.0,5,24.11,20.26,37.19,15.06,0.0772,0.1125,MOND,Sigma
UGC06399,2.050,87.6,9,9.32,9.35,28.75,4.39,0.0387,0.0852,Sigma,Sigma
UGC06446,1.490,84.9,17,11.35,5.32,37.55,7.21,0.1243,0.0637,MOND,MOND
UGC06614,5.100,205.0,13,68.93,62.24,50.98,80.12,0.0277,0.0729,MOND,Sigma
UGC06628,2.820,42.3,7,42.70,45.03,8.07,15.42,0.1878,0.1175,Sigma,MOND
UGC06667,5.150,85.7,9,21.12,12.19,45.28,9.79,0.2206,0.0859,MOND,MOND
UGC06786,3.600,229.0,45,13.82,18.24,51.95,38.97,0.0567,0.0701,Sigma,Sigma
UGC06787,5.370,276.0,71,35.77,40.11,64.97,67.72,0.0932,0.1052,Sigma,Sigma
UGC06818,1.390,74.4,8,23.90,23.63,20.18,12.93,0.1572,0.2126,MOND,Sigma
UGC06917,2.760,111.0,11,14.92,15.01,30.60,10.28,0.0443,0.0461,Sigma,Sigma
UGC06923,1.440,81.1,6,20.46,22.10,15.11,9.68,0.0624,0.1042,Sigma,Sigma
UGC06930,3.940,109.0,10,26.75,24.05,31.49,15.13,0.0933,0.0541,MOND,MOND
UGC06973,1.070,180.0,9,99.40,101.21,88.39,108.44,0.1441,0.1473,Sigma,Sigma
UGC06983,3.210,113.0,17,15.44,11.33,42.45,7.96,0.0855,0.0641,MOND,MOND
UGC07089,2.260,79.1,12,28.63,27.99,14.93,12.42,0.0386,0.0727,MOND,Sigma
UGC07125,3.380,65.6,13,42.87,38.84,14.70,13.03,0.0847,0.0498,MOND,MOND
UGC07151,1.250,76.2,11,17.31,16.21,15.57,3.05,0.0653,0.0666,MOND,Sigma
UGC07261,1.200,76.1,7,17.29,13.48,22.26,3.60,0.1235,0.0661,MOND,MOND
UGC07323,2.260,85.6,10,19.21,23.44,10.35,10.53,0.0473,0.0639,Sigma,Sigma
UGC07399,1.640,106.0,10,19.51,18.63,50.95,17.12,0.0476,0.0561,MOND,Sigma
UGC07524,3.460,83.8,31,14.16,14.82,26.76,5.55,0.1045,0.0789,Sigma,MOND
UGC07559,0.580,32.1,6,16.28,15.23,7.33,3.44,0.0449,0.0859,MOND,Sigma
UGC07577,0.900,17.8,5,16.98,19.36,1.90,2.43,0.0627,0.0910,Sigma,Sigma
UGC07603,0.530,64.0,12,5.36,5.41,25.75,11.55,0.0608,0.1292,Sigma,Sigma
UGC07608,1.500,69.3,8,5.15,5.09,30.64,11.02,0.0916,0.1625,MOND,Sigma
UGC07690,0.570,60.7,7,18.90,14.77,13.01,3.96,0.0896,0.0435,MOND,MOND
UGC07866,0.610,33.1,7,12.79,12.48,7.48,3.71,0.0728,0.0324,MOND,MOND
UGC08286,1.050,84.3,17,8.26,3.79,36.67,9.13,0.0965,0.0736,MOND,MOND
UGC08490,0.670,80.1,30,10.52,1.80,38.25,9.98,0.0771,0.0227,MOND,MOND
UGC08550,0.450,57.8,11,10.56,4.45,25.00,9.02,0.0549,0.0405,MOND,MOND
UGC08699,3.090,202.0,41,32.31,33.22,38.29,44.36,0.0601,0.0583,Sigma,MOND
UGC08837,1.720,48.0,7,18.99,22.09,8.33,5.90,0.0904,0.1550,Sigma,Sigma
UGC09037,4.280,160.0,22,75.21,71.60,31.13,64.44,0.0881,0.1205,MOND,Sigma
UGC09133,6.970,289.0,68,73.43,60.62,61.92,71.35,0.1074,0.0687,MOND,MOND
UGC09992,1.040,34.3,5,21.75,21.00,5.89,2.25,0.1639,0.0964,MOND,MOND
UGC10310,1.800,73.2,7,17.95,15.29,22.51,3.13,0.1098,0.0483,MOND,MOND
UGC11455,5.930,291.0,36,72.29,77.19,39.82,118.68,0.1008,0.1173,Sigma,Sigma
UGC11557,2.750,85.0,11,53.15,57.09,21.08,36.04,0.1514,0.1984,Sigma,Sigma
UGC11820,2.080,84.5,10,18.12,11.73,27.35,5.44,0.2269,0.0812,MOND,MOND
UGC11914,2.440,305.0,65,25.75,30.81,20.22,70.16,0.0348,0.0369,Sigma,Sigma
UGC12506,7.380,255.0,31,41.83,25.92,78.84,42.75,0.2381,0.1589,MOND,MOND
UGC12632,2.420,73.2,15,15.35,12.45,28.54,2.66,0.1308,0.0541,MOND,MOND
UGC12732,1.980,98.0,16,17.62,9.58,38.51,8.53,0.0987,0.0274,MOND,MOND
UGCA281,1.720,29.5,6,0.74,7.54,7.18,5.30,0.0269,0.0366,Sigma,Sigma
UGCA442,1.180,57.8,8,5.82,5.00,26.10,7.66,0.0915,0.0699,MOND,MOND
UGCA444,0.830,38.3,32,4.87,5.68,14.75,7.56,0.0908,0.0475,Sigma,MOND
