candidate_id,q_R80,route_fraction_max,acceleration_gate_power,shape_gate,shape_midpoint,shape_width,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s
q0.75__f0.1__n0__hc0.6_w0.05__RAR,0.75,0.1,0.0,c0.6_w0.05,0.6,0.05,0,109,22,11.158875585332456,7.981226456854902
q0.75__f0.1__n0__hc0.6_w0.05__RAR,0.75,0.1,0.0,c0.6_w0.05,0.6,0.05,1,97,34,10.982945706018327,9.812207417122949
q0.75__f0.1__n0__hc0.6_w0.05__RAR,0.75,0.1,0.0,c0.6_w0.05,0.6,0.05,2,108,23,11.162984720678947,8.11872186361867
q0.75__f0.1__n0__hc0.6_w0.05__RAR,0.75,0.1,0.0,c0.6_w0.05,0.6,0.05,3,106,25,9.697987262073267,14.148827517968977
q0.75__f0.1__n0__hc0.6_w0.05__RAR,0.75,0.1,0.0,c0.6_w0.05,0.6,0.05,4,104,27,10.375473292036983,11.829792977375337
q0.75__f0.1__n0__hc0.6_w0.1__RAR,0.75,0.1,0.0,c0.6_w0.1,0.6,0.1,0,109,22,11.1779045914986,8.04191705230704
q0.75__f0.1__n0__hc0.6_w0.1__RAR,0.75,0.1,0.0,c0.6_w0.1,0.6,0.1,1,97,34,10.999415743270584,9.860952843232559
q0.75__f0.1__n0__hc0.6_w0.1__RAR,0.75,0.1,0.0,c0.6_w0.1,0.6,0.1,2,108,23,11.19008672857377,8.124868146638928
q0.75__f0.1__n0__hc0.6_w0.1__RAR,0.75,0.1,0.0,c0.6_w0.1,0.6,0.1,3,106,25,9.733515439250167,14.141114956044447
q0.75__f0.1__n0__hc0.6_w0.1__RAR,0.75,0.1,0.0,c0.6_w0.1,0.6,0.1,4,104,27,10.399004737271818,11.85619289930151
q0.75__f0.1__n0__hc0.6_w0.2__RAR,0.75,0.1,0.0,c0.6_w0.2,0.6,0.2,0,109,22,11.201389071470762,8.096463342651791
q0.75__f0.1__n0__hc0.6_w0.2__RAR,0.75,0.1,0.0,c0.6_w0.2,0.6,0.2,1,97,34,11.01585935271559,9.922706167988133
q0.75__f0.1__n0__hc0.6_w0.2__RAR,0.75,0.1,0.0,c0.6_w0.2,0.6,0.2,2,108,23,11.220649612064607,8.132035373621632
q0.75__f0.1__n0__hc0.6_w0.2__RAR,0.75,0.1,0.0,c0.6_w0.2,0.6,0.2,3,106,25,9.770912506690678,14.140175485609332
q0.75__f0.1__n0__hc0.6_w0.2__RAR,0.75,0.1,0.0,c0.6_w0.2,0.6,0.2,4,104,27,10.42805350299298,11.877623518605901
q0.75__f0.1__n0__hc0.7_w0.05__RAR,0.75,0.1,0.0,c0.7_w0.05,0.7,0.05,0,109,22,11.230556793594593,8.038524689906831
q0.75__f0.1__n0__hc0.7_w0.05__RAR,0.75,0.1,0.0,c0.7_w0.05,0.7,0.05,1,97,34,11.044812770765096,9.906084490836719
q0.75__f0.1__n0__hc0.7_w0.05__RAR,0.75,0.1,0.0,c0.7_w0.05,0.7,0.05,2,108,23,11.238418108360651,8.152465869129994
q0.75__f0.1__n0__hc0.7_w0.05__RAR,0.75,0.1,0.0,c0.7_w0.05,0.7,0.05,3,106,25,9.78114433332632,14.181903159866428
q0.75__f0.1__n0__hc0.7_w0.05__RAR,0.75,0.1,0.0,c0.7_w0.05,0.7,0.05,4,104,27,10.430554324276885,11.948082721495958
q0.75__f0.1__n0__hc0.7_w0.1__RAR,0.75,0.1,0.0,c0.7_w0.1,0.7,0.1,0,109,22,11.231761855899363,8.082982038521346
q0.75__f0.1__n0__hc0.7_w0.1__RAR,0.75,0.1,0.0,c0.7_w0.1,0.7,0.1,1,97,34,11.046039396596843,9.929941653403839
q0.75__f0.1__n0__hc0.7_w0.1__RAR,0.75,0.1,0.0,c0.7_w0.1,0.7,0.1,2,108,23,11.245871659351044,8.154115806131133
q0.75__f0.1__n0__hc0.7_w0.1__RAR,0.75,0.1,0.0,c0.7_w0.1,0.7,0.1,3,106,25,9.791967458435716,14.176632106780254
q0.75__f0.1__n0__hc0.7_w0.1__RAR,0.75,0.1,0.0,c0.7_w0.1,0.7,0.1,4,104,27,10.44379265619499,11.932540559454921
q0.75__f0.1__n0__hc0.7_w0.2__RAR,0.75,0.1,0.0,c0.7_w0.2,0.7,0.2,0,109,22,11.232078492293057,8.118456239505985
q0.75__f0.1__n0__hc0.7_w0.2__RAR,0.75,0.1,0.0,c0.7_w0.2,0.7,0.2,1,97,34,11.04377348094442,9.956968941328377
q0.75__f0.1__n0__hc0.7_w0.2__RAR,0.75,0.1,0.0,c0.7_w0.2,0.7,0.2,2,108,23,11.251988920745367,8.15026487715551
q0.75__f0.1__n0__hc0.7_w0.2__RAR,0.75,0.1,0.0,c0.7_w0.2,0.7,0.2,3,106,25,9.802675463963036,14.164181594442445
q0.75__f0.1__n0__hc0.7_w0.2__RAR,0.75,0.1,0.0,c0.7_w0.2,0.7,0.2,4,104,27,10.453295829500057,11.921308907748529
q0.75__f0.1__n1__hnone__RAR,0.75,0.1,1.0,none,,,0,109,22,11.177767617298201,8.032653973539848
q0.75__f0.1__n1__hnone__RAR,0.75,0.1,1.0,none,,,1,97,34,10.949568815253802,10.012671964302442
q0.75__f0.1__n1__hnone__RAR,0.75,0.1,1.0,none,,,2,108,23,11.18908694675681,8.121675089198424
q0.75__f0.1__n1__hnone__RAR,0.75,0.1,1.0,none,,,3,106,25,9.75809533013999,14.063973767944942
q0.75__f0.1__n1__hnone__RAR,0.75,0.1,1.0,none,,,4,104,27,10.419167317691027,11.782139650206956
q0.75__f0.1__n1__hc0.5_w0.05__RAR,0.75,0.1,1.0,c0.5_w0.05,0.5,0.05,0,109,22,11.169614190970421,8.00030632783029
q0.75__f0.1__n1__hc0.5_w0.05__RAR,0.75,0.1,1.0,c0.5_w0.05,0.5,0.05,1,97,34,10.976474966557483,9.881841958088469
q0.75__f0.1__n1__hc0.5_w0.05__RAR,0.75,0.1,1.0,c0.5_w0.05,0.5,0.05,2,108,23,11.173190418591709,8.140715147245892
q0.75__f0.1__n1__hc0.5_w0.05__RAR,0.75,0.1,1.0,c0.5_w0.05,0.5,0.05,3,106,25,9.724972091139234,14.116684833437745
q0.75__f0.1__n1__hc0.5_w0.05__RAR,0.75,0.1,1.0,c0.5_w0.05,0.5,0.05,4,104,27,10.3934582812577,11.820392098761014
q0.75__f0.1__n1__hc0.5_w0.1__RAR,0.75,0.1,1.0,c0.5_w0.1,0.5,0.1,0,109,22,11.185680028374048,8.018907263665017
q0.75__f0.1__n1__hc0.5_w0.1__RAR,0.75,0.1,1.0,c0.5_w0.1,0.5,0.1,1,97,34,10.987732884592127,9.91410960965635
q0.75__f0.1__n1__hc0.5_w0.1__RAR,0.75,0.1,1.0,c0.5_w0.1,0.5,0.1,2,108,23,11.191998437562379,8.141446286458775
q0.75__f0.1__n1__hc0.5_w0.1__RAR,0.75,0.1,1.0,c0.5_w0.1,0.5,0.1,3,106,25,9.747329076479316,14.116057485280832
q0.75__f0.1__n1__hc0.5_w0.1__RAR,0.75,0.1,1.0,c0.5_w0.1,0.5,0.1,4,104,27,10.406450453488533,11.847931499739456
q0.75__f0.1__n1__hc0.5_w0.2__RAR,0.75,0.1,1.0,c0.5_w0.2,0.5,0.2,0,109,22,11.214629458993143,8.061174162964576
q0.75__f0.1__n1__hc0.5_w0.2__RAR,0.75,0.1,1.0,c0.5_w0.2,0.5,0.2,1,97,34,11.009951567694074,9.970651048320248
q0.75__f0.1__n1__hc0.5_w0.2__RAR,0.75,0.1,1.0,c0.5_w0.2,0.5,0.2,2,108,23,11.226029278406308,8.150100154140356
q0.75__f0.1__n1__hc0.5_w0.2__RAR,0.75,0.1,1.0,c0.5_w0.2,0.5,0.2,3,106,25,9.784845978412411,14.127332237624632
q0.75__f0.1__n1__hc0.5_w0.2__RAR,0.75,0.1,1.0,c0.5_w0.2,0.5,0.2,4,104,27,10.436152301954992,11.881104924954691
q0.75__f0.1__n1__hc0.6_w0.05__RAR,0.75,0.1,1.0,c0.6_w0.05,0.6,0.05,0,109,22,11.201668703165616,7.987623027721338
q0.75__f0.1__n1__hc0.6_w0.05__RAR,0.75,0.1,1.0,c0.6_w0.05,0.6,0.05,1,97,34,11.005095927564188,9.900689305665209
q0.75__f0.1__n1__hc0.6_w0.05__RAR,0.75,0.1,1.0,c0.6_w0.05,0.6,0.05,2,108,23,11.202093061616566,8.151012946633324
q0.75__f0.1__n1__hc0.6_w0.05__RAR,0.75,0.1,1.0,c0.6_w0.05,0.6,0.05,3,106,25,9.747559782283611,14.154998529026454
q0.75__f0.1__n1__hc0.6_w0.05__RAR,0.75,0.1,1.0,c0.6_w0.05,0.6,0.05,4,104,27,10.411554045065413,11.87439462975927
q0.75__f0.1__n1__hc0.6_w0.1__RAR,0.75,0.1,1.0,c0.6_w0.1,0.6,0.1,0,109,22,11.216307455927112,8.036728959611777
q0.75__f0.1__n1__hc0.6_w0.1__RAR,0.75,0.1,1.0,c0.6_w0.1,0.6,0.1,1,97,34,11.018520642259185,9.936870172848934
q0.75__f0.1__n1__hc0.6_w0.1__RAR,0.75,0.1,1.0,c0.6_w0.1,0.6,0.1,2,108,23,11.223326577330003,8.155427964181552
q0.75__f0.1__n1__hc0.6_w0.1__RAR,0.75,0.1,1.0,c0.6_w0.1,0.6,0.1,3,106,25,9.775166585153263,14.149278534105822
q0.75__f0.1__n1__hc0.6_w0.1__RAR,0.75,0.1,1.0,c0.6_w0.1,0.6,0.1,4,104,27,10.429696271918194,11.895833153925787
q0.75__f0.1__n1__hc0.6_w0.2__RAR,0.75,0.1,1.0,c0.6_w0.2,0.6,0.2,0,109,22,11.235516085992694,8.082649181237649
q0.75__f0.1__n1__hc0.6_w0.2__RAR,0.75,0.1,1.0,c0.6_w0.2,0.6,0.2,1,97,34,11.03252729378178,9.986079259621048
q0.75__f0.1__n1__hc0.6_w0.2__RAR,0.75,0.1,1.0,c0.6_w0.2,0.6,0.2,2,108,23,11.248532675223089,8.16107336642509
q0.75__f0.1__n1__hc0.6_w0.2__RAR,0.75,0.1,1.0,c0.6_w0.2,0.6,0.2,3,106,25,9.805817489907074,14.148818119166936
q0.75__f0.1__n1__hc0.6_w0.2__RAR,0.75,0.1,1.0,c0.6_w0.2,0.6,0.2,4,104,27,10.453367766200417,11.914316011319968
q0.75__f0.1__n1__hc0.7_w0.05__RAR,0.75,0.1,1.0,c0.7_w0.05,0.7,0.05,0,109,22,11.254915462662327,8.053210431374325
q0.75__f0.1__n1__hc0.7_w0.05__RAR,0.75,0.1,1.0,c0.7_w0.05,0.7,0.05,1,97,34,11.056046760168213,9.966494133939664
q0.75__f0.1__n1__hc0.7_w0.05__RAR,0.75,0.1,1.0,c0.7_w0.05,0.7,0.05,2,108,23,11.26260648625661,8.168768046160695
q0.75__f0.1__n1__hc0.7_w0.05__RAR,0.75,0.1,1.0,c0.7_w0.05,0.7,0.05,3,106,25,9.811876382941943,14.18341756138959
q0.75__f0.1__n1__hc0.7_w0.05__RAR,0.75,0.1,1.0,c0.7_w0.05,0.7,0.05,4,104,27,10.4550510554619,11.966188538631107
q0.75__f0.1__n1__hc0.7_w0.1__RAR,0.75,0.1,1.0,c0.7_w0.1,0.7,0.1,0,109,22,11.258040380136652,8.08702649832381
q0.75__f0.1__n1__hc0.7_w0.1__RAR,0.75,0.1,1.0,c0.7_w0.1,0.7,0.1,1,97,34,11.059083325268562,9.985896080751367
q0.75__f0.1__n1__hc0.7_w0.1__RAR,0.75,0.1,1.0,c0.7_w0.1,0.7,0.1,2,108,23,11.269916837201507,8.173785695916086
q0.75__f0.1__n1__hc0.7_w0.1__RAR,0.75,0.1,1.0,c0.7_w0.1,0.7,0.1,3,106,25,9.822135450738301,14.181054933404537
q0.75__f0.1__n1__hc0.7_w0.1__RAR,0.75,0.1,1.0,c0.7_w0.1,0.7,0.1,4,104,27,10.466715463857003,11.957357467277806
q0.75__f0.1__n1__hc0.7_w0.2__RAR,0.75,0.1,1.0,c0.7_w0.2,0.7,0.2,0,109,22,11.259780404093997,8.111113619651206
q0.75__f0.1__n1__hc0.7_w0.2__RAR,0.75,0.1,1.0,c0.7_w0.2,0.7,0.2,1,97,34,11.057576447831774,10.009559077719063
q0.75__f0.1__n1__hc0.7_w0.2__RAR,0.75,0.1,1.0,c0.7_w0.2,0.7,0.2,2,108,23,11.2752586248686,8.173381016841075
q0.75__f0.1__n1__hc0.7_w0.2__RAR,0.75,0.1,1.0,c0.7_w0.2,0.7,0.2,3,106,25,9.831734503431946,14.170976853024676
q0.75__f0.1__n1__hc0.7_w0.2__RAR,0.75,0.1,1.0,c0.7_w0.2,0.7,0.2,4,104,27,10.474693465243162,11.9503538566132
q0.75__f0.1__n4__hnone__RAR,0.75,0.1,4.0,none,,,0,109,22,11.15426708583518,7.999236538390336
q0.75__f0.1__n4__hnone__RAR,0.75,0.1,4.0,none,,,1,97,34,10.926266036857134,9.983926320454968
q0.75__f0.1__n4__hnone__RAR,0.75,0.1,4.0,none,,,2,108,23,11.162793762424332,8.106888079440512
q0.75__f0.1__n4__hnone__RAR,0.75,0.1,4.0,none,,,3,106,25,9.72816277940446,14.053782055967655
q0.75__f0.1__n4__hnone__RAR,0.75,0.1,4.0,none,,,4,104,27,10.398838368076307,11.742815717597749
q0.75__f0.1__n4__hc0.5_w0.05__RAR,0.75,0.1,4.0,c0.5_w0.05,0.5,0.05,0,109,22,11.144009999449509,7.962654574475564
q0.75__f0.1__n4__hc0.5_w0.05__RAR,0.75,0.1,4.0,c0.5_w0.05,0.5,0.05,1,97,34,10.954939032561533,9.837570175688269
q0.75__f0.1__n4__hc0.5_w0.05__RAR,0.75,0.1,4.0,c0.5_w0.05,0.5,0.05,2,108,23,11.142831788517718,8.134494401671567
q0.75__f0.1__n4__hc0.5_w0.05__RAR,0.75,0.1,4.0,c0.5_w0.05,0.5,0.05,3,106,25,9.69224947773896,14.105138661184732
q0.75__f0.1__n4__hc0.5_w0.05__RAR,0.75,0.1,4.0,c0.5_w0.05,0.5,0.05,4,104,27,10.36873687095078,11.785691831685275
q0.75__f0.1__n4__hc0.5_w0.1__RAR,0.75,0.1,4.0,c0.5_w0.1,0.5,0.1,0,109,22,11.16264077704056,7.986246882264337
q0.75__f0.1__n4__hc0.5_w0.1__RAR,0.75,0.1,4.0,c0.5_w0.1,0.5,0.1,1,97,34,10.968593128634492,9.8741872355182
q0.75__f0.1__n4__hc0.5_w0.1__RAR,0.75,0.1,4.0,c0.5_w0.1,0.5,0.1,2,108,23,11.165110250757829,8.134234501137014
q0.75__f0.1__n4__hc0.5_w0.1__RAR,0.75,0.1,4.0,c0.5_w0.1,0.5,0.1,3,106,25,9.718066166655984,14.105790379175781
q0.75__f0.1__n4__hc0.5_w0.1__RAR,0.75,0.1,4.0,c0.5_w0.1,0.5,0.1,4,104,27,10.384110620599586,11.817696344403553
q0.75__f0.1__n4__hc0.5_w0.2__RAR,0.75,0.1,4.0,c0.5_w0.2,0.5,0.2,0,109,22,11.19501975622977,8.034114389097535
q0.75__f0.1__n4__hc0.5_w0.2__RAR,0.75,0.1,4.0,c0.5_w0.2,0.5,0.2,1,97,34,10.993180345772927,9.938613703143197
q0.75__f0.1__n4__hc0.5_w0.2__RAR,0.75,0.1,4.0,c0.5_w0.2,0.5,0.2,2,108,23,11.20355943256953,8.14195911984022
q0.75__f0.1__n4__hc0.5_w0.2__RAR,0.75,0.1,4.0,c0.5_w0.2,0.5,0.2,3,106,25,9.760204853972331,14.11822557801881
q0.75__f0.1__n4__hc0.5_w0.2__RAR,0.75,0.1,4.0,c0.5_w0.2,0.5,0.2,4,104,27,10.417363051218464,11.85499691932168
q0.75__f0.1__n4__hc0.6_w0.05__RAR,0.75,0.1,4.0,c0.6_w0.05,0.6,0.05,0,109,22,11.182797604070483,7.956962993776161
q0.75__f0.1__n4__hc0.6_w0.05__RAR,0.75,0.1,4.0,c0.6_w0.05,0.6,0.05,1,97,34,10.991415827427511,9.859593840861862
q0.75__f0.1__n4__hc0.6_w0.05__RAR,0.75,0.1,4.0,c0.6_w0.05,0.6,0.05,2,108,23,11.17836034321721,8.15252079318015
q0.75__f0.1__n4__hc0.6_w0.05__RAR,0.75,0.1,4.0,c0.6_w0.05,0.6,0.05,3,106,25,9.721506122978402,14.150715020510749
q0.75__f0.1__n4__hc0.6_w0.05__RAR,0.75,0.1,4.0,c0.6_w0.05,0.6,0.05,4,104,27,10.392682747228429,11.849465873735042
q0.75__f0.1__n4__hc0.6_w0.1__RAR,0.75,0.1,4.0,c0.6_w0.1,0.6,0.1,0,109,22,11.19816310548448,8.009561447587258
q0.75__f0.1__n4__hc0.6_w0.1__RAR,0.75,0.1,4.0,c0.6_w0.1,0.6,0.1,1,97,34,11.004454483448344,9.901478283215777
q0.75__f0.1__n4__hc0.6_w0.1__RAR,0.75,0.1,4.0,c0.6_w0.1,0.6,0.1,2,108,23,11.201558153199425,8.15222909107804
q0.75__f0.1__n4__hc0.6_w0.1__RAR,0.75,0.1,4.0,c0.6_w0.1,0.6,0.1,3,106,25,9.751368424995507,14.142686186146715
q0.75__f0.1__n4__hc0.6_w0.1__RAR,0.75,0.1,4.0,c0.6_w0.1,0.6,0.1,4,104,27,10.411553082765302,11.873090547537464
q0.75__f0.1__n4__hc0.6_w0.2__RAR,0.75,0.1,4.0,c0.6_w0.2,0.6,0.2,0,109,22,11.218740964881464,8.059270851370949
q0.75__f0.1__n4__hc0.6_w0.2__RAR,0.75,0.1,4.0,c0.6_w0.2,0.6,0.2,1,97,34,11.018560781706936,9.957342435366462
q0.75__f0.1__n4__hc0.6_w0.2__RAR,0.75,0.1,4.0,c0.6_w0.2,0.6,0.2,2,108,23,11.229154521390972,8.154898322672357
q0.75__f0.1__n4__hc0.6_w0.2__RAR,0.75,0.1,4.0,c0.6_w0.2,0.6,0.2,3,106,25,9.784622415413981,14.14125914277239
q0.75__f0.1__n4__hc0.6_w0.2__RAR,0.75,0.1,4.0,c0.6_w0.2,0.6,0.2,4,104,27,10.437050330147674,11.89267874988002
q0.75__f0.1__n4__hc0.7_w0.05__RAR,0.75,0.1,4.0,c0.7_w0.05,0.7,0.05,0,109,22,11.244187342183,8.034440979806279
q0.75__f0.1__n4__hc0.7_w0.05__RAR,0.75,0.1,4.0,c0.7_w0.05,0.7,0.05,1,97,34,11.049838017950284,9.937473194542427
q0.75__f0.1__n4__hc0.7_w0.05__RAR,0.75,0.1,4.0,c0.7_w0.05,0.7,0.05,2,108,23,11.249002097025464,8.169095413287842
q0.75__f0.1__n4__hc0.7_w0.05__RAR,0.75,0.1,4.0,c0.7_w0.05,0.7,0.05,3,106,25,9.796296058726787,14.182614448003095
q0.75__f0.1__n4__hc0.7_w0.05__RAR,0.75,0.1,4.0,c0.7_w0.05,0.7,0.05,4,104,27,10.4427526355566,11.956553091164377
q0.75__f0.1__n4__hc0.7_w0.1__RAR,0.75,0.1,4.0,c0.7_w0.1,0.7,0.1,0,109,22,11.245846814179691,8.068119003119865
q0.75__f0.1__n4__hc0.7_w0.1__RAR,0.75,0.1,4.0,c0.7_w0.1,0.7,0.1,1,97,34,11.050410869227747,9.959307453834565
q0.75__f0.1__n4__hc0.7_w0.1__RAR,0.75,0.1,4.0,c0.7_w0.1,0.7,0.1,2,108,23,11.255056532991949,8.172510999387072
q0.75__f0.1__n4__hc0.7_w0.1__RAR,0.75,0.1,4.0,c0.7_w0.1,0.7,0.1,3,106,25,9.805698902751896,14.177623471381999
q0.75__f0.1__n4__hc0.7_w0.1__RAR,0.75,0.1,4.0,c0.7_w0.1,0.7,0.1,4,104,27,10.454001374759688,11.943461890425025
q0.75__f0.1__n4__hc0.7_w0.2__RAR,0.75,0.1,4.0,c0.7_w0.2,0.7,0.2,0,109,22,11.246249691553974,8.09209392514353
q0.75__f0.1__n4__hc0.7_w0.2__RAR,0.75,0.1,4.0,c0.7_w0.2,0.7,0.2,1,97,34,11.046608481948276,9.985352262144032
q0.75__f0.1__n4__hc0.7_w0.2__RAR,0.75,0.1,4.0,c0.7_w0.2,0.7,0.2,2,108,23,11.259517832013064,8.168954848366592
q0.75__f0.1__n4__hc0.7_w0.2__RAR,0.75,0.1,4.0,c0.7_w0.2,0.7,0.2,3,106,25,9.814534452663413,14.165113314432128
q0.75__f0.1__n4__hc0.7_w0.2__RAR,0.75,0.1,4.0,c0.7_w0.2,0.7,0.2,4,104,27,10.461349789604531,11.933421402416585
q0.75__f0.2__n0__hnone__RAR,0.75,0.2,0.0,none,,,0,109,22,10.96461237516017,8.057094410369233
q0.75__f0.2__n0__hnone__RAR,0.75,0.2,0.0,none,,,1,97,34,10.770446827563022,9.822245175944355
q0.75__f0.2__n0__hnone__RAR,0.75,0.2,0.0,none,,,2,108,23,10.995103014304876,8.011075404489105
q0.75__f0.2__n0__hnone__RAR,0.75,0.2,0.0,none,,,3,106,25,9.56159400604549,13.91616822081896
q0.75__f0.2__n0__hnone__RAR,0.75,0.2,0.0,none,,,4,104,27,10.296536934811881,11.39607460946638
q0.75__f0.2__n0__hc0.5_w0.05__RAR,0.75,0.2,0.0,c0.5_w0.05,0.5,0.05,0,109,22,10.903848376969943,7.866414173991328
q0.75__f0.2__n0__hc0.5_w0.05__RAR,0.75,0.2,0.0,c0.5_w0.05,0.5,0.05,1,97,34,10.778269191831882,9.474751422862331
q0.75__f0.2__n0__hc0.5_w0.05__RAR,0.75,0.2,0.0,c0.5_w0.05,0.5,0.05,2,108,23,10.907521127434652,7.998947373652784
q0.75__f0.2__n0__hc0.5_w0.05__RAR,0.75,0.2,0.0,c0.5_w0.05,0.5,0.05,3,106,25,9.435920126529039,13.975590313781437
q0.75__f0.2__n0__hc0.5_w0.05__RAR,0.75,0.2,0.0,c0.5_w0.05,0.5,0.05,4,104,27,10.175442842071435,11.47087174080861
q0.75__f0.2__n0__hc0.5_w0.1__RAR,0.75,0.2,0.0,c0.5_w0.1,0.5,0.1,0,109,22,10.939691335853299,7.8764346275505535
q0.75__f0.2__n0__hc0.5_w0.1__RAR,0.75,0.2,0.0,c0.5_w0.1,0.5,0.1,1,97,34,10.798013537468917,9.548173244355443
q0.75__f0.2__n0__hc0.5_w0.1__RAR,0.75,0.2,0.0,c0.5_w0.1,0.5,0.1,2,108,23,10.944526757743313,8.002959349679063
q0.75__f0.2__n0__hc0.5_w0.1__RAR,0.75,0.2,0.0,c0.5_w0.1,0.5,0.1,3,106,25,9.480575224236844,13.974546385593968
q0.75__f0.2__n0__hc0.5_w0.1__RAR,0.75,0.2,0.0,c0.5_w0.1,0.5,0.1,4,104,27,10.199843334608254,11.530618729273098
q0.75__f0.2__n0__hc0.5_w0.2__RAR,0.75,0.2,0.0,c0.5_w0.2,0.5,0.2,0,109,22,11.005016787208534,7.946101353930928
q0.75__f0.2__n0__hc0.5_w0.2__RAR,0.75,0.2,0.0,c0.5_w0.2,0.5,0.2,1,97,34,10.84213341887283,9.682601818242619
q0.75__f0.2__n0__hc0.5_w0.2__RAR,0.75,0.2,0.0,c0.5_w0.2,0.5,0.2,2,108,23,11.016970751017398,8.026507654505233
q0.75__f0.2__n0__hc0.5_w0.2__RAR,0.75,0.2,0.0,c0.5_w0.2,0.5,0.2,3,106,25,9.562273364225241,13.996849597645044
q0.75__f0.2__n0__hc0.5_w0.2__RAR,0.75,0.2,0.0,c0.5_w0.2,0.5,0.2,4,104,27,10.263945477426097,11.60120141229909
q0.75__f0.2__n0__hc0.6_w0.05__RAR,0.75,0.2,0.0,c0.6_w0.05,0.6,0.05,0,109,22,10.973477186923592,7.7307571329333005
q0.75__f0.2__n0__hc0.6_w0.05__RAR,0.75,0.2,0.0,c0.6_w0.05,0.6,0.05,1,97,34,10.823169574590029,9.514106144675681
q0.75__f0.2__n0__hc0.6_w0.05__RAR,0.75,0.2,0.0,c0.6_w0.05,0.6,0.05,2,108,23,10.95453773362924,8.021957444617065
q0.75__f0.2__n0__hc0.6_w0.05__RAR,0.75,0.2,0.0,c0.6_w0.05,0.6,0.05,3,106,25,9.467144532337942,14.056817259693954
q0.75__f0.2__n0__hc0.6_w0.05__RAR,0.75,0.2,0.0,c0.6_w0.05,0.6,0.05,4,104,27,10.196334597334618,11.591681917142969
q0.75__f0.2__n0__hc0.6_w0.1__RAR,0.75,0.2,0.0,c0.6_w0.1,0.6,0.1,0,109,22,11.006041892483529,7.848209474521663
q0.75__f0.2__n0__hc0.6_w0.1__RAR,0.75,0.2,0.0,c0.6_w0.1,0.6,0.1,1,97,34,10.852169398649469,9.602266485615125
