V0,lambda,M4,beta,cosmo_pass,cosmo_Omega_m0,cosmo_Omega_phi0,cosmo_reason,screening_pass,ppn_pass,overall_pass,overall_reason,screening_R_c_cosmic,screening_R_c_dwarf,screening_R_c_spiral,screening_reason
1e-08,0.1,0.0027825594022071257,0.0021544346900318843,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,0.004641588833612777,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,0.01,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,0.021544346900318832,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,0.046415888336127774,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,0.1,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,0.21544346900318823,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,0.46415888336127775,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.0027825594022071257,1.0,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
1e-08,0.1,0.004641588833612777,0.001,False,0.6883463180017908,0.31165368199820925,"Omega_m=0.6883, Omega_phi=0.3117",False,False,False,"Omega_m=0.6883, Omega_phi=0.3117",,,,
1e-08,0.1,0.004641588833612777,0.0021544346900318843,False,0.6883463180017908,0.31165368199820925,"Omega_m=0.6883, Omega_phi=0.3117",False,False,False,"Omega_m=0.6883, Omega_phi=0.3117",,,,
