cluster,branch,group_id,root_bin_id,member_bin_ids,member_bin_count,net_counts_0p5_7_keV,science_counts_0p5_7_keV,scaled_background_counts_0p5_7_keV,pixels,meets_target,connected_by_construction
BULLET,robustness_10000,25,173,173;199;247;254;266;282;316;346,8,13326.975768897999,13599.0,272.02423110200004,885,True,True
BULLET,robustness_10000,26,176,176;194;223;229;237;267;278;297;332;339,10,17365.858256036998,18746.0,1380.141743963,4461,True,True
BULLET,robustness_10000,27,191,191;257;304;312;326;330;343;345;369;391,10,16688.259299694,17134.0,445.740700306,1329,True,True
BULLET,robustness_10000,28,211,211;241;253;286;293;308;317;318;322;327;336;341;342;384;386,15,25346.692630715,25926.0,579.307369285,1979,True,True
BULLET,robustness_10000,29,224,224;270;295;309;333;335;337;344;353;365;374;378;380,13,22500.845696401,23178.0,677.1543035990001,2241,True,True
BULLET,robustness_10000,30,225,225;233;244;264;269;283;310;313;340;385;389,11,18687.844371906,19670.0,982.1556280940001,3250,True,True
BULLET,robustness_10000,31,232,232;234;260;275;284;305;352;356;361;366;382,11,18619.753549735,19517.0,897.246450265,2734,True,True
BULLET,robustness_10000,32,238,238;240;243;287;289;296;299;315;334;358;360;375,12,20372.838684506998,21317.0,944.161315493,3021,True,True
BULLET,robustness_10000,33,250,250;258;280;288;298;301;328;338;350;362;367;371;373;377,14,23870.528395652,25248.0,1377.4716043479998,4341,True,True
BULLET,robustness_10000,34,263,263;325;354;357;387;388,6,10035.176409191,10334.0,298.823590809,912,True,True
BULLET,robustness_10000,35,294,294;319;355;364;372;379;390,7,12476.255771369,12941.0,464.744228631,1515,True,True
ABELL2146,primary_8000,1,0,0;1;3;4;16;17;28;40,8,13119.58053214,13230.0,110.41946786,399,True,True
ABELL2146,primary_8000,2,2,2;6;7;10;12;20;24;26;34;35;52;61,12,20692.477570682,20912.0,219.52242931799998,774,True,True
ABELL2146,primary_8000,3,9,9;21;54;65;66;80;88;89;97;106;120;122;125;130;137,15,25612.214413854,26756.0,1143.785586146,4176,True,True
ABELL2146,primary_8000,4,11,11;19;25;29;31;33;37;44;45,9,15259.56133436,15412.0,152.43866564,588,True,True
ABELL2146,primary_8000,5,18,18;30;32;50;63,5,8183.090624168,8250.0,66.909375832,407,True,True
ABELL2146,primary_8000,6,22,22;23;27;36;43;53,6,9888.596180733999,10014.0,125.403819266,412,True,True
ABELL2146,primary_8000,7,39,39;51;59;71;83,5,8227.503510163999,8390.0,162.49648983600002,548,True,True
ABELL2146,primary_8000,8,42,42;49;68;84;100;104,6,11071.843733173999,12593.0,1521.1562668259999,5467,True,True
ABELL2146,primary_8000,9,47,47;55;57;76;92;116,6,9891.833786372,10140.0,248.16621362799998,837,True,True
ABELL2146,primary_8000,10,56,56;60;64;70;77;78;81,7,11572.617354034,11819.0,246.382645966,819,True,True
ABELL2146,primary_8000,11,62,62;67;69;79;87;94;102;117;119,9,16369.147758187999,18373.0,2003.8522418119999,7005,True,True
ABELL2146,primary_8000,12,72,72;75;110;111;114;124,6,10216.87275991,10770.0,553.1272400900001,1851,True,True
ABELL2146,primary_8000,13,73,73;86;99;101;131;134,6,10188.415882434001,10639.0,450.58411756600003,1508,True,True
ABELL2146,primary_8000,14,74,74;96;105;112;123;127,6,10102.458405082,10554.0,451.541594918,1513,True,True
ABELL2146,primary_8000,15,82,82;90;93;98;108;109;115;118;128;129;135,11,18529.350373923997,19278.0,748.649626076,2634,True,True
ABELL2146,primary_8000,16,85,85;91;95;103;107;113;121;126;132;133;136,11,19446.580251781998,20431.0,984.4197482180001,3539,True,True
ABELL2146,robustness_10000,1,0,0;1;3;4;16;17;28;40,8,13119.58053214,13230.0,110.41946786,399,True,True
ABELL2146,robustness_10000,2,2,2;6;7;10;12;20;24;26;34;35;52;61,12,20692.477570682,20912.0,219.52242931799998,774,True,True
ABELL2146,robustness_10000,3,9,9;18;21;30;32;50;54;63;65;66;80;88;89;97;106;120;122;125;130;137,20,33795.305038022,35006.0,1210.694961978,4583,True,True
ABELL2146,robustness_10000,4,11,11;19;22;23;25;27;29;31;33;36;37;43;44;45;53,15,25148.157515093997,25426.0,277.842484906,1000,True,True
ABELL2146,robustness_10000,5,39,39;51;59;71;82;83;90;93;98;108;109;115;118;128;129;135,16,26756.853884087996,27668.0,911.146115912,3182,True,True
ABELL2146,robustness_10000,6,42,42;49;68;84;100;104,6,11071.843733173999,12593.0,1521.1562668259999,5467,True,True
ABELL2146,robustness_10000,7,47,47;55;57;73;76;86;92;99;101;116;131;134,12,20080.249668806002,20779.0,698.750331194,2345,True,True
ABELL2146,robustness_10000,8,56,56;60;64;70;77;78;81,7,11572.617354034,11819.0,246.382645966,819,True,True
ABELL2146,robustness_10000,9,62,62;67;69;79;87;94;102;117;119,9,16369.147758187999,18373.0,2003.8522418119999,7005,True,True
ABELL2146,robustness_10000,10,72,72;75;110;111;114;124,6,10216.87275991,10770.0,553.1272400900001,1851,True,True
ABELL2146,robustness_10000,11,74,74;96;105;112;123;127,6,10102.458405082,10554.0,451.541594918,1513,True,True
ABELL2146,robustness_10000,12,85,85;91;95;103;107;113;121;126;132;133;136,11,19446.580251781998,20431.0,984.4197482180001,3539,True,True
