k_hMpc,k_1_per_m,a,mu,D,f
1.000000000000000048e-04,2.268545502611055538e-27,1.083926914021203919e-01,1.000000000000000000e+00,1.083892829415304543e-01,9.992231682768604184e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.086008772367539760e-01,1.000000000000000000e+00,1.085972984448981687e-01,9.992048419776808910e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.088094629262226498e-01,1.000000000000000000e+00,1.088057093354375254e-01,9.991865151420940006e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.090184492385127962e-01,1.000000000000000000e+00,1.090145163570988146e-01,9.991681871931354930e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.092278369430857848e-01,1.000000000000000000e+00,1.092237202550950248e-01,9.991498575483933609e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.094376268108810391e-01,1.000000000000000000e+00,1.094333217759038274e-01,9.991315256264449163e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.096478196143185341e-01,1.000000000000000000e+00,1.096433216672691585e-01,9.991131908530092032e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.098584161273018639e-01,1.000000000000000000e+00,1.098537206782040504e-01,9.990948526539544794e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.100694171252209752e-01,1.000000000000000000e+00,1.100645195589897013e-01,9.990765104402340446e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.102808233849552205e-01,1.000000000000000000e+00,1.102757190611778210e-01,9.990581636412630973e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.104926356848759533e-01,1.000000000000000000e+00,1.104873199375915743e-01,9.990398116687433383e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.107048548048494702e-01,1.000000000000000000e+00,1.106993229423265390e-01,9.990214539419857154e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.109174815262401331e-01,1.000000000000000000e+00,1.109117288307522042e-01,9.990030898823689665e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.111305166319128401e-01,1.000000000000000000e+00,1.111245383595143854e-01,9.989847189085470092e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.113439609062361474e-01,1.000000000000000000e+00,1.113377522865347108e-01,9.989663404354599541e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.115578151350852532e-01,1.000000000000000000e+00,1.115513713710127169e-01,9.989479538796237623e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.117720801058445929e-01,1.000000000000000000e+00,1.117653963734266676e-01,9.989295586574676866e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.119867566074109339e-01,1.000000000000000000e+00,1.119798280555346359e-01,9.989111541791566573e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.122018454301963591e-01,1.000000000000000000e+00,1.121946671803765588e-01,9.988927398681459735e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.124173473661309736e-01,1.000000000000000000e+00,1.124099145122758880e-01,9.988743151379678720e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.126332632086658320e-01,1.000000000000000000e+00,1.126255708168391323e-01,9.988558793965570670e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.128495937527761867e-01,1.000000000000000000e+00,1.128416368609569814e-01,9.988374320557077413e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.130663397949639298e-01,1.000000000000000000e+00,1.130581134128068599e-01,9.988189725315750334e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.132835021332608272e-01,1.000000000000000000e+00,1.132750012418539398e-01,9.988005002357333018e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.135010815672315293e-01,1.000000000000000000e+00,1.134923011188517517e-01,9.987820145784048753e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.137190788979761946e-01,1.000000000000000000e+00,1.137100138158442797e-01,9.987635149712759119e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.139374949281337368e-01,1.000000000000000000e+00,1.139281401061655041e-01,9.987450008217761965e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.141563304618845726e-01,1.000000000000000000e+00,1.141466807644419962e-01,9.987264715398505022e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.143755863049538551e-01,1.000000000000000000e+00,1.143656365665924185e-01,9.987079265254730220e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.145952632646140834e-01,1.000000000000000000e+00,1.145850082898299399e-01,9.986893651933967941e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.148153621496882798e-01,1.000000000000000000e+00,1.148047967126634428e-01,9.986707869454136688e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.150358837705530990e-01,1.000000000000000000e+00,1.150250026148984528e-01,9.986521911916669270e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.152568289391414785e-01,1.000000000000000000e+00,1.152456267776376664e-01,9.986335773299478413e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.154781984689458307e-01,1.000000000000000000e+00,1.154666699832830323e-01,9.986149447727921125e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.156999931750211374e-01,1.000000000000000000e+00,1.156881330155361959e-01,9.985962929143725741e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.159222138739877117e-01,1.000000000000000000e+00,1.159100166593990539e-01,9.985776211582637618e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.161448613840342786e-01,1.000000000000000000e+00,1.161323217011757253e-01,9.985589289071735708e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.163679365249212228e-01,1.000000000000000000e+00,1.163550489284729261e-01,9.985402155555395121e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.165914401179832111e-01,1.000000000000000000e+00,1.165781991302015513e-01,9.985214805088307166e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.168153729861324680e-01,1.000000000000000000e+00,1.168017730965781181e-01,9.985027231628670341e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.170397359538618565e-01,1.000000000000000000e+00,1.170257716191254044e-01,9.984839429182841286e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.172645298472477227e-01,1.000000000000000000e+00,1.172501954906725735e-01,9.984651391617259675e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.174897554939529493e-01,1.000000000000000000e+00,1.174750455053568121e-01,9.984463112948879226e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.177154137232303138e-01,1.000000000000000000e+00,1.177003224586243707e-01,9.984274587049498662e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.179415053659250978e-01,1.000000000000000000e+00,1.179260271472312854e-01,9.984085807903809728e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.181680312544783618e-01,1.000000000000000000e+00,1.181521603692460981e-01,9.983896769453338704e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.183949922229302065e-01,1.000000000000000000e+00,1.183787229240489264e-01,9.983707465567412953e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.186223891069224240e-01,1.000000000000000000e+00,1.186057156123326156e-01,9.983517890144003593e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.188502227437018971e-01,1.000000000000000000e+00,1.188331392361041128e-01,9.983328037065355431e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.190784939721234864e-01,1.000000000000000000e+00,1.190609945986847162e-01,9.983137900177828650e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.193072036326533886e-01,1.000000000000000000e+00,1.192892825047116023e-01,9.982947473346627243e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.195363525673718980e-01,1.000000000000000000e+00,1.195180037601393241e-01,9.982756750479043761e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.197659416199766541e-01,1.000000000000000000e+00,1.197471591722404916e-01,9.982565725374560328e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.199959716357859169e-01,1.000000000000000000e+00,1.199767495496055630e-01,9.982374391845438844e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.202264434617413280e-01,1.000000000000000000e+00,1.202067757021444416e-01,9.982182743709840933e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.204573579464112837e-01,1.000000000000000000e+00,1.204372384410877378e-01,9.981990774782465436e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.206887159399940984e-01,1.000000000000000000e+00,1.206681385789870609e-01,9.981798478831358512e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.209205182943208778e-01,1.000000000000000000e+00,1.208994769297159627e-01,9.981605849643773176e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.211527658628588494e-01,1.000000000000000000e+00,1.211312543084711174e-01,9.981412880946651800e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.213854595007145681e-01,1.000000000000000000e+00,1.213634715317721546e-01,9.981219566508841012e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.216186000646368309e-01,1.000000000000000000e+00,1.215961294174635471e-01,9.981025900033773102e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.218521884130199656e-01,1.000000000000000000e+00,1.218292287847154848e-01,9.980831875301511280e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.220862254059071339e-01,1.000000000000000000e+00,1.220627704540244857e-01,9.980637485990159208e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.223207119049931901e-01,1.000000000000000000e+00,1.222967552472131458e-01,9.980442725754656852e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.225556487736280675e-01,1.000000000000000000e+00,1.225311839874326236e-01,9.980247588337959330e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.227910368768198451e-01,1.000000000000000000e+00,1.227660574991622511e-01,9.980052067373579305e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.230268770812381895e-01,1.000000000000000000e+00,1.230013766082108384e-01,9.979856156513960963e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.232631702552171166e-01,1.000000000000000000e+00,1.232371421417162993e-01,9.979659849371518288e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.234999172687584884e-01,1.000000000000000000e+00,1.234733549281481352e-01,9.979463139600776023e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.237371189935352750e-01,1.000000000000000000e+00,1.237100157973068937e-01,9.979266020795458658e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.239747763028944683e-01,1.000000000000000000e+00,1.239471255803250294e-01,9.979068486526657678e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.242128900718604961e-01,1.000000000000000000e+00,1.241846851096681664e-01,9.978870530397229155e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.244514611771385393e-01,1.000000000000000000e+00,1.244226952191345159e-01,9.978672145914851965e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.246904904971174871e-01,1.000000000000000000e+00,1.246611567438567630e-01,9.978473326655310505e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.249299789118733239e-01,1.000000000000000000e+00,1.249000705203027611e-01,9.978274066174280810e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.251699273031725290e-01,1.000000000000000000e+00,1.251394373862762532e-01,9.978074357995176946e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.254103365544749771e-01,1.000000000000000000e+00,1.253792581809163587e-01,9.977874195533587010e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.256512075509373938e-01,1.000000000000000000e+00,1.256195337446986693e-01,9.977673572348207953e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.258925411794167282e-01,1.000000000000000000e+00,1.258602649194359435e-01,9.977472481823026484e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.261343383284731778e-01,1.000000000000000000e+00,1.261014525482788973e-01,9.977270917463048061e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.263765998883734365e-01,1.000000000000000000e+00,1.263430974757166203e-01,9.977068872688089618e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.266193267510944409e-01,1.000000000000000000e+00,1.265852005475772146e-01,9.976866340892569518e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.268625198103260077e-01,1.000000000000000000e+00,1.268277626110279055e-01,9.976663315447663605e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.271061799614744969e-01,1.000000000000000000e+00,1.270707845145749304e-01,9.976459789720558691e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.273503081016661709e-01,1.000000000000000000e+00,1.273142671080658983e-01,9.976255757103673627e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.275949051297502745e-01,1.000000000000000000e+00,1.275582112426897063e-01,9.976051210945783287e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.278399719463024220e-01,1.000000000000000000e+00,1.278026177709760958e-01,9.975846144539628479e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.280855094536278715e-01,1.000000000000000000e+00,1.280474875467972062e-01,9.975640551215635421e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.283315185557651339e-01,1.000000000000000000e+00,1.282928214253674370e-01,9.975434424238465159e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.285780001584888588e-01,1.000000000000000000e+00,1.285386202632430308e-01,9.975227756848241700e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.288249551693134154e-01,1.000000000000000000e+00,1.287848849183246547e-01,9.975020542375208077e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.290723844974963064e-01,1.000000000000000000e+00,1.290316162498568453e-01,9.974812773989036874e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.293202890540413319e-01,1.000000000000000000e+00,1.292788151184263989e-01,9.974604444866442821e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.295686697517019481e-01,1.000000000000000000e+00,1.295264823859652858e-01,9.974395548245478249e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.298175275049849309e-01,1.000000000000000000e+00,1.297746189157501506e-01,9.974186077254912908e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.300668632301533179e-01,1.000000000000000000e+00,1.300232255724017294e-01,9.973976025021342728e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.303166778452299335e-01,1.000000000000000000e+00,1.302723032218863763e-01,9.973765384714979865e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.305669722700011082e-01,1.000000000000000000e+00,1.305218527315171184e-01,9.973554149490992948e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.308177474260194539e-01,1.000000000000000000e+00,1.307718749699534611e-01,9.973342312401021204e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.310690042366077224e-01,1.000000000000000000e+00,1.310223708071994730e-01,9.973129866463330551e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.313207436268620243e-01,1.000000000000000000e+00,1.312733411146058959e-01,9.972916804762897991e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.315729665236553270e-01,1.000000000000000000e+00,1.315247867648704494e-01,9.972703120320803860e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.318256738556407570e-01,1.000000000000000000e+00,1.317767086320380809e-01,9.972488806168813280e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.320788665532550143e-01,1.000000000000000000e+00,1.320291075915006607e-01,9.972273855238994456e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.323325455487219804e-01,1.000000000000000000e+00,1.322819845199969258e-01,9.972058260506320160e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.325867117760559655e-01,1.000000000000000000e+00,1.325353402956133408e-01,9.971842014925956788e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.328413661710651228e-01,1.000000000000000000e+00,1.327891757977841258e-01,9.971625111414043063e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.330965096713551676e-01,1.000000000000000000e+00,1.330434919072912281e-01,9.971407542852211980e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.333521432163324583e-01,1.000000000000000000e+00,1.332982895062640449e-01,9.971189302102269059e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.336082677472076596e-01,1.000000000000000000e+00,1.335535694781799787e-01,9.970970382031139057e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.338648842069993516e-01,1.000000000000000000e+00,1.338093327078642703e-01,9.970750775410254230e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.341219935405371655e-01,1.000000000000000000e+00,1.340655800814896381e-01,9.970530475073593468e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.343795966944653919e-01,1.000000000000000000e+00,1.343223124865776386e-01,9.970309473836566072e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.346376946172467559e-01,1.000000000000000000e+00,1.345795308119977218e-01,9.970087764393901208e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.348962882591654144e-01,1.000000000000000000e+00,1.348372359479679261e-01,9.969865339531528425e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.351553785723307033e-01,1.000000000000000000e+00,1.350954287860533509e-01,9.969642191908717477e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.354149665106809119e-01,1.000000000000000000e+00,1.353541102191679057e-01,9.969418314232597611e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.356750530299861979e-01,1.000000000000000000e+00,1.356132811415734774e-01,9.969193699190589397e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.359356390878525833e-01,1.000000000000000000e+00,1.358729424488793747e-01,9.968968339343977636e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.361967256437253415e-01,1.000000000000000000e+00,1.361330950380429949e-01,9.968742227375105847e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.364583136588924939e-01,1.000000000000000000e+00,1.363937398073693519e-01,9.968515355835563252e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.367204040964883072e-01,1.000000000000000000e+00,1.366548776565110757e-01,9.968287717283090821e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.369829979214970128e-01,1.000000000000000000e+00,1.369165094864686072e-01,9.968059304282002042e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.372460961007562208e-01,1.000000000000000000e+00,1.371786361995883385e-01,9.967830109276741846e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.375096996029604446e-01,1.000000000000000000e+00,1.374412586995645003e-01,9.967600124809298245e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.377738093986647927e-01,1.000000000000000000e+00,1.377043778914378847e-01,9.967369343285442662e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.380384264602885214e-01,1.000000000000000000e+00,1.379679946815946245e-01,9.967137757134236775e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.383035517621184485e-01,1.000000000000000000e+00,1.382321099777681084e-01,9.966905358800728365e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.385691862803127561e-01,1.000000000000000000e+00,1.384967246890381753e-01,9.966672140650125744e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.388353309929045709e-01,1.000000000000000000e+00,1.387618397258299219e-01,9.966438095048533174e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.391019868798052950e-01,1.000000000000000000e+00,1.390274559999136739e-01,9.966203214263286148e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.393691549228086302e-01,1.000000000000000000e+00,1.392935744244042651e-01,9.965967490647322791e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.396368361055937979e-01,1.000000000000000000e+00,1.395601959137607873e-01,9.965730916371279280e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.399050314137294249e-01,1.000000000000000000e+00,1.398273213837866180e-01,9.965493483777336792e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.401737418346770125e-01,1.000000000000000000e+00,1.400949517516292542e-01,9.965255185027813711e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.404429683577947674e-01,1.000000000000000000e+00,1.403630879357800898e-01,9.965016012359997344e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.407127119743410426e-01,1.000000000000000000e+00,1.406317308560718071e-01,9.964775957819209662e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.409829736774780018e-01,1.000000000000000000e+00,1.409008814336800142e-01,9.964535013642041861e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.412537544622754493e-01,1.000000000000000000e+00,1.411705405911218014e-01,9.964293171829653462e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.415250553257143551e-01,1.000000000000000000e+00,1.414407092522561582e-01,9.964050424559881547e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.417968772666904909e-01,1.000000000000000000e+00,1.417113883422826681e-01,9.963806763773965791e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.420692212860182324e-01,1.000000000000000000e+00,1.419825787877392054e-01,9.963562181466172341e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.423420883864341957e-01,1.000000000000000000e+00,1.422542815165043217e-01,9.963316669712425355e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.426154795726008451e-01,1.000000000000000000e+00,1.425264974577966914e-01,9.963070220426483159e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.428893958511102957e-01,1.000000000000000000e+00,1.427992275421716695e-01,9.962822825516232106e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.431638382304880608e-01,1.000000000000000000e+00,1.430724727015222075e-01,9.962574476833869763e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.434388077211965762e-01,1.000000000000000000e+00,1.433462338690771054e-01,9.962325166270810106e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.437143053356390587e-01,1.000000000000000000e+00,1.436205119794025653e-01,9.962074885665117563e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.439903320881633364e-01,1.000000000000000000e+00,1.438953079683986669e-01,9.961823626762996708e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.442668889950652622e-01,1.000000000000000000e+00,1.441706227733002277e-01,9.961571381356115751e-01
1.000000000000000048e-04,2.268545502611055538e-27,1.445439770745927943e-01,1.000000000000000000e+00,1.444464573326756651e-01,9.961318141187666120e-01
