D_Mpc,z_hubble,z_best
1598.4572864321608,0.373231570923146,0.45071401917834536
1613.5276381909548,0.37675042069726394,0.45582399053117306
1628.5979899497488,0.380269270471382,0.4609519898172643
1643.6683417085428,0.3837881202455,0.46609808026079147
1658.7386934673368,0.387306970019618,0.4712623253169315
1673.8090452261308,0.390825819793736,0.47644478867239853
1688.8793969849246,0.39434466956785397,0.48164553424598844
1703.9497487437186,0.39786351934197195,0.4868646261891392
1719.0201005025126,0.40138236911608993,0.49210212888650307
1734.0904522613066,0.40490121889020797,0.49735810695653027
1749.1608040201006,0.40842006866432595,0.5026326252520668
1764.2311557788946,0.41193891843844394,0.5079257488609625
1779.3015075376884,0.4154577682125619,0.5132375431066896
1794.3718592964824,0.4189766179866799,0.5185680735489739
1809.4422110552764,0.4224954677607979,0.5239174059844338
