model,manifestPath,manifestSha256,batchId,batchState,batchScientificResultSha256,modelSha256,systems,succeededSystems,convergenceFraction,maximumEquationResidual,scoredSystems,validObservationPoints,equalGalaxyRmseKmS,pointWeightedRmseKmS,reducedChiSquare,universalGravityParameters,perObjectGravityParameters,downloadedArtifactCount,allDownloadedArtifactHashesValid,frozenCurveConformance,scenario,scenarioRole
qumond_simple_nu,hosted-simulator/examples/models/qumond.json,254b19a02ccf082d49a9f031d04a275514ea7bade182cd616a6ba688936131dc,batch_dfdc2ba763c26273cd8c6361,succeeded,eafdc3eda5098e7e0fce3c1537227fc2e6593c2db99bcefa5436ce5207909bbc,68dee7e94c66fea1ee4c8a66e27dbf1636ca0a7fa4bd62d49c19ec2f00971332,4,4,1,4.723158533343595e-10,4,55,16.501957732720996,15.26917998117611,21.525001476063807,2,0,10,True,,fine_49x49x17,higher transverse and vertical resolution
refracted_gravity_published_fixture,hosted-simulator/examples/models/refracted-gravity.json,cc760ee32424972a7898bf731d573099f7fe25ebbd48cde97c29fee1714af1af,batch_f94718c984eac8dc263a91d7,succeeded,cf2ab08467f27e718a8cc71e534abd8684b935b3ec5029b82d04b3c4b1461d7f,4a0c9be0ba6f430d4d073f0ee6bf1e98de437908de81d0ad533261fea5d14bef,4,4,1,4.958416204417463e-10,4,55,18.98171792451412,17.92173942457273,27.46814493119393,4,0,10,True,,fine_49x49x17,higher transverse and vertical resolution
newtonian_poisson,hosted-simulator/examples/models/newtonian-poisson.json,34b75c42911410f33322734fb2b149de447682a35f34f4ecaea83472578d493f,batch_875e98214e7bfc3afa8e1740,succeeded,f0253824c6ead431c243c6caea3577897030b9bd9a79a4fb7f3ad08ec16d8e21,43738f2c7bb3c4e94193763cf46f39b2a47fa852b25d1c063fef00fa7e1aa661,4,4,1,6.973553924721863e-10,4,55,24.320005279747193,23.302342413633724,44.12236846438059,1,0,10,True,,expanded_box_49x49x9,1.5x transverse box at baseline transverse cell spacing
aqual_simple_mu,hosted-simulator/examples/models/aqual.json,0df2a67bef17cfa07b539b8b09d5a2113f746e5a836c7a0f23d12c08d676acab,batch_97b077be23c3ff38df34e3dc,succeeded,8fcdfdab6925c9d2089ef75e911abc5c40416117d5619f6eeed705fafdb9756e,37fe7ed1b60b8b3d05dbdf7a0b61c1ffdd3dfa22cdcd2e661e9e58e7c8e5a054,4,4,1,9.845301980788396e-09,4,55,22.181787656770144,20.25343786623383,22.040542303172966,2,0,10,True,,expanded_box_49x49x9,1.5x transverse box at baseline transverse cell spacing
qumond_simple_nu,hosted-simulator/examples/models/qumond.json,254b19a02ccf082d49a9f031d04a275514ea7bade182cd616a6ba688936131dc,batch_0be0749792dd1ff32e639a65,succeeded,ceed87e738b3c60aa8ad317476c356a1b8e9c305bbbce98118daf768de9e9058,68dee7e94c66fea1ee4c8a66e27dbf1636ca0a7fa4bd62d49c19ec2f00971332,4,4,1,5.931121257102013e-10,4,55,16.291266806471683,15.273677508586728,21.40714928883232,2,0,10,True,,expanded_box_49x49x9,1.5x transverse box at baseline transverse cell spacing
refracted_gravity_published_fixture,hosted-simulator/examples/models/refracted-gravity.json,cc760ee32424972a7898bf731d573099f7fe25ebbd48cde97c29fee1714af1af,batch_b01230efed8ce0859bd93dd9,succeeded,a3d2e96e1b6fdf246ccb52c36e793eba62a13e2d671be127cb05b2e56085bf92,4a0c9be0ba6f430d4d073f0ee6bf1e98de437908de81d0ad533261fea5d14bef,4,4,1,7.063827877371524e-10,4,55,19.07519076787861,18.518341013768975,28.119661083221295,4,0,10,True,,expanded_box_49x49x9,1.5x transverse box at baseline transverse cell spacing
newtonian_poisson,hosted-simulator/examples/models/newtonian-poisson.json,34b75c42911410f33322734fb2b149de447682a35f34f4ecaea83472578d493f,batch_451b516af6193b6f6b6e74f9,succeeded,08bcb7660db485d814a899f9b611395580b55fd6bd6c97f170deb09bb86d51ef,43738f2c7bb3c4e94193763cf46f39b2a47fa852b25d1c063fef00fa7e1aa661,4,4,1,6.758388852980171e-10,4,55,24.614330219961946,23.80059638314303,44.844630631485664,1,0,10,True,,vertical_draw_b_33x33x9,independent declared thickness/flaring/profile prior draw
aqual_simple_mu,hosted-simulator/examples/models/aqual.json,0df2a67bef17cfa07b539b8b09d5a2113f746e5a836c7a0f23d12c08d676acab,batch_1dec36ff275bc27a514d4989,succeeded,0b39ca4b659e95043865d63d6ba121967cce53b123dc611a4e1a85f12f6bd107,37fe7ed1b60b8b3d05dbdf7a0b61c1ffdd3dfa22cdcd2e661e9e58e7c8e5a054,4,4,1,8.4900100066336e-09,4,55,22.262683690211933,20.140756472277726,21.208138838918355,2,0,10,True,,vertical_draw_b_33x33x9,independent declared thickness/flaring/profile prior draw
qumond_simple_nu,hosted-simulator/examples/models/qumond.json,254b19a02ccf082d49a9f031d04a275514ea7bade182cd616a6ba688936131dc,batch_31d65ec02b49e35dfb538994,succeeded,5c8b374a4e756e88bda230b7178b8ad97adfeffec47b45d3c286605e8c1eabe6,68dee7e94c66fea1ee4c8a66e27dbf1636ca0a7fa4bd62d49c19ec2f00971332,4,4,1,5.839155946677377e-10,4,55,16.137059131276384,15.123370570187111,20.872251658743348,2,0,10,True,,vertical_draw_b_33x33x9,independent declared thickness/flaring/profile prior draw
refracted_gravity_published_fixture,hosted-simulator/examples/models/refracted-gravity.json,cc760ee32424972a7898bf731d573099f7fe25ebbd48cde97c29fee1714af1af,batch_ff3826404321e1122514a147,succeeded,cc3f0ee56e73c922dc4559a0df771c4d6a0d7857c518bd061342be9961e60094,4a0c9be0ba6f430d4d073f0ee6bf1e98de437908de81d0ad533261fea5d14bef,4,4,1,6.846789807324403e-10,4,55,18.503018664090757,17.768949990802692,26.870667899405163,4,0,10,True,,vertical_draw_b_33x33x9,independent declared thickness/flaring/profile prior draw
newtonian_poisson,hosted-simulator/examples/models/newtonian-poisson.json,34b75c42911410f33322734fb2b149de447682a35f34f4ecaea83472578d493f,batch_fa552820bb083fe21393a05b,succeeded,3d4da38ec131e062f3d9481d1650c2553f91de20f7ff46e22659c4b6d010da85,43738f2c7bb3c4e94193763cf46f39b2a47fa852b25d1c063fef00fa7e1aa661,4,4,1,7.162191142442269e-10,4,55,24.460094893275063,23.740689177959794,44.85118767642893,1,0,10,True,,vertical_draw_c_33x33x9,second independent thickness/flaring/profile prior draw
aqual_simple_mu,hosted-simulator/examples/models/aqual.json,0df2a67bef17cfa07b539b8b09d5a2113f746e5a836c7a0f23d12c08d676acab,batch_c82f9f013fc896f8cb777011,succeeded,f1279740510bc87a64d56dae395a401a40a316480f94f2d39f8727bc4c748e50,37fe7ed1b60b8b3d05dbdf7a0b61c1ffdd3dfa22cdcd2e661e9e58e7c8e5a054,4,4,1,9.751214257255418e-09,4,55,22.75618396970161,20.62338153373787,21.458387417915098,2,0,10,True,,vertical_draw_c_33x33x9,second independent thickness/flaring/profile prior draw
qumond_simple_nu,hosted-simulator/examples/models/qumond.json,254b19a02ccf082d49a9f031d04a275514ea7bade182cd616a6ba688936131dc,batch_a8dec181e75e03fd91238073,succeeded,68f5f55a5ca0e0721210178efc9c3b983494033121a81e85f144538fd670501e,68dee7e94c66fea1ee4c8a66e27dbf1636ca0a7fa4bd62d49c19ec2f00971332,4,4,1,6.004400990681075e-10,4,55,16.220089047179115,15.26714857152603,21.181651553385084,2,0,10,True,,vertical_draw_c_33x33x9,second independent thickness/flaring/profile prior draw
refracted_gravity_published_fixture,hosted-simulator/examples/models/refracted-gravity.json,cc760ee32424972a7898bf731d573099f7fe25ebbd48cde97c29fee1714af1af,batch_17b392dedbf4e732c5a6c4f3,succeeded,e5f5c08187d314dcae2f029086eceece3877fbfa0f954d4c5cc452a87420248b,4a0c9be0ba6f430d4d073f0ee6bf1e98de437908de81d0ad533261fea5d14bef,4,4,1,7.218548092056768e-10,4,55,18.64589629969564,18.01953359768908,26.235443202951128,4,0,10,True,,vertical_draw_c_33x33x9,second independent thickness/flaring/profile prior draw
