alpha,apogee_ratio,screen_exponent,screen_scale,mass_radius_delta,extent_leak,invariant_mode,invariant_power,invariant_scale,secondary_path_ratio_power,photon_extra_multiplier,candidate_id,universal_q,fold_q_min,fold_q_max,cross_galaxy_outer_RMSE_km_s,cross_galaxy_equal_RMSE_km_s,cluster_RMSE_dex,cluster_equal_system_RMSE_dex,cluster_mean_residual_dex,cluster_median_observed_over_predicted,maximum_dynamic_fraction_limb_to_Saturn,maximum_lensing_fraction_limb_to_Saturn,Earth_orbit_fractional_change,Saturn_orbit_fractional_change,Mercury_precession_mas_per_century,Cassini_proxy_pass,Earth_proxy_pass,Mercury_proxy_pass,all_solar_proxies_pass,pareto
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.5,1.5,P0013,0.8381864767425207,0.8311546968094984,0.8464408956216183,15.64081096116631,15.387998317566776,0.19522316504822854,0.20262759240827752,-0.1529405768244781,1.4356152328967846,8.031657626519098e-09,1.2047486439778647e-08,2.4287446285441767e-11,8.031657626519098e-09,-1.3287233815912227,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.5,1.75,P0014,0.8381864767425207,0.8311546968094984,0.8464408956216183,15.64081096116631,15.387998317566776,0.15781124672761956,0.16408085772828046,-0.09936998533360386,1.276652237471768,8.031657626519098e-09,1.4055400846408422e-08,2.4287446285441767e-11,8.031657626519098e-09,-1.3287233815912227,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.5,2.0,P0015,0.8381864767425207,0.8311546968094984,0.8464408956216183,15.64081096116631,15.387998317566776,0.13421650129961005,0.1383679862400293,-0.051756434322086535,1.147178423271018,8.031657626519098e-09,1.6063315253038196e-08,2.4287446285441767e-11,8.031657626519098e-09,-1.3287233815912227,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.5,2.25,P0016,0.8381864767425207,0.8311546968094984,0.8464408956216183,15.64081096116631,15.387998317566776,0.12531727364491754,0.12647405916368173,-0.008897593323348956,1.0371514226773293,8.031657626519098e-09,1.807122965966797e-08,2.4287446285441767e-11,8.031657626519098e-09,-1.3287233815912227,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.5,2.5,P0017,0.8381864767425207,0.8311546968094984,0.8464408956216183,15.64081096116631,15.387998317566776,0.12961458760301808,0.12765965918823907,0.030076295116922985,0.9591381846162813,8.031657626519098e-09,2.0079144066297745e-08,2.4287446285441767e-11,8.031657626519098e-09,-1.3287233815912227,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.6,1.0,P0018,0.8077760565237901,0.8014254474943651,0.8150747321272099,16.238591058835922,15.862844924468972,0.2834784054230683,0.2924587333553748,-0.26054965285174075,1.8226637496533988,7.740259363420603e-09,7.740259363420603e-09,2.3406268327941726e-11,7.740259363420603e-09,-1.280515688542204,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.6,1.5,P0019,0.8077760565237901,0.8014254474943651,0.8150747321272099,16.238591058835922,15.862844924468972,0.16723004586663354,0.17611172714034087,-0.12471960410338147,1.3085469911262058,7.740259363420603e-09,1.1610389045130904e-08,2.3406268327941726e-11,7.740259363420603e-09,-1.280515688542204,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.6,1.75,P0020,0.8077760565237901,0.8014254474943651,0.8150747321272099,16.238591058835922,15.862844924468972,0.13198772699089478,0.13944003701072524,-0.07013096856889722,1.1537923671057433,7.740259363420603e-09,1.3545453885986056e-08,2.3406268327941726e-11,7.740259363420603e-09,-1.280515688542204,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.6,2.0,P0021,0.8077760565237901,0.8014254474943651,0.8150747321272099,16.238591058835922,15.862844924468972,0.11440210153562337,0.11889247038407182,-0.021693606259042084,1.0422958062517194,7.740259363420603e-09,1.5480518726841205e-08,2.3406268327941726e-11,7.740259363420603e-09,-1.280515688542204,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.6,2.25,P0022,0.8077760565237901,0.8014254474943651,0.8150747321272099,16.238591058835922,15.862844924468972,0.11496302862866967,0.11551483258751316,0.02184625288608713,0.9421666772363897,7.740259363420603e-09,1.7415583567696355e-08,2.3406268327941726e-11,7.740259363420603e-09,-1.280515688542204,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1e-06,0.6,2.5,P0023,0.8077760565237901,0.8014254474943651,0.8150747321272099,16.238591058835922,15.862844924468972,0.1289560710914354,0.1260549885214086,0.06139293925254085,0.8633145536664653,7.740259363420603e-09,1.9350648408551505e-08,2.3406268327941726e-11,7.740259363420603e-09,-1.280515688542204,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.25,1.0,P0024,0.9372831054584527,0.9297129459728236,0.9487682793132057,14.660870517570144,14.618633553421052,0.3903351881262705,0.3950038736975932,-0.35682743595532757,2.35794836668911,8.949848432494472e-09,8.949848432494472e-09,2.689977069097482e-11,8.949848432494472e-09,-1.4676890980373969,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.25,1.5,P0025,0.9372831054584527,0.9297129459728236,0.9487682793132057,14.660870517570144,14.618633553421052,0.2893000896918642,0.29354246393730643,-0.23422450968416036,1.7038869178612908,8.949848432494472e-09,1.3424772648741708e-08,2.689977069097482e-11,8.949848432494472e-09,-1.4676890980373969,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.25,1.75,P0026,0.9372831054584527,0.9297129459728236,0.9487682793132057,14.660870517570144,14.618633553421052,0.2538643239367371,0.2574573389159243,-0.18426602896358596,1.5380700659145974,8.949848432494472e-09,1.5662234756865327e-08,2.689977069097482e-11,8.949848432494472e-09,-1.4676890980373969,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.25,2.0,P0027,0.9372831054584527,0.9297129459728236,0.9487682793132057,14.660870517570144,14.618633553421052,0.22689758751645794,0.22955391015132903,-0.13963008389169523,1.4097206921128271,8.949848432494472e-09,1.7899696864988944e-08,2.689977069097482e-11,8.949848432494472e-09,-1.4676890980373969,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.25,2.25,P0028,0.9372831054584527,0.9297129459728236,0.9487682793132057,14.660870517570144,14.618633553421052,0.20780138189343883,0.2092594179028803,-0.09927201552343552,1.277286699154125,8.949848432494472e-09,2.0137158973112562e-08,2.689977069097482e-11,8.949848432494472e-09,-1.4676890980373969,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.25,2.5,P0029,0.9372831054584527,0.9297129459728236,0.9487682793132057,14.660870517570144,14.618633553421052,0.19603443514912705,0.19610582305273067,-0.06243053928766558,1.175735981084645,8.949848432494472e-09,2.237462108123618e-08,2.689977069097482e-11,8.949848432494472e-09,-1.4676890980373969,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.4,1.0,P0030,0.8990885596307643,0.891975659822425,0.9083388665354162,14.871584184616433,14.730610554872422,0.3485829889731299,0.35482960407669495,-0.3222003941532967,2.169856997773233,8.585139633077274e-09,8.585139633077274e-09,2.580359759404462e-11,8.585139633077274e-09,-1.407880361286116,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.4,1.5,P0031,0.8990885596307643,0.891975659822425,0.9083388665354162,14.871584184616433,14.730610554872422,0.2382669777970891,0.24420760876301525,-0.1939881649812983,1.6017679686706137,8.585139633077274e-09,1.287770944961591e-08,2.580359759404462e-11,8.585139633077274e-09,-1.407880361286116,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.4,1.75,P0032,0.8990885596307643,0.891975659822425,0.9083388665354162,14.871584184616433,14.730610554872422,0.20003127515877253,0.20518162982674348,-0.14201127231823488,1.4058875690775152,8.585139633077274e-09,1.5023994357885228e-08,2.580359759404462e-11,8.585139633077274e-09,-1.407880361286116,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.4,2.0,P0033,0.8990885596307643,0.891975659822425,0.9083388665354162,14.871584184616433,14.730610554872422,0.17221277230457221,0.1760393941154272,-0.09569608296478162,1.2499880444078353,8.585139633077274e-09,1.7170279266154548e-08,2.580359759404462e-11,8.585139633077274e-09,-1.407880361286116,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.4,2.25,P0034,0.8990885596307643,0.891975659822425,0.9083388665354162,14.871584184616433,14.730610554872422,0.15493491476085366,0.15689380025633817,-0.053916826903543956,1.1331864428584169,8.585139633077274e-09,1.9316564174423867e-08,2.580359759404462e-11,8.585139633077274e-09,-1.407880361286116,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.4,2.5,P0035,0.8990885596307643,0.891975659822425,0.9083388665354162,14.871584184616433,14.730610554872422,0.14796457651655612,0.14770706660087357,-0.01585559893881284,1.0385411583214514,8.585139633077274e-09,2.1462849082693186e-08,2.580359759404462e-11,8.585139633077274e-09,-1.407880361286116,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.5,1.0,P0036,0.8703097269275545,0.8637176883566119,0.8783378666795137,15.231516977295092,14.994981184589806,0.3207775904841714,0.32819329407735853,-0.29790120732352143,2.015406366229439,8.310338786611723e-09,8.310338786611723e-09,2.4977652907789324e-11,8.310338786611723e-09,-1.3628156644333085,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.5,1.5,P0037,0.8703097269275545,0.8637176883566119,0.8783378666795137,15.231516977295092,14.994981184589806,0.20548897214967063,0.2127997781576524,-0.1662893592496572,1.4761378717131968,8.310338786611723e-09,1.2465508179917584e-08,2.4977652907789324e-11,8.310338786611723e-09,-1.3628156644333085,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.5,1.75,P0038,0.8703097269275545,0.8637176883566119,0.8783378666795137,15.231516977295092,14.994981184589806,0.16634268612439582,0.1727781138170961,-0.11312532568412265,1.318862128778925,8.310338786611723e-09,1.4543092876570514e-08,2.4977652907789324e-11,8.310338786611723e-09,-1.3628156644333085,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.5,2.0,P0039,0.8703097269275545,0.8637176883566119,0.8783378666795137,15.231516977295092,14.994981184589806,0.13966986029674758,0.1443915571301325,-0.0658372322634652,1.1794237611766203,8.310338786611723e-09,1.6620677573223446e-08,2.4977652907789324e-11,8.310338786611723e-09,-1.3628156644333085,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.5,2.25,P0040,0.8703097269275545,0.8637176883566119,0.8783378666795137,15.231516977295092,14.994981184589806,0.1264981072165323,0.12861838937710673,-0.02324512040778251,1.0649189959172802,8.310338786611723e-09,1.8698262269876377e-08,2.4977652907789324e-11,8.310338786611723e-09,-1.3628156644333085,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.5,2.5,P0041,0.8703097269275545,0.8637176883566119,0.8783378666795137,15.231516977295092,14.994981184589806,0.1263819626893886,0.12551814530341565,0.015506004695099915,0.9852686342202541,8.310338786611723e-09,2.077584696652931e-08,2.4977652907789324e-11,8.310338786611723e-09,-1.3628156644333085,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.6,1.0,P0042,0.8385909376449712,0.8327038733418693,0.8456298988856521,15.819988709467356,15.459216746884701,0.2948095661593334,0.3034690789578267,-0.2730810489281416,1.8888841158838636,8.007465135216399e-09,8.007465135216399e-09,2.4067332265789166e-11,8.007465135216399e-09,-1.3131472974672547,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.6,1.5,P0043,0.8385909376449712,0.8327038733418693,0.8456298988856521,15.819988709467356,15.459216746884701,0.1771484190587841,0.18595676906817524,-0.13843419353299216,1.3527711549539416,8.007465135216399e-09,1.2011197702824598e-08,2.4067332265789166e-11,8.007465135216399e-09,-1.3131472974672547,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.6,1.75,P0044,0.8385909376449712,0.8327038733418693,0.8456298988856521,15.819988709467356,15.459216746884701,0.13924582034204872,0.1470226317965755,-0.08423341601029907,1.1939120114173571,8.007465135216399e-09,1.4013063986628697e-08,2.4067332265789166e-11,8.007465135216399e-09,-1.3131472974672547,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.6,2.0,P0045,0.8385909376449712,0.8327038733418693,0.8456298988856521,15.819988709467356,15.459216746884701,0.11705869086279655,0.12247895590697351,-0.03610462029931701,1.078288853411208,8.007465135216399e-09,1.6014930270432797e-08,2.4067332265789166e-11,8.007465135216399e-09,-1.3131472974672547,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.6,2.25,P0046,0.8385909376449712,0.8327038733418693,0.8456298988856521,15.819988709467356,15.459216746884701,0.1121001266629345,0.1139558000485759,0.007183689206366647,0.9779461398238692,8.007465135216399e-09,1.8016796554236897e-08,2.4067332265789166e-11,8.007465135216399e-09,-1.3131472974672547,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.25e-06,0.6,2.5,P0047,0.8385909376449712,0.8327038733418693,0.8456298988856521,15.819988709467356,15.459216746884701,0.12164006141846997,0.11994044640805121,0.046521250172420134,0.8922056179262685,8.007465135216399e-09,2.0018662838040998e-08,2.4067332265789166e-11,8.007465135216399e-09,-1.3131472974672547,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.25,1.0,P0048,0.9647030865738692,0.9575001740841738,0.9760695976333821,14.389904409221037,14.359781517438384,0.39828416082457346,0.4027641787898311,-0.36577159607322535,2.407721242785108,9.187839129624219e-09,9.187839129624219e-09,2.7489848234229868e-11,9.187839129624219e-09,-1.4968546164704462,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.25,1.5,P0049,0.9647030865738692,0.9575001740841738,0.9760695976333821,14.389904409221037,14.359781517438384,0.2970818855504332,0.3012324303940819,-0.24424322233487045,1.7468354504511803,9.187839129624219e-09,1.3781758694436328e-08,2.7489848234229868e-11,9.187839129624219e-09,-1.4968546164704462,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.25,1.75,P0050,0.9647030865738692,0.9575001740841738,0.9760695976333821,14.389904409221037,14.359781517438384,0.2610616497692681,0.26464645538207565,-0.19465598202863243,1.572438583425844,9.187839129624219e-09,1.6078718476842383e-08,2.7489848234229868e-11,9.187839129624219e-09,-1.4968546164704462,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.25,2.0,P0051,0.9647030865738692,0.9575001740841738,0.9760695976333821,14.389904409221037,14.359781517438384,0.2331479115105404,0.2359034792020518,-0.15032348984354285,1.4397059328115691,9.187839129624219e-09,1.8375678259248438e-08,2.7489848234229868e-11,9.187839129624219e-09,-1.4968546164704462,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.25,2.25,P0052,0.9647030865738692,0.9575001740841738,0.9760695976333821,14.389904409221037,14.359781517438384,0.21274159314360216,0.2144210273220353,-0.11021871664162376,1.3075893469173905,9.187839129624219e-09,2.0672638041654493e-08,2.7489848234229868e-11,9.187839129624219e-09,-1.4968546164704462,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.25,2.5,P0053,0.9647030865738692,0.9575001740841738,0.9760695976333821,14.389904409221037,14.359781517438384,0.199358599880367,0.1997689039529057,-0.07359224692565072,1.2031774544185438,9.187839129624219e-09,2.2969597824060547e-08,2.7489848234229868e-11,9.187839129624219e-09,-1.4968546164704462,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.4,1.0,P0054,0.9252622843323614,0.9185239137701382,0.9343389258555894,14.574167205274701,14.446917571767008,0.35725233650862004,0.3632782379974769,-0.3316981535973141,2.208233460418934,8.812204645624309e-09,8.812204645624309e-09,2.636595666288026e-11,8.812204645624309e-09,-1.4356573965857569,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.4,1.5,P0055,0.9252622843323614,0.9185239137701382,0.9343389258555894,14.574167205274701,14.446917571767008,0.24667651801854323,0.2525140458928228,-0.20453581902438703,1.6409673754210592,8.812204645624309e-09,1.3218306968436464e-08,2.636595666288026e-11,8.812204645624309e-09,-1.4356573965857569,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.4,1.75,P0056,0.9252622843323614,0.9185239137701382,0.9343389258555894,14.574167205274701,14.446917571767008,0.20760228961919885,0.21277664389249787,-0.15291360886297242,1.4372332330391964,8.812204645624309e-09,1.542135812984254e-08,2.636595666288026e-11,8.812204645624309e-09,-1.4356573965857569,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.4,2.0,P0057,0.9252622843323614,0.9185239137701382,0.9343389258555894,14.574167205274701,14.446917571767008,0.17831238423860227,0.18235040136292685,-0.10688487423334408,1.2843466091382523,8.812204645624309e-09,1.7624409291248617e-08,2.636595666288026e-11,8.812204645624309e-09,-1.4356573965857569,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.4,2.25,P0058,0.9252622843323614,0.9185239137701382,0.9343389258555894,14.574167205274701,14.446917571767008,0.15887783290525762,0.1612710234310539,-0.06534218070748124,1.1637288897738476,8.812204645624309e-09,1.9827460452654695e-08,2.636595666288026e-11,8.812204645624309e-09,-1.4356573965857569,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.4,2.5,P0059,0.9252622843323614,0.9185239137701382,0.9343389258555894,14.574167205274701,14.446917571767008,0.14925485617730613,0.14961482889574293,-0.027479841482254595,1.0652919204427258,8.812204645624309e-09,2.203051161406077e-08,2.636595666288026e-11,8.812204645624309e-09,-1.4356573965857569,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.5,1.0,P0060,0.8955421632757413,0.8893368091417942,0.9033656610081897,14.920647748414973,14.697806367550408,0.3298374430620575,0.3370066262523973,-0.30775513391731046,2.0500408027549026,8.529149999089524e-09,8.529149999089524e-09,2.5519062288103254e-11,8.529149999089524e-09,-1.3895430003276747,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.5,1.5,P0061,0.8955421632757413,0.8893368091417942,0.9033656610081897,14.920647748414973,14.697806367550408,0.21411795873811254,0.22131416528383482,-0.17716547556355167,1.509934857400832,8.529149999089524e-09,1.2793724998634285e-08,2.5519062288103254e-11,8.529149999089524e-09,-1.3895430003276747,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.5,1.75,P0062,0.8955421632757413,0.8893368091417942,0.9033656610081897,14.920647748414973,14.697806367550408,0.17381124930819858,0.18030770929783826,-0.12434190133511358,1.349732402845547,8.529149999089524e-09,1.4926012498406668e-08,2.5519062288103254e-11,8.529149999089524e-09,-1.3895430003276747,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.5,2.0,P0063,0.8955421632757413,0.8893368091417942,0.9033656610081897,14.920647748414973,14.697806367550408,0.14500078103465563,0.15007319303950814,-0.07732678619163012,1.206344523008434,8.529149999089524e-09,1.7058299998179047e-08,2.5519062288103254e-11,8.529149999089524e-09,-1.3895430003276747,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.5,2.25,P0064,0.8955421632757413,0.8893368091417942,0.9033656610081897,14.920647748414973,14.697806367550408,0.12866498984277672,0.13146916862579064,-0.034958690875863105,1.0895642683165163,8.529149999089524e-09,1.9190587497951426e-08,2.5519062288103254e-11,8.529149999089524e-09,-1.3895430003276747,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.5,2.5,P0065,0.8955421632757413,0.8893368091417942,0.9033656610081897,14.920647748414973,14.697806367550408,0.1249652164877476,0.12496727204376508,0.003605132064258752,1.0070683628293473,8.529149999089524e-09,2.132287499772381e-08,2.5519062288103254e-11,8.529149999089524e-09,-1.3895430003276747,True,True,True,True,False
0.75,100.0,1.0,1.0,0.0,0.0,potential_depth,0.5,1.5e-06,0.6,1.0,P0066,0.8627860776312221,0.8573039008808513,0.8695945552371693,15.500950677047644,15.152778919294398,0.30410506708390406,0.31249229210037927,-0.28327189845778333,1.9383734974983082,8.217180804000823e-09,8.217180804000823e-09,2.458565610785225e-11,8.217180804000823e-09,-1.3387179343598308,True,True,True,True,False
