model,routing_fraction,parameter,value,lower,upper
linear_route_10_f0p4,0.4,map_center_y_arcsec,-2.659751565236667,-3.0,3.0
linear_route_10_f0p4,0.4,external_shear_gamma1_at_reference_source,-0.1569760033762591,-0.25,0.25
linear_route_10_f0p4,0.4,external_shear_gamma2_at_reference_source,-0.1846593233502691,-0.25,0.25
linear_route_11_f0p5,0.5,map_center_x_arcsec,0.35707135766708165,-3.0,3.0
linear_route_11_f0p5,0.5,map_center_y_arcsec,-2.9999999999999996,-3.0,3.0
linear_route_11_f0p5,0.5,external_shear_gamma1_at_reference_source,-0.13338378100422926,-0.25,0.25
linear_route_11_f0p5,0.5,external_shear_gamma2_at_reference_source,-0.15912080061796105,-0.25,0.25
linear_route_12_f0p6,0.6,map_center_x_arcsec,2.534585200614301,-3.0,3.0
linear_route_12_f0p6,0.6,map_center_y_arcsec,2.9999999999999996,-3.0,3.0
linear_route_12_f0p6,0.6,external_shear_gamma1_at_reference_source,0.17702314623344478,-0.25,0.25
linear_route_12_f0p6,0.6,external_shear_gamma2_at_reference_source,0.10552769207851291,-0.25,0.25
linear_route_13_f0p7,0.7,map_center_x_arcsec,2.514364493564525,-3.0,3.0
linear_route_13_f0p7,0.7,map_center_y_arcsec,2.9999999986800567,-3.0,3.0
linear_route_13_f0p7,0.7,external_shear_gamma1_at_reference_source,0.24999999996958433,-0.25,0.25
linear_route_13_f0p7,0.7,external_shear_gamma2_at_reference_source,0.17292897282854966,-0.25,0.25
linear_route_14_f0p8,0.8,map_center_x_arcsec,2.629640204247555,-3.0,3.0
linear_route_14_f0p8,0.8,map_center_y_arcsec,2.9999999999999996,-3.0,3.0
linear_route_14_f0p8,0.8,external_shear_gamma1_at_reference_source,0.24999999999999997,-0.25,0.25
linear_route_14_f0p8,0.8,external_shear_gamma2_at_reference_source,0.20078991876313024,-0.25,0.25
linear_route_15_f0p9,0.9,map_center_x_arcsec,-2.9999999999999996,-3.0,3.0
linear_route_15_f0p9,0.9,map_center_y_arcsec,-2.9999999999999996,-3.0,3.0
linear_route_15_f0p9,0.9,external_shear_gamma1_at_reference_source,-0.09975959908651341,-0.25,0.25
linear_route_15_f0p9,0.9,external_shear_gamma2_at_reference_source,0.2195893248758745,-0.25,0.25
linear_route_16_f1,1.0,map_center_x_arcsec,-2.9999999999999996,-3.0,3.0
linear_route_16_f1,1.0,map_center_y_arcsec,-2.9999999999999996,-3.0,3.0
linear_route_16_f1,1.0,external_shear_gamma1_at_reference_source,-0.0881760059500153,-0.25,0.25
linear_route_16_f1,1.0,external_shear_gamma2_at_reference_source,0.24999999999999997,-0.25,0.25
