model,routing_fraction,system_label,variant_id,source_family,source_redshift,observed_images,global_roots,surplus_roots,missing_roots,unassigned_roots,potentially_observable_surplus_roots,faintest_assigned_abs_magnification,observable_surplus_abs_magnification_threshold,all_observed_images_assigned,assignment_RMS_arcsec,assignment_max_arcsec,multiplicity_classification,parity_diverse,critical_sign_change_cells,critical_curve_present
linear_route_05_f0p118862891957,0.11886289195733203,RXJ2129,linear_route_05_f0p118862891957,4,1.5202,3,3,0,0,0,0,2.981856323107306,0.7454640807768265,True,2.035601213576172,3.1525204448166697,exact_multiplicity,True,216,True
linear_route_05_f0p118862891957,0.11886289195733203,RXJ2129,linear_route_05_f0p118862891957,5,1.521,3,3,0,0,0,0,6.3162439851696455,1.5790609962924114,True,3.373384841986539,5.272735662191717,exact_multiplicity,True,216,True
linear_route_05_f0p118862891957,0.11886289195733203,RXJ2129,linear_route_05_f0p118862891957,6,3.0815,3,1,0,2,0,0,2.2153493082387756,0.5538373270596939,False,,0.815865484890633,missing_multiplicity,False,294,True
linear_route_05_f0p118862891957,0.11886289195733203,RXJ2129,linear_route_05_f0p118862891957,7,3.427,3,3,0,0,0,0,2.765126126007817,0.6912815315019543,True,2.4133830809738046,4.048463722365062,exact_multiplicity,True,308,True
linear_route_06_f0p125,0.125,RXJ2129,linear_route_06_f0p125,1,0.6786,3,3,0,0,0,0,4.811156467380519,1.2027891168451297,True,2.3404830708098854,3.2474508666203286,exact_multiplicity,True,90,True
linear_route_06_f0p125,0.125,RXJ2129,linear_route_06_f0p125,2,0.916,3,3,0,0,0,0,3.234916191902568,0.808729047975642,True,0.9862851733297724,1.2139053582674133,exact_multiplicity,True,168,True
linear_route_06_f0p125,0.125,RXJ2129,linear_route_06_f0p125,3,1.5194,4,3,0,1,0,0,2.60943299963467,0.6523582499086675,False,,2.993552579320023,missing_multiplicity,True,220,True
linear_route_06_f0p125,0.125,RXJ2129,linear_route_06_f0p125,4,1.5202,3,3,0,0,0,0,2.9736944377628043,0.7434236094407011,True,1.9705843570297814,3.066870884942015,exact_multiplicity,True,220,True
linear_route_06_f0p125,0.125,RXJ2129,linear_route_06_f0p125,5,1.521,3,3,0,0,0,0,6.320739310701767,1.5801848276754418,True,3.3339176838699602,5.247150155188144,exact_multiplicity,True,220,True
linear_route_06_f0p125,0.125,RXJ2129,linear_route_06_f0p125,6,3.0815,3,1,0,2,0,0,2.1976228156703588,0.5494057039175897,False,,0.7813435844185945,missing_multiplicity,False,292,True
linear_route_06_f0p125,0.125,RXJ2129,linear_route_06_f0p125,7,3.427,3,3,0,0,0,0,2.7419135047094296,0.6854783761773574,True,2.3294936837109996,3.898740321106614,exact_multiplicity,True,310,True
linear_route_07_f0p15,0.15,RXJ2129,linear_route_07_f0p15,1,0.6786,3,3,0,0,0,0,4.282692988267306,1.0706732470668265,True,1.9286838432629059,2.480989882137288,exact_multiplicity,True,94,True
linear_route_07_f0p15,0.15,RXJ2129,linear_route_07_f0p15,2,0.916,3,3,0,0,0,0,3.1270708403478418,0.7817677100869604,True,0.6093991881650739,0.7741628520775833,exact_multiplicity,True,174,True
linear_route_07_f0p15,0.15,RXJ2129,linear_route_07_f0p15,3,1.5194,4,3,0,1,0,0,2.5627373271362726,0.6406843317840681,False,,2.6426542790848777,missing_multiplicity,True,220,True
linear_route_07_f0p15,0.15,RXJ2129,linear_route_07_f0p15,4,1.5202,3,3,0,0,0,0,2.93349913537375,0.7333747838434375,True,1.6896502310242885,2.6860496650348122,exact_multiplicity,True,220,True
linear_route_07_f0p15,0.15,RXJ2129,linear_route_07_f0p15,5,1.521,3,3,0,0,0,0,6.292755733443746,1.5731889333609366,True,3.181961610023091,5.17610829091584,exact_multiplicity,True,220,True
linear_route_07_f0p15,0.15,RXJ2129,linear_route_07_f0p15,6,3.0815,3,3,0,0,0,0,2.1299969435191097,0.5324992358797774,True,0.8360504465916514,1.1680004460345719,exact_multiplicity,True,300,True
linear_route_07_f0p15,0.15,RXJ2129,linear_route_07_f0p15,7,3.427,3,3,0,0,0,0,2.6498952405195384,0.6624738101298846,True,1.9710037094386983,3.2516847799809274,exact_multiplicity,True,306,True
linear_route_08_f0p2,0.2,RXJ2129,linear_route_08_f0p2,1,0.6786,3,3,0,0,0,0,3.8431956569930774,0.9607989142482694,True,1.3772138607555473,1.592901589025744,exact_multiplicity,True,116,True
linear_route_08_f0p2,0.2,RXJ2129,linear_route_08_f0p2,2,0.916,3,3,0,0,0,0,3.042041228723838,0.7605103071809595,True,0.4525535449790266,0.6197775653118776,exact_multiplicity,True,184,True
linear_route_08_f0p2,0.2,RXJ2129,linear_route_08_f0p2,3,1.5194,4,3,0,1,0,0,2.460417317708766,0.6151043294271915,False,,2.0412408593649913,missing_multiplicity,True,226,True
