extra_spatial_channels,transition_power_n,path_power_q,chi_t,galaxy_equal_RMSE_km_s,cluster_all5_log_RMS_dex,cluster_reliable3_log_RMS_dex,cluster_all6_stress_log_RMS_dex,solar_solar_limb_fractional_force_change,solar_Mercury_fractional_force_change,solar_Earth_fractional_force_change,solar_Saturn_fractional_force_change,is_primary_dimension_fixed_formula,galaxy_ratio_to_fixed_RAR,all5_gap_fraction_closed_from_fixed_RAR,galaxy_gate_pass,solar_gate_pass,all5_cluster_gate_pass,reliable3_cluster_gate_pass,gap_closed_gate_pass,selected_primary_row
6.0,2.0,0.0,1e-06,37.25175527808411,1.5984117525723553,1.78360716393305,1.7421765009991688,0.0,0.0,0.0,0.0,False,3.4097635988034023,-1.7417830640438803,False,True,False,False,False,False
6.0,2.0,0.0,1.5e-06,19.760467533216662,1.2733112607947958,1.4699677417324746,1.382535146556764,0.0,0.0,0.0,0.0,False,1.8087341760708562,-1.1841326206999958,False,True,False,False,False,False
6.0,2.0,0.0,2e-06,14.656304054681232,1.0683225892447425,1.2801856348500313,1.1620141238301311,0.0,0.0,0.0,0.0,False,1.341534960851837,-0.8325120404131601,False,True,False,False,False,False
6.0,2.0,0.0,3e-06,11.989786933474027,0.8023900379268107,1.0159739928365998,0.8887426325984145,0.0,0.0,0.0,0.0,False,1.097460743473214,-0.37635337903690114,False,True,False,False,False,False
6.0,2.0,0.0,5e-06,11.172638146486342,0.5314305421350753,0.658688903837743,0.6077563852506659,0.0,0.0,0.0,0.0,False,1.0226646924448162,0.08842808631961041,True,True,False,False,False,False
6.0,2.0,0.0,8e-06,11.00230474065056,0.40046408816334633,0.35729202130148635,0.42937587073504313,0.0,0.0,0.0,0.0,False,1.0070735708307228,0.31307708860559336,True,True,False,False,False,False
6.0,2.0,0.0,1e-05,10.971568030455398,0.39735930045884793,0.2843369909896817,0.3930775346610781,0.0,0.0,0.0,0.0,False,1.0042601486231497,0.31840278414802525,True,True,False,False,False,False
6.0,2.0,0.0,2e-05,10.935683765300027,0.49677357706232034,0.39391399492318474,0.45745752147247976,0.0,0.0,0.0,0.0,False,1.0009755554494,0.1478757722708176,True,True,False,False,False,False
6.0,2.0,0.25,3e-07,365.29419152378773,3.0519735435843396,3.294642190681341,3.2741452062903837,0.0,0.0,0.0,0.0,False,33.43646031747984,-4.235102507375203,False,True,False,False,False,False
6.0,2.0,0.25,5e-07,136.97546282701606,2.3240247838600303,2.5343472194898777,2.527107794842293,0.0,0.0,0.0,0.0,False,12.537770196068703,-2.986439528207379,False,True,False,False,False,False
6.0,2.0,0.25,8e-07,55.184140735589494,1.7431411037751074,1.9194203687842206,1.9213339356103134,0.0,0.0,0.0,0.0,False,5.051168002871475,-1.990039799743652,False,True,False,False,False,False
6.0,2.0,0.25,1e-06,36.67351616448224,1.4992048259565136,1.6622600776357381,1.6638467784878366,0.0,0.0,0.0,0.0,False,3.3568356584621863,-1.5716117231528877,False,True,False,False,False,False
6.0,2.0,0.25,1.5e-06,19.551561309018595,1.1027283521200593,1.2553669872799715,1.244212131743616,0.0,0.0,0.0,0.0,False,1.7896123700373805,-0.891528834931369,False,True,False,False,False,False
6.0,2.0,0.25,2e-06,14.567235962187715,0.8532937215042395,1.0085436382946238,0.9830405052147488,0.0,0.0,0.0,0.0,False,1.333382294290701,-0.4636693395867628,False,True,False,False,False,False
6.0,2.0,0.25,3e-06,11.967431892093058,0.5561182488079541,0.7049060742292353,0.6753306552444419,0.0,0.0,0.0,0.0,False,1.09541452026087,0.04608084010044944,False,True,False,False,False,False
6.0,2.0,0.25,5e-06,11.169025762696691,0.34746631666587413,0.392300453940777,0.42727275781256224,0.0,0.0,0.0,0.0,False,1.0223340402471168,0.40398507404175465,True,True,False,False,False,False
6.0,2.0,0.25,8e-06,11.001547060124615,0.3612160219350249,0.2561160116500862,0.36133978115268583,0.0,0.0,0.0,0.0,False,1.0070042180859298,0.380399969026177,True,True,False,False,False,False
6.0,2.0,0.25,1e-05,10.97118140937347,0.4021664299977955,0.2785452740004372,0.3761889143384108,0.0,0.0,0.0,0.0,False,1.004224760049327,0.3101570324915197,True,True,False,False,False,False
6.0,2.0,0.25,2e-05,10.935620068196036,0.5164699655834362,0.43045706620389723,0.47999993818206743,0.0,0.0,0.0,0.0,False,1.0009697250646323,0.11409021959134358,True,True,False,False,False,False
6.0,2.0,0.5,3e-07,358.8892824240506,3.0500102985896898,3.29276580825721,3.2726019377658218,0.0,0.0,0.0,0.0,False,32.850199999304266,-4.231734919600503,False,True,False,False,False,False
6.0,2.0,0.5,5e-07,134.6196694168695,2.3147917098942634,2.5251438945964355,2.5199023293560177,0.0,0.0,0.0,0.0,False,12.322137441148708,-2.9706018782478716,False,True,False,False,False,False
6.0,2.0,0.5,8e-07,54.30927181068737,1.713780792110709,1.8880775023302767,1.898468220575638,0.0,0.0,0.0,0.0,False,4.971088656500097,-1.9396775541289362,False,True,False,False,False,False
6.0,2.0,0.5,1e-06,36.14400443071103,1.4533674614206453,1.6113193923947362,1.6280703719608838,0.0,0.0,0.0,0.0,False,3.308367879656215,-1.4929861064539387,False,True,False,False,False,False
6.0,2.0,0.5,1.5e-06,19.35897815335308,1.0170299164113739,1.1533565715477183,1.1765811717827177,0.0,0.0,0.0,0.0,False,1.7719846628587796,-0.74452883992821,False,True,False,False,False,False
6.0,2.0,0.5,2e-06,14.484955175171612,0.738234738942118,0.8670969846954152,0.8910104358698434,0.0,0.0,0.0,0.0,False,1.3258508899218588,-0.2663066955451019,False,True,False,False,False,False
6.0,2.0,0.5,3e-06,11.946662732151836,0.4182942553104401,0.530379402300753,0.5611699255021311,0.0,0.0,0.0,0.0,False,1.0935134574782803,0.2824926974220955,False,True,False,False,False,False
6.0,2.0,0.5,5e-06,11.165610884531706,0.2781071587967366,0.2639390578790213,0.344676742832748,0.0,0.0,0.0,0.0,False,1.0220214663247769,0.522958025833373,True,True,False,False,False,False
6.0,2.0,0.5,8e-06,11.000811828895369,0.37482665797734915,0.26786313411765483,0.3549271506026491,0.0,0.0,0.0,0.0,False,1.006936920191818,0.35705341183798434,True,True,False,False,False,False
6.0,2.0,0.5,1e-05,10.970800973414221,0.4260895361125365,0.3202598146844301,0.39054533320713425,0.0,0.0,0.0,0.0,False,1.0041899376181196,0.2691213187092836,True,True,False,False,False,False
6.0,2.0,0.5,2e-05,10.935555182816572,0.5308002936616364,0.45582457823091804,0.4975406772048547,0.0,0.0,0.0,0.0,False,1.0009637859134881,0.08950916232385875,True,True,False,False,False,False
6.0,2.0,0.75,3e-07,353.22833200521217,3.048894989005201,3.2917813717622044,3.2717257797581407,0.0,0.0,0.0,0.0,False,32.33203642476414,-4.22982180996214,False,True,False,False,False,False
6.0,2.0,0.75,5e-07,132.5041394778996,2.309577059505014,2.520364032232691,2.515839009128812,0.0,0.0,0.0,0.0,False,12.128496714041223,-2.9616570990949747,False,True,False,False,False,False
6.0,2.0,0.75,8e-07,53.51010145898995,1.697165109998777,1.8717860952741345,1.885589134749177,0.0,0.0,0.0,0.0,False,4.8979382249534815,-1.911176389933467,False,True,False,False,False,False
6.0,2.0,0.75,1e-06,35.65733295123965,1.4273085434111537,1.5846179803577187,1.6078949076601519,0.0,0.0,0.0,0.0,False,3.2638213963324194,-1.44828679793675,False,True,False,False,False,False
6.0,2.0,0.75,1.5e-06,19.180898445767937,0.9674689748322446,1.0977231846923665,1.138211319768253,0.0,0.0,0.0,0.0,False,1.7556844992805387,-0.6595161077326153,False,True,False,False,False,False
6.0,2.0,0.75,2e-06,14.408712859560547,0.6706169026446479,0.786572569995318,0.8385957440882595,0.0,0.0,0.0,0.0,False,1.318872204742639,-0.15032066247862974,False,True,False,False,False,False
6.0,2.0,0.75,3e-06,11.927304690603151,0.33944458645974585,0.42846027359271477,0.4980028546010431,0.0,0.0,0.0,0.0,False,1.0917415585456234,0.4177448852969563,False,True,False,False,False,False
6.0,2.0,0.75,5e-06,11.162372258420358,0.2693137411935784,0.224006495306228,0.31476678861327617,0.0,0.0,0.0,0.0,False,1.021725025275431,0.5380415257016669,True,True,False,False,False,False
6.0,2.0,0.75,8e-06,11.000096805032195,0.39892813676428224,0.3064174396836146,0.3686757946789425,0.0,0.0,0.0,0.0,False,1.0068714719378302,0.3157117323551599,True,True,False,False,False,False
6.0,2.0,0.75,1e-05,10.970426188254775,0.44945403470494566,0.36051649322239054,0.4106854176807673,0.0,0.0,0.0,0.0,False,1.004155632421371,0.22904379398047026,True,True,False,False,False,False
6.0,2.0,0.75,2e-05,10.935489275371925,0.5410818586141761,0.4733744604634718,0.5107807553907527,0.0,0.0,0.0,0.0,False,1.0009577532096874,0.07187301781142375,True,True,False,False,False,False
6.0,2.0,1.0,3e-07,348.18866843999683,3.048180782194525,3.2911865413274857,3.271165063757355,0.0,0.0,0.0,0.0,False,31.8707410778306,-4.22859671878361,False,True,False,False,False,False
6.0,2.0,1.0,5e-07,130.59382428426917,2.3062443596404254,2.51749089214566,2.5132455272590466,0.0,0.0,0.0,0.0,False,11.953639900963363,-2.9559404619196257,False,True,False,False,False,False
6.0,2.0,1.0,8e-07,52.77732871686465,1.6865233056927302,1.862007937181609,1.8773704173380035,0.0,0.0,0.0,0.0,False,4.83086536345629,-1.8929223206861456,False,True,False,False,False,False
6.0,2.0,1.0,1e-06,35.208600187513106,1.4106008995387487,1.568582995597266,1.5950370631099713,0.0,0.0,0.0,0.0,False,3.2227475561355416,-1.419627890158003,False,True,False,False,False,False
6.0,2.0,1.0,1.5e-06,19.01577863215627,0.9357938787632302,1.0640883553178784,1.1140287130923885,0.0,0.0,0.0,0.0,False,1.7405705932191644,-0.6051832727705204,False,True,False,False,False,False
6.0,2.0,1.0,2e-06,14.337871236450672,0.6278668812021799,0.7373427831590391,0.806202035294979,0.0,0.0,0.0,0.0,False,1.3123878609591848,-0.07699081828182552,False,True,False,False,False,False
6.0,2.0,1.0,3e-06,11.909209057405423,0.29510592966591825,0.3682894365260452,0.4622963919738598,0.0,0.0,0.0,0.0,False,1.0900852115919213,0.4937997429293095,False,True,False,False,False,False
6.0,2.0,1.0,5e-06,11.159291950268818,0.28385521420842275,0.2306435167455505,0.31022191783843206,0.0,0.0,0.0,0.0,False,1.0214430755383028,0.5130982879069069,True,True,False,False,False,False
6.0,2.0,1.0,8e-06,10.999400173279168,0.4215379842224199,0.34241973441628526,0.38634759188466894,0.0,0.0,0.0,0.0,False,1.0068077071682104,0.27692867364605467,True,True,False,False,False,False
6.0,2.0,1.0,1e-05,10.97005666442421,0.46859021174166904,0.3920064339469161,0.42932109209132496,0.0,0.0,0.0,0.0,False,1.0041218088096526,0.19621918165802144,True,True,False,False,False,False
6.0,2.0,1.0,2e-05,10.93542250579204,0.5485101561934813,0.48567324472298157,0.5207585859192776,0.0,0.0,0.0,0.0,False,1.0009516415920925,0.05913113170802109,True,True,False,False,False,False
6.0,2.0,1.5,3e-07,339.6120949679584,3.047329098958219,3.2905172810253096,3.2704968538211174,0.0,0.0,0.0,0.0,False,31.08570188144609,-4.227135811936875,False,True,False,False,False,False
6.0,2.0,1.5,5e-07,127.28184709943224,2.3022726481125746,2.514270825713093,2.5101589364018873,0.0,0.0,0.0,0.0,False,11.650484810401275,-2.9491277170903887,False,True,False,False,False,False
6.0,2.0,1.5,8e-07,51.48129148217128,1.6737970895351855,1.8510706529246814,1.867577469666926,0.0,0.0,0.0,0.0,False,4.71223523307553,-1.871092824078676,False,True,False,False,False,False
6.0,2.0,1.5,1e-06,34.4090429682111,1.3905972619661047,1.5506834089959118,1.5797348739597163,0.0,0.0,0.0,0.0,False,3.149561713450153,-1.3853153079164855,False,True,False,False,False,False
6.0,2.0,1.5,1.5e-06,18.719317255038394,0.8983043918740137,1.026909486924378,1.0858022831241254,0.0,0.0,0.0,0.0,False,1.713434604469062,-0.5408769136192377,False,True,False,False,False,False
6.0,2.0,1.5,2e-06,14.21027556797009,0.5790376991783074,0.6836623236600168,0.7699545486334433,0.0,0.0,0.0,0.0,False,1.3007086511473982,0.006766714211735914,False,True,False,False,False,False
6.0,2.0,1.5,3e-06,11.876313007182135,0.25926874866979494,0.31208501605687966,0.4297114032149023,0.0,0.0,0.0,0.0,False,1.0870741385898992,0.5552718734739692,False,True,False,False,False,False
6.0,2.0,1.5,5e-06,11.153547579301952,0.32281806303607646,0.27447651863024114,0.32505959158965875,0.0,0.0,0.0,0.0,False,1.0209172762336896,0.44626464578018765,True,True,False,False,False,False
6.0,2.0,1.5,8e-06,10.998056450224087,0.4553111004201226,0.39337998398698354,0.4169049574430577,0.0,0.0,0.0,0.0,False,1.006684712213318,0.21899706881280268,True,True,False,False,False,False
6.0,2.0,1.5,1e-05,10.969332371114149,0.4952483953269115,0.4333990718614057,0.4575927838556633,0.0,0.0,0.0,0.0,False,1.0040555120957106,0.15049194263180454,True,True,False,False,False,False
