system,cohort,candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
MACS J0257.1-2325,development,tidal_weighted__w20__f0.2,tidal_weighted,20.0,0.2,0.19471573002950363,-0.15421110601146426,0.8708601822012845,31.491608508244603
MACS J0257.1-2325,development,tidal_weighted__w20__f0.4,tidal_weighted,20.0,0.4,0.19981640854231864,-0.1711696027534317,0.8838698189795962,30.150872869108845
MACS J0257.1-2325,development,tidal_weighted__w20__f0.6,tidal_weighted,20.0,0.6,0.2060055174345059,-0.1811475693846382,0.8997734894324103,28.980811152124705
MACS J0257.1-2325,development,tidal_weighted__w20__f0.8,tidal_weighted,20.0,0.8,0.2133940383794835,-0.18616358416179563,0.9184208638150096,28.00282570088956
MACS J0257.1-2325,development,tidal_weighted__w20__f1,tidal_weighted,20.0,1.0,0.2221752124536129,-0.18807104098497093,0.9396486094913478,27.237614274510427
MACS J0257.1-2325,development,tidal_weighted__w50__f0.05,tidal_weighted,50.0,0.05,0.19012255863220912,-0.12646025362485888,0.8596956596753854,32.594033836509915
MACS J0257.1-2325,development,tidal_weighted__w50__f0.1,tidal_weighted,50.0,0.1,0.18961503448279426,-0.12349955767351316,0.8585824576634714,32.20951768152035
MACS J0257.1-2325,development,tidal_weighted__w50__f0.2,tidal_weighted,50.0,0.2,0.18865207882409285,-0.11716541008904607,0.8565578782247626,31.45200362273322
MACS J0257.1-2325,development,tidal_weighted__w50__f0.4,tidal_weighted,50.0,0.4,0.1869355705415019,-0.10306330712882843,0.8533223874103328,29.98709134292522
MACS J0257.1-2325,development,tidal_weighted__w50__f0.6,tidal_weighted,50.0,0.6,0.1855027369389935,-0.08760913857613417,0.8511816649385457,28.59750996172219
MACS J0257.1-2325,development,tidal_weighted__w50__f0.8,tidal_weighted,50.0,0.8,0.18436340619592856,-0.07158975830553929,0.8501439809612024,27.294767232749745
MACS J0257.1-2325,development,tidal_weighted__w50__f1,tidal_weighted,50.0,1.0,0.18353394492393466,-0.05576239545312023,0.8502133742577148,26.091873716667834
MACS J0257.1-2325,development,tidal_weighted__w100__f0.05,tidal_weighted,100.0,0.05,0.1880630736020369,-0.11336314279772158,0.854700883539068,32.30657968590191
MACS J0257.1-2325,development,tidal_weighted__w100__f0.1,tidal_weighted,100.0,0.1,0.18552174945406533,-0.09652173847589708,0.8485819434227845,31.634264707948137
MACS J0257.1-2325,development,tidal_weighted__w100__f0.2,tidal_weighted,100.0,0.2,0.1805642115070238,-0.05990907108970429,0.8365168754192768,30.300465075222384
MACS J0257.1-2325,development,tidal_weighted__w100__f0.4,tidal_weighted,100.0,0.4,0.17112543093049165,0.025605550322484807,0.8131136309050894,27.683463725841882
MACS J0257.1-2325,development,tidal_weighted__w100__f0.6,tidal_weighted,100.0,0.6,0.1622848553558398,0.1264453403401723,0.790750917871456,25.151424816359345
MACS J0257.1-2325,development,tidal_weighted__w100__f0.8,tidal_weighted,100.0,0.8,0.15401084458116146,0.23629677811806446,0.769519457137964,22.73275616975809
MACS J0257.1-2325,development,tidal_weighted__w100__f1,tidal_weighted,100.0,1.0,0.14628578901680156,0.3429649809876625,0.7495153895429552,20.467688247628107
MACS J0553.4-3342,development,local_control,local_control,0.0,0.0,0.004293851029300836,0.9638928862566055,0.13493174870919936,9.682105489089622
