candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,development_mean_JS,holdout_mean_JS,development_mean_Pearson,holdout_mean_Pearson
activation_only__w50__f0.6,activation_only,50.0,0.6,0.07663308811011783,0.05150283641545352,0.5922033020224664,0.7231938590375021
activation_only__w50__f0.8,activation_only,50.0,0.8,0.07783824507235614,0.057625245145503524,0.5939083277562949,0.6392996227541362
activation_only__w50__f1,activation_only,50.0,1.0,0.08003129131576901,0.06482746379927001,0.5583575628001489,0.5212941093374822
field_weighted__w100__f0.05,field_weighted,100.0,0.05,0.07807722491558378,0.03912889426746622,0.5356534073995147,0.8090932951685176
field_weighted__w100__f0.1,field_weighted,100.0,0.1,0.07734548254876726,0.03946400387342336,0.5445508676007463,0.8096909218379409
field_weighted__w100__f0.2,field_weighted,100.0,0.2,0.07596990094941312,0.040207975203786,0.5630591116759106,0.809316760052616
field_weighted__w100__f0.4,field_weighted,100.0,0.4,0.07355187252590177,0.041990746009362916,0.6023960469914762,0.80134384099581
field_weighted__w100__f0.6,field_weighted,100.0,0.6,0.07155407679111005,0.04416972177696917,0.6427044144587127,0.7831773180103184
field_weighted__w100__f0.8,field_weighted,100.0,0.8,0.06996031823083032,0.04675409938207357,0.6788882052664834,0.7561596086245407
field_weighted__w100__f1,field_weighted,100.0,1.0,0.06876675262142631,0.04976010626118421,0.7039739526278554,0.7228845135838919
field_weighted__w20__f0.05,field_weighted,20.0,0.05,0.07857745766977921,0.038792244375471574,0.5281106364118705,0.8061798795102934
field_weighted__w20__f0.1,field_weighted,20.0,0.1,0.07835560176337526,0.03880268230552321,0.5286903339185183,0.8034006620729838
field_weighted__w20__f0.2,field_weighted,20.0,0.2,0.07803175714717771,0.038933926734551934,0.5283147966260358,0.7952047236217009
field_weighted__w20__f0.4,field_weighted,20.0,0.4,0.0778637921072668,0.03964446194227088,0.5219505789326673,0.7697269363625584
field_weighted__w20__f0.6,field_weighted,20.0,0.6,0.07834715534670558,0.04097469123242157,0.5095511786621535,0.7354381589239942
field_weighted__w20__f0.8,field_weighted,20.0,0.8,0.07951548239728021,0.04297028824733318,0.4930567915143846,0.6961095098856754
field_weighted__w20__f1,field_weighted,20.0,1.0,0.08143269731994736,0.04570985491054159,0.4741684216793089,0.6546724005115975
field_weighted__w50__f0.05,field_weighted,50.0,0.05,0.07822895760438052,0.03876760480732607,0.5323446586225238,0.8083216427546575
field_weighted__w50__f0.1,field_weighted,50.0,0.1,0.07763682268284307,0.0387360244640385,0.5375912625524868,0.8080824314084021
field_weighted__w50__f0.2,field_weighted,50.0,0.2,0.07650742160093407,0.03873077012168213,0.5477765307559598,0.8060103976611233
field_weighted__w50__f0.4,field_weighted,50.0,0.4,0.07446777516488635,0.03895376887890773,0.5666820785721708,0.7957404920035386
field_weighted__w50__f0.6,field_weighted,50.0,0.6,0.07272291242055122,0.03949423029173249,0.5831481819952424,0.7783892282085539
field_weighted__w50__f0.8,field_weighted,50.0,0.8,0.0712813861726158,0.040363939452112814,0.5964219884247367,0.7557347634568324
field_weighted__w50__f1,field_weighted,50.0,1.0,0.07015993526334259,0.04158103408450411,0.6055786294225545,0.7295374433674434
local_control,local_control,0.0,0.0,0.0788394544133582,0.03881844026343102,0.5270064728355399,0.8080321612341135
tidal_weighted__w100__f0.05,tidal_weighted,100.0,0.05,0.07817250524273543,0.03889349886752153,0.5332137273351708,0.8091768887383602
tidal_weighted__w100__f0.1,tidal_weighted,100.0,0.1,0.07752618133483243,0.03897942226189999,0.5394992013626319,0.8100542734920341
tidal_weighted__w100__f0.2,tidal_weighted,100.0,0.2,0.07629283416883338,0.03918386083960473,0.5522871576468549,0.8109639356025754
tidal_weighted__w100__f0.4,tidal_weighted,100.0,0.4,0.07405001004865001,0.039723393950663176,0.5785548450664201,0.809211360235894
tidal_weighted__w100__f0.6,tidal_weighted,100.0,0.6,0.0720881291283844,0.04043851553744222,0.6051659146094874,0.8026529204416238
tidal_weighted__w100__f0.8,tidal_weighted,100.0,0.8,0.07039417277468138,0.04133223524801993,0.6308439406529384,0.7916991022706149
tidal_weighted__w100__f1,tidal_weighted,100.0,1.0,0.06896195020904082,0.04240929189405481,0.6536430204391411,0.7771284418564037
tidal_weighted__w20__f0.05,tidal_weighted,20.0,0.05,0.07878128379998688,0.03810016969812058,0.5249518812202695,0.8076141537880844
tidal_weighted__w20__f0.1,tidal_weighted,20.0,0.1,0.07880880740567324,0.03746939429388119,0.5219372491763759,0.8059708807403821
tidal_weighted__w20__f0.2,tidal_weighted,20.0,0.2,0.07911636662743726,0.03646736415540119,0.5137154957997799,0.7999106793897758
tidal_weighted__w20__f0.4,tidal_weighted,20.0,0.4,0.08072830832830125,0.035495182778726035,0.4923947141020323,0.7815392639155007
tidal_weighted__w20__f0.6,tidal_weighted,20.0,0.6,0.08368977728022504,0.03592557376041463,0.4694251569661535,0.7605791975761388
tidal_weighted__w20__f0.8,tidal_weighted,20.0,0.8,0.08810055649568925,0.03785955045370995,0.447645819508701,0.7403113439512946
tidal_weighted__w20__f1,tidal_weighted,20.0,1.0,0.09418160025972679,0.04151656902541783,0.42798120223949887,0.721861196265849
tidal_weighted__w50__f0.05,tidal_weighted,50.0,0.05,0.07842548969164329,0.03825984053662678,0.5284604392572823,0.8085875521425976
tidal_weighted__w50__f0.1,tidal_weighted,50.0,0.1,0.07803461047437145,0.03772609050685651,0.5296876141188959,0.8088909429008417
tidal_weighted__w50__f0.2,tidal_weighted,50.0,0.2,0.07732194930610806,0.03673355983045897,0.5315474198744278,0.8088433964601246
tidal_weighted__w50__f0.4,tidal_weighted,50.0,0.4,0.07617353524665428,0.03505275195619919,0.5333924393968934,0.8067390174377754
tidal_weighted__w50__f0.6,tidal_weighted,50.0,0.6,0.07539979150057503,0.03379022661992106,0.5334697764624441,0.8028657212233132
tidal_weighted__w50__f0.8,tidal_weighted,50.0,0.8,0.07501496933738758,0.032969140762212405,0.5323794494743883,0.7980001292356443
tidal_weighted__w50__f1,tidal_weighted,50.0,1.0,0.07504450492476814,0.03262519867663958,0.5304991582686401,0.7926479092036578
