candidate_id,minimum_permittivity,anisotropy_tau,smoothing_r80_fraction,all_four_RMS_arcsec,systems_improved,all_four_improve
e1d00_a2d4_n4_tp0d3_w0d50,1.0,0.3,0.5,11.26491353634328,3,False
e1d00_a2d4_n4_tp0d3_w0d80,1.0,0.3,0.8,11.295448223899367,1,False
e1d00_a2d4_n4_tp0d6_w0d20,1.0,0.6,0.2,11.31688989629272,3,False
e1d00_a2d4_n4_tp0d6_w0d50,1.0,0.6,0.5,11.306372588599533,3,False
e1d00_a2d4_n4_tp0d6_w0d80,1.0,0.6,0.8,11.366639226006592,1,False
e1d00_a2d4_n4_tp0d9_w0d20,1.0,0.9,0.2,11.375943201775554,3,False
e1d00_a2d4_n4_tp0d9_w0d50,1.0,0.9,0.5,11.363522715494968,3,False
e1d00_a2d4_n4_tp0d9_w0d80,1.0,0.9,0.8,11.452813442090628,1,False
e1d00_a2d4_n4_tp1d2_w0d20,1.0,1.2,0.2,11.454552751848674,3,False
e1d00_a2d4_n4_tp1d2_w0d50,1.0,1.2,0.5,11.444435759016852,3,False
e1d00_a2d4_n4_tp1d2_w0d80,1.0,1.2,0.8,11.561516379286417,1,False
