cohort,system_label,variant_id,family,quadrupole_Q,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec,width_over_R80,return_length_over_R80,travel_mode
P0581_four,MACS0329,joint_width_narrow_return_wide,joint,0.27846805628929305,0.00943621290272878,3,3,True,19.645548989422533,0.17990281326822247,0.3736974201211595,constant
P0581_four,MACS0329,joint_width_wide_return_narrow,joint,0.27846805628929305,0.00943621290272878,3,3,True,19.644386066390492,0.23875112952185193,0.2815870120720004,constant
P0581_four,MACS0429,scalar_control,control,0.22234455758849056,0.0,2,2,True,13.340671165155747,,,
P0581_four,MACS0429,fixed_support,baseline,0.22234455758849056,0.006172191102682734,2,2,True,13.362251808651703,0.23,0.36,constant
P0581_four,MACS0429,width_minus_linear,width,0.22234455758849056,0.006172191102682734,2,2,True,13.366773414762747,0.17886075175464716,0.36,constant
P0581_four,MACS0429,width_minus_rational,width,0.22234455758849056,0.006172191102682734,2,2,True,13.365810597814374,0.18816298446467242,0.36,constant
P0581_four,MACS0429,width_minus_even,width,0.22234455758849056,0.006172191102682734,2,2,True,13.362740777281333,0.22424267499497097,0.36,constant
P0581_four,MACS0429,width_plus_even,width,0.22234455758849056,0.006172191102682734,2,2,True,13.361839037627032,0.23561668597766972,0.36,constant
P0581_four,MACS0429,width_plus_linear,width,0.22234455758849056,0.006172191102682734,2,2,True,13.358836356404849,0.28113924824535286,0.36,constant
P0581_four,MACS0429,return_minus_linear,return_length,0.22234455758849056,0.006172191102682734,2,2,True,13.362092996174617,0.23,0.2799559592681434,constant
P0581_four,MACS0429,return_minus_rational,return_length,0.22234455758849056,0.006172191102682734,2,2,True,13.362474874862613,0.23,0.29451597568383503,constant
P0581_four,MACS0429,return_minus_even,return_length,0.22234455758849056,0.006172191102682734,2,2,True,13.36238260066685,0.23,0.3509885347747371,constant
P0581_four,MACS0429,return_plus_even,return_length,0.22234455758849056,0.006172191102682734,2,2,True,13.36329306226633,0.23,0.36879133457374386,constant
P0581_four,MACS0429,return_plus_linear,return_length,0.22234455758849056,0.006172191102682734,2,2,True,13.363084553469799,0.23,0.4400440407318566,constant
P0581_four,MACS0429,phase_hard_no_cross,center_crossing,0.22234455758849056,0.006172191102682734,2,2,True,13.361911648834322,0.23,0.36,hard_no_cross
P0581_four,MACS0429,phase_tanh_no_cross,center_crossing,0.22234455758849056,0.006172191102682734,2,2,True,13.359703415120725,0.23,0.36,tanh_no_cross
P0581_four,MACS0429,phase_rational_no_cross,center_crossing,0.22234455758849056,0.006172191102682734,2,2,True,13.357906231900932,0.23,0.36,rational_no_cross
P0581_four,MACS0429,joint_rational_narrow,joint,0.22234455758849056,0.006172191102682734,2,2,True,13.36684272901919,0.18816298446467242,0.29451597568383503,constant
P0581_four,MACS0429,joint_even_narrow,joint,0.22234455758849056,0.006172191102682734,2,2,True,13.36289351623666,0.22424267499497097,0.3509885347747371,constant
P0581_four,MACS0429,joint_even_wide,joint,0.22234455758849056,0.006172191102682734,2,2,True,13.362869707680495,0.23561668597766972,0.36879133457374386,constant
P0581_four,MACS0429,joint_width_narrow_return_wide,joint,0.22234455758849056,0.006172191102682734,2,2,True,13.366916612139988,0.18816298446467242,0.36879133457374386,constant
P0581_four,MACS0429,joint_width_wide_return_narrow,joint,0.22234455758849056,0.006172191102682734,2,2,True,13.361984275403099,0.23561668597766972,0.29451597568383503,constant
P0581_four,MACS1115,scalar_control,control,0.3736004344320205,0.0,2,2,True,26.997076834472395,,,
P0581_four,MACS1115,fixed_support,baseline,0.3736004344320205,0.017185028654405216,2,2,True,26.749835918976945,0.23,0.36,constant
P0581_four,MACS1115,width_minus_linear,width,0.3736004344320205,0.017185028654405216,2,2,True,26.85246490995033,0.14407190008063528,0.36,constant
P0581_four,MACS1115,width_minus_rational,width,0.3736004344320205,0.017185028654405216,2,2,True,26.811043707446967,0.1674431619520449,0.36,constant
P0581_four,MACS1115,width_minus_even,width,0.3736004344320205,0.017185028654405216,2,2,True,26.760303709344008,0.2133456389154643,0.36,constant
P0581_four,MACS1115,width_plus_even,width,0.3736004344320205,0.017185028654405216,2,2,True,26.742392254667358,0.24552726601286531,0.36,constant
P0581_four,MACS1115,width_plus_linear,width,0.3736004344320205,0.017185028654405216,2,2,True,26.731199773764605,0.3159280999193647,0.36,constant
P0581_four,MACS1115,return_minus_linear,return_length,0.3736004344320205,0.017185028654405216,2,2,True,26.890321212469214,0.23,0.22550384360447262,constant
P0581_four,MACS1115,return_minus_rational,return_length,0.3736004344320205,0.017185028654405216,2,2,True,26.853125572781718,0.23,0.2620849491423311,constant
P0581_four,MACS1115,return_minus_even,return_length,0.3736004344320205,0.017185028654405216,2,2,True,26.774689030585495,0.23,0.33393230438942234,constant
P0581_four,MACS1115,return_plus_even,return_length,0.3736004344320205,0.017185028654405216,2,2,True,26.7216611669214,0.23,0.3843035468027457,constant
P0581_four,MACS1115,return_plus_linear,return_length,0.3736004344320205,0.017185028654405216,2,2,True,26.629746231033167,0.23,0.49449615639552735,constant
P0581_four,MACS1115,phase_hard_no_cross,center_crossing,0.3736004344320205,0.017185028654405216,2,2,True,26.885766213841485,0.23,0.36,hard_no_cross
P0581_four,MACS1115,phase_tanh_no_cross,center_crossing,0.3736004344320205,0.017185028654405216,2,2,True,26.898329258751954,0.23,0.36,tanh_no_cross
P0581_four,MACS1115,phase_rational_no_cross,center_crossing,0.3736004344320205,0.017185028654405216,2,2,True,26.976244429899584,0.23,0.36,rational_no_cross
P0581_four,MACS1115,joint_rational_narrow,joint,0.3736004344320205,0.017185028654405216,2,2,True,26.93640485138994,0.1674431619520449,0.2620849491423311,constant
P0581_four,MACS1115,joint_even_narrow,joint,0.3736004344320205,0.017185028654405216,2,2,True,26.786620861826655,0.2133456389154643,0.33393230438942234,constant
P0581_four,MACS1115,joint_even_wide,joint,0.3736004344320205,0.017185028654405216,2,2,True,26.715464921575155,0.24552726601286531,0.3843035468027457,constant
P0581_four,MACS1115,joint_width_narrow_return_wide,joint,0.3736004344320205,0.017185028654405216,2,2,True,26.773505875683707,0.1674431619520449,0.3843035468027457,constant
P0581_four,MACS1115,joint_width_wide_return_narrow,joint,0.3736004344320205,0.017185028654405216,2,2,True,26.84190797289237,0.24552726601286531,0.2620849491423311,constant
P0581_four,MACS1931,scalar_control,control,0.511758174814234,0.0,4,4,True,27.110318035476677,,,
P0581_four,MACS1931,fixed_support,baseline,0.511758174814234,0.02108657519098082,4,4,True,27.26192695556893,0.23,0.36,constant
P0581_four,MACS1931,width_minus_linear,width,0.511758174814234,0.02108657519098082,4,4,True,27.284765019971665,0.11229561979272618,0.36,constant
P0581_four,MACS1931,width_minus_rational,width,0.511758174814234,0.02108657519098082,4,4,True,27.285736606247735,0.15214073509360224,0.36,constant
P0581_four,MACS1931,width_minus_even,width,0.511758174814234,0.02108657519098082,4,4,True,27.274437778868137,0.19759979473678996,0.36,constant
P0581_four,MACS1931,width_plus_even,width,0.511758174814234,0.02108657519098082,4,4,True,27.249567434314393,0.2583685761078125,0.36,constant
P0581_four,MACS1931,width_plus_linear,width,0.511758174814234,0.02108657519098082,4,4,True,27.20186988783751,0.34770438020727384,0.36,constant
P0581_four,MACS1931,return_minus_linear,return_length,0.511758174814234,0.02108657519098082,4,4,True,27.25769573540008,0.23,0.17576705706687573,constant
P0581_four,MACS1931,return_minus_rational,return_length,0.511758174814234,0.02108657519098082,4,4,True,27.270197595574107,0.23,0.2381333244943339,constant
P0581_four,MACS1931,return_minus_even,return_length,0.511758174814234,0.02108657519098082,4,4,True,27.26689156891601,0.23,0.30928663524019295,constant
P0581_four,MACS1931,return_plus_even,return_length,0.511758174814234,0.02108657519098082,4,4,True,27.261579161314113,0.23,0.4044029886904891,constant
P0581_four,MACS1931,return_plus_linear,return_length,0.511758174814234,0.02108657519098082,4,4,True,27.239924282752146,0.23,0.5442329429331243,constant
P0581_four,MACS1931,phase_hard_no_cross,center_crossing,0.511758174814234,0.02108657519098082,4,4,True,27.265443649635145,0.23,0.36,hard_no_cross
P0581_four,MACS1931,phase_tanh_no_cross,center_crossing,0.511758174814234,0.02108657519098082,4,4,True,27.26585594396306,0.23,0.36,tanh_no_cross
P0581_four,MACS1931,phase_rational_no_cross,center_crossing,0.511758174814234,0.02108657519098082,4,4,True,27.259800341753724,0.23,0.36,rational_no_cross
P0581_four,MACS1931,joint_rational_narrow,joint,0.511758174814234,0.02108657519098082,4,4,True,27.310191150397564,0.15214073509360224,0.2381333244943339,constant
P0581_four,MACS1931,joint_even_narrow,joint,0.511758174814234,0.02108657519098082,4,4,True,27.282623435174322,0.19759979473678996,0.30928663524019295,constant
P0581_four,MACS1931,joint_even_wide,joint,0.511758174814234,0.02108657519098082,4,4,True,27.249698094280262,0.2583685761078125,0.4044029886904891,constant
P0581_four,MACS1931,joint_width_narrow_return_wide,joint,0.511758174814234,0.02108657519098082,4,4,True,27.27823279170623,0.15214073509360224,0.4044029886904891,constant
P0581_four,MACS1931,joint_width_wide_return_narrow,joint,0.511758174814234,0.02108657519098082,4,4,True,27.255376984355276,0.2583685761078125,0.2381333244943339,constant
RXJ2129,RXJ2129,scalar_control,control,0.29417095226193507,0.0,7,7,True,1.2561701083427703,,,
RXJ2129,RXJ2129,fixed_support,baseline,0.29417095226193507,0.007686376582625917,7,7,True,1.245798188893051,0.23,0.36,constant
RXJ2129,RXJ2129,width_minus_linear,width,0.29417095226193507,0.007686376582625917,7,7,True,1.2538447793272034,0.16234068097975493,0.36,constant
RXJ2129,RXJ2129,width_minus_rational,width,0.29417095226193507,0.007686376582625917,7,7,True,1.2519449079126441,0.17771995237415042,0.36,constant
RXJ2129,RXJ2129,width_minus_even,width,0.29417095226193507,0.007686376582625917,7,7,True,1.2468633032348622,0.21982314834820446,0.36,constant
RXJ2129,RXJ2129,width_plus_even,width,0.29417095226193507,0.007686376582625917,7,7,True,1.2449677208440326,0.2397452469816311,0.36,constant
RXJ2129,RXJ2129,width_plus_linear,width,0.29417095226193507,0.007686376582625917,7,6,False,inf,0.2976593190202451,0.36,constant
RXJ2129,RXJ2129,return_minus_linear,return_length,0.29417095226193507,0.007686376582625917,7,7,True,1.2411098099939852,0.23,0.25409845718570334,constant
RXJ2129,RXJ2129,return_minus_rational,return_length,0.29417095226193507,0.007686376582625917,7,7,True,1.241023254166622,0.23,0.2781703602378006,constant
