system,total_mass,screen_order,screen_power,memory_length,analysis_half_width,integrated_response
cluster,3.0,before_memory,8.0,0.5,0.5,2.96820617365105e-06
cluster,3.0,before_memory,8.0,0.5,1.0,3.137891289157836e-06
cluster,3.0,before_memory,8.0,0.5,1.5,3.084306636590974e-05
cluster,3.0,before_memory,8.0,0.5,2.0,0.0001349084614357241
galaxy,0.3,before_memory,8.0,1.0,0.5,1.0832045207885796e-08
galaxy,0.3,before_memory,8.0,1.0,1.0,3.681905759560309e-08
galaxy,0.3,before_memory,8.0,1.0,1.5,4.13389982278068e-08
galaxy,0.3,before_memory,8.0,1.0,2.0,4.294648440517848e-08
cluster,0.3,before_memory,8.0,1.0,0.5,2.7492340020905e-09
cluster,0.3,before_memory,8.0,1.0,1.0,2.1940636728191413e-08
cluster,0.3,before_memory,8.0,1.0,1.5,3.5821550393753003e-08
cluster,0.3,before_memory,8.0,1.0,2.0,3.799912263327181e-08
galaxy,1.0,before_memory,8.0,1.0,0.5,3.068887724361112e-10
galaxy,1.0,before_memory,8.0,1.0,1.0,2.074760479649894e-07
galaxy,1.0,before_memory,8.0,1.0,1.5,1.3258757683777488e-06
galaxy,1.0,before_memory,8.0,1.0,2.0,2.5629422587057773e-06
cluster,1.0,before_memory,8.0,1.0,0.5,1.3678872690004626e-06
cluster,1.0,before_memory,8.0,1.0,1.0,5.485547964085971e-06
cluster,1.0,before_memory,8.0,1.0,1.5,9.9073391952397e-06
cluster,1.0,before_memory,8.0,1.0,2.0,1.147741389071323e-05
galaxy,3.0,before_memory,8.0,1.0,0.5,2.5591652192026483e-10
galaxy,3.0,before_memory,8.0,1.0,1.0,3.373128306628182e-07
galaxy,3.0,before_memory,8.0,1.0,1.5,4.675856463279624e-05
galaxy,3.0,before_memory,8.0,1.0,2.0,0.00025029882228068954
cluster,3.0,before_memory,8.0,1.0,0.5,7.728563600576745e-08
cluster,3.0,before_memory,8.0,1.0,1.0,5.519482660234743e-07
cluster,3.0,before_memory,8.0,1.0,1.5,4.465348696851703e-05
cluster,3.0,before_memory,8.0,1.0,2.0,0.0002422687750549056
galaxy,0.3,before_memory,8.0,2.0,0.5,6.25793038139398e-10
galaxy,0.3,before_memory,8.0,2.0,1.0,3.0638240019025604e-09
galaxy,0.3,before_memory,8.0,2.0,1.5,3.96026762109065e-09
galaxy,0.3,before_memory,8.0,2.0,2.0,4.399206576583012e-09
cluster,0.3,before_memory,8.0,2.0,0.5,7.450381830574654e-11
cluster,0.3,before_memory,8.0,2.0,1.0,7.995614943708799e-10
cluster,0.3,before_memory,8.0,2.0,1.5,1.550783910375265e-09
cluster,0.3,before_memory,8.0,2.0,2.0,1.8352996544258135e-09
galaxy,1.0,before_memory,8.0,2.0,0.5,5.758025321699249e-11
galaxy,1.0,before_memory,8.0,2.0,1.0,2.9215471630053082e-08
galaxy,1.0,before_memory,8.0,2.0,1.5,2.029010757162766e-07
galaxy,1.0,before_memory,8.0,2.0,2.0,4.487644123486328e-07
cluster,1.0,before_memory,8.0,2.0,0.5,2.5423748704488643e-08
cluster,1.0,before_memory,8.0,2.0,1.0,1.4590446635750593e-07
cluster,1.0,before_memory,8.0,2.0,1.5,3.543853496916172e-07
cluster,1.0,before_memory,8.0,2.0,2.0,5.691284715936909e-07
galaxy,3.0,before_memory,8.0,2.0,0.5,2.081495146595149e-11
galaxy,3.0,before_memory,8.0,2.0,1.0,6.480829447348996e-08
galaxy,3.0,before_memory,8.0,2.0,1.5,7.78372292142956e-06
galaxy,3.0,before_memory,8.0,2.0,2.0,4.591307054109835e-05
cluster,3.0,before_memory,8.0,2.0,0.5,7.592608702261122e-10
cluster,3.0,before_memory,8.0,2.0,1.0,3.230249535558918e-07
cluster,3.0,before_memory,8.0,2.0,1.5,1.165667204677828e-05
cluster,3.0,before_memory,8.0,2.0,2.0,5.669752022381144e-05
galaxy,0.3,after_memory,2.0,0.5,0.5,1.1663153530026983e-07
galaxy,0.3,after_memory,2.0,0.5,1.0,3.2719377152661465e-07
galaxy,0.3,after_memory,2.0,0.5,1.5,3.314857195839806e-07
galaxy,0.3,after_memory,2.0,0.5,2.0,3.3197245712299315e-07
cluster,0.3,after_memory,2.0,0.5,0.5,3.874049249799399e-08
cluster,0.3,after_memory,2.0,0.5,1.0,1.4076839670634846e-07
cluster,0.3,after_memory,2.0,0.5,1.5,1.9544541422409022e-07
cluster,0.3,after_memory,2.0,0.5,2.0,1.9780092668168146e-07
galaxy,1.0,after_memory,2.0,0.5,0.5,2.7180649825976715e-08
galaxy,1.0,after_memory,2.0,0.5,1.0,1.9610987404859655e-06
galaxy,1.0,after_memory,2.0,0.5,1.5,3.4297404989010365e-06
galaxy,1.0,after_memory,2.0,0.5,2.0,3.9558796258491545e-06
cluster,1.0,after_memory,2.0,0.5,0.5,1.716882186833727e-05
cluster,1.0,after_memory,2.0,0.5,1.0,2.7711229411591238e-05
cluster,1.0,after_memory,2.0,0.5,1.5,4.166580311139944e-05
cluster,1.0,after_memory,2.0,0.5,2.0,4.359831973079559e-05
galaxy,3.0,after_memory,2.0,0.5,0.5,1.8164827890125292e-10
galaxy,3.0,after_memory,2.0,0.5,1.0,6.427505621543377e-07
galaxy,3.0,after_memory,2.0,0.5,1.5,2.9425926294551815e-05
galaxy,3.0,after_memory,2.0,0.5,2.0,0.00012509719089667841
cluster,3.0,after_memory,2.0,0.5,0.5,0.0007745144626224628
cluster,3.0,after_memory,2.0,0.5,1.0,0.0007883720900349812
cluster,3.0,after_memory,2.0,0.5,1.5,0.000888802739690141
cluster,3.0,after_memory,2.0,0.5,2.0,0.0010402199510265964
galaxy,0.3,after_memory,2.0,1.0,0.5,4.96267768494974e-09
galaxy,0.3,after_memory,2.0,1.0,1.0,1.996260579532964e-08
galaxy,0.3,after_memory,2.0,1.0,1.5,2.2680779079977697e-08
galaxy,0.3,after_memory,2.0,1.0,2.0,2.422329957499929e-08
cluster,0.3,after_memory,2.0,1.0,0.5,2.3250469814556672e-09
cluster,0.3,after_memory,2.0,1.0,1.0,1.484529376616361e-08
cluster,0.3,after_memory,2.0,1.0,1.5,2.6003513175395896e-08
cluster,0.3,after_memory,2.0,1.0,2.0,2.8107507734709107e-08
galaxy,1.0,after_memory,2.0,1.0,0.5,1.5865676970401235e-09
galaxy,1.0,after_memory,2.0,1.0,1.0,4.067250819411688e-07
galaxy,1.0,after_memory,2.0,1.0,1.5,2.058709353616127e-06
galaxy,1.0,after_memory,2.0,1.0,2.0,3.786349803305186e-06
cluster,1.0,after_memory,2.0,1.0,0.5,1.1167168677616386e-06
cluster,1.0,after_memory,2.0,1.0,1.0,2.6967647007498474e-06
cluster,1.0,after_memory,2.0,1.0,1.5,6.820001074189991e-06
cluster,1.0,after_memory,2.0,1.0,2.0,8.87823647503873e-06
galaxy,3.0,after_memory,2.0,1.0,0.5,1.13572504651353e-11
galaxy,3.0,after_memory,2.0,1.0,1.0,3.8383490831347533e-07
galaxy,3.0,after_memory,2.0,1.0,1.5,6.460871327797004e-05
galaxy,3.0,after_memory,2.0,1.0,2.0,0.00042592409644400355
cluster,3.0,after_memory,2.0,1.0,0.5,8.613584788105393e-05
cluster,3.0,after_memory,2.0,1.0,1.0,8.885946846258995e-05
cluster,3.0,after_memory,2.0,1.0,1.5,0.00015806991486252197
cluster,3.0,after_memory,2.0,1.0,2.0,0.00046042499176112046
galaxy,0.3,after_memory,2.0,2.0,0.5,1.1127129243606936e-10
galaxy,0.3,after_memory,2.0,2.0,1.0,6.096822082378858e-10
galaxy,0.3,after_memory,2.0,2.0,1.5,9.39279987343294e-10
galaxy,0.3,after_memory,2.0,2.0,2.0,1.2493353109364832e-09
cluster,0.3,after_memory,2.0,2.0,0.5,6.266546726222311e-11
cluster,0.3,after_memory,2.0,2.0,1.0,5.407143632700274e-10
cluster,0.3,after_memory,2.0,2.0,1.5,1.1666833313379718e-09
cluster,0.3,after_memory,2.0,2.0,2.0,1.4437752128698464e-09
galaxy,1.0,after_memory,2.0,2.0,0.5,3.9807157402846597e-11
galaxy,1.0,after_memory,2.0,2.0,1.0,2.9485315740263445e-08
galaxy,1.0,after_memory,2.0,2.0,1.5,2.664223961111527e-07
galaxy,1.0,after_memory,2.0,2.0,2.0,6.232883379784927e-07
cluster,1.0,after_memory,2.0,2.0,0.5,3.071323928710147e-08
cluster,1.0,after_memory,2.0,2.0,1.0,9.645534642626767e-08
cluster,1.0,after_memory,2.0,2.0,1.5,3.8416326373514603e-07
cluster,1.0,after_memory,2.0,2.0,2.0,6.786968552284885e-07
galaxy,3.0,after_memory,2.0,2.0,0.5,2.8970479504347673e-13
galaxy,3.0,after_memory,2.0,2.0,1.0,4.1902085648054536e-08
galaxy,3.0,after_memory,2.0,2.0,1.5,1.1697065644820922e-05
galaxy,3.0,after_memory,2.0,2.0,2.0,9.593813361550365e-05
cluster,3.0,after_memory,2.0,2.0,0.5,3.1540539396917022e-06
cluster,3.0,after_memory,2.0,2.0,1.0,3.282868364096568e-06
cluster,3.0,after_memory,2.0,2.0,1.5,1.1259008720816926e-05
cluster,3.0,after_memory,2.0,2.0,2.0,6.829543431389853e-05
galaxy,0.3,after_memory,4.0,0.5,0.5,1.9886807171239851e-07
galaxy,0.3,after_memory,4.0,0.5,1.0,7.075466082626826e-07
galaxy,0.3,after_memory,4.0,0.5,1.5,7.126708330690478e-07
galaxy,0.3,after_memory,4.0,0.5,2.0,7.131682619597097e-07
cluster,0.3,after_memory,4.0,0.5,0.5,4.5293543167260425e-08
cluster,0.3,after_memory,4.0,0.5,1.0,1.9783617733605077e-07
cluster,0.3,after_memory,4.0,0.5,1.5,2.6879512472942313e-07
cluster,0.3,after_memory,4.0,0.5,2.0,2.71277626082138e-07
galaxy,1.0,after_memory,4.0,0.5,0.5,4.501879732606977e-10
galaxy,1.0,after_memory,4.0,0.5,1.0,2.8740237191557457e-06
galaxy,1.0,after_memory,4.0,0.5,1.5,5.99464169893879e-06
galaxy,1.0,after_memory,4.0,0.5,2.0,6.644774168953287e-06
cluster,1.0,after_memory,4.0,0.5,0.5,3.223424991939635e-05
cluster,1.0,after_memory,4.0,0.5,1.0,5.8434049174783064e-05
cluster,1.0,after_memory,4.0,0.5,1.5,9.193837862424995e-05
cluster,1.0,after_memory,4.0,0.5,2.0,9.491358268111173e-05
galaxy,3.0,after_memory,4.0,0.5,0.5,5.928399728480161e-18
galaxy,3.0,after_memory,4.0,0.5,1.0,4.0209172345672334e-08
galaxy,3.0,after_memory,4.0,0.5,1.5,6.004139799264278e-05
galaxy,3.0,after_memory,4.0,0.5,2.0,0.00027663785146495636
cluster,3.0,after_memory,4.0,0.5,0.5,0.0011814478410319654
cluster,3.0,after_memory,4.0,0.5,1.0,0.0011916596435956528
cluster,3.0,after_memory,4.0,0.5,1.5,0.0013234175285156446
cluster,3.0,after_memory,4.0,0.5,2.0,0.001671150262728391
galaxy,0.3,after_memory,4.0,1.0,0.5,9.50635682161326e-09
galaxy,0.3,after_memory,4.0,1.0,1.0,4.3288193850548685e-08
galaxy,0.3,after_memory,4.0,1.0,1.5,4.629583808394462e-08
galaxy,0.3,after_memory,4.0,1.0,2.0,4.786651912738277e-08
cluster,0.3,after_memory,4.0,1.0,0.5,2.7266214478947363e-09
cluster,0.3,after_memory,4.0,1.0,1.0,2.101793467461151e-08
cluster,0.3,after_memory,4.0,1.0,1.5,3.466853343472135e-08
cluster,0.3,after_memory,4.0,1.0,2.0,3.684633956178307e-08
galaxy,1.0,after_memory,4.0,1.0,0.5,3.400503714520276e-11
galaxy,1.0,after_memory,4.0,1.0,1.0,8.639492269248815e-07
galaxy,1.0,after_memory,4.0,1.0,1.5,3.8100988648288644e-06
galaxy,1.0,after_memory,4.0,1.0,2.0,5.879232526887453e-06
cluster,1.0,after_memory,4.0,1.0,0.5,2.101512001545296e-06
cluster,1.0,after_memory,4.0,1.0,1.0,6.1373122656872415e-06
cluster,1.0,after_memory,4.0,1.0,1.5,1.5210640117260858e-05
cluster,1.0,after_memory,4.0,1.0,2.0,1.7985688295511926e-05
galaxy,3.0,after_memory,4.0,1.0,0.5,4.467043720788312e-19
galaxy,3.0,after_memory,4.0,1.0,1.0,3.622372434552815e-08
galaxy,3.0,after_memory,4.0,1.0,1.5,0.00014875439146548087
galaxy,3.0,after_memory,4.0,1.0,2.0,0.0009310244169601037
cluster,3.0,after_memory,4.0,1.0,0.5,0.0001430434148686906
cluster,3.0,after_memory,4.0,1.0,1.0,0.00014470140374753338
cluster,3.0,after_memory,4.0,1.0,1.5,0.0002770949143930225
cluster,3.0,after_memory,4.0,1.0,2.0,0.0009517678015058748
galaxy,0.3,after_memory,4.0,2.0,0.5,2.2235532625050917e-10
galaxy,0.3,after_memory,4.0,2.0,1.0,1.2502228225819827e-09
galaxy,0.3,after_memory,4.0,2.0,1.5,1.606503744498314e-09
galaxy,0.3,after_memory,4.0,2.0,2.0,1.9218120383746405e-09
cluster,0.3,after_memory,4.0,2.0,0.5,7.386346724132968e-11
cluster,0.3,after_memory,4.0,2.0,1.0,7.662284046088498e-10
cluster,0.3,after_memory,4.0,2.0,1.5,1.508299858653767e-09
cluster,0.3,after_memory,4.0,2.0,2.0,1.7929268256696165e-09
galaxy,1.0,after_memory,4.0,2.0,0.5,9.252282351403761e-13
galaxy,1.0,after_memory,4.0,2.0,1.0,7.22736663245992e-08
galaxy,1.0,after_memory,4.0,2.0,1.5,4.761867194370515e-07
galaxy,1.0,after_memory,4.0,2.0,2.0,8.993135605743308e-07
cluster,1.0,after_memory,4.0,2.0,0.5,5.81257931431231e-08
cluster,1.0,after_memory,4.0,2.0,1.0,2.2804640160161087e-07
cluster,1.0,after_memory,4.0,2.0,1.5,8.193619237932898e-07
cluster,1.0,after_memory,4.0,2.0,2.0,1.1952315251358007e-06
galaxy,3.0,after_memory,4.0,2.0,0.5,1.2664501108356355e-20
galaxy,3.0,after_memory,4.0,2.0,1.0,4.227058340651564e-09
galaxy,3.0,after_memory,4.0,2.0,1.5,2.8805544870707665e-05
galaxy,3.0,after_memory,4.0,2.0,2.0,0.00021270614400981203
cluster,3.0,after_memory,4.0,2.0,0.5,5.490003181142923e-06
cluster,3.0,after_memory,4.0,2.0,1.0,5.566993152590011e-06
cluster,3.0,after_memory,4.0,2.0,1.5,2.3485687294212444e-05
cluster,3.0,after_memory,4.0,2.0,2.0,0.00015025214646105376
galaxy,0.3,after_memory,8.0,0.5,0.5,4.313023656095951e-07
galaxy,0.3,after_memory,8.0,0.5,1.0,1.327975561822681e-06
galaxy,0.3,after_memory,8.0,0.5,1.5,1.3331396458456408e-06
galaxy,0.3,after_memory,8.0,0.5,2.0,1.3336371275415634e-06
cluster,0.3,after_memory,8.0,0.5,0.5,4.565901148573074e-08
cluster,0.3,after_memory,8.0,0.5,1.0,2.0648420106327228e-07
cluster,0.3,after_memory,8.0,0.5,1.5,2.7940647416063303e-07
cluster,0.3,after_memory,8.0,0.5,2.0,2.818905713374614e-07
galaxy,1.0,after_memory,8.0,0.5,0.5,1.725269418174298e-12
galaxy,1.0,after_memory,8.0,0.5,1.0,5.809098960535313e-06
galaxy,1.0,after_memory,8.0,0.5,1.5,1.0497250893247673e-05
galaxy,1.0,after_memory,8.0,0.5,2.0,1.1155461582277858e-05
cluster,1.0,after_memory,8.0,0.5,0.5,4.429313584799241e-05
cluster,1.0,after_memory,8.0,0.5,1.0,0.00010050031336071946
cluster,1.0,after_memory,8.0,0.5,1.5,0.00015512704268707785
cluster,1.0,after_memory,8.0,0.5,2.0,0.0001583130626311593
galaxy,3.0,after_memory,8.0,0.5,0.5,3.130246736519918e-32
galaxy,3.0,after_memory,8.0,0.5,1.0,1.1287745956460578e-08
