name,T,D,e_D,f_D,Inc,e_Inc,L36,Reff,SBeff,Rd,SBdisk,MHI,RHI,Vf,e_Vf,Q,Mbar,Sigma0,HSB_LSB
F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,4.4035,45.27,LSB
F571-8,5,53.3,10.7,1,85.0,5.0,10.164,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,6.864,43.63,LSB
F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,2.1415,32.195,LSB
F574-1,7,96.8,9.68,1,65.0,10.0,6.537,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,6.7925,64.24,LSB
F574-2,9,89.1,8.91,1,30.0,10.0,2.877,6.48,10.89,3.76,41.38,1.701,12.61,36.0,0.0,3,3.1395,20.69,LSB
F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,8.169,100.88,HSB
F583-1,9,35.4,8.85,1,63.0,5.0,0.986,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,2.619,30.465,LSB
F583-4,5,53.3,10.7,1,55.0,10.0,1.715,3.31,24.94,1.93,83.34,0.641,7.8,67.2,0.0,1,1.4985,41.67,LSB
IC2574,9,3.91,0.2,2,75.0,7.0,1.016,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,1.544,40.16,LSB
IC4202,4,100.4,10.0,1,90.0,1.0,179.749,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,102.2005,4444.265,HSB
KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,0.1575,26.05,LSB
NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,2.6205,591.29,HSB
NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,3.879,195.795,HSB
NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,3.606,596.76,HSB
NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,5.412,253.395,HSB
NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,63.5015,34.98,LSB
NGC0300,7,2.08,0.1,2,42.0,10.0,2.922,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,2.397,218.675,HSB
NGC0801,5,80.7,8.07,1,80.0,1.0,312.57,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,179.486,779.47,HSB
NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,73.632,2533.96,HSB
NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,9.29,672.665,HSB
NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,44.8055,1027.545,HSB
NGC1705,11,5.73,0.29,2,80.0,10.0,0.533,0.49,347.4,0.39,587.26,0.139,2.36,71.9,4.3,3,0.4055,293.63,HSB
NGC2366,10,3.27,0.16,2,68.0,5.0,0.236,1.08,31.98,0.65,113.98,0.647,6.94,50.2,3.2,3,0.765,56.99,LSB
NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,8.2195,704.37,HSB
NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,41.6135,5102.7,HSB
NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,103.8355,2375.745,HSB
NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,43.4835,596.76,HSB
NGC2915,11,4.06,0.2,2,56.0,4.0,0.641,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,0.8285,156.965,HSB
NGC2955,3,97.9,9.8,1,56.0,7.0,319.422,7.22,974.61,18.76,50.68,28.949,40.34,257.0,0.0,1,188.66000000000005,25.34,LSB
NGC2976,5,3.58,0.18,2,61.0,10.0,3.371,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,1.8575,751.275,HSB
NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,98.902,387.08,HSB
NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,0.574,70.435,LSB
NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,30.0085,801.31,HSB
NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,46.572,1056.33,HSB
NGC3726,5,18.0,2.5,4,53.0,2.0,70.234,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,41.59,894.955,HSB
NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,0.196,71.745,LSB
NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,14.8685,80.13,LSB
NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,37.7505,1705.295,HSB
NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,35.0615,1027.545,HSB
NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,12.871,613.48,HSB
NGC3949,4,18.0,2.5,4,55.0,2.0,38.067,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,22.4045,92.855,LSB
NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,73.48249999999999,999.54,HSB
NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,8.3905,793.965,HSB
NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,130.065,1628.545,HSB
NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,11.4285,1305.57,HSB
NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,42.514,5102.7,HSB
NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,50.331,660.39,HSB
NGC4068,10,4.37,0.22,2,44.0,6.0,0.236,1.11,30.26,0.59,261.11,0.154,3.18,36.0,0.0,2,0.272,130.555,HSB
NGC4085,5,18.0,2.5,4,82.0,2.0,21.724,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,12.211,2510.73,HSB
NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,61.869,1994.345,HSB
NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,32.799,4485.39,HSB
NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,23.5385,1976.06,HSB
NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,61.036,11906.935,HSB
NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,8.924999999999999,549.29,HSB
NGC4214,10,2.87,0.14,2,15.0,10.0,1.141,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,1.0565,654.335,HSB
NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,45.2115,2186.755,HSB
NGC4389,4,18.0,2.5,4,50.0,4.0,21.328,4.05,207.41,2.79,322.72,0.539,6.81,95.9,0.0,3,11.203,161.36,HSB
NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,15.4995,801.31,HSB
NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,90.64,48.285,LSB
NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,66.5685,307.47,HSB
NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,88.18299999999999,1674.17,HSB
NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,181.3765,697.91,HSB
NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,3.1545,148.525,HSB
NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,108.7375,4323.145,HSB
NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,115.95,730.805,HSB
NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,21.8985,963.385,HSB
NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,216.445,87.055,LSB
NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,8.166500000000001,199.435,HSB
NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,139.492,685.175,HSB
NGC6789,11,3.52,0.18,2,43.0,7.0,0.1,0.52,59.27,0.31,319.76,0.017,0.97,0.0,0.0,2,0.067,159.88,HSB
NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,38.7565,1116.35,HSB
NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,136.3825,903.235,HSB
NGC7793,7,3.61,0.18,2,47.0,9.0,7.05,2.19,233.79,1.21,1068.64,0.861,7.35,109.0,0.0,1,4.386,534.32,HSB
NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,38.3345,1317.65,HSB
PGC51017,11,13.6,1.4,2,66.0,3.0,0.155,1.28,15.03,0.53,93.94,0.201,4.29,18.6,1.3,3,0.2785,46.97,LSB
UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,13.441,44.445,LSB
UGC00191,9,17.1,5.1,1,45.0,5.0,2.004,2.5,50.21,1.58,207.41,1.343,10.03,81.0,0.0,1,2.345,103.705,HSB
UGC00634,9,30.9,7.7,1,37.0,8.0,2.989,4.26,26.11,2.45,126.13,3.663,16.78,0.0,0.0,2,5.1575,63.065,LSB
UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,1.9685,41.285,LSB
UGC00891,9,10.2,3.1,1,60.0,5.0,0.374,1.76,19.09,1.43,113.98,0.428,6.23,60.15,0.0,2,0.615,56.99,LSB
UGC01230,9,53.7,10.7,1,22.0,10.0,7.62,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,10.24,34.66,LSB
UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,0.4705,67.89,LSB
UGC02023,10,10.4,3.1,1,19.0,10.0,1.308,2.73,27.59,1.55,121.57,0.477,6.5,47.9,0.0,2,1.131,60.785,LSB
UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,1.3565,86.26,LSB
UGC02455,10,6.92,2.08,1,51.0,5.0,3.649,1.49,254.0,0.99,795.85,0.803,7.11,53.1,0.0,3,2.6275,397.925,HSB
UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,262.9405,575.175,HSB
UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,241.8375,235.395,HSB
UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,85.3495,260.495,HSB
UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,137.43699999999998,2107.655,HSB
UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,66.49799999999999,1957.945,HSB
UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,53.343,461.105,HSB
UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,11.003,151.285,HSB
UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,1.7695,188.71,HSB
UGC04305,10,3.45,0.17,2,40.0,10.0,0.736,1.23,76.71,1.16,88.07,0.69,7.41,34.5,2.7,3,1.0579999999999998,44.035,LSB
UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,1.6909999999999998,106.61,HSB
UGC04483,10,3.34,0.31,2,58.0,3.0,0.013,0.26,29.71,0.18,82.57,0.032,1.46,24.2,0.0,2,0.0385,41.285,LSB
UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,1.876,63.65,LSB
UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,5.143,32.795,LSB
UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,102.187,94.58,LSB
UGC05414,10,9.4,2.82,1,55.0,3.0,1.123,2.33,32.87,1.47,127.3,0.574,6.65,56.8,0.0,1,1.1355,63.65,LSB
UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,1.388,45.27,LSB
UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,0.8275000000000001,456.88,HSB
UGC05750,8,58.7,11.7,1,64.0,10.0,3.336,8.8,6.87,3.46,124.98,1.099,16.79,77.6,0.0,1,2.767,62.49,LSB
UGC05764,10,7.47,2.24,1,60.0,10.0,0.085,1.2,9.31,1.17,33.79,0.163,3.51,50.0,0.0,2,0.2055,16.895,LSB
UGC05829,10,8.64,2.59,1,34.0,10.0,0.564,2.91,10.59,1.99,63.22,1.023,7.87,65.6,0.0,2,1.305,31.61,LSB
UGC05918,10,7.66,2.3,1,46.0,5.0,0.233,2.63,5.36,1.66,24.94,0.297,5.9,42.6,0.0,2,0.4135,12.47,LSB
UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,5.0145,862.58,HSB
UGC05999,10,47.7,9.5,1,22.0,10.0,3.384,4.83,22.95,3.22,51.62,2.022,15.26,97.7,0.0,2,3.714,25.81,LSB
UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,1.822,155.525,HSB
UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,1.873,43.23,LSB
UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,84.063,270.27,HSB
UGC06628,9,15.1,4.53,1,20.0,10.0,3.739,4.14,34.74,2.82,103.0,1.5,10.47,41.8,6.4,2,3.3695,51.5,LSB
UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,1.5075,307.47,HSB
UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,41.7335,539.26,HSB
UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,54.158,214.685,HSB
UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,1.873,143.155,HSB
UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,5.439,130.555,HSB
UGC06923,10,18.0,2.5,4,65.0,2.0,2.89,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,2.254,173.7,HSB
UGC06930,7,18.0,2.5,4,32.0,5.0,8.932,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,7.703,94.58,LSB
UGC06973,2,18.0,2.5,4,71.0,3.0,53.87,1.61,3317.65,1.07,12730.05,1.753,11.57,174.2,6.2,3,28.688,6365.025,HSB
UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,5.616,60.785,LSB
UGC07089,8,18.0,2.5,4,80.0,3.0,3.585,3.9,37.4,2.26,520.99,1.214,9.29,77.6,0.0,2,3.0065,260.495,HSB
UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,5.984999999999999,51.5,LSB
UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,1.758,482.835,HSB
UGC07232,10,2.83,0.17,2,59.0,5.0,0.113,0.46,83.34,0.29,227.42,0.046,1.54,0.0,0.0,2,0.1025,113.71,HSB
UGC07261,8,13.1,3.93,1,30.0,10.0,1.753,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,2.2645,283.01,HSB
UGC07323,8,8.0,2.4,1,47.0,3.0,4.109,3.26,61.49,2.26,283.68,0.722,7.14,82.8,0.0,1,2.7765,141.84,HSB
UGC07399,8,8.43,2.53,1,55.0,3.0,1.156,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,1.323,67.89,LSB
UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,2.997,53.43,LSB
UGC07559,10,4.97,0.25,2,61.0,3.0,0.109,0.98,17.9,0.58,55.06,0.169,3.76,31.1,0.0,2,0.2235,27.53,LSB
UGC07577,10,2.59,0.13,2,63.0,3.0,0.045,0.77,11.94,0.9,54.55,0.044,2.07,15.9,0.0,2,0.0665,27.275,LSB
UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,0.446,260.495,HSB
UGC07608,10,8.21,2.46,1,25.0,10.0,0.264,1.6,16.48,1.5,46.65,0.535,6.73,66.0,0.0,1,0.667,23.325,LSB
UGC07690,10,8.11,2.43,1,41.0,5.0,0.858,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,0.819,197.605,HSB
UGC07866,10,4.57,0.23,2,44.0,5.0,0.124,0.95,21.92,0.61,97.46,0.118,3.3,30.6,0.0,2,0.18,48.73,LSB
UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,1.2695,744.39,HSB
UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,1.2285,288.27,HSB
UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,0.4325,642.39,HSB
UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,28.889,685.175,HSB
UGC08837,10,7.21,0.36,2,80.0,5.0,0.501,2.25,15.73,1.72,77.42,0.32,4.75,46.6,0.0,2,0.5705,38.71,LSB
UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,53.385000000000005,420.535,HSB
UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,174.891,432.315,HSB
UGC09992,10,10.7,3.21,1,30.0,10.0,0.336,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,0.486,36.625,LSB
UGC10310,9,15.2,4.6,1,34.0,6.0,1.741,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,2.0665,79.395,LSB
UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,200.496,4784.1,HSB
UGC11557,8,24.2,6.05,1,30.0,10.0,12.101,4.18,106.86,2.75,337.93,2.605,16.66,81.6,0.0,2,8.6555,168.965,HSB
UGC11820,9,18.1,5.43,1,45.0,10.0,0.97,2.74,20.18,2.08,34.11,1.977,12.99,81.25,0.0,1,2.462,17.055,LSB
UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,75.902,1584.165,HSB
UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,105.3415,2804.14,HSB
UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,2.3945,33.405,LSB
UGC12732,9,13.2,4.0,1,39.0,6.0,1.667,3.12,26.84,1.98,120.46,3.66,17.41,93.15,0.0,1,4.4935,60.23,LSB
UGCA281,11,5.68,0.28,2,67.0,3.0,0.194,1.57,12.5,1.72,12.05,0.062,1.83,28.8,0.0,3,0.159,6.025,LSB
UGCA442,9,4.35,0.22,2,64.0,7.0,0.14,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,0.333,58.05,LSB
UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,0.073,11.37,LSB
