variant,system,iteration,maximum_relative_update,aqual
newton_lgmres_armijo_i20,DDO53,34,0.0019724615709580508,0.0068661451414051798
newton_lgmres_armijo_i20,DDO53,35,0.0014851826769313754,0.0067748824291713645
newton_lgmres_armijo_i20,DDO53,36,0.033460396354818379,0.0062525202898111986
newton_lgmres_armijo_i20,DDO53,37,0.0036596714949398571,0.0057441384755295343
newton_lgmres_armijo_i20,DDO53,38,7.1681586642259368e-05,0.0057386718203975397
newton_lgmres_armijo_i20,DDO53,39,0.0013317422679522913,0.0056528124810653821
newton_lgmres_armijo_i20,DDO53,40,0.00045633137487824464,0.0056194897368734538
newton_lgmres_armijo_i20,DDO53,41,9.5871905721597823e-05,0.0056151301012979911
newton_lgmres_armijo_i20,DDO53,42,0.0028683371716988278,0.0055146206857310826
newton_lgmres_armijo_i20,DDO53,43,0.0007229902410369524,0.0054476724606259781
newton_lgmres_armijo_i20,DDO53,44,0.00034322030485552324,0.0054206413535144646
newton_lgmres_armijo_i20,DDO53,45,0.00024048775510939074,0.0054029550218361571
newton_lgmres_armijo_i20,DDO53,46,0.013361706670080593,0.0051546797855214418
newton_lgmres_armijo_i20,DDO53,47,0.0022877968232182457,0.0048842804476723449
newton_lgmres_armijo_i20,DDO53,48,0.0031721239275208225,0.004667385987910039
newton_lgmres_armijo_i20,DDO53,49,0.00011904988185094056,0.004658941187676042
newton_lgmres_armijo_i20,DDO53,50,9.4332070373145561e-05,0.0046524147242649402
newton_lgmres_armijo_i20,DDO53,51,7.8753662071526153e-05,0.0046471090014854255
newton_lgmres_armijo_i20,DDO53,52,6.890118861559162e-05,0.0046425820524380879
newton_lgmres_armijo_i20,DDO53,53,6.1802307476043205e-05,0.0046386298579946094
newton_lgmres_armijo_i20,DDO53,54,5.0801292409671899e-05,0.0046354700099421157
newton_lgmres_armijo_i20,DDO53,55,4.7381573760310814e-05,0.0046326033647704984
newton_lgmres_armijo_i20,DDO53,56,0.00010754658670203922,0.0046265444292695988
newton_lgmres_armijo_i20,DDO53,57,4.1162231490956351e-05,0.0046241543308668627
newton_lgmres_armijo_i20,DDO53,58,3.2603494014826835e-05,0.0046223186809222494
newton_lgmres_armijo_i20,DDO53,59,2.8273817015742101e-05,0.0046207755390994202
newton_lgmres_armijo_i20,DDO53,60,3.0459245712316397e-05,0.0046191631981695033
newton_lgmres_armijo_i20,DDO53,61,4.8036983917103952e-05,0.0046165699993445091
newton_lgmres_armijo_i20,DDO53,62,7.9765821635965935e-05,0.0046121196771130571
newton_lgmres_armijo_i20,DDO53,63,1.8620555429919846e-05,0.0046110797914475166
newton_lgmres_armijo_i20,DDO53,64,1.9766551971752935e-05,0.0046099844190193844
newton_lgmres_armijo_i20,DDO53,65,2.167196195561886e-05,0.0046087921628448327
newton_lgmres_armijo_i20,DDO53,66,2.0376222169304373e-05,0.0046076758114957633
newton_lgmres_armijo_i20,DDO53,67,2.2895919975501344e-05,0.0046064247079844545
newton_lgmres_armijo_i20,DDO53,68,1.9552622823529453e-05,0.004605365231318416
newton_lgmres_armijo_i20,DDO53,69,1.664683576668801e-05,0.004604501150861807
newton_lgmres_armijo_i20,DDO53,70,3.7667966268809761e-05,0.004602423114442678
newton_lgmres_armijo_i20,DDO53,71,0.00011313678709999241,0.004595767263337565
newton_lgmres_armijo_i20,DDO53,72,4.6484786931346445e-06,0.004595592652380005
newton_lgmres_armijo_i20,DDO53,73,6.5153940030395283e-06,0.0045953306105850598
newton_lgmres_armijo_i20,DDO53,74,2.3939685339230512e-05,0.0045942001646391865
newton_lgmres_armijo_i20,DDO53,75,0.032219542137816914,0.003625595842360124
newton_lgmres_armijo_i20,DDO53,76,0.00090782727738305537,0.0035675087365889964
