mangaid,plateifu,required_product,present_in_repository
1-44483,8143-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-269227,9028-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-251198,8332-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-251783,8335-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-255220,8253-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-179561,8615-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-323764,9027-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-419257,8444-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-274545,8455-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-299176,9507-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-163594,8726-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-247629,8488-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-218009,8940-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-495023,8310-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-208472,8593-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-457376,11004-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-210778,8602-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-51568,9189-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-51634,8727-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-298864,9508-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-176155,11833-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-174119,8946-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-94584,9026-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-38618,8084-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-283164,11953-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-134312,8487-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-23459,11025-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-421128,12620-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-229890,9503-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-457185,9880-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456716,9874-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-119315,8087-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-198879,9870-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-321823,9033-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-261280,8337-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-569077,8979-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-149496,8992-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-594515,11941-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-189376,10510-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-523154,8311-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-187562,9000-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-189522,11872-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-363769,11962-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-322262,9871-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-591255,9863-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-300759,10505-12705,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-118491,12089-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-201307,8937-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-322159,9872-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-382318,10218-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-420979,12621-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-197307,9864-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-32786,12696-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-623722,8951-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-627945,8443-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-247661,9036-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-72211,9183-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-178035,7961-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-93053,8562-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-279666,8945-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-296398,9040-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-135475,12673-12705,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-605726,8248-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-211006,8312-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456416,11871-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-602989,12078-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-28070,12070-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-402872,8323-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-250652,8331-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-390514,8150-12704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-490074,8450-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-605026,10492-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-585206,9507-12705,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-135133,8603-12703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-22662,7992-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-615921,8990-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-319663,11017-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-208313,8592-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-52600,8158-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-245238,11012-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-458272,8952-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-351702,8720-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-131060,8589-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-548191,8719-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-457149,9880-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-457197,9877-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456557,9877-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456909,9873-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-419236,8442-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456980,9862-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-42247,9514-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-117086,12084-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-199449,9037-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-183465,10520-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-82967,11835-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456645,11009-12703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-269951,11868-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-107844,12696-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-259117,8317-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-35650,10223-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-631803,8593-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-458209,8952-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-66669,12514-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-26550,8652-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-637021,12071-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-488532,8449-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-638033,8655-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-547086,7958-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-51120,9188-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-373011,9002-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-210971,8604-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-209729,8549-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-122151,9183-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-261032,8336-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-153247,9184-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-42708,8097-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-457072,11004-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-385108,9502-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-338600,8566-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-246565,9865-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-375609,9889-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-316023,9044-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-258315,8261-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-457872,9881-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-523004,8320-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-159357,12510-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-605387,11754-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-325063,11975-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-231694,10500-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-376341,9087-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-27571,12069-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-54894,11759-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-233531,11760-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-121209,8139-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-600853,8656-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-216520,8440-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-94228,8483-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-39570,8569-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-47272,8724-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-257999,8259-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-45175,9487-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-131378,8589-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-195079,11863-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-213603,9511-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456565,9877-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-34149,12075-12703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-272055,9025-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-198036,9033-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-386459,12488-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-322172,9872-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-397462,11750-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-481320,8248-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-548653,10496-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-415931,12621-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-605069,10492-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-122138,10215-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-274570,8253-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-576439,9033-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-178927,7963-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-314059,9024-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-29726,8655-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-488526,8449-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-177495,7959-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-173625,8998-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-603674,10226-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456704,9863-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-148652,8999-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-390521,8150-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-209722,9031-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456372,9862-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-351790,8720-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-209537,8486-12701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-567187,8252-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-317809,9089-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-174945,10507-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-108765,12079-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-218324,8942-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-39615,8091-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-245301,11012-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-144470,11958-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-591979,12621-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-95825,8612-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-135491,9869-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-135583,9869-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-523108,8320-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-556501,8145-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-133936,8564-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-39799,8091-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-179724,7965-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-51008,9188-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-295155,9049-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-91923,8546-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-43856,8713-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-178183,9186-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-32603,12073-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-108696,12081-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-153127,10220-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456322,8951-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-412833,9488-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-261030,8336-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-121992,9183-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-188749,8991-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-73,12512-12704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-558175,8461-12701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-196929,8309-12704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-260809,8447-12704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-109924,12685-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-418090,8446-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-265758,9088-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-576076,11956-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-522651,9878-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-197017,8309-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-197166,9864-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-197166,11827-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-36266,10224-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-281886,8260-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-364559,11969-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-285004,8465-12705,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-155975,8439-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-252477,8441-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-218152,8941-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-258795,8464-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
