draw,B_constant,B200_radial,radial_exponent
99,5.116067998424356,5.275351979677982,-0.1500791193693368
100,5.428263301904488,5.5792846490384616,-0.2151401599161944
101,5.2498711683686725,5.51093851279216,-0.16814710682605752
102,5.234729820260737,5.51312587577747,-0.1708690717439901
103,4.717202966668822,4.958444100815158,-0.18289389915052534
104,5.287688670453766,5.757597218444405,-0.22884994224584568
105,5.310340964796575,5.498866236055626,-0.1759377921001051
106,4.891968510354295,5.105016791878877,-0.21158647575604864
107,4.992696815379149,5.142090205606864,-0.14265880146481952
108,4.914188787645482,5.072076068386179,-0.15944814919170056
109,5.371872362395625,5.4673501497945125,-0.15119563167827638
110,5.3503558320158175,5.563982077174958,-0.1474097449304531
111,5.069288951517471,5.152510066729492,-0.20094971188768093
112,4.97346298172732,5.012641250704761,-0.17002420963425569
113,5.118729117471564,5.234343748506763,-0.14318445363241553
114,5.13508416324858,5.2587014864661485,-0.13323795019704118
115,5.358764226870316,5.499630031920264,-0.1405877101281688
116,5.104535658762526,5.248721625886606,-0.15491780986343576
117,5.082943536836362,5.172272970494062,-0.15152341036959896
118,5.317580302948714,5.427492667059723,-0.14563447175654123
119,5.276577170794693,5.380353251034308,-0.14930138774148088
120,4.882062163613708,5.094050647548543,-0.1908169230952349
121,5.1554828509074095,5.222664025453287,-0.1549515354991841
122,5.072576255398573,5.17573381973341,-0.1756967424203018
123,5.575322966221713,5.748841342888199,-0.1855744370021189
124,5.192706047486639,5.549963410757841,-0.20692838084130433
125,4.818363159585314,4.940749748109378,-0.13540320937339662
126,5.000635685964469,5.195273579389886,-0.1707552425611539
127,5.397266041830488,5.5681425350908595,-0.1228711712105465
128,4.799572431473089,4.9953927651091545,-0.15583909348407227
129,5.178934904311546,5.354737607237353,-0.1701449869584986
130,5.105367279415837,5.305276462756082,-0.1675347517777914
131,5.200356110790238,5.441898929702277,-0.15965875800010784
132,5.382168676951472,5.438324819104071,-0.21696745413929414
133,5.429480302149677,5.662570145066732,-0.15685731429889896
134,5.054375472015691,5.2889762827326825,-0.20702403551011325
135,5.029159231415357,5.215134233756111,-0.17712592377091094
136,4.935714570049247,5.120532409177127,-0.14380303583790188
137,5.435399592154407,5.587364571601814,-0.11464497976721356
138,5.14167386338014,5.386001642937733,-0.17566959860095646
139,5.2012016688088005,5.361835960482557,-0.13761730702026434
140,5.11419072647708,5.30390736585597,-0.1773294377195052
141,5.182532485590462,5.216336005579637,-0.1539146083879067
142,5.156049874014155,5.307670799817178,-0.13880498104165614
143,4.980640285310298,5.228474474862652,-0.1860490582220598
144,5.253316446823181,5.422519719061543,-0.1259769065691335
145,5.351151036632212,5.470470400449064,-0.14984649563572025
146,5.275966325206317,5.5366497035224835,-0.20142238254975103
147,5.0311548853750745,5.14100890372562,-0.14783655306909413
148,5.184452756405039,5.2901684952223205,-0.17474651047282613
149,5.554939146169265,5.839981828321807,-0.19830794465585944
150,4.96075570578066,5.174430567048975,-0.18022538037448785
151,5.150414431745616,5.321793491129279,-0.16554616173246464
152,5.805118621664277,6.008459734351088,-0.20897495828120466
153,5.366645665566318,5.594888718925422,-0.16467100096619744
154,5.3662459143148125,5.532946160956636,-0.14529991752103144
155,5.215333128840135,5.447137802452058,-0.1930136615274573
156,5.393465898514652,5.489908198607876,-0.15662014578375918
157,5.648702995495924,5.856410782788144,-0.17249891540544696
158,5.279185165005854,5.522422777074727,-0.1762047706396643
159,5.095804323963485,5.3398202916963475,-0.16286568928964484
160,5.224127582878497,5.432465926516189,-0.1593919016065242
161,5.312611717942182,5.344604262228749,-0.14800553984253462
162,4.881846356549906,4.988305708385438,-0.14741521615276548
163,5.475776241116971,5.706215718261494,-0.15109778767939183
164,5.431977316065022,5.6354228708944305,-0.1347250685634411
165,5.484552057851128,5.59414784712483,-0.13751206774850772
166,5.096089110197346,5.464190750050212,-0.19677180424143098
167,5.569705252489941,5.74013221371851,-0.1296541808510192
168,5.208718359598545,5.423156263114367,-0.16828515229977056
169,4.950750146010942,5.12210755752543,-0.143167903103035
170,5.17591415967953,5.389248246157449,-0.17685235321656126
171,5.3603969381130385,5.5473035056050115,-0.14691942688372564
172,4.879011375504343,5.07528587476222,-0.15809404693794452
173,5.070639871858312,5.296889821766974,-0.15645551492287638
174,5.528775974831951,5.766726266703648,-0.17820470542936592
175,4.504628942635485,4.619085247879062,-0.1577684951724318
176,5.003836956179657,5.205546352340596,-0.19923140668651856
177,4.987911865832641,5.191981918576859,-0.15518090445417088
178,5.152590248241201,5.45213359058858,-0.17678424219955632
179,5.290411721912662,5.429961912384351,-0.12155390450728999
180,5.154957600584261,5.412262389485464,-0.20046716589627955
181,4.9741549698353635,5.14118071778127,-0.13540314900663722
182,5.330716380677843,5.591138830024913,-0.18985265442175117
183,5.463134377331323,5.780598431359031,-0.21189575706585287
184,5.485468663519835,5.722611215529124,-0.15889863092716838
185,5.168807071138174,5.294228862586965,-0.11474212730112254
186,5.199406856692407,5.388681152991536,-0.16723517019919554
187,5.526731559515011,5.852652456446662,-0.16589108712277406
188,5.1437585183989585,5.293796991038977,-0.13765999641425253
189,5.268145647597772,5.339784842337381,-0.1781031904595757
190,5.081547283928749,5.256601648426846,-0.1548830758558619
191,4.918962838634496,5.19132440743141,-0.1642286806571067
192,5.100040699405259,5.357542766573826,-0.21245009948330265
193,4.893450341667916,5.088662392523829,-0.17612827075330822
194,5.095307233083038,5.214757733224889,-0.16474980486064927
195,5.412504586683725,5.565259886411472,-0.1478667834179919
196,4.832812841565827,5.020056256077953,-0.2166542553647876
197,5.343738900015856,5.5413881695802,-0.13531502489633776
198,5.120317712617577,5.237096527970892,-0.1419438569747353
199,5.1373083211826245,5.266604515351484,-0.17714599389498878
200,5.626985091388865,5.809373833423403,-0.1590634653276277
201,5.605456706167427,5.792553715023066,-0.16906141538489264
202,5.218990301830175,5.471647853853571,-0.13748305114142767
203,5.46087782248751,5.569371361850179,-0.11177468249999707
204,5.098430402109538,5.250927569466592,-0.18977554951056944
205,5.327596626635149,5.5480961348498035,-0.1851229239010797
206,5.3964827814122405,5.496755104587843,-0.12524377731528416
207,5.016701524520567,5.244656794315095,-0.16460078507275563
208,5.40754199719489,5.531464555258444,-0.11938100935877828
209,5.250730238931806,5.527946395562628,-0.16459714879767393
210,5.4856117617508975,5.521773409426093,-0.18944456847796656
211,5.172248504596446,5.342145438066728,-0.15037138339254663
212,5.443757872493644,5.619298429114812,-0.18775429897380572
213,5.239270631437476,5.498073993362795,-0.17018645493928977
214,5.2914906120612395,5.426670450416195,-0.13441432347475585
215,4.937516419829913,5.043807354063993,-0.1425988734107944
216,5.389184778482496,5.560727889625159,-0.1431846467803032
217,5.219454705739685,5.392067766822004,-0.15973863120868853
218,5.212436668162409,5.386418586711184,-0.1361170354233437
219,5.076105001090123,5.239561176525355,-0.17209085147035091
220,5.301402787378436,5.531977072041958,-0.19440022769809384
221,5.228922033507134,5.362826426170345,-0.11832739284534038
222,5.2944416739970315,5.452383779414352,-0.17827563409519662
223,5.254435821787689,5.475772755565949,-0.17063129205118244
224,4.950561544593395,5.068508059073177,-0.19561939441578594
225,5.197147849349559,5.4905404437137975,-0.21296940751758833
226,5.448672355415371,5.71519605020139,-0.1809531889728256
227,5.412594478961912,5.558570928959054,-0.14837370396442204
228,5.02490568229819,5.174220571182672,-0.13141756118174333
229,5.067628705736074,5.191125601349834,-0.17438955236325224
230,5.474543853613384,5.66430022763248,-0.13914538892961414
231,5.483883080643957,5.593510208007519,-0.14630327184877667
232,5.0102285340766075,5.251221240998777,-0.1709067086387821
233,5.518699866161524,5.766451404405511,-0.13878012529334757
234,5.0728733047830525,5.179070095115656,-0.1763372424701592
235,5.21455662516013,5.3876452154121655,-0.12768731643498346
236,5.147591116533178,5.323945072534109,-0.1566064555361247
237,4.838291167519928,5.093843604514069,-0.17881539420798837
238,5.291589316161822,5.50127049853202,-0.1993289975452425
239,5.482676714515781,5.713417331582751,-0.16361205615071991
240,5.376268644229074,5.607945728433314,-0.17064789010798276
241,5.333509657456496,5.412715497112583,-0.1293475155121903
242,4.819579178671515,4.950115659493294,-0.139259366188408
243,5.170700645165899,5.328292207788553,-0.16815100323967014
244,5.2780776073065745,5.513432994561199,-0.2202951043507317
245,4.959385448055657,5.124372200021561,-0.22406254836227094
246,5.284175454184273,5.547496846283065,-0.1347929635356112
247,5.210616961420191,5.377877971932972,-0.16334504390369925
248,5.573375954149635,5.842176209270349,-0.1753379676544818
249,5.382162534366047,5.561915982358612,-0.17457201551352275
250,5.084171731726948,5.293673480094424,-0.18551058045429686
251,5.201967704457182,5.359834628916839,-0.13578942368077734
252,5.425282488171642,5.506489753425371,-0.18042559105879735
253,5.382669723496676,5.503956007126964,-0.11330861009198412
254,4.881952417741761,5.005449011786537,-0.18867682734208135
255,5.107496814185222,5.321445994573153,-0.1761815746041914
256,5.403600204197812,5.524353590084704,-0.2036184724763251
257,5.028115392512871,5.175333009105383,-0.17904111241302922
258,4.969632500082167,5.157197933810266,-0.17477341135698793
259,4.748610740010207,4.887513603499389,-0.1442199807757417
260,5.379063566678628,5.634589738893789,-0.20320514976760856
261,4.993517991060682,5.203918557581723,-0.16541052331344686
262,5.350854059862111,5.490734583969375,-0.15887965702258303
263,4.957915537427582,5.096971392773202,-0.15073649531504785
264,5.16231673727132,5.344859073436228,-0.16427594920669983
265,5.1351804996860935,5.31855358919581,-0.15103352340446446
266,5.037807927349121,5.166783320464227,-0.18136893746985872
267,5.482102671483938,5.673418980207553,-0.16656895080162365
