case_mangaid,case_plateifu,control_mangaid,control_plateifu,match_rank,standardized_distance
1-236144,8980-12703,1-135133,8603-12703,3,0.634173881011569
1-236144,8980-12703,1-22662,7992-6104,4,0.6403914591128423
1-236144,8980-12703,1-615921,8990-9102,5,0.668341669667732
1-318513,9048-6101,1-319663,11017-1901,1,0.5417442198357969
1-318513,9048-6101,1-208313,8592-6104,2,0.6071149984938423
1-318513,9048-6101,1-52600,8158-1902,3,0.6362879108264892
1-318513,9048-6101,1-245238,11012-1901,4,0.7013951643708842
1-318513,9048-6101,1-458272,8952-1902,5,0.7598902593348905
1-418023,8446-1901,1-351702,8720-1902,1,0.5343961269595406
1-418023,8446-1901,1-131060,8589-6103,2,0.5600047283838516
1-418023,8446-1901,1-548191,8719-1901,3,0.618170589641624
1-418023,8446-1901,1-457149,9880-3703,4,0.6198986627190263
1-418023,8446-1901,1-457197,9877-6102,5,0.6300395794879963
1-248410,8979-3701,1-456557,9877-3704,1,0.522662207666623
1-248410,8979-3701,1-456909,9873-6102,2,0.6379134107258807
1-248410,8979-3701,1-419236,8442-1902,3,0.6401685843858438
1-248410,8979-3701,1-456980,9862-3703,4,0.6813884826394175
1-248410,8979-3701,1-42247,9514-1902,5,0.695246177852322
1-457547,8982-1902,1-117086,12084-1901,1,0.5086875107775197
1-457547,8982-1902,1-199449,9037-3702,2,0.5111897013235088
1-457547,8982-1902,1-183465,10520-1901,3,0.5375562261834813
1-457547,8982-1902,1-82967,11835-3703,4,0.5423741197960502
1-457547,8982-1902,1-456645,11009-12703,5,0.5576571717839982
1-635590,8615-3702,1-269951,11868-6103,1,0.5025827498845075
1-635590,8615-3702,1-107844,12696-3702,2,0.5159457713342437
1-635590,8615-3702,1-259117,8317-3702,3,0.6430817771584559
1-635590,8615-3702,1-35650,10223-3701,4,0.661549380883497
1-635590,8615-3702,1-631803,8593-6103,5,0.6883673886930309
1-234115,8465-1901,1-458209,8952-3704,1,0.5016954299199627
1-234115,8465-1901,1-66669,12514-3702,2,0.648367792539836
1-234115,8465-1901,1-26550,8652-3704,3,0.6612310749454288
1-234115,8465-1901,1-637021,12071-3703,4,0.675551908866908
1-234115,8465-1901,1-488532,8449-1901,5,0.6984703877890599
1-298940,9508-6102,1-638033,8655-6104,1,0.7326110570080396
1-298940,9508-6102,1-547086,7958-6101,2,0.7402337593144276
1-298940,9508-6102,1-51120,9188-6103,3,0.8376384149854746
1-298940,9508-6102,1-373011,9002-6103,4,0.8466198651968257
1-298940,9508-6102,1-210971,8604-9102,5,0.8612610028168132
1-149172,8997-3702,1-209729,8549-1901,1,0.4907733092639604
1-149172,8997-3702,1-122151,9183-6102,2,0.49602909690866936
1-149172,8997-3702,1-261032,8336-1901,3,0.6950703891351234
1-149172,8997-3702,1-153247,9184-3703,4,0.7598605477764052
1-149172,8997-3702,1-42708,8097-1902,5,0.777007641524281
1-167555,8453-3703,1-457072,11004-6103,1,0.49022793586581404
1-167555,8453-3703,1-385108,9502-3704,2,0.5766784972393793
1-167555,8453-3703,1-338600,8566-3702,3,0.7194221283134272
1-167555,8453-3703,1-246565,9865-6103,4,0.7480810730712179
1-167555,8453-3703,1-375609,9889-1901,5,0.7496295589454471
1-42660,9195-3704,1-316023,9044-6101,1,0.47063474910408637
1-42660,9195-3704,1-258315,8261-6102,2,0.4727070321662549
1-42660,9195-3704,1-457872,9881-3702,3,0.5063041572023509
1-42660,9195-3704,1-523004,8320-6101,4,0.5183435453742616
1-42660,9195-3704,1-159357,12510-9101,5,0.5540365740763693
1-45016,8718-6103,1-605387,11754-3702,1,0.46913668501918987
1-45016,8718-6103,1-325063,11975-9102,2,0.4859155123461665
1-45016,8718-6103,1-231694,10500-9101,3,0.4938001624872115
1-45016,8718-6103,1-376341,9087-3703,4,0.5480962966992798
1-45016,8718-6103,1-27571,12069-9102,5,0.5899380413866934
1-339061,8138-6102,1-54894,11759-9102,1,0.46400941653511196
1-339061,8138-6102,1-233531,11760-6103,2,0.5219483587270154
1-339061,8138-6102,1-121209,8139-6101,3,0.5294396000326997
1-339061,8138-6102,1-600853,8656-6101,4,0.5459239156549143
1-339061,8138-6102,1-216520,8440-3701,5,0.5505378940652511
1-297822,9492-1902,1-94228,8483-1902,1,0.4639439196183861
1-297822,9492-1902,1-39570,8569-1902,2,0.5122603077129495
1-297822,9492-1902,1-47272,8724-3701,3,0.5619602853233063
1-297822,9492-1902,1-257999,8259-3701,4,0.570571707351037
1-297822,9492-1902,1-45175,9487-1902,5,0.5715100404792911
1-113520,7815-1901,1-131378,8589-3704,1,0.6051363336230523
1-113520,7815-1901,1-195079,11863-3701,2,0.651496547160959
1-113520,7815-1901,1-213603,9511-1901,3,0.661922990986222
1-113520,7815-1901,1-456565,9877-6103,4,0.7333413558885881
1-113520,7815-1901,1-34149,12075-12703,5,0.7549617068013728
12-84617,7443-3704,1-272055,9025-1901,1,0.4556263061252316
12-84617,7443-3704,1-198036,9033-1901,2,0.59421268024789
12-84617,7443-3704,1-386459,12488-1902,3,0.6368509801542231
12-84617,7443-3704,1-322172,9872-3702,4,0.6477328715193207
12-84617,7443-3704,1-397462,11750-3702,5,0.6773516467464133
1-115097,7977-3701,1-481320,8248-3701,1,0.45459187129379924
1-115097,7977-3701,1-548653,10496-3702,2,0.47454000401152735
1-115097,7977-3701,1-415931,12621-6103,3,0.4922250160381726
1-115097,7977-3701,1-605069,10492-6103,4,0.5005996630887914
1-115097,7977-3701,1-122138,10215-3703,5,0.5282021063194035
1-275185,8455-6104,1-274570,8253-6102,1,0.45064003733764285
1-275185,8455-6104,1-576439,9033-12702,2,0.6452431510190457
1-275185,8455-6104,1-178927,7963-9101,3,0.6564634969380616
1-275185,8455-6104,1-314059,9024-6101,4,0.6863717858589274
1-275185,8455-6104,1-29726,8655-3702,5,0.7095305943005756
1-188177,8991-6103,1-488526,8449-3701,1,0.44665353264457286
1-188177,8991-6103,1-177495,7959-3703,2,0.49296662817410297
1-188177,8991-6103,1-173625,8998-3702,3,0.5004309305906863
1-188177,8991-6103,1-603674,10226-6104,4,0.5062102811460416
1-188177,8991-6103,1-456704,9863-3703,5,0.530524792307136
1-386322,9506-3703,1-148652,8999-12702,1,0.4640200164262771
1-386322,9506-3703,1-390521,8150-1902,2,0.5558613878712025
1-386322,9506-3703,1-209722,9031-1901,3,0.5744984926121918
1-386322,9506-3703,1-456372,9862-6101,4,0.5775050473092784
1-386322,9506-3703,1-351790,8720-1901,5,0.5789694746173989
1-593328,9868-12704,1-209537,8486-12701,1,0.4385025793301716
1-593328,9868-12704,1-567187,8252-12702,2,0.6004223704725871
1-593328,9868-12704,1-317809,9089-6104,3,0.6136852726473001
1-593328,9868-12704,1-174945,10507-6104,4,0.6249316747383719
1-593328,9868-12704,1-108765,12079-9102,5,0.6280477332256788
1-38347,8083-1902,1-218324,8942-3701,1,0.43187658211749796
1-38347,8083-1902,1-39615,8091-9101,2,0.4343757082255319
1-38347,8083-1902,1-245301,11012-6104,3,0.46052606563664666
1-38347,8083-1902,1-144470,11958-6101,4,0.5032169764486321
1-38347,8083-1902,1-591979,12621-3703,5,0.519821310103116
1-94690,9026-3704,1-95825,8612-1902,1,0.42605774161931487
1-94690,9026-3704,1-135491,9869-6101,2,0.5303368852198959
1-94690,9026-3704,1-135583,9869-6104,3,0.5342212419935507
1-94690,9026-3704,1-523108,8320-3702,4,0.5383142617620982
1-94690,9026-3704,1-556501,8145-1902,5,0.5478887978468743
1-113698,8618-1901,1-133936,8564-1902,1,0.42196911467160264
1-113698,8618-1901,1-39799,8091-1901,2,0.6090139066669926
1-113698,8618-1901,1-179724,7965-3703,3,0.6528031182334262
1-113698,8618-1901,1-51008,9188-3701,4,0.6796256759810113
1-113698,8618-1901,1-295155,9049-3704,5,0.6961519437653422
1-37494,8154-3703,1-91923,8546-3704,1,0.42103060603504683
1-37494,8154-3703,1-43856,8713-3703,2,0.49167272557205555
1-37494,8154-3703,1-178183,9186-6104,3,0.5154883001330994
1-37494,8154-3703,1-32603,12073-3703,4,0.5222659526197265
1-37494,8154-3703,1-108696,12081-1902,5,0.5442298653699608
1-323766,9027-1902,1-153127,10220-1901,1,0.4470090560366349
1-323766,9027-1902,1-456322,8951-1902,2,0.6382974817314058
1-323766,9027-1902,1-412833,9488-1901,3,0.6392809401733937
1-323766,9027-1902,1-261030,8336-1902,4,0.7259615584922666
1-323766,9027-1902,1-121992,9183-1902,5,0.7532392701027347
1-314719,9045-12701,1-188749,8991-3702,1,0.39603287606811916
1-314719,9045-12701,1-73,12512-12704,2,0.44896652619259486
1-314719,9045-12701,1-558175,8461-12701,3,0.4858098622024612
1-314719,9045-12701,1-196929,8309-12704,4,0.508084725543658
1-314719,9045-12701,1-260809,8447-12704,5,0.5738364661301475
1-556514,8146-3704,1-109924,12685-6104,1,0.3933102712599082
1-556514,8146-3704,1-418090,8446-6103,2,0.41589039254618043
1-556514,8146-3704,1-265758,9088-3704,3,0.4480165762758091
1-556514,8146-3704,1-576076,11956-6101,4,0.46666931414173235
1-556514,8146-3704,1-522651,9878-6102,5,0.4882396234912174
1-166613,8461-3701,1-197017,8309-3704,1,0.3901819665723755
1-166613,8461-3701,1-197166,9864-3701,2,0.4439454353860288
1-166613,8461-3701,1-197166,11827-3703,3,0.45903007022100345
1-166613,8461-3701,1-36266,10224-6102,4,0.5047586387488845
1-166613,8461-3701,1-281886,8260-6102,5,0.5928339642600379
1-248869,8604-6103,1-364559,11969-6102,1,0.37854538853457925
1-248869,8604-6103,1-285004,8465-12705,2,0.4773163093566553
1-248869,8604-6103,1-155975,8439-6102,3,0.48471576309283604
1-248869,8604-6103,1-252477,8441-9102,4,0.4856936786716141
1-248869,8604-6103,1-218152,8941-9102,5,0.49961150098798496
1-246175,8547-6104,1-258795,8464-6103,1,0.3625888147241934
1-246175,8547-6104,1-38380,8083-12701,2,0.5990946247889167
1-246175,8547-6104,1-382818,9491-6102,3,0.6054751134504183
1-246175,8547-6104,1-118184,8622-6101,4,0.6447979610555631
1-246175,8547-6104,1-37201,8079-6103,5,0.6616613183636488
1-167044,8459-6104,1-481051,8248-9102,1,0.3613377043771939
1-167044,8459-6104,1-296316,9048-3702,2,0.4371739192244636
1-167044,8459-6104,1-27950,12069-9101,3,0.7565433476014579
1-167044,8459-6104,1-217617,8726-3701,4,0.829032498221149
1-167044,8459-6104,1-262904,9039-3704,5,0.8425677267849206
1-135244,9029-3703,1-269099,9030-3704,1,0.35846973916953934
1-135244,9029-3703,1-106520,12070-9102,2,0.362955689144345
1-135244,9029-3703,1-264054,9041-3703,3,0.38502672703386864
1-135244,9029-3703,1-51970,8728-3702,4,0.4437153578711273
1-135244,9029-3703,1-456337,8932-6101,5,0.4481421461498948
1-121871,9485-3703,1-96081,11945-3703,1,0.5157971231972629
1-121871,9485-3703,1-229879,9503-3704,2,0.5336011377951712
1-121871,9485-3703,1-217557,8726-3704,3,0.5374094405289811
1-121871,9485-3703,1-276544,8254-3701,4,0.5679636808685947
1-121871,9485-3703,1-42688,8097-1901,5,0.6206125726789192
1-137890,8249-1901,1-109206,9192-1902,1,0.340844029228404
1-137890,8249-1901,1-456420,11871-1902,2,0.5492133355565939
1-137890,8249-1901,1-591068,8931-1902,3,0.5664026765271127
1-137890,8249-1901,1-38298,8085-1901,4,0.5821174442220368
1-137890,8249-1901,1-244115,11020-1901,5,0.585880837582043
1-633000,9872-3701,1-38374,8082-3704,1,0.33892560077878264
1-633000,9872-3701,1-402436,8330-3704,2,0.34420283247250366
1-633000,9872-3701,1-179096,7963-1902,3,0.42729277413431205
1-633000,9872-3701,1-456509,11015-1901,4,0.4659692052536449
1-633000,9872-3701,1-43541,8713-1901,5,0.49154932674819435
1-37155,8154-6103,1-149147,8947-12704,1,0.3359391488500662
1-37155,8154-6103,1-584896,11742-3703,2,0.3617654062137378
1-37155,8154-6103,1-593972,9042-3703,3,0.3729032493900777
1-37155,8154-6103,1-314676,9045-9102,4,0.45900617005668687
1-37155,8154-6103,1-213435,9511-3701,5,0.4869071525134859
1-136248,8606-3702,1-456404,8951-12702,1,0.3344519863907673
1-136248,8606-3702,1-404032,8981-12703,2,0.3363194563660068
1-136248,8606-3702,1-258849,11953-6101,3,0.4160717843676792
1-136248,8606-3702,1-604912,9499-6104,4,0.4501673215236501
1-136248,8606-3702,1-626669,8984-9102,5,0.45586132198274504
1-47248,8243-6104,1-42468,8095-6104,1,0.3307471659593474
1-47248,8243-6104,1-419013,8442-12702,2,0.4117537114762441
1-47248,8243-6104,1-45606,9487-12705,3,0.41674014420873556
1-47248,8243-6104,1-35816,10223-6103,4,0.42485762776061
1-47248,8243-6104,1-407685,12485-6104,5,0.4675761514130352
1-44483,8143-3702,1-409240,8445-3704,1,0.32441203486778586
1-44483,8143-3702,1-575151,11006-12703,2,0.4361313839330962
1-44483,8143-3702,1-404279,8935-3702,3,0.44994572338468863
1-44483,8143-3702,1-195690,11021-3702,4,0.5311153377850347
1-44483,8143-3702,1-210752,8603-6102,5,0.5382824843367389
1-269227,9028-1901,1-568611,9882-1902,1,0.3226785666002507
1-269227,9028-1901,1-37478,8154-1902,2,0.3344932340519858
1-269227,9028-1901,1-320681,8326-1901,3,0.3559769473459632
1-269227,9028-1901,1-320681,11827-3704,4,0.3706459995409871
1-269227,9028-1901,1-83455,11824-1902,5,0.5127403875452056
1-251198,8332-3704,1-51336,9189-6104,1,0.3219589871222583
1-251198,8332-3704,1-318463,9095-6104,2,0.45911947839714695
1-251198,8332-3704,1-210447,8600-6102,3,0.47250814220225995
1-251198,8332-3704,1-257627,8259-6102,4,0.5205803147997089
1-251198,8332-3704,1-325918,9893-6102,5,0.5628090908049529
1-251783,8335-1901,1-422898,8443-1901,1,0.314477406798767
1-251783,8335-1901,1-217876,9499-3702,2,0.4182974170029578
1-251783,8335-1901,1-395593,8984-3701,3,0.43174223510328724
1-251783,8335-1901,1-37062,8077-3702,4,0.47265991204637936
1-251783,8335-1901,1-280716,10507-3703,5,0.48891641711706074
1-255220,8253-1902,1-232157,10504-6103,1,0.3139325511094399
1-255220,8253-1902,1-232054,10504-12702,2,0.6018076058858082
1-255220,8253-1902,1-456758,9873-12701,3,0.6315600559340002
1-255220,8253-1902,1-199287,9872-3703,4,0.6783808237205041
1-255220,8253-1902,1-277944,8466-1901,5,0.7521585475574531
1-179561,8615-1902,1-23731,8611-1901,1,0.42426275464949065
1-179561,8615-1902,1-604037,8082-1902,2,0.43147018725619274
1-179561,8615-1902,1-210611,8600-1902,3,0.5382091875161805
1-179561,8615-1902,1-456589,9863-12702,4,0.5561463990433189
1-179561,8615-1902,1-210611,8979-3703,5,0.5567816247916307
1-323764,9027-3703,1-44974,9487-3704,1,0.2972353283067635
1-323764,9027-3703,1-633582,9093-3702,2,0.3883175822513311
1-323764,9027-3703,1-318069,9089-3703,3,0.42314886742831626
1-323764,9027-3703,1-209198,8485-3702,4,0.4303537172520048
1-323764,9027-3703,1-298845,9508-3703,5,0.4371444827766253
1-419257,8444-3701,1-585149,11747-3701,1,0.35062896409673106
1-419257,8444-3701,1-217400,8461-6103,2,0.3622655020075851
1-419257,8444-3701,1-135060,12673-3702,3,0.3825613089980621
1-419257,8444-3701,1-279532,8946-6102,4,0.38886265168653134
1-419257,8444-3701,1-458459,8952-3701,5,0.419325745253951
1-274545,8455-3704,1-403613,9879-3702,1,0.2865463162673291
1-274545,8455-3704,1-404231,8931-3703,2,0.41852428968514954
1-274545,8455-3704,1-37974,8080-3703,3,0.503372181060124
1-274545,8455-3704,1-35957,10223-1902,4,0.5181056910082645
1-274545,8455-3704,1-233571,11760-1901,5,0.5216326916219586
1-299176,9507-6103,1-407487,11826-6101,1,0.28016950992818296
1-299176,9507-6103,1-556821,9488-6104,2,0.3408561346849283
1-299176,9507-6103,1-236106,8980-6102,3,0.36408514908689127
1-299176,9507-6103,1-195175,11863-9101,4,0.3873150667780063
1-299176,9507-6103,1-402683,12484-9102,5,0.4794593035172113
1-163594,8726-1901,1-273933,8568-1901,1,0.23672908594477932
1-163594,8726-1901,1-40936,8093-6103,2,0.4117425231958636
1-163594,8726-1901,1-96483,9187-6101,3,0.4908831683858196
1-163594,8726-1901,1-32701,12696-6101,4,0.5461770659650785
1-163594,8726-1901,1-634404,11981-6102,5,0.556963307866096
