case,domain,scenario,Lc_kpc,q,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,geometry_weighted_mean,cancellation_weighted_mean,trace_length_weighted_mean_kpc
DDO126,sealed_galaxy_baryons_only,nominal,100.0,2.0,2.2111072350176848e-06,4.841980649606882e-07,5.765318432971976e-06,0.0001385718947334074,3.37119138389492,1000,2.266821321661607e-06,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,high,3.0,0.5,0.005839037053392197,0.0016372114789154583,0.018093241643689344,0.1082048087489017,3.3011811530953197,950,0.006031459385361653,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,3.0,1.0,0.00401138118803206,0.0012778706652371572,0.011272457069155724,0.09231464417955887,3.3011811530953197,950,0.004142961036082284,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,3.0,2.0,0.0022086541248365005,0.0005940324861320237,0.0057428788511061455,0.08107148053166988,3.3011811530953197,950,0.0022799534115436736,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,10.0,0.5,0.003651533288489367,0.0010444353077160157,0.011677887476849906,0.06912045950035786,3.3011811530953197,950,0.003771778201457463,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,10.0,1.0,0.0014461000763159588,0.00045463426389367583,0.003923983241768899,0.03602110517599147,3.3011811530953197,950,0.0014933955823928542,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,10.0,2.0,0.00028660796210278397,6.478618480304315e-05,0.000692838049139668,0.014426132816227916,3.3011811530953197,950,0.000295820432922475,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,30.0,0.5,0.0022649312986915233,0.0006582052788331552,0.0071714945574522125,0.043335279325347593,3.3011811530953197,950,0.0023394819314301093,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,30.0,1.0,0.0005118195181520086,0.00016135989602362847,0.001418015317510423,0.013009127692209807,3.3011811530953197,950,0.0005285431721574634,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,30.0,2.0,3.3704846038782964e-05,7.304073879384017e-06,7.96759611975577e-05,0.0018835995470931424,3.3011811530953197,950,3.478915281242754e-05,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,100.0,0.5,0.0012985484450645543,0.0003794145054588783,0.0040741177031518305,0.025007192341886517,3.3011811530953197,950,0.001341277470991077,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,100.0,1.0,0.0001569583507285416,4.9489885430654835e-05,0.0004383646584330726,0.0040159280138975075,3.3011811530953197,950,0.0001620852433682154,0.013895867099121124,1.6364318439419223
DDO126,sealed_galaxy_baryons_only,high,100.0,2.0,3.0548248792617113e-06,6.584616596098426e-07,7.179737997583931e-06,0.00017276620119803835,3.3011811530953197,950,3.1531146259004896e-06,0.013895867099121124,1.6364318439419223
DDO133,sealed_galaxy_baryons_only,low,3.0,0.5,0.006516327428699639,0.0018997442728107762,0.026632456717104434,0.25279058359438744,4.849337774257565,1294,0.006649883526854596,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,3.0,1.0,0.004524353043820732,0.0015627089143177015,0.01675883686095011,0.1340859168175904,4.849337774257565,1294,0.004625078718200637,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,3.0,2.0,0.0026384931761516814,0.0009916943528082204,0.007339280504505773,0.07440221953849888,4.849337774257565,1294,0.002703776273253276,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,10.0,0.5,0.004086545088522364,0.001228990528735209,0.016645040186684508,0.14804620665818166,4.849337774257565,1294,0.0041713394678868886,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,10.0,1.0,0.0016619242037895715,0.0005940903104561885,0.00599816364622413,0.04564187392444956,4.849337774257565,1294,0.0016998691887738257,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,10.0,2.0,0.0003751651007060291,0.00011280780813329462,0.000960041136592466,0.01356704622514374,4.849337774257565,1294,0.0003848964777292286,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,30.0,0.5,0.002539711453362188,0.0007786714742507621,0.010327481645560245,0.08850964475061868,4.849337774257565,1294,0.002592775052624649,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,30.0,1.0,0.0005936296699782673,0.0002110866315728624,0.0021223647022768073,0.01578979274599807,4.849337774257565,1294,0.0006073076351766481,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,30.0,2.0,4.662078310209763e-05,1.3008011636325192e-05,0.00011048087004736079,0.0030121658684327405,4.849337774257565,1294,4.7845446540726454e-05,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,100.0,0.5,0.00145815904871196,0.00045748566407055374,0.005807294910777967,0.049545674518329225,4.849337774257565,1294,0.0014887622901994088,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,100.0,1.0,0.0001827730481140111,6.513556778873318e-05,0.0006452858196444859,0.004799467562024513,4.849337774257565,1294,0.0001869991569642124,0.015374341193921188,2.3710858969518753
DDO133,sealed_galaxy_baryons_only,low,100.0,2.0,4.26617793528248e-06,1.1717590091977134e-06,1.000407889543635e-05,0.0002974924450265765,4.849337774257565,1294,4.378457858088046e-06,0.015374341193921188,2.3710858969518753
