cluster,family_id,image_id,ra_deg,dec_deg,secure_image,selection_basis,spectroscopic_redshift,spectroscopic_quality,adopted_catalog_redshift,adopted_redshift_kind,source_catalog,clump_id,counterimage_id
MACS0159,2,2.2,29.95137083333333,-8.83315,True,published_non_candidate_system,,,1.55,lens_model,Cibirka_et_al_2018_table,,
MACS0159,2,2.3,29.95498333333333,-8.832747222222222,True,published_non_candidate_system,,,1.55,lens_model,Cibirka_et_al_2018_table,,
MACS0159,3,3.1,29.957691666666662,-8.82808611111111,True,published_non_candidate_system,,,2.63,lens_model,Cibirka_et_al_2018_table,,
MACS0159,3,3.2,29.957841666666663,-8.843819444444446,True,published_non_candidate_system,,,2.63,lens_model,Cibirka_et_al_2018_table,,
MACS0159,4,4.1,29.954166666666662,-8.837119444444445,True,published_non_candidate_system,,,1.46,lens_model,Cibirka_et_al_2018_table,,
MACS0159,4,4.2,29.953266666666664,-8.82408611111111,True,published_non_candidate_system,,,1.46,lens_model,Cibirka_et_al_2018_table,,
MACS0159,5,c5.1,29.962129166666664,-8.833069444444444,False,catalog_candidate,,,1.4,lens_model,Cibirka_et_al_2018_table,,
MACS0159,5,c5.2,29.96200833333333,-8.832019444444445,False,catalog_candidate,,,1.4,lens_model,Cibirka_et_al_2018_table,,
MACS0159,6,c6.1,29.956429166666663,-8.835733333333334,False,catalog_candidate,,,2.3,lens_model,Cibirka_et_al_2018_table,,
MACS0159,6,c6.2,29.954695833333332,-8.82048611111111,False,catalog_candidate,,,2.3,lens_model,Cibirka_et_al_2018_table,,
PLCKG287,1,1.1a,177.706004,-28.083871,True,published_golden_sample,3.7683,3,3.7683,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,1,1.1b,177.704368,-28.084629,True,published_golden_sample,3.7682,3,3.7682,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,1,c1.1c,177.703715,-28.085034,False,catalog_candidate,3.7674,9,3.7674,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,10,10.1a,177.687232,-28.083996,False,not_in_golden_sample,1.4086,9,1.4086,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,10,10.1b,177.687444,-28.085122,False,not_in_golden_sample,1.4089,9,1.4089,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,10,10.1c,177.687178,-28.084416,False,not_in_golden_sample,1.409,9,1.409,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,10,10.2a,177.687251,-28.083639,False,not_in_golden_sample,1.4082,9,1.4082,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,a
PLCKG287,11,11.1a,177.683756,-28.085735,False,not_in_golden_sample,1.3285,3,1.3285,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,11,11.1b,177.684154,-28.08823,False,not_in_golden_sample,1.3285,3,1.3285,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,11,c11.2a,177.683683,-28.085928,False,catalog_candidate,1.3285,3,1.3285,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,a
PLCKG287,11,c11.2b,177.683574,-28.08625,False,catalog_candidate,1.3285,3,1.3285,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,b
PLCKG287,11,c11.2c,177.684137,-28.088157,False,catalog_candidate,1.3285,3,1.3285,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,c
PLCKG287,12,c12.1a,177.68208,-28.088521,False,catalog_candidate,3.0788,9,3.0788,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,12,c12.1b,177.681636,-28.087153,False,catalog_candidate,3.0783,9,3.0783,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,12,c12.1c,177.681645,-28.087046,False,catalog_candidate,3.079,9,3.079,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,17,c17.1a,177.688882,-28.08571,False,catalog_candidate,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,a
PLCKG287,17,c17.1b,177.688868,-28.082936,False,catalog_candidate,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,b
PLCKG287,18,18.1a,177.688642,-28.087616,False,not_in_golden_sample,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,a
PLCKG287,18,18.1b,177.688864,-28.086393,False,not_in_golden_sample,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,b
PLCKG287,18,18.1c,177.68852,-28.089252,False,not_in_golden_sample,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,c
PLCKG287,19,c19.1a,177.704979,-28.070715,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,a
PLCKG287,19,c19.1b,177.719911,-28.071531,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,b
PLCKG287,19,c19.1c,177.716371,-28.087834,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,c
PLCKG287,19,c19.1d,177.692392,-28.095774,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,d
PLCKG287,19,c19.1e,177.710144,-28.081613,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,e
PLCKG287,2,2.1a,177.725819,-28.097759,True,published_golden_sample,1.7208,9,1.7208,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,2,2.1b,177.725224,-28.098331,True,published_golden_sample,1.7202,9,1.7202,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,2,2.1c,177.72016,-28.100868,True,published_golden_sample,1.7202,9,1.7202,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,2,2.1d,177.720338,-28.101059,False,not_in_golden_sample,1.7202,9,1.7202,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,2,2.2a,177.725749,-28.097836,True,published_golden_sample,1.7203,9,1.7203,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,a
PLCKG287,2,2.2b,177.725292,-28.098274,True,published_golden_sample,1.7212,9,1.7212,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,b
PLCKG287,2,2.3a,177.725632,-28.097957,True,published_golden_sample,1.7212,9,1.7212,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,3,a
PLCKG287,2,2.3b,177.725369,-28.098202,True,published_golden_sample,1.7214,9,1.7214,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,3,b
PLCKG287,2,2.3c,177.72,-28.100936,False,not_in_golden_sample,1.7214,9,1.7214,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,3,c
PLCKG287,2,2.4a,177.72601,-28.097574,True,published_golden_sample,1.7218,9,1.7218,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,4,a
PLCKG287,2,2.4b,177.725029,-28.098511,True,published_golden_sample,1.7217,9,1.7217,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,4,b
PLCKG287,2,c2.4c,177.720285,-28.100823,False,catalog_candidate,1.7202,9,1.7202,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,4,c
PLCKG287,22,22.1a,177.7066,-28.080834,False,not_in_golden_sample,2.9314,9,2.9314,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,22,22.1b,177.707776,-28.093904,False,not_in_golden_sample,2.9319,9,2.9319,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,22,22.1c,177.71128,-28.092231,False,not_in_golden_sample,2.9324,9,2.9324,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,22,c22.1d,177.706952,-28.081099,False,catalog_candidate,2.9318,9,2.9318,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,22,c22.1e,177.70712,-28.081205,False,catalog_candidate,2.9315,9,2.9315,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,e
PLCKG287,24,24.1a,177.708234,-28.068131,False,not_in_golden_sample,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,a
PLCKG287,24,24.1b,177.707202,-28.068356,False,not_in_golden_sample,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,b
PLCKG287,3,3.1a,177.714764,-28.094286,False,not_in_golden_sample,,2,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,a
PLCKG287,3,3.1b,177.713288,-28.095046,False,not_in_golden_sample,,2,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,b
PLCKG287,3,3.2a,177.714211,-28.09449,False,not_in_golden_sample,,2,,missing_or_low_quality,DAddona_et_al_2024_table_C1,2,a
PLCKG287,3,3.2b,177.713602,-28.094838,False,not_in_golden_sample,,2,,missing_or_low_quality,DAddona_et_al_2024_table_C1,2,b
PLCKG287,35,35.1a,177.683655,-28.086288,False,not_in_golden_sample,5.4668,9,5.4668,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,35,35.1b,177.685343,-28.086344,False,not_in_golden_sample,5.4668,9,5.4668,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,35,35.1d,177.684562,-28.083811,False,not_in_golden_sample,5.4674,9,5.4674,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,35,35.1e,177.684989,-28.090178,False,not_in_golden_sample,5.4674,9,5.4674,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,e
PLCKG287,36,36.1a,177.722041,-28.089894,True,published_golden_sample,5.3909,9,5.3909,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,36,36.1b,177.724225,-28.087337,True,published_golden_sample,5.3908,9,5.3908,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,37,37.1a,177.700859,-28.077746,False,not_in_golden_sample,5.1845,9,5.1845,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,37,37.1b,177.70334,-28.079802,True,published_golden_sample,5.1837,9,5.1837,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,37,37.1c,177.704536,-28.080302,True,published_golden_sample,5.1841,9,5.1841,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,37,37.1d,177.711262,-28.093413,False,not_in_golden_sample,5.1849,9,5.1849,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,38,38.1a,177.723389,-28.083001,False,not_in_golden_sample,3.5676,9,3.5676,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,38,38.1b,177.719775,-28.087457,False,not_in_golden_sample,3.5668,9,3.5668,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,38,38.1c,177.708302,-28.076168,False,not_in_golden_sample,3.5673,9,3.5673,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,38,38.1d,177.709763,-28.079191,False,not_in_golden_sample,3.5655,9,3.5655,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,39,39.1a,177.708959,-28.072933,False,not_in_golden_sample,2.9307,9,2.9307,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,39,39.1b,177.709188,-28.073991,True,published_golden_sample,2.9306,9,2.9306,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,39,39.1c,177.712548,-28.080261,True,published_golden_sample,2.9304,9,2.9304,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,39,39.1d,177.71902,-28.085013,True,published_golden_sample,2.9307,9,2.9307,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,39,39.1e,177.693874,-28.095483,True,published_golden_sample,2.9304,9,2.9304,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,e
PLCKG287,4,c4.1a,177.71183,-28.095206,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,a
PLCKG287,4,c4.1b,177.713602,-28.094838,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,b
PLCKG287,4,c4.1c,177.726896,-28.084586,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,c
PLCKG287,40,40.1a,177.699091,-28.074582,True,published_golden_sample,4.3338,9,4.3338,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,40,40.1b,177.694202,-28.082417,True,published_golden_sample,4.3337,9,4.3337,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,40,40.1c,177.69493,-28.088288,True,published_golden_sample,4.3334,9,4.3334,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,40,40.1d,177.696372,-28.09318,True,published_golden_sample,4.3337,9,4.3337,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,40,40.1e,177.712159,-28.08874,True,published_golden_sample,4.3334,9,4.3334,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,e
PLCKG287,41,41.1a,177.707785,-28.072991,True,published_golden_sample,4.5173,9,4.5173,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,41,41.1b,177.710581,-28.08029,True,published_golden_sample,4.5174,9,4.5174,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,41,41.1c,177.718428,-28.087535,True,published_golden_sample,4.5172,9,4.5172,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,42,42.1a,177.693932,-28.088568,False,not_in_golden_sample,4.8768,9,4.8768,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,42,42.1b,177.693378,-28.082401,False,not_in_golden_sample,4.8772,9,4.8772,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,42,42.1c,177.695115,-28.093046,False,not_in_golden_sample,4.8772,9,4.8772,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,43,43.1a,177.696288,-28.076946,False,not_in_golden_sample,5.975,9,5.975,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,43,43.1b,177.694487,-28.080223,False,not_in_golden_sample,5.9753,9,5.9753,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,43,43.1c,177.69538,-28.090401,False,not_in_golden_sample,5.9757,9,5.9757,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,43,43.1d,177.696614,-28.093101,False,not_in_golden_sample,5.9759,9,5.9759,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,44,44.1a,177.700791,-28.081147,False,not_in_golden_sample,3.4603,9,3.4603,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,44,44.1b,177.697971,-28.0808,False,not_in_golden_sample,3.4605,9,3.4605,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,45,c45.1a,177.707597,-28.093624,False,catalog_candidate,0.6042,3,0.6042,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,45,c45.1b,177.707282,-28.093079,False,catalog_candidate,0.6042,3,0.6042,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,47,47.1a,177.724805,-28.084727,False,not_in_golden_sample,4.1322,9,4.1322,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,47,47.1b,177.724544,-28.085267,False,not_in_golden_sample,4.1323,9,4.1323,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,47,47.1c,177.720898,-28.089268,False,not_in_golden_sample,4.1328,9,4.1328,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,48,48.1a,177.71237,-28.096568,False,not_in_golden_sample,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,a
PLCKG287,48,48.1b,177.711589,-28.096513,False,not_in_golden_sample,,1,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,b
PLCKG287,49,49.1a,177.726103,-28.094379,True,published_golden_sample,4.5206,9,4.5206,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,49,49.1b,177.726185,-28.094352,True,published_golden_sample,4.5206,9,4.5206,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,49,49.1c,177.723498,-28.096351,False,not_in_golden_sample,4.5206,9,4.5206,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,49,49.2a,177.725631,-28.0948,True,published_golden_sample,4.5206,9,4.5206,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,a
PLCKG287,49,49.2b,177.727084,-28.093905,True,published_golden_sample,4.5206,9,4.5206,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,b
PLCKG287,5,5.1a,177.712036,-28.075291,True,published_golden_sample,1.4086,9,1.4086,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,5,5.1b,177.713731,-28.075266,True,published_golden_sample,1.4084,9,1.4084,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,5,5.1d,177.696834,-28.087769,True,published_golden_sample,1.4092,9,1.4092,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,5,5.1e,177.716146,-28.081534,False,not_in_golden_sample,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,e
PLCKG287,5,5.2a,177.711073,-28.07531,True,published_golden_sample,1.408,9,1.408,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,a
PLCKG287,5,5.2b,177.714405,-28.075061,True,published_golden_sample,1.4081,9,1.4081,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,b
PLCKG287,5,5.2d,177.696849,-28.086817,True,published_golden_sample,1.4077,9,1.4077,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,d
PLCKG287,5,5.2e,177.716159,-28.08188,False,not_in_golden_sample,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,2,e
PLCKG287,6,6.1a,177.696968,-28.078101,True,published_golden_sample,4.3466,9,4.3466,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,6,6.1b,177.695746,-28.081557,True,published_golden_sample,4.3462,9,4.3462,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,6,6.1c,177.710695,-28.090079,True,published_golden_sample,4.3466,9,4.3466,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,c
PLCKG287,6,6.1d,177.709095,-28.088902,False,not_in_golden_sample,4.3467,9,4.3467,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,d
PLCKG287,6,6.1e,177.697445,-28.089168,True,published_golden_sample,4.3461,9,4.3461,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,e
PLCKG287,6,6.1f,177.700468,-28.089035,True,published_golden_sample,4.3462,9,4.3462,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,f
PLCKG287,7,7.1a,177.705191,-28.073196,True,published_golden_sample,3.3427,3,3.3427,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
PLCKG287,7,7.1b,177.715403,-28.08803,True,published_golden_sample,3.3421,3,3.3421,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,b
PLCKG287,7,7.2a,177.705257,-28.073134,False,not_in_golden_sample,3.3428,3,3.3428,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,a
PLCKG287,7,7.2b,177.715429,-28.087955,False,not_in_golden_sample,3.3425,9,3.3425,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,2,b
PLCKG287,7,7.3a,177.705142,-28.073276,False,not_in_golden_sample,3.3425,3,3.3425,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,3,a
PLCKG287,7,7.3b,177.715391,-28.088106,False,not_in_golden_sample,3.3416,9,3.3416,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,3,b
PLCKG287,7,c7.1c,177.695622,-28.094872,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,c
PLCKG287,7,c7.1d,177.720293,-28.073184,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,1,d
PLCKG287,7,c7.2c,177.695622,-28.094872,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,2,c
PLCKG287,7,c7.2d,177.720385,-28.073346,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,2,d
PLCKG287,7,c7.3c,177.695828,-28.094919,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,3,c
PLCKG287,7,c7.3d,177.720209,-28.073124,False,catalog_candidate,,,,missing_or_low_quality,DAddona_et_al_2024_table_C1,3,d
PLCKG287,8,8.1a,177.719741,-28.080076,True,published_golden_sample,1.1691,9,1.1691,spectroscopic_QF3_or_QF9,DAddona_et_al_2024_table_C1,1,a
