candidate_id,q_R80,route_fraction,gate_power,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s
q0.5__f0.2__n0__RAR,0.5,0.2,0.0,3,106,25,9.67361284725281,14.030261402330883
q0.5__f0.2__n0__RAR,0.5,0.2,0.0,4,104,27,10.365463352750126,11.653171189150786
q0.5__f0.2__n1__RAR,0.5,0.2,1.0,0,109,22,11.147239991039275,7.914344107054497
q0.5__f0.2__n1__RAR,0.5,0.2,1.0,1,97,34,10.895916143371153,10.009582497320459
q0.5__f0.2__n1__RAR,0.5,0.2,1.0,2,108,23,11.143229840695069,8.107767119341412
q0.5__f0.2__n1__RAR,0.5,0.2,1.0,3,106,25,9.713108311269277,14.031309232835737
q0.5__f0.2__n1__RAR,0.5,0.2,1.0,4,104,27,10.386009517379485,11.712701194666991
q0.5__f0.2__n2__RAR,0.5,0.2,2.0,0,109,22,11.135400719677847,7.880115156420662
q0.5__f0.2__n2__RAR,0.5,0.2,2.0,1,97,34,10.877660075986144,10.006509031790173
q0.5__f0.2__n2__RAR,0.5,0.2,2.0,2,108,23,11.127779740143959,8.098410844430113
q0.5__f0.2__n2__RAR,0.5,0.2,2.0,3,106,25,9.696648703306364,14.021635289524577
q0.5__f0.2__n2__RAR,0.5,0.2,2.0,4,104,27,10.374774628214032,11.68675625215715
q0.5__f0.2__n4__RAR,0.5,0.2,4.0,0,109,22,11.126853638016737,7.870994721221764
q0.5__f0.2__n4__RAR,0.5,0.2,4.0,1,97,34,10.873059495067142,9.985626875042035
q0.5__f0.2__n4__RAR,0.5,0.2,4.0,2,108,23,11.119056371957573,8.090511167424498
q0.5__f0.2__n4__RAR,0.5,0.2,4.0,3,106,25,9.68278030427831,14.028178014748383
q0.5__f0.2__n4__RAR,0.5,0.2,4.0,4,104,27,10.367492911927396,11.673767274046739
q0.5__f0.2__n6__RAR,0.5,0.2,6.0,0,109,22,11.120718089441224,7.871815911743508
q0.5__f0.2__n6__RAR,0.5,0.2,6.0,1,97,34,10.87112642028212,9.970126423665892
q0.5__f0.2__n6__RAR,0.5,0.2,6.0,2,108,23,11.113363351140162,8.088026171655994
q0.5__f0.2__n6__RAR,0.5,0.2,6.0,3,106,25,9.674748222172854,14.030867786636685
q0.5__f0.2__n6__RAR,0.5,0.2,6.0,4,104,27,10.363193058143263,11.665318952147581
q0.5__f0.2__n8__RAR,0.5,0.2,8.0,0,109,22,11.116487101724903,7.873630351511346
q0.5__f0.2__n8__RAR,0.5,0.2,8.0,1,97,34,10.869688650452211,9.960394487806374
q0.5__f0.2__n8__RAR,0.5,0.2,8.0,2,108,23,11.109463069623576,8.087311582646544
q0.5__f0.2__n8__RAR,0.5,0.2,8.0,3,106,25,9.66983320018096,14.03151149242038
q0.5__f0.2__n8__RAR,0.5,0.2,8.0,4,104,27,10.360511041241121,11.659211373472884
q0.5__f0.25__n0__RAR,0.5,0.25,0.0,0,109,22,11.057383103427595,7.944301662918769
q0.5__f0.25__n0__RAR,0.5,0.25,0.0,1,97,34,10.833062926132836,9.899445255464002
q0.5__f0.25__n0__RAR,0.5,0.25,0.0,2,108,23,11.06330351293305,8.066527987092034
q0.5__f0.25__n0__RAR,0.5,0.25,0.0,3,106,25,9.62654492890283,13.989091614661332
q0.5__f0.25__n0__RAR,0.5,0.25,0.0,4,104,27,10.33542274925668,11.55669733884278
q0.5__f0.25__n1__RAR,0.5,0.25,1.0,0,109,22,11.104467552296137,7.842621308372991
q0.5__f0.25__n1__RAR,0.5,0.25,1.0,1,97,34,10.839548227976115,9.995230031460608
q0.5__f0.25__n1__RAR,0.5,0.25,1.0,2,108,23,11.092482694074608,8.089681419810272
q0.5__f0.25__n1__RAR,0.5,0.25,1.0,3,106,25,9.666302288093346,13.984971883068065
q0.5__f0.25__n1__RAR,0.5,0.25,1.0,4,104,27,10.351782874519024,11.625756611683055
q0.5__f0.25__n2__RAR,0.5,0.25,2.0,0,109,22,11.09295270920313,7.802096100318529
q0.5__f0.25__n2__RAR,0.5,0.25,2.0,1,97,34,10.819216385158331,9.996563921590855
q0.5__f0.25__n2__RAR,0.5,0.25,2.0,2,108,23,11.076386066078665,8.080891047155214
q0.5__f0.25__n2__RAR,0.5,0.25,2.0,3,106,25,9.649057035280686,13.97567297899892
q0.5__f0.25__n2__RAR,0.5,0.25,2.0,4,104,27,10.341183363629948,11.595456051220193
