galaxy,fold,oof_RMSE_km_s,fixed_RAR_RMSE_km_s,delta_MSE_km_s2,improvement_fraction,concentration_R50_over_R80,R80_kpc,g_R80_m_s2,hubble_type,distance_mpc,inclination_deg,luminosity_3p6_billion_solar,effective_radius_kpc,effective_surface_brightness,disk_scale_kpc,disk_central_surface_brightness,HI_mass_billion_solar,HI_radius_kpc,flat_velocity_km_s,flat_velocity_error_km_s,quality,disk_luminosity_fit_solar,disk_velocity_fractional_rms,disk_fit_points,bulge_luminosity_fit_solar,bulge_scale_fit_kpc,bulge_velocity_fractional_rms,bulge_fit_points,disk_profile_light_solar,bulge_profile_light_solar,disk_mass_solar,bulge_mass_solar,gas_mass_solar,stellar_mass_solar,baryonic_mass_solar,stellar_bulge_fraction,baryonic_bulge_fraction,gas_fraction,bulge_scale_over_disk_scale,rotation_points,outer_rotation_points,morphology_input_pass,log10_baryonic_mass_solar,log10_effective_surface_brightness,log10_R80_kpc,log10_g_R80_over_a0
F583-1,0,17.056914447281457,18.917064943406817,66.91701561119231,0.09833187662516751,0.7704529293754183,17.92757499341419,3.676095908001974e-12,9,35.4,63.0,0.986,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,919872929.399437,0.0616549065872174,25,0.0,,,0,978865095.0668044,0.0,459936464.6997185,0.0,2827580000.0,459936464.6997185,3287516464.6997185,0.0,0.0,0.8600960726316152,,25,4,True,9.51686793655799,1.04883008652835,1.2535215478887376,-1.5137944126010496
F583-4,2,2.299592531069915,1.4982179192625789,-3.043468875353046,-0.5348852136288502,0.6866170728628539,5.334457196896905,4.393099054023062e-12,5,53.3,55.0,1.715,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1,1815990130.2604232,0.1397953075255427,12,0.0,,,0,1651750262.310181,0.0,907995065.1302116,0.0,852530000.0,907995065.1302116,1760525065.1302116,0.0,0.0,0.4842475786829796,,12,4,True,9.2456422126327,1.3968964491425238,0.7270902347472545,-1.4364102503555713
IC2574,3,4.360972228262703,3.212630753904274,-8.697082414747019,-0.3574458325043619,0.7977530480593363,8.933388064884491,2.5113902990928798e-12,9,3.91,75.0,1.016,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,1089142227.771675,0.0956251909969218,34,0.0,,,0,965378674.4863224,0.0,544571113.8858377,0.0,1377880000.0000002,544571113.8858377,1922451113.885838,0.0,0.0,0.7167308391082571,,34,7,True,9.283855304915829,1.2008504980910775,0.9510162000782876,-1.6792670337050135
IC4202,4,15.65768092348486,19.389473242200264,130.78870070833835,0.1924648633874868,0.6626198368050237,14.176724895325526,9.218816504353197e-11,4,100.4,90.0,179.749,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,117248640154.54248,0.4830631489935164,32,48119962143.40275,1.6828677323090042,0.0646567688375933,32,134924537864.34431,30254928583.77457,58624320077.27124,33683973500.38192,16393580000.0,92308293577.65315,108701873577.65315,0.3649073360027581,0.309874819924968,0.1508123039690658,0.3520643791441431,32,14,False,11.036237029619173,2.592831592732042,1.1515759117940292,-0.1145060753865814
KK98-251,4,3.943455260640163,3.1811870515801317,-5.430888335529486,-0.23961753795062246,0.762348078956195,1.1365168825579473,5.2738942092351515e-12,10,6.8,59.0,0.085,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,115718124.96942684,0.1524288683276447,15,0.0,,,0,77961156.96410216,0.0,57859062.48471341,0.0,152950000.0,57859062.48471341,210809062.4847134,0.0,0.0,0.725538068417201,,15,0,True,8.323889276855994,0.8970770032094203,0.05557589140045243,-1.357049832157561
NGC0024,2,4.998033575487779,3.389364747027769,-13.492546233308534,-0.47462251735246186,0.47642115996725226,5.163064265650039,3.899461036221634e-11,5,7.3,64.0,3.889,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,3899451648.700372,0.0446757978330853,29,0.0,,,0,4261386956.158807,0.0,1949725824.350186,0.0,899080000.0000001,1949725824.350186,2848805824.3501863,0.0,0.0,0.3155989054484191,,29,4,True,9.454662848577094,2.1808424146466825,0.7129075308274833,-0.4881766608596029
NGC0055,4,1.0900467681965325,1.4589396382392692,0.9403029111700247,0.2528499880145402,0.7081480760336993,7.370642203774981,7.445242069438858e-12,9,2.11,77.0,4.628,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,7849598984.243225,0.1816524945272277,21,0.0,,,0,3992237172.50888,0.0,3924799492.121613,0.0,2081450000.0,3924799492.121613,6006249492.121613,0.0,0.0,0.3465473758175105,,21,0,True,9.778603368289408,1.7367947549243608,0.867505329569345,-1.207302423380187
NGC0100,2,11.221981630230998,8.507647938742156,-53.5527982596583,-0.31904631115825777,0.5195167240192342,7.404946077084186,4.750685882921161e-12,6,13.5,89.0,3.232,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,2921945374.707506,0.0936304268705634,21,0.0,,,0,3076032716.8558435,0.0,1460972687.353753,0.0,2646700000.0,1460972687.353753,4107672687.353753,0.0,0.0,0.6443307929934063,,21,10,True,9.613595830314855,1.8128465369670712,0.869521900330549,-1.4024249303882508
NGC0247,2,1.5241873785744193,5.193305372848477,24.647273530651304,0.7065091942131612,0.777139694614586,9.731307366693196,9.132770070635736e-12,7,3.7,74.0,7.332,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,6762311179.177044,0.0322565776680022,26,0.0,,,0,6377085529.250421,0.0,3381155589.588522,0.0,2322180000.0,3381155589.588522,5703335589.588522,0.0,0.0,0.4071617325550956,,26,7,True,9.75612892662956,1.5287881917748962,0.9881711901141084,-1.1185787221904893
NGC0289,4,11.9142753587532,13.098622997003092,29.623967093424596,0.09041772089485023,0.3035511255876582,22.011884235313538,1.0934015710384645e-11,4,20.8,46.0,72.065,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,121459420709.03256,0.3802421609179418,28,0.0,,,0,53835182502.32918,0.0,60729710354.51628,0.0,36533770000.00001,60729710354.51628,97263480354.5163,0.0,0.0,0.3756165198575851,,28,17,False,10.9879498057598,3.2008313537058184,1.3426572201078297,-1.0404015524818013
NGC0300,1,3.9552969325685976,2.776954369316797,-7.932898255518907,-0.42432910539387203,0.7497770407229684,6.729840752997619,7.413387815697057e-12,7,2.08,42.0,2.922,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,2755180890.178728,0.0237763440128583,25,0.0,,,0,2589457722.7302384,0.0,1377590445.0893638,0.0,1244880000.0000002,1377590445.0893638,2622470445.089364,0.0,0.0,0.4746974374224375,,25,15,True,9.418710602449226,2.168821463009824,0.828004787713925,-1.209164526134743
NGC0801,2,9.806524134019208,15.892204085529205,156.39423510500998,0.3829349232339251,0.5049910166551959,16.60360635938944,5.233289219975074e-11,5,80.7,80.0,312.57,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,368484599584.6326,0.3796182565975739,13,0.0,,,0,306320221165.5506,0.0,184242299792.3163,0.0,30857330000.0,184242299792.3163,215099629792.3163,0.0,0.0,0.143455988417058,,13,5,False,11.332639662924457,2.9128276264402975,1.2202024285145083,-0.36040650917375083
NGC0891,4,4.212456570960608,2.647853104722187,-10.733664298042282,-0.5908951155364714,0.38591113830001855,8.49744758976669,1.2064696487708809e-10,3,9.91,90.0,138.34,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,128919202264.307,0.0877975730967441,18,19640932275.25437,0.1463523262914852,0.0136947306591563,18,108071201050.09093,5838099860.106173,64459601132.1535,13748652592.67806,5934460000.0,78208253724.83156,84142713724.83156,0.1757954172081556,0.163396828840578,0.0705285073097026,0.0573930691339157,18,11,True,10.925016514535203,3.208830864265175,0.9292884946384082,0.002335154762346574
NGC1003,3,8.133399779825114,7.6890538296697875,-7.030643182899581,-0.05778941856808517,0.4650944215398736,25.01763914617727,1.6773135656023515e-12,6,11.4,67.0,6.82,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,6248712473.571541,0.0481686323191712,36,0.0,,,0,5604802377.925169,0.0,3124356236.7857704,0.0,7820400000.0,3124356236.7857704,10944756236.78577,0.0,0.0,0.7145339586198657,,36,31,True,10.039206093341342,2.1488185146020182,1.3982463239759433,-1.8545669866133063
NGC1090,1,2.641799182515454,3.713687595644349,6.812372637303385,0.28863182093886264,0.614646066519878,9.28844298788343,4.628119000319589e-11,4,37.0,64.0,72.045,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,66215695859.37621,0.0982954749695253,24,0.0,,,0,71797939599.03654,0.0,33107847929.688107,0.0,11681390000.0,33107847929.688107,44789237929.68811,0.0,0.0,0.2608079650370006,,24,15,True,10.651173673167017,2.4528287182568427,0.9679429197586774,-0.4137767288453304
NGC2403,1,0.8248817278290084,3.355710148049685,10.58036073281747,0.7541856443386734,0.5842287326792992,12.1389973206539,1.0761527188006823e-11,6,3.16,63.0,10.041,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,9292012654.891628,0.0448380016784637,73,0.0,,,0,9950888707.776796,0.0,4646006327.445814,0.0,4254670000.0,4646006327.445814,8900676327.445814,0.0,0.0,0.4780164836328727,,73,34,True,9.949423008231191,2.5328307877218803,1.084182815562054,-1.047307338819438
NGC2683,4,29.189131765310556,22.488791450595592,-346.25967230428046,-0.297941324656533,0.5849208437897693,6.68326787456025,1.4663634709996595e-10,3,9.81,80.0,80.415,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,69488965010.1218,0.0380907545953487,11,5401289363.734398,0.0023906459208495,0.0001064314383546,11,48739478101.041885,0.0,34744482505.0609,3780902554.614078,1869980000.0,38525385059.67497,40395365059.67497,0.0981405519700203,0.0935974349787074,0.0462919445643709,0.001096626569197,11,9,False,10.606331537276846,3.0568286526378117,0.8249888685921754,0.08706038720708358
NGC2841,2,6.46071765313441,7.305939146756822,11.635874222591198,0.11568964326750708,0.37915007990292476,22.603287736533694,6.481545865598874e-11,3,14.1,76.0,188.121,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,122487656076.38864,0.0824101203056269,50,46191394207.94023,0.0022456582493188,0.0004874537795341,50,114685031623.30923,120386483.93683282,61243828038.19431,32333975945.55816,13000750000.000002,93577803983.75249,106578553983.75249,0.3455303989733738,0.3033816348314067,0.1219827959195423,0.0006169390794831,50,28,False,11.02766982360674,2.992831765934685,1.3541716135715878,-0.26750264745599345
NGC2903,3,7.544958687987169,7.215384096169916,-4.864633948171303,-0.0456766524726242,0.5914333808558403,7.336462248337073,1.2566740801536743e-10,4,6.6,66.0,81.863,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,104773084712.87888,0.2107172243376645,34,0.0,,,0,76230887085.893,0.0,52386542356.43944,0.0,3394160000.0000005,52386542356.43944,55780702356.43944,0.0,0.0,0.0608482836646851,,34,19,True,10.746483978334577,2.800827012337371,0.8654866871081944,0.0200414114759079
NGC2915,0,4.194526066727975,2.467750615572213,-11.504255823803417,-0.6997366104416365,0.5172236172251395,8.977854539501221,2.363440260653278e-12,11,4.06,56.0,0.641,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,682595398.4944121,0.0804736714347826,30,0.0,,,0,453518279.720183,0.0,341297699.24720603,0.0,675640000.0,341297699.24720603,1016937699.247206,0.0,0.0,0.6643868159280027,,30,26,True,9.00729434751278,2.54082981411108,0.9531725646205774,-1.7056366166866794
NGC2955,3,20.355237945986833,16.2614213951169,-149.9018860481765,-0.2517502284332447,0.4002998367469359,17.31072241930251,5.785984195847813e-11,3,97.9,56.0,319.422,7.22,974.61,18.76,50.68,28.949,40.34,0.0,0.0,1,858946536792.0394,0.4044305716842728,24,98381246941.40402,1.983983320306269,0.0951312847582287,24,227177460037.31372,60643937696.78335,429473268396.0197,68866872858.98282,38502170000.00001,498340141255.00256,536842311255.00256,0.1381925057964443,0.1282813806124732,0.0717197009117846,0.1057560405280527,24,0,False,11.729846737452322,2.988830863152949,1.2383151924374955,-0.31680400298962885
NGC2976,4,6.256955344281346,4.871753598629634,-15.415507054570117,-0.28433329346569436,0.842448854243127,1.6385012841288593,5.901315785473125e-11,5,3.58,61.0,3.371,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,3147776337.037323,0.2210918178478325,27,0.0,,,0,2403210789.8725843,0.0,1573888168.5186615,0.0,228760000.0,1573888168.5186615,1802648168.5186613,0.0,0.0,0.1269021897866987,,27,0,True,9.255910971657986,2.4888326343824003,0.21444678608449722,-0.30823239124271773
NGC2998,1,5.593689854327559,8.128582907079444,34.784493890857036,0.31184932007572497,0.45887100411640386,18.868002174336866,3.2567528408406855e-11,5,68.1,58.0,150.902,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,173051233399.27048,0.225018414578148,13,0.0,,,0,154856177377.84894,0.0,86525616699.63524,0.0,31189830000.0,86525616699.63524,117715446699.63524,0.0,0.0,0.2649595348313506,,13,5,True,11.07083345499513,2.6808338953273694,1.2757259176214937,-0.5663964453986311
NGC3109,0,8.33779633300267,6.885114561282238,-22.114045168652076,-0.21098875825384877,0.7550344328341526,5.381026346726408,2.549909377079727e-12,9,1.33,70.0,0.194,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,198188826.8211705,0.1372567059095329,25,0.0,,,0,185898071.55984363,0.0,99094413.41058524,0.0,634410000.0,99094413.41058524,733504413.4105853,0.0,0.0,0.8649027714096161,,25,7,True,8.865402731286455,1.0569048513364727,0.7308651184560615,-1.6726565000189904
NGC3198,3,9.541714756578108,13.056706645528337,79.43326793148341,0.26920968544192914,0.3570473267848311,29.999925316145575,5.150280857609149e-12,5,13.8,73.0,38.279,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,33745862792.62445,0.1453422381334931,43,0.0,,,0,37615934860.05189,0.0,16872931396.312227,0.0,14455770000.000002,16872931396.312227,31328701396.31223,0.0,0.0,0.4614225727754429,,43,19,True,10.495942393346299,2.2528287680405925,1.4771201735587878,-1.367350333203716
NGC3521,4,10.336834395413252,10.222246617986015,-2.3558193992719367,-0.011209647126456668,0.6489494220471941,3.6956368846040086,3.615576356185042e-10,4,7.7,75.0,84.836,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,114521968649.05272,0.1938435220096417,41,0.0,,,0,76726352359.97166,0.0,57260984324.52637,0.0,5524820000.0,57260984324.52637,62785804324.52637,0.0,0.0,0.0879947316027583,,41,5,True,10.79786146220172,3.348830372378482,0.5676892929701767,0.4789962916435026
NGC3726,2,14.420243464523708,13.928415558559978,-13.942661604203039,-0.035311116608770954,0.6051342962153929,9.074916271937918,3.9907596316397866e-11,5,18.0,53.0,70.234,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,65349324488.73159,0.042920910479346,12,0.0,,,0,51992653283.29839,0.0,32674662244.365795,0.0,8609090000.0,32674662244.365795,41283752244.3658,0.0,0.0,0.2085345815719773,,12,8,True,10.615779163061138,2.296840627340024,0.9578426267876996,-0.47812567556658087
NGC3741,3,3.799592961951068,2.6738903617497716,-7.287217009849768,-0.42099803952494375,0.7410900992102992,5.1624938226550325,1.2678016969258706e-12,10,3.21,70.0,0.028,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,24237953.925783303,0.0620146412427462,21,0.0,,,0,18455615.910741866,0.0,12118976.962891651,0.0,242060000.0,12118976.962891651,254178976.96289164,0.0,0.0,0.9523210884405248,,21,19,True,8.40513962738803,1.6328620401002298,0.712859544995995,-1.9761299173172613
NGC3769,4,6.514932656495346,7.8989943066101755,19.94976353719047,0.17521998325237365,0.27036349026163226,17.53693683078982,5.479913743001872e-12,3,18.0,70.0,18.679,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,25685163478.116604,0.2354293392813115,12,0.0,,,0,11818785684.299536,0.0,12842581739.058302,0.0,7353570000.0,12842581739.058302,20196151739.058304,0.0,0.0,0.364107484188613,,12,7,True,10.305268625005631,2.7968309490076453,1.2439537376240157,-1.3404075235547044
NGC3877,1,12.745710219017676,18.413278888035396,176.59571042139848,0.30779790516834027,0.7479138674159423,8.242826026715143,7.16853388641418e-11,5,18.0,76.0,72.535,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,53298912198.1873,0.1930684369858731,13,0.0,,,0,64484257718.43101,0.0,26649456099.09365,0.0,1972390000.0,26649456099.09365,28621846099.09365,0.0,0.0,0.0689120468739596,,13,5,True,10.456697642169829,2.7768318884097063,0.9160761337106267,-0.2237509035105712
NGC3893,2,5.080155482178331,6.667703292976181,18.650287480058854,0.23809514926529307,0.520761372610513,8.169024064073009,7.377527010081521e-11,5,18.0,49.0,58.525,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,62034990264.10116,0.0936379318229748,10,0.0,,,0,41801077702.9946,0.0,31017495132.05058,0.0,7712670000.000001,31017495132.05058,38730165132.05058,0.0,0.0,0.1991385777391765,,10,6,True,10.588049348671738,3.196830865066194,0.912170175393539,-0.21127043786439256
NGC3917,0,2.3031929014451267,5.812150396572734,28.476394691113367,0.6037279243835024,0.6969328160201007,9.359459877323781,2.3917851080783338e-11,6,18.0,79.0,21.966,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,17846304813.45562,0.239670303112639,17,0.0,,,0,21001418300.718864,0.0,8923152406.72781,0.0,2511040000.0,8923152406.72781,11434192406.72781,0.0,0.0,0.2196079889754627,,17,8,True,10.058205495948668,2.0528477834008605,0.9712507868720648,-0.700459088527302
NGC3953,1,11.68673266891374,16.945641341265507,150.57503999215098,0.3103399019513905,0.7119080311598086,10.18683803230256,1.0676418965300017e-10,4,18.0,62.0,141.301,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,176310755020.68848,0.0518011112369924,8,0.0,,,0,95929113937.00516,0.0,88155377510.34424,0.0,3766560000.0,88155377510.34424,91921937510.34424,0.0,0.0,0.0409756376118175,,8,1,True,10.963419169740098,2.768830420780154,1.008039401060044,-0.0507556379621545
NGC3972,3,7.795491132267781,4.44701489125742,-40.99374055020037,-0.7529716726591755,0.8026854617827223,6.063959928183155,3.461248028792078e-11,4,18.0,77.0,14.353,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,12442744305.766628,0.1225511593222987,10,0.0,,,0,12357246368.178629,0.0,6221372152.883314,0.0,1614620000.0,6221372152.883314,7835992152.883314,0.0,0.0,0.2060517632608766,,10,3,True,9.894093992411879,2.2168254232660476,0.7827563227317748,-0.5399485246280399
NGC3992,4,14.478656300262102,10.489908986742256,-99.59329771098353,-0.3802461316452843,0.6767073577961548,16.362648667810205,8.119588779904741e-11,4,23.7,56.0,226.932,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,197268311997.2531,0.085893568363496,9,0.0,,,0,125307276692.53,0.0,98634155998.62656,0.0,22076670000.0,98634155998.62656,120710825998.62656,0.0,0.0,0.1828888984675756,,9,7,True,11.081746221718085,2.5568329810176795,1.2138536054910531,-0.1696472112818857
NGC4010,4,8.856354346427846,6.32329390360707,-38.45096651809708,-0.40059191956518325,0.7098277172690863,7.15805114424184,2.092764461210149e-11,7,18.0,89.0,17.193,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,16914891230.874275,0.0975300552112063,12,0.0,,,0,14918100879.399618,0.0,8457445615.437139,0.0,3766560000.0,8457445615.437139,12224005615.437138,0.0,0.0,0.3081281307040127,,12,3,True,10.087213540736917,1.1687920203141817,0.8547947970971066,-0.7584608944184438
