source_id,designation,ref_epoch,ra,dec,ra_error,dec_error,pmra,pmdec,pmra_error,pmdec_error,astrometric_params_solved,phot_g_mean_mag,ruwe,duplicated_source,visibility_periods_used,target_epoch,ra_epoch,dec_epoch,image_x_pixel,image_y_pixel,residual_pixel,residual_arcsec,initial_x_pixel,initial_y_pixel,accepted,rejection_reason,refined_x_pixel,refined_y_pixel,centroid_shift_pixel,background_adu,net_weight_adu,fwhm_pixel,ellipticity,moment_xx,moment_yy,moment_xy,fitted_residual_pixel,loo_residual_pixel,loo_residual_arcsec
5484995501275667840,Gaia DR3 5484995501275667840,2016.0,104.52755205649274,-56.00597817999391,0.06366646,0.063114375,-4.68545598012366,14.376958390364925,0.08029533,0.0806294,31,17.533167,1.0107405,False,26,1998.9507289938715,104.52759174462965,-56.00604626795498,1937.0,99.0,2.379968706512071,0.4749745435035374,1937.0,99.0,True,,1936.511384883203,99.1627196984404,0.514997507395077,776.1517944335938,234469.83197021484,3.781408155926628,0.06750476605937816,2.5749902684079,2.582301012259607,-0.17989472290237668,2.0150672569432007,2.3501936957298106,0.46903229219770276
5484996325907543296,Gaia DR3 5484996325907543296,2016.0,104.5298537086378,-55.980432563814894,0.08122769,0.0798503,-0.8378243042486293,5.169774396959765,0.10189366,0.099711,31,18.007406,1.0422636,False,24,1998.9507289938715,104.52986080073708,-55.98045704739398,1913.0,561.0,0.3588759728575391,0.0716215095248913,1913.0,561.0,True,,1912.7244718456059,561.0389032665898,0.2782610788723287,834.1400756835938,418604.3336791992,3.79296572293916,0.07551268275329404,2.58974707107162,2.599118071591021,-0.2032327590032736,0.2525700833866303,0.28188583431025277,0.05625645207236553
5484996321612995584,Gaia DR3 5484996321612995584,2016.0,104.53117270005131,-55.97953309300105,0.08133814,0.078751914,0.7798983255282064,41.01386074522741,0.09917658,0.09650196,31,17.93481,0.97790676,False,24,1998.9507289938715,104.5311660984432,-55.9797273308974,1900.0,574.0,0.5127718544413975,0.1023347814693335,1900.0,574.0,True,,1899.5321673131011,574.3211504562878,0.5674548779461491,793.4219970703125,142917.103515625,3.796960977418301,0.08274690299509968,2.5590124499683853,2.6407896515022875,-0.22023802856966823,0.1244295496759185,0.1381450169337871,0.027569844164705697
5484996355972710784,Gaia DR3 5484996355972710784,2016.0,104.54047177324225,-55.99201495146027,0.081110686,0.078213796,6.6939699181561,-14.00425838497113,0.10066749,0.0983662,31,17.962593,0.99943465,False,26,1998.9507289938715,104.5404150924778,-55.991948628572366,1806.0,354.0,0.4053705763776685,0.0809005193799057,1806.0,354.0,True,,1806.4678955683928,354.23366920036165,0.5229986215271294,747.29248046875,91364.15148925781,3.813900313397427,0.0651255546037095,2.604228746815728,2.6420724749409477,-0.17536651144124416,0.23933456188367716,0.2617000657382879,0.05222794271150581
5484996428988599424,Gaia DR3 5484996428988599424,2016.0,104.55451447807184,-55.96821837222405,0.036037225,0.036149666,2.159360179582503,6.304162518506324,0.045232974,0.045277085,31,16.542814,0.9872895,False,24,1998.9507289938715,104.55449620507352,-55.96824822816162,1665.0,781.0,0.2739260949445836,0.0546679128780176,1665.0,781.0,True,,1664.2306345553461,781.253222442302,0.8099659207107766,1097.0548095703125,1566900.4923095703,3.975664837123211,0.0729703070485197,2.809583319602195,2.8911939975560843,-0.21166325686617757,0.560198594307666,0.5841187894124228,0.11657361485210657
5484996394628863232,Gaia DR3 5484996394628863232,2016.0,104.56968842835924,-55.97029990871151,0.04842619,0.047271546,-1.5161527487325044,4.869497321686675,0.060130745,0.059317116,31,17.113522,0.9841959,False,25,1998.9507289938715,104.56970125907984,-55.97032297020581,1511.0,744.0,0.8805380517625494,0.175730528737223,1511.0,744.0,True,,1511.1472091120368,744.083331775014,0.1691588229849059,934.4530639648438,974998.0540771484,3.7750123903148802,0.06298205006499402,2.543183784642842,2.5966764597187155,-0.16478938346025487,0.7552753509215846,0.7796834791520952,0.15560280417730693
5484996669506982656,Gaia DR3 5484996669506982656,2016.0,104.56364860043809,-55.947798251216255,0.028386619,0.027317878,-3.069514864645756,10.577090765392716,0.03534073,0.032931667,31,15.997736,0.9847566,False,26,1998.9507289938715,104.56367456167352,-55.94784834335151,1572.0,1149.0,1.1356834394120925,0.2266503428063246,1572.0,1149.0,True,,1571.7857722182405,1148.190648815495,0.8372233168857708,1203.1193237304688,1793387.501159668,4.149323381863044,0.06415826940815006,3.026400703174191,3.1832777787535615,-0.19002478145497637,0.5245510240166927,0.5420587303705845,0.10817961484342299
5484996424692225536,Gaia DR3 5484996424692225536,2016.0,104.53763215233144,-55.966291486234645,0.11119229,0.1121949,-0.6579847566988603,6.495462788087361,0.13673824,0.13425754,31,18.497536,1.0259298,False,25,1998.9507289938715,104.53763772007125,-55.96632224815281,1834.0,816.0,0.7650940681404346,0.1526911697443464,1834.0,816.0,True,,1834.142879245229,815.7033804516899,0.32923796129384403,785.5110778808594,247298.80010986328,3.787747904070271,0.07928958061544511,2.546168096850565,2.628430670750238,-0.20924693868407307,0.25076096407966264,0.27092779476082157,0.054069536833335936
5485044051585966336,Gaia DR3 5485044051585966336,2016.0,104.57997130019938,-55.90921781519631,0.015011902,0.014733581,-0.5191157552378918,4.473582324387299,0.019364644,0.018235104,31,14.540485,0.93163526,False,26,1998.9507289938715,104.57997568638936,-55.90923900167337,1408.0,1845.0,2.2207662926211813,0.4432022375670841,1408.0,1845.0,True,,1408.0878649177266,1843.581625104015,1.4210938003268305,2337.4483642578125,3651238.5748291016,5.195891367042289,0.16437160845213938,4.0163165069015365,5.720896546827183,-0.14764739538129443,0.7127513667537244,0.7697669819579384,0.15362375137923398
5484997043167550976,Gaia DR3 5484997043167550976,2016.0,104.58048650685568,-55.94087706938362,0.13990325,0.13377616,4.6199832468947895,-1.8865778674529423,0.17480944,0.15320763,31,18.79113,0.9290264,False,26,1998.9507289938715,104.58044743910564,-55.940868134723246,1403.0,1274.0,0.6781108404694133,0.13533177390756,1403.0,1274.0,True,,1402.9418360094,1273.6279240968352,0.3765946461627455,773.4765014648438,263686.62548828125,3.7487586105615995,0.06160815036988598,2.497859125151439,2.5707581594476783,-0.1567519102085843,0.40737982706760417,0.4223742910222083,0.08429398063805431
