outlier_type,galaxy,points,P0554_RMSE_km_s,RAR_RMSE_km_s,P0554_to_RAR_ratio,P0554_mean_residual_km_s,baryonic_mass_solar,gas_fraction,stellar_bulge_fraction,disk_central_surface_brightness,outer_log_velocity_slope,stellar_structure,hubble_family,surface_brightness_family,baryonic_mass_family,gas_fraction_family,inclination_family,outer_rotation_shape
lowest_error_ratio,UGC07125,4,1.6077146814563532,8.841143359570502,0.18184465697143215,-0.28432635606942647,7678918368.373857,0.8017496351252082,0.0,103.0,-0.028336519551073667,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,intermediate_mass,gas_rich,edge_on,approximately_flat
lowest_error_ratio,NGC1090,8,0.9398771480809576,3.7136875956443487,0.2530846022652271,0.34606233832878175,44789237929.68811,0.2608079650370006,0.0,2055.09,-0.08870953558710853,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,intermediate_mass,mixed_gas,intermediate_inclination,approximately_flat
lowest_error_ratio,F568-3,6,2.6924182635517333,10.416073442941265,0.25848687399341674,-0.15035309269397365,8565792220.691267,0.4960837118761063,0.0,132.08,0.35819607470241616,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,intermediate_mass,mixed_gas,moderate_inclination,rising
lowest_error_ratio,UGC12732,5,2.7030968653146905,10.320562524087405,0.2619137143935584,0.14921995097646173,5645621698.407865,0.8622256785949333,0.0,120.46,0.43049883584830273,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,intermediate_mass,gas_rich,moderate_inclination,rising
lowest_error_ratio,NGC3198,13,3.4250785574294356,13.056706645528337,0.26232331401904146,-2.797412833137033,31328701396.31223,0.4614225727754429,0.0,1602.62,-0.03406281447462466,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,intermediate_mass,mixed_gas,edge_on,approximately_flat
lowest_error_ratio,UGC05918,3,1.6772621879835592,6.155415390714021,0.2724856214438192,-0.6060183678545362,537995094.6585208,0.7342260253334149,0.0,24.94,0.26514080130517836,disk_dominated,late_Sd_to_BCD,low_surface_brightness,dwarf_mass,gas_rich,moderate_inclination,rising
lowest_error_ratio,UGC02259,3,2.0400513514181644,6.916821030566181,0.29494060094990987,1.3942950115453954,1487995639.6817589,0.4415469927993327,0.0,172.52,0.15882201334078422,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,intermediate_mass,mixed_gas,moderate_inclination,rising
lowest_error_ratio,UGC04483,3,1.035130418619997,3.4988397280720496,0.295849624181094,0.8724267153514281,48103938.79235444,0.8847508347230065,0.0,82.57,0.18467328846951084,disk_dominated,late_Sd_to_BCD,low_surface_brightness,dwarf_mass,gas_rich,intermediate_inclination,rising
lowest_error_ratio,UGC05716,4,2.5173951620586514,7.885448809700025,0.31924564128321536,-2.131072487961685,1724275803.1032033,0.8438441213298826,0.0,90.54,0.06784009892024925,disk_dominated,late_Sd_to_BCD,low_surface_brightness,intermediate_mass,gas_rich,intermediate_inclination,approximately_flat
lowest_error_ratio,UGC06930,3,3.1453126516966514,9.824900941945772,0.32013683092399076,2.2009743565249806,9584704522.577324,0.4491750361066249,0.0,189.16,-0.028485514113404033,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,intermediate_mass,mixed_gas,moderate_inclination,approximately_flat
lowest_error_ratio,UGC06667,3,3.9146283283023138,11.111189166334398,0.35231407455137015,2.093987432581604,1969277266.5759685,0.5463781145815063,0.0,614.94,0.08015408634750516,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,intermediate_mass,gas_rich,edge_on,approximately_flat
lowest_error_ratio,UGC05721,7,4.275086759730148,11.786515093921853,0.3627099889716132,2.079115882726161,985758022.99847,0.7582591087885675,0.0,913.76,0.018958150053649325,disk_dominated,late_Sd_to_BCD,high_surface_brightness,dwarf_mass,gas_rich,intermediate_inclination,approximately_flat
