dimension,bin,galaxies,points,P0554_RMSE_km_s,fixed_RAR_RMSE_km_s,P0554_to_RAR_ratio,P0554_equal_galaxy_RMSE_km_s,RAR_equal_galaxy_RMSE_km_s,P0554_mean_residual_km_s,RAR_mean_residual_km_s,P0554_galaxies_better_fraction
outer_acceleration_family,above_a0,5,37,4.816079624042641,4.409616667287404,1.0921764832237162,8.852387725637788,7.237111444473956,2.1775118681436014,-0.47076581029927955,0.6
outer_acceleration_family,deep_0p03_to_0p10_a0,91,426,11.207267147756369,10.024886650189341,1.1179445253423086,12.366839535795252,11.436069141348638,-5.379484916280742,2.743469205716265,0.5054945054945055
outer_acceleration_family,transition_0p10_to_1_a0,57,368,13.025200917904469,11.152262577547669,1.1679424535903145,12.830012913051688,11.60478329056663,4.015867508332917,1.6006475891260734,0.45614035087719296
outer_acceleration_family,very_deep_below_0p03_a0,32,137,16.2491020983974,10.239054275209952,1.5869729431690323,17.044613882222034,12.6342288837314,-12.0996173312177,-0.39034333175902475,0.3125
outer_potential_family,deep_above_1e-7,45,385,13.938206538519294,11.565731743840058,1.2051296750802494,14.26520813668221,11.853304685063216,3.056291965428647,1.5279648784227544,0.4222222222222222
outer_potential_family,intermediate_3e-8_to_1e-7,48,259,9.614221010416024,9.33402184646956,1.0300191245055255,10.629842723895559,9.72092364329551,-4.48184251792614,2.832529829138054,0.6041666666666666
outer_potential_family,shallow_below_3e-8,69,324,12.938050778362102,9.5579398473525,1.3536442983522097,12.465708326977815,10.934061205858365,-7.428321484789363,1.1264478983393453,0.391304347826087
radius_over_R80_family,R80_to_2R80,116,506,13.035872636149604,11.238045902840286,1.1599768099234171,12.52454841223521,11.59879065252418,0.24544263824322984,3.645765827700626,0.46551724137931033
radius_over_R80_family,beyond_2R80,43,273,12.202257760696543,9.830982443320062,1.241204308017833,15.790621614569334,12.90207434397577,-4.878262931389156,-0.4593523733930234,0.4883720930232558
radius_over_R80_family,inside_R80,63,189,11.804397450447503,8.4120967415313,1.4032645858871426,11.108241500871808,8.564368727985048,-6.2610008529440675,-0.171923216289719,0.36507936507936506
