case_mangaid,case_plateifu,control_mangaid,control_plateifu,match_rank,standardized_distance
1-248410,8979-3701,1-456557,9877-3704,1,0.5224687113982238
1-248410,8979-3701,1-456909,9873-6102,2,0.6374469812825648
1-248410,8979-3701,1-419236,8442-1902,3,0.6402998108001752
1-248410,8979-3701,1-456980,9862-3703,4,0.680872919729347
1-248410,8979-3701,1-42247,9514-1902,5,0.6951087187246093
1-457547,8982-1902,1-117086,12084-1901,1,0.5086752892468223
1-457547,8982-1902,1-199449,9037-3702,2,0.5109648292715663
1-457547,8982-1902,1-183465,10520-1901,3,0.5372109901951566
1-457547,8982-1902,1-82967,11835-3703,4,0.5420599960205361
1-457547,8982-1902,1-456645,11009-12703,5,0.5574078789025046
1-635590,8615-3702,1-269951,11868-6103,1,0.5022119451229075
1-635590,8615-3702,1-107844,12696-3702,2,0.5157510516814203
1-635590,8615-3702,1-259117,8317-3702,3,0.6431806671183548
1-635590,8615-3702,1-35650,10223-3701,4,0.6613637031182394
1-635590,8615-3702,1-631803,8593-6103,5,0.6883838769026224
1-234115,8465-1901,1-458209,8952-3704,1,0.5013294988609798
1-234115,8465-1901,1-66669,12514-3702,2,0.6479428015540775
1-234115,8465-1901,1-26550,8652-3704,3,0.6611229213810088
1-234115,8465-1901,1-637021,12071-3703,4,0.6751230827736493
1-234115,8465-1901,1-488532,8449-1901,5,0.6981505110413019
1-298940,9508-6102,1-638033,8655-6104,1,0.7325570263456783
1-298940,9508-6102,1-547086,7958-6101,2,0.7401806319464243
1-298940,9508-6102,1-51120,9188-6103,3,0.8373692070471808
1-298940,9508-6102,1-373011,9002-6103,4,0.8463964797275604
1-298940,9508-6102,1-210971,8604-9102,5,0.8613007850767946
1-149172,8997-3702,1-209729,8549-1901,1,0.49042016989222775
1-149172,8997-3702,1-122151,9183-6102,2,0.4960465390620208
1-149172,8997-3702,1-261032,8336-1901,3,0.6946431251031892
1-149172,8997-3702,1-153247,9184-3703,4,0.7593497342871747
1-149172,8997-3702,1-42708,8097-1902,5,0.7767345332378579
1-167555,8453-3703,1-457072,11004-6103,1,0.48990616725054364
1-167555,8453-3703,1-385108,9502-3704,2,0.5763744007255197
1-167555,8453-3703,1-338600,8566-3702,3,0.7190581189380445
1-167555,8453-3703,1-246565,9865-6103,4,0.7477299967771495
1-167555,8453-3703,1-375609,9889-1901,5,0.7501708218845846
1-42660,9195-3704,1-316023,9044-6101,1,0.47043791701955207
1-42660,9195-3704,1-258315,8261-6102,2,0.4724941472110508
1-42660,9195-3704,1-457872,9881-3702,3,0.50599365001653
1-42660,9195-3704,1-523004,8320-6101,4,0.5179845999367724
1-42660,9195-3704,1-159357,12510-9101,5,0.5537696980670674
1-45016,8718-6103,1-605387,11754-3702,1,0.46911239045556885
1-45016,8718-6103,1-325063,11975-9102,2,0.48560662701211893
1-45016,8718-6103,1-231694,10500-9101,3,0.4935989609748708
1-45016,8718-6103,1-376341,9087-3703,4,0.5482862784984074
1-45016,8718-6103,1-27571,12069-9102,5,0.5899465468555524
1-297822,9492-1902,1-94228,8483-1902,1,0.46405538826705645
1-297822,9492-1902,1-39570,8569-1902,2,0.5123580924508956
1-297822,9492-1902,1-47272,8724-3701,3,0.5619251547494523
1-297822,9492-1902,1-257999,8259-3701,4,0.5705364943329903
1-297822,9492-1902,1-45175,9487-1902,5,0.5716955073344449
1-339061,8138-6102,1-54894,11759-9102,1,0.46373677100505944
1-339061,8138-6102,1-233531,11760-6103,2,0.5222027389798316
1-339061,8138-6102,1-121209,8139-6101,3,0.5294818066586712
1-339061,8138-6102,1-600853,8656-6101,4,0.5456084343343311
1-339061,8138-6102,1-216520,8440-3701,5,0.5501971528204631
1-113520,7815-1901,1-131378,8589-3704,1,0.6049308649108979
1-113520,7815-1901,1-195079,11863-3701,2,0.6510388968692846
1-113520,7815-1901,1-213603,9511-1901,3,0.6618525905800173
1-113520,7815-1901,1-456565,9877-6103,4,0.7330144506516816
1-113520,7815-1901,1-34149,12075-12703,5,0.7544719347797821
12-84617,7443-3704,1-272055,9025-1901,1,0.45535043071438286
12-84617,7443-3704,1-198036,9033-1901,2,0.5939742746928777
12-84617,7443-3704,1-386459,12488-1902,3,0.6365958343530826
12-84617,7443-3704,1-322172,9872-3702,4,0.6474862449293894
12-84617,7443-3704,1-397462,11750-3702,5,0.6773529705623799
1-115097,7977-3701,1-481320,8248-3701,1,0.45435340823814657
1-115097,7977-3701,1-548653,10496-3702,2,0.47462214811018366
1-115097,7977-3701,1-415931,12621-6103,3,0.49201955860916435
1-115097,7977-3701,1-605069,10492-6103,4,0.5002702503312767
1-115097,7977-3701,1-122138,10215-3703,5,0.5280943603809688
1-275185,8455-6104,1-274570,8253-6102,1,0.4507562222085046
1-275185,8455-6104,1-576439,9033-12702,2,0.6448652409713707
1-275185,8455-6104,1-314059,9024-6101,3,0.6861582792610077
1-275185,8455-6104,1-29726,8655-3702,4,0.7091042295550203
1-275185,8455-6104,1-269500,9028-3701,5,0.7249837143461053
1-188177,8991-6103,1-488526,8449-3701,1,0.446518563286194
1-188177,8991-6103,1-177495,7959-3703,2,0.49270452723964897
1-188177,8991-6103,1-173625,8998-3702,3,0.5001889509942714
1-188177,8991-6103,1-603674,10226-6104,4,0.5059741201840535
1-188177,8991-6103,1-456704,9863-3703,5,0.5301182611642082
1-386322,9506-3703,1-148652,8999-12702,1,0.4638452259674933
1-386322,9506-3703,1-390521,8150-1902,2,0.555504126953487
1-386322,9506-3703,1-209722,9031-1901,3,0.5742399278974984
1-386322,9506-3703,1-456372,9862-6101,4,0.5772389558403657
1-386322,9506-3703,1-351790,8720-1901,5,0.5786793652904263
1-593328,9868-12704,1-209537,8486-12701,1,0.4381815582098289
1-593328,9868-12704,1-567187,8252-12702,2,0.6001084218434811
1-593328,9868-12704,1-317809,9089-6104,3,0.6139481529215134
1-593328,9868-12704,1-174945,10507-6104,4,0.6245679618576765
1-593328,9868-12704,1-108765,12079-9102,5,0.628234978797454
1-38347,8083-1902,1-218324,8942-3701,1,0.4316166707220836
1-38347,8083-1902,1-39615,8091-9101,2,0.43421128591317953
1-38347,8083-1902,1-245301,11012-6104,3,0.4605589083240598
1-38347,8083-1902,1-144470,11958-6101,4,0.5033252795932931
1-38347,8083-1902,1-591979,12621-3703,5,0.5195130367537883
1-94690,9026-3704,1-95825,8612-1902,1,0.4258882048722004
1-94690,9026-3704,1-135491,9869-6101,2,0.5299597719053253
1-94690,9026-3704,1-135583,9869-6104,3,0.5339902593983775
1-94690,9026-3704,1-523108,8320-3702,4,0.5381711424820039
1-94690,9026-3704,1-556501,8145-1902,5,0.5477874181826788
1-113698,8618-1901,1-133936,8564-1902,1,0.4217965643373513
1-113698,8618-1901,1-39799,8091-1901,2,0.6086658477811677
1-113698,8618-1901,1-179724,7965-3703,3,0.6523902651704775
1-113698,8618-1901,1-51008,9188-3701,4,0.6791705927455302
1-113698,8618-1901,1-295155,9049-3704,5,0.6957075323776754
1-37494,8154-3703,1-91923,8546-3704,1,0.42081346660015007
1-37494,8154-3703,1-43856,8713-3703,2,0.4916988559437555
1-37494,8154-3703,1-178183,9186-6104,3,0.5154561526696534
1-37494,8154-3703,1-32603,12073-3703,4,0.5222548509796153
1-37494,8154-3703,1-108696,12081-1902,5,0.5441495375402164
1-323766,9027-1902,1-153127,10220-1901,1,0.4469008310593504
1-323766,9027-1902,1-456322,8951-1902,2,0.6381958048893754
1-323766,9027-1902,1-412833,9488-1901,3,0.6390502444443708
1-323766,9027-1902,1-261030,8336-1902,4,0.7255763333746139
1-323766,9027-1902,1-121992,9183-1902,5,0.7533247024455968
1-314719,9045-12701,1-188749,8991-3702,1,0.39574054540142467
1-314719,9045-12701,1-73,12512-12704,2,0.44885228289210305
1-314719,9045-12701,1-558175,8461-12701,3,0.4855348321365685
1-314719,9045-12701,1-196929,8309-12704,4,0.5076869988448867
1-314719,9045-12701,1-260809,8447-12704,5,0.5740794125182718
1-556514,8146-3704,1-109924,12685-6104,1,0.3930838475462956
1-556514,8146-3704,1-418090,8446-6103,2,0.41558069512929086
1-556514,8146-3704,1-265758,9088-3704,3,0.4477820398569205
1-556514,8146-3704,1-576076,11956-6101,4,0.4663414454254167
1-556514,8146-3704,1-522651,9878-6102,5,0.4879739944166995
1-166613,8461-3701,1-197017,8309-3704,1,0.39023392770144283
1-166613,8461-3701,1-197166,9864-3701,2,0.44366396177682277
1-166613,8461-3701,1-36266,10224-6102,3,0.5045259836526694
1-166613,8461-3701,1-281886,8260-6102,4,0.592668439082254
1-166613,8461-3701,1-247861,9035-9101,5,0.633187006333397
1-248869,8604-6103,1-364559,11969-6102,1,0.3785082462357883
1-248869,8604-6103,1-285004,8465-12705,2,0.4770344313026101
1-248869,8604-6103,1-155975,8439-6102,3,0.48485879115247965
1-248869,8604-6103,1-252477,8441-9102,4,0.48536171334310374
1-248869,8604-6103,1-218152,8941-9102,5,0.4995234715459435
1-246175,8547-6104,1-258795,8464-6103,1,0.362343738422019
1-246175,8547-6104,1-38380,8083-12701,2,0.5991208009969713
1-246175,8547-6104,1-382818,9491-6102,3,0.6051472904495113
1-246175,8547-6104,1-118184,8622-6101,4,0.6444760319611439
1-246175,8547-6104,1-37201,8079-6103,5,0.6613859693149214
1-167044,8459-6104,1-481051,8248-9102,1,0.3612223705922212
1-167044,8459-6104,1-296316,9048-3702,2,0.43707815786031706
1-167044,8459-6104,1-27950,12069-9101,3,0.7568217693540319
1-167044,8459-6104,1-217617,8726-3701,4,0.8284932601919848
1-167044,8459-6104,1-262904,9039-3704,5,0.8423744656623929
1-135244,9029-3703,1-269099,9030-3704,1,0.3582000598989393
1-135244,9029-3703,1-106520,12070-9102,2,0.3628799696590525
1-135244,9029-3703,1-264054,9041-3703,3,0.3848373895146929
1-135244,9029-3703,1-51970,8728-3702,4,0.44363092503927315
1-135244,9029-3703,1-456337,8932-6101,5,0.447957769814786
1-121871,9485-3703,1-96081,11945-3703,1,0.5155611242842832
1-121871,9485-3703,1-229879,9503-3704,2,0.5333119194885622
1-121871,9485-3703,1-217557,8726-3704,3,0.5371318346017865
1-121871,9485-3703,1-276544,8254-3701,4,0.5677596439093736
1-121871,9485-3703,1-42688,8097-1901,5,0.6201394783673491
1-137890,8249-1901,1-109206,9192-1902,1,0.34066724930855957
1-137890,8249-1901,1-456420,11871-1902,2,0.5488599285921026
1-137890,8249-1901,1-591068,8931-1902,3,0.5663349263184522
1-137890,8249-1901,1-38298,8085-1901,4,0.5823525560626241
1-137890,8249-1901,1-244115,11020-1901,5,0.5855688135121011
1-633000,9872-3701,1-38374,8082-3704,1,0.3388906605709394
1-633000,9872-3701,1-402436,8330-3704,2,0.344132425689979
1-633000,9872-3701,1-179096,7963-1902,3,0.4271532691791087
1-633000,9872-3701,1-456509,11015-1901,4,0.46589944896740176
1-633000,9872-3701,1-43541,8713-1901,5,0.4915715922835411
1-37155,8154-6103,1-149147,8947-12704,1,0.3358459513098426
1-37155,8154-6103,1-584896,11742-3703,2,0.36149347306448265
1-37155,8154-6103,1-593972,9042-3703,3,0.37274598605776227
1-37155,8154-6103,1-314676,9045-9102,4,0.45885349784174656
1-37155,8154-6103,1-213435,9511-3701,5,0.4866263747521569
1-136248,8606-3702,1-456404,8951-12702,1,0.3342706708316238
1-136248,8606-3702,1-404032,8981-12703,2,0.33611638006865924
1-136248,8606-3702,1-258849,11953-6101,3,0.41624410261358435
1-136248,8606-3702,1-604912,9499-6104,4,0.4500720683054037
1-136248,8606-3702,1-626669,8984-9102,5,0.45565938236302594
1-47248,8243-6104,1-42468,8095-6104,1,0.33052120934394585
1-47248,8243-6104,1-419013,8442-12702,2,0.41144652715842644
1-47248,8243-6104,1-45606,9487-12705,3,0.41671256704565457
1-47248,8243-6104,1-35816,10223-6103,4,0.42466833070328974
1-47248,8243-6104,1-407685,12485-6104,5,0.4677345450838574
1-44483,8143-3702,1-409240,8445-3704,1,0.3242025750291592
1-44483,8143-3702,1-575151,11006-12703,2,0.4359714351037764
1-44483,8143-3702,1-404279,8935-3702,3,0.4498259848871378
1-44483,8143-3702,1-195690,11021-3702,4,0.5310538067042011
1-44483,8143-3702,1-210752,8603-6102,5,0.5381170183510643
1-269227,9028-1901,1-568611,9882-1902,1,0.3225488497142873
1-269227,9028-1901,1-37478,8154-1902,2,0.33432219002476204
1-269227,9028-1901,1-320681,11827-3704,3,0.3704537508013417
1-269227,9028-1901,1-83455,11824-1902,4,0.5127670779774846
1-269227,9028-1901,1-458395,8952-3703,5,0.5207170949386072
1-251198,8332-3704,1-51336,9189-6104,1,0.32187703948184565
1-251198,8332-3704,1-318463,9095-6104,2,0.45900814928650846
1-251198,8332-3704,1-210447,8600-6102,3,0.4723264713266994
1-251198,8332-3704,1-257627,8259-6102,4,0.5202343032342132
1-251198,8332-3704,1-325918,9893-6102,5,0.5625305701741743
1-251783,8335-1901,1-422898,8443-1901,1,0.31438188537970924
1-251783,8335-1901,1-217876,9499-3702,2,0.4180027697193326
1-251783,8335-1901,1-395593,8984-3701,3,0.43166642036968217
1-251783,8335-1901,1-37062,8077-3702,4,0.4723109499682979
1-251783,8335-1901,1-280716,10507-3703,5,0.4885687719361168
1-255220,8253-1902,1-232157,10504-6103,1,0.31377228422231423
1-255220,8253-1902,1-232054,10504-12702,2,0.6015628030954662
1-255220,8253-1902,1-456758,9873-12701,3,0.631188786603663
1-255220,8253-1902,1-199287,9872-3703,4,0.6783130897451192
1-255220,8253-1902,1-277944,8466-1901,5,0.751799008187656
1-179561,8615-1902,1-23731,8611-1901,1,0.4239986426520653
1-179561,8615-1902,1-604037,8082-1902,2,0.4311962749274343
1-179561,8615-1902,1-210611,8600-1902,3,0.5381583733672706
1-179561,8615-1902,1-456589,9863-12702,4,0.5557656073645234
1-179561,8615-1902,1-31801,8657-1901,5,0.5786938857265924
1-323764,9027-3703,1-44974,9487-3704,1,0.29715840386856524
1-323764,9027-3703,1-633582,9093-3702,2,0.38825233814630133
1-323764,9027-3703,1-318069,9089-3703,3,0.42315309863695355
1-323764,9027-3703,1-209198,8485-3702,4,0.4302281939071796
1-323764,9027-3703,1-298845,9508-3703,5,0.43690431942012375
1-419257,8444-3701,1-585149,11747-3701,1,0.350452501692724
1-419257,8444-3701,1-217400,8461-6103,2,0.36204061899697076
1-419257,8444-3701,1-135060,12673-3702,3,0.38250962330663973
1-419257,8444-3701,1-279532,8946-6102,4,0.38860676558320467
1-419257,8444-3701,1-458459,8952-3701,5,0.41903491515118496
1-274545,8455-3704,1-403613,9879-3702,1,0.28638136746333537
1-274545,8455-3704,1-404231,8931-3703,2,0.4183104857096601
1-274545,8455-3704,1-37974,8080-3703,3,0.5031879181143551
1-274545,8455-3704,1-35957,10223-1902,4,0.5177954158013254
1-274545,8455-3704,1-233571,11760-1901,5,0.5214788432524556
1-299176,9507-6103,1-407487,11826-6101,1,0.27998267861649734
1-299176,9507-6103,1-556821,9488-6104,2,0.3406435143628132
1-299176,9507-6103,1-236106,8980-6102,3,0.3641314568235235
1-299176,9507-6103,1-195175,11863-9101,4,0.3870442135494898
1-299176,9507-6103,1-402683,12484-9102,5,0.47977174214956947
1-163594,8726-1901,1-273933,8568-1901,1,0.23661002226493952
1-163594,8726-1901,1-40936,8093-6103,2,0.41166056479482327
1-163594,8726-1901,1-96483,9187-6101,3,0.4905930873332265
1-163594,8726-1901,1-32701,12696-6101,4,0.5457549493669971
1-163594,8726-1901,1-634404,11981-6102,5,0.5568967163261157
