cluster,radius_kpc,log_gbar,log_gtot,err_log_gbar,err_log_gtot,gbar,gtot,dataset,group_id,normalized_cluster,overlaps_fox_calibration,B_model,log_gtot_pred,residual_dex,sigma_residual_dex,ratio_predicted_observed,held_out_cluster,model
MACS0329,22.2,-9.871,-9.145,0.032,0.112,1.345860354055947e-10,7.161434102129027e-10,Tian2020_CLASH,MACS0329,macs0329,False,7.383353438276104,-9.315201924124793,-0.17020192412479318,0.11221640612072832,0.6757687053817152,MACS0329,radial_B_diagnostic
MACS0329,100.0,-10.267,-9.296,0.005,0.084,5.407543229455815e-11,5.058246620031147e-10,Tian2020_CLASH,MACS0329,macs0329,False,5.881536392973198,-9.48795176950163,-0.19195176950162995,0.08401189593844803,0.6427590948533445,MACS0329,radial_B_diagnostic
MACS0329,200.0,-10.487,-9.445,0.004,0.066,3.258367010020087e-11,3.5892193464500497e-10,Tian2020_CLASH,MACS0329,macs0329,False,5.296715275057397,-9.595618374024058,-0.15061837402405764,0.06601428606827806,0.7069384868371836,MACS0329,radial_B_diagnostic
MACS0416,14.3,-10.67,-9.541,0.043,0.096,2.1379620895022323e-11,2.877398414735667e-10,Tian2020_CLASH,MACS0416,macs0416,True,5.224668880935687,-9.66766181699748,-0.1266618169974798,0.09742204096522408,0.7470302408001016,MACS0416,constant_B
MACS0416,200.0,-10.727,-9.688,0.034,0.069,1.8749945080674173e-11,2.0511621788255626e-10,Tian2020_CLASH,MACS0416,macs0416,True,5.224668880935687,-9.689986149594,-0.0019861495939998974,0.07031118307133406,0.9954371630668972,MACS0416,constant_B
MACS0416,400.0,-10.722,-9.82,0.035,0.058,1.8967059212111484e-11,1.5135612484362072e-10,Tian2020_CLASH,MACS0416,macs0416,True,5.224668880935687,-9.688001131759988,0.1319988682400126,0.05963709758047996,1.3551858807677033,MACS0416,constant_B
MACS0416,14.3,-10.67,-9.541,0.043,0.096,2.1379620895022323e-11,2.877398414735667e-10,Tian2020_CLASH,MACS0416,macs0416,True,8.297942698181355,-9.483050687324068,0.05794931267593206,0.09725514793845852,1.1427449550980098,MACS0416,radial_B_diagnostic
MACS0416,200.0,-10.727,-9.688,0.034,0.069,1.8749945080674173e-11,2.0511621788255626e-10,Tian2020_CLASH,MACS0416,macs0416,True,5.418772795593635,-9.67557491184566,0.012425088154341069,0.07029821923623125,1.0290230147802133,MACS0416,radial_B_diagnostic
MACS0416,400.0,-10.722,-9.82,0.035,0.058,1.8967059212111484e-11,1.5135612484362072e-10,Tian2020_CLASH,MACS0416,macs0416,True,4.8447805479377175,-9.717648193987738,0.1023518060122619,0.05967266301016307,1.265761279018094,MACS0416,radial_B_diagnostic
MACS0429,17.2,-9.743,-9.328,0.036,0.148,1.8071741260109256e-10,4.69894108605216e-10,Tian2020_CLASH,MACS0429,macs0429,False,5.181761227875593,-9.379376487342933,-0.05137648734293343,0.14852342913471475,0.8884306086396666,MACS0429,constant_B
MACS0429,100.0,-10.293,-9.446,0.008,0.108,5.0933087105719625e-11,3.580964371026362e-10,Tian2020_CLASH,MACS0429,macs0429,False,5.181761227875593,-9.541140440713576,-0.09514044071357652,0.10802724430949834,0.803266322573893,MACS0429,constant_B
MACS0429,200.0,-10.526,-9.558,0.006,0.081,2.978516429429191e-11,2.766941645411513e-10,Tian2020_CLASH,MACS0429,macs0429,False,5.181761227875593,-9.617549505642799,-0.05954950564279926,0.08102786803148992,0.8718675106120823,MACS0429,constant_B
MACS0429,17.2,-9.743,-9.328,0.036,0.148,1.8071741260109256e-10,4.69894108605216e-10,Tian2020_CLASH,MACS0429,macs0429,False,7.976582713223987,-9.263474689203784,0.06452531079621515,0.14822971741508778,1.1601798297622765,MACS0429,radial_B_diagnostic
