galaxy,galaxy_fold,force_equivalent_mass_solar,force_equivalent_r80_kpc,gas_fraction,stellar_bulge_fraction,inclination_adjusted_deg,mean_surface_R80,mean_volume_R80,disk_surface_density,disk_volume_density,acceleration_R80,potential_depth,baryonic_mass,R80,pair_proximity_L0p1kpc,pair_surface_L0p1kpc,pair_count_L0p1kpc,pair_proximity_L0p3kpc,pair_surface_L0p3kpc,pair_count_L0p3kpc,pair_proximity_L1p0kpc,pair_surface_L1p0kpc,pair_count_L1p0kpc,pair_proximity_L3p0kpc,pair_surface_L3p0kpc,pair_count_L3p0kpc,pair_proximity_L10p0kpc,pair_surface_L10p0kpc,pair_count_L10p0kpc,pair_proximity_L30p0kpc,pair_surface_L30p0kpc,pair_count_L30p0kpc,pair_proximity_L100p0kpc,pair_surface_L100p0kpc,pair_count_L100p0kpc,pair_proximity_L300p0kpc,pair_surface_L300p0kpc,pair_count_L300p0kpc,pair_proximity_L0p1R80,pair_surface_L0p1R80,pair_proximity_L0p3R80,pair_surface_L0p3R80,pair_proximity_L1p0R80,pair_surface_L1p0R80,pair_proximity_L3p0R80,pair_surface_L3p0R80
F568-3,0,8595891128.154417,13.817226935760239,0.4960837118761063,0.0,48.299047721086126,14331750.945372209,777928.397572327,27589572.571739588,2764486.2296332256,6.275853564288798e-12,2.7648998621594712e-08,8595891128.154417,13.817226935760239,6.622200655327507e-05,9059690.758593932,4893100641596463.0,0.0005956824625749284,9054893.41775256,4.401458656297681e+16,0.006579065980056307,9000679.134019397,4.8612287128782106e+17,0.05625081207337524,8550614.463026486,4.1563356197176745e+18,0.3984053340238353,5450497.9699256215,2.94379088914978e+19,0.8563235396058431,1301686.5308953407,6.32731848390704e+19,0.985124061156199,134772.71102839982,7.279017092026061e+19,0.9983249676076043,15175.410971295907,7.376557724195008e+19,0.012485787039773693,8947159.510549635,0.10216652795227008,8134584.630918573,0.55836741764158,4001191.382824877,0.9192160434281871,731887.5221890679
F568-V1,1,9116516167.47515,13.869997373981077,0.6441321411475665,0.0,60.7422550697588,15084338.725136913,815663.7480750629,35864895.94578961,6292087.008033264,6.60541069363604e-12,2.331559025177003e-08,9116516167.47515,13.869997373981077,0.0001141830109480028,16567253.939956205,9489849040194110.0,0.001026603775446634,16550433.964965,8.532192987552581e+16,0.011276681422353337,16361772.489008099,9.37214770253581e+17,0.0923481133263394,14887938.150546335,7.675131767306296e+18,0.520628571505956,7554000.968203307,4.3269891979406115e+19,0.9047251737814365,1458556.3197054034,7.519249361850348e+19,0.9905571755177618,143723.76531848303,8.232606570188752e+19,0.998941329110268,16104.472726219086,8.30228799762888e+19,0.02144624454243127,16175120.853007605,0.16269349244427322,13634020.824471781,0.673637549104443,5080688.484331233,0.9479553011738346,794404.3810664054
F571-8,2,3688392642.495161,7.441445937492403,0.2021621858513883,0.0,86.04392071419889,21201794.095557865,2136862.339018321,117461128.1978653,16497349.465992318,9.284235788851014e-12,2.1611766032694684e-08,3688392642.495161,7.441445937492403,9.988804986086192e-05,5863687.447814158,1358901031928446.2,0.0008981481088071769,5858180.231910215,1.2218622683921958e+16,0.009874023939907703,5796307.998454471,1.343285942604444e+17,0.08136617728164915,5307117.240724409,1.1069250268287483e+18,0.4731472509094853,2777497.0078906147,6.436808891660336e+18,0.8767829447661412,571882.5730787967,1.1927965858574727e+19,0.9870250282621009,57940.92763809771,1.3427725651996217e+19,0.9985355589812113,6512.958403098967,1.3584317677709314e+19,0.005496207449442801,5826472.932477876,0.047043509371633103,5541148.884610066,0.3399287931994494,3603550.140283098,0.8016908016908255,944293.5169861998
F574-1,3,7514571234.622855,11.59251165423477,0.5677818774188905,0.0,74.01993265982723,17799149.49337663,1151550.4593136143,28546929.400693726,3200328.408149521,7.794222507431091e-12,3.552635017463599e-08,7514571234.622855,11.59251165423477,7.260316454531486e-05,8683201.67497519,4099812187015907.0,0.0006530461781417339,8678121.376035154,3.687672151202966e+16,0.007208100106933544,8620751.907149915,4.0703262521280576e+17,0.06131139799772516,8147475.191917905,3.462179896541123e+18,0.41985519724624004,5021389.04661677,2.3708711117925798e+19,0.8665108200086711,1151478.4591620355,4.893080959075006e+19,0.9863126544774146,117961.13498692086,5.5695873125622e+19,0.9984603134114801,13268.219122872457,5.63818366156915e+19,0.009662565209728653,8599272.13287302,0.08068159424860594,7978131.985527185,0.4929050290373538,4386645.1489365045,0.8971334890220002,887122.9492565079
F583-1,4,10760309588.116772,17.92757499341419,0.8600960726316152,0.0,67.71043836003598,10656922.273588229,445832.2839607331,13142983.673005465,2784530.439196073,4.666651261941143e-12,2.4543746140919147e-08,10760309588.116772,17.92757499341419,8.460160423493827e-05,14488502.38714195,9795534346916256.0,0.0007608090099661834,14476982.055070175,8.808971007064426e+16,0.008377904568422903,14347634.591155253,9.700295011815154e+17,0.07003182076626746,13325938.563243471,8.108582714200544e+18,0.4461607417699441,7640754.60582497,5.165839241199952e+19,0.8760243360986056,1666934.5955916033,1.0142983162776266e+20,0.9873583829429327,169090.6977190104,1.143205621252159e+20,0.9985787015769483,19001.3600705745,1.1561969844250876e+20,0.02635888609271788,14045230.015423007,0.19247761565119847,11395661.05222451,0.7178592808115478,3825085.279491306,0.9576676851734321,566988.3380455794
F583-4,0,1121025757.6229265,5.334457196896905,0.4842475786829796,0.0,55.6078454641038,12539645.217507528,1763016.0981704856,38796183.231367454,10050824.67133872,5.491092988789568e-12,1.025288422907058e-08,1121025757.6229265,5.334457196896905,0.0003569172184937078,6368002.465459361,448537422068279.3,0.003202850931971343,6349359.824906628,4025018760255575.0,0.03444142270669591,6144928.105059579,4.3282492838035e+16,0.24194056628727356,4796251.040800291,3.0404640704703475e+17,0.7774962240774794,1387183.810494146,9.770785323479197e+17,0.969028083731231,192100.97861976878,1.2177763808170929e+18,0.9971295408069876,17790.465254209073,1.2530914467764127e+18,0.9996802224971831,1981.774855369424,1.2562968852662267e+18,0.01005528390265138,6304484.635028141,0.0835999637229084,5823966.029343173,0.5004747831133012,3137888.1102749123,0.8991926285512051,626419.8080127859
IC2574,1,1799263756.194509,8.933388064884491,0.7167308391082571,0.0,57.62281958395289,7176497.847076787,602500.7921087311,11214634.936078694,2017020.6719565995,3.1425783049370484e-12,9.923389322295617e-09,1799263756.194509,8.933388064884491,0.00016301931118059603,4668249.046098955,527750577541638.56,0.0014652327329020376,4662072.962840127,4743471282155718.0,0.016039057265663327,4592972.037393293,5.192404307119148e+16,0.12774198626105235,4064490.554941512,4.135455274430755e+17,0.6176861136102088,1768816.5836101559,1.9996661796473062e+18,0.9353969715873388,297624.3181602077,3.0282074461659054e+18,0.9938179355458135,28459.141410971664,3.217336557596565e+18,0.9993092598929597,3179.5991022091275,3.235113896825194e+18,0.012842270691899218,4608126.398599601,0.10467782586476287,4173445.510861942,0.563385706770262,2021568.1558553095,0.9203657050247953,366944.5833685418
IC4202,2,166089390347.2219,14.176724895325526,0.1508123039690658,0.3649073360027581,89.5,263051143.88782093,13916356.51905169,408359024.07604736,42715379.08745266,1.1518972561351277e-10,3.0891926211953023e-07,166089390347.2219,14.176724895325526,0.0001288364802986259,340565675.22892296,3.55404263751342e+18,0.0011566157160311289,339710211.9916392,3.190603748615902e+19,0.012500474798920714,330436894.1707246,3.448341674776414e+20,0.09294416089659943,272986785.18664575,2.5639283995399946e+21,0.45405483546913317,120024616.68781878,1.2525413930014442e+22,0.8527941604513154,25047462.265708257,2.3524911579711647e+22,0.9834134586848771,2599549.970706533,2.7128134472235127e+22,0.9981122049650148,293156.0621565876,2.75336094656261e+22,0.02440826748082132,321031134.05749744,0.1603287371738682,234303653.95375466,0.6025954081596807,79256705.70897618,0.9178654764340285,13413642.417283943
KK98-251,3,61090814.71357089,1.1365168825579473,0.725538068417201,0.0,55.99336922982173,15054774.732760891,9934811.548208544,5128400.421644563,1913582.2468823,6.592464662991573e-12,1.971326047420904e-09,61090814.71357089,1.1365168825579473,0.0016425982391657552,1597082.6861186002,6130320589765.705,0.014579840696111552,1575093.4225843213,54413243289649.8,0.14020030392138097,1363154.2555112178,523239821721202.75,0.5871605109885495,634322.8833124128,2191334487146757.8,0.9389614608225437,91294.33212919619,3504286464595479.5,0.9927984014876952,10725.427422211475,3705210645554782.5,0.9993472401783211,971.6558417351049,3729651485503928.0,0.9999274256658285,108.02443895343565,3731816788592135.5,0.0021206158274276153,1596269.6788325044,0.018747727625747827,1568015.6453155095,0.17365919518659995,1307200.0319034082,0.6465160356130782,540730.7376262505
NGC0024,4,6276535272.1616125,5.163064265650039,0.3155989054484191,0.0,67.52716996467156,74947135.63284421,10887013.76401639,172816051.8039945,64483601.41940094,3.281924519114685e-11,9.680566630109653e-08,6276535272.1616125,5.163064265650039,0.0006723846280584746,67167298.56186078,2.6488521837233292e+16,0.006014887415819805,66761348.26132308,2.369558583195134e+17,0.062558495052893,62492284.02099838,2.464485345386119e+18,0.36531502154180967,40547597.47306324,1.4391546923850906e+19,0.8559481094299216,8550421.859813845,3.3719985915860746e+19,0.9812983116150481,1089177.4658603722,3.865814397201663e+19,0.9982833054817996,99722.67364623045,3.932726602235831e+19,0.9998089205340595,11097.230409167063,3.938736746718713e+19,0.017581453389068954,65883978.58865396,0.13681116125639278,56964470.32649882,0.6213826796545341,23285425.985984273,0.9337244442839202,3887776.2538582804
NGC0055,0,3624478997.006444,7.370642203774981,0.3465473758175105,0.0,71.05385740033024,21236603.35531816,2160931.4461541963,16732282.400821678,1369253.878954311,9.299478714699335e-12,1.59790284846137e-08,3624478997.006444,7.370642203774981,7.033822309923019e-05,4057486.765806549,924022545426446.9,0.0006325940797418072,4054602.9575774893,8310292271104056.0,0.006972588822618142,4022163.999120617,9.159783952742646e+16,0.05870530959526245,3762708.655250199,7.7120272893069e+17,0.39278149306754073,2265774.7661992414,5.159910771539542e+18,0.8452425970685008,541757.0672402118,1.1103823520595085e+19,0.9835389567019359,56735.81339755173,1.2920601776017017e+19,0.99814093773538,6397.570460780864,1.311242578134847e+19,0.0038032091859177275,4038362.247931862,0.03297647319511715,3890601.562788802,0.2645756082062359,2809343.624483946,0.7501063435295026,884983.9384357816
NGC0100,1,2333861239.584604,7.404946077084186,0.6443307929934063,0.0,89.00409179504804,13548192.478413735,1372210.4459687588,84381269.02112062,25416044.88587971,5.932734414616588e-12,1.5453922351616706e-08,2333861239.584604,7.404946077084186,0.00015580705371442152,5787383.719249129,848666731837519.9,0.0013983914639130101,5771403.225585244,7616910051349568.0,0.01507265936717545,5598672.290361457,8.209939319362773e+16,0.11023386278157278,4549542.010547246,6.004337405425427e+17,0.515724646268976,1915636.2631073382,2.8091048488688625e+18,0.8958458133515974,369731.0481527706,4.879589983396585e+18,0.9894421885916668,36752.39006758532,5.389400855197157e+18,0.9988135954616799,4122.276312010247,5.440446048925492e+18,0.008388410889315318,5682390.265823281,0.06643360157064536,5000306.783963068,0.3823433721542106,2590030.7993955095,0.827306442466341,622694.8289536503
NGC0247,2,7757085774.338197,9.731307366693196,0.4071617325550956,0.0,73.12428453894812,26073920.725848343,2009538.8838829175,38471762.52150512,5143283.7595595075,1.141773318180203e-11,2.6433062995825106e-08,7757085774.338197,9.731307366693196,0.0001128674745344344,13934376.24855834,6791504534644406.0,0.001014888930778563,13921778.883006219,6.106828210673017e+16,0.011161763657753065,13780073.935929624,6.716298810525074e+17,0.09220655989145568,12648471.171980886,5.5482881335821e+18,0.5299687683046657,6542880.708551027,3.1889481961102553e+19,0.910227823828027,1248608.602595806,5.477057423838755e+19,0.9912002154420503,122371.45197581107,5.9642875732649e+19,0.9990145210963488,13704.021042919716,6.011308109965289e+19,0.010576276931504165,13788250.314332906,0.08774779776745886,12710717.349202748,0.5163877687134678,6732126.872616334,0.9056768616270364,1311919.2607388035
NGC0289,3,47412543777.77629,22.011884235313538,0.3756165198575851,0.0,49.03112443894517,31147912.34119908,1061287.3485142859,212765666.5872801,15783803.159293776,1.3639626967547228e-11,4.49603412486995e-08,47412543777.77629,22.011884235313538,2.077465438540879e-05,15676431.01964323,4.670036993880675e+16,0.00018692900263539197,15672835.22518671,4.2020692202207296e+17,0.0020715864933667344,15632068.847940642,4.656821423147746e+18,0.018229249468069867,15284092.846156774,4.0978428717619675e+19,0.16297016602492334,12297632.098004425,3.6634867185555427e+20,0.5942050653452534,4982040.211968807,1.335742865143705e+21,0.9350142716403742,705556.2253804426,2.101864684417478e+21,0.992195548445491,83189.43086794011,2.2304052960123368e+21,0.009928446195847285,15462518.58962814,0.08070366679759408,13965281.883471105,0.4548273241994285,7083460.812272967,0.8652614753939691,1497282.6993215526
NGC0300,4,3011849146.989771,6.729840752997619,0.4746974374224375,0.0,45.49263549547975,21167704.670510888,2359012.5064715305,71591944.12804456,20454841.179441303,9.269308077610349e-12,1.2319673592336612e-08,3011849146.989771,6.729840752997619,0.00034222530013062455,16404593.019068813,3104406217698731.0,0.0030704169741874567,16353405.146700641,2.785247479352651e+16,0.032951565993237536,15795355.552430626,2.989114081082594e+17,0.22975388641660138,12236964.621373715,2.0841515611496404e+18,0.7559642516303853,3623719.7776517197,6.857529593000794e+18,0.9645637090962138,513738.0771818143,8.749784351834594e+18,0.9966927392350579,47776.534189527236,9.041234343677942e+18,0.9996313236282288,5324.155048013034,9.067890934110941e+18,0.015236068302686943,16125629.70855046,0.12062483843656956,14185283.08862997,0.5887843918412811,6231607.060551299,0.9252748311394615,1088108.0202564972
NGC0801,0,126971901028.238,16.60360635938944,0.143455988417058,0.0,79.61242894508355,146606387.39083847,6622343.854890825,385635057.2679859,22112101.907568,6.419873066182443e-11,2.55073475711334e-07,126971901028.238,16.60360635938944,1.9247130202359654e-05,38894996.59255825,3.10299608790187e+17,0.0001731960696486131,38888686.65384153,2.7922434197163535e+18,0.0019208563254625238,38817059.711322226,3.0967783771738817e+19,0.017012405039372083,38198908.90980581,2.7427167441565794e+20,0.16018020959537196,32369546.217562597,2.582403498641086e+21,0.6242522447663298,14016686.399944173,1.0064109573781571e+22,0.9471584847541722,1914037.347376062,1.5269959946833744e+22,0.9938101154902343,223145.76914550248,1.6022071176644495e+22,0.005276652616256984,38679548.87929263,0.04547082732662139,37035076.25571434,0.34199327820302156,25069199.514647488,0.8182832043123862,6664752.469268795
NGC0891,1,77475130738.66841,8.49744758976669,0.0705285073097026,0.1757954172081556,89.5,341535188.4697375,30144509.70674786,1577710749.698449,309355048.9604802,1.495577782545803e-10,1.9022425968140466e-07,77475130738.66841,8.49744758976669,0.0022176729135279533,2734512679.657166,1.3311350765942618e+19,0.013600462239612603,1863346444.3518343,8.163535855359081e+19,0.05167807441207644,637219081.6691794,3.1019226109105943e+20,0.22514210058904802,308458437.0850437,1.3513920176597668e+21,0.7216124403689177,88978782.93729196,4.3314035411730416e+21,0.9548198157181725,13081615.001534011,5.731206530848526e+21,0.9956744269765214,1227721.3329202537,5.976432081266133e+21,0.9995165968609351,136939.88219068936,5.999494305962023e+21,0.04309341870867062,735895944.0235566,0.17972127538366703,341006331.44545746,0.6572548047887972,112237821.81309119,0.9389304711233593,17815433.078616448
NGC1003,2,9428799962.582546,25.01763914617727,0.7145339586198657,0.0,71.19292668146568,4795279.230996616,143756.9469378571,191835476.66542476,59576234.98926234,2.0998460249776955e-12,1.889495503772385e-08,9428799962.582546,25.01763914617727,7.244876376640535e-05,10871952.16587474,6440859465835786.0,0.0006495935710143138,10831179.725698328,5.775034221845089e+16,0.006926877947429628,10394750.964436514,6.158151647727546e+17,0.047562642792932035,7930490.006467223,4.228426851295357e+18,0.23267901908546887,3491674.7146386635,2.0685692683592155e+19,0.6741037854756148,1123985.7627992274,5.992935589122716e+19,0.955515749102458,143388.52697993143,8.494751790665502e+19,0.9948149985756958,16587.325558916684,8.84413103443849e+19,0.035767378650891794,8575728.399590658,0.16351197140114912,4356030.891551351,0.596003302452369,1429001.12892762,0.9241040155302569,246185.37738626762
NGC1090,3,35548100088.771454,9.28844298788343,0.2608079650370006,0.0,64.63700201220055,131153740.77610222,10590074.753152069,422864933.7643859,59895882.96945976,5.743203846179685e-11,8.249413521240239e-08,35548100088.771454,9.28844298788343,8.676953091421034e-05,49091214.38881568,1.096478292581428e+17,0.000780192346346388,49045108.77578769,9.859036493498957e+17,0.008577278983415511,48527292.58889827,1.0838828002917982e+19,0.07070015530120273,44444127.444350496,8.9341482837507e+19,0.4173036790480657,23609605.995962713,5.2733306342634095e+20,0.8337223752600423,5241015.856528617,1.0535478028755265e+21,0.9808474180203981,554929.7129238016,1.2394649260663182e+21,0.9978148384178497,62725.477271692056,1.2609061024226861e+21,0.007411853924642482,48604618.415144786,0.061793436812249,45024668.85187865,0.38603001908435597,25314640.527391706,0.8140165503202241,5931184.201564202
NGC2403,4,14220350426.247763,12.1389973206539,0.4780164836328727,0.0,72.02776014304044,30718131.47392971,1897899.636755686,382710456.3165594,137665631.76854652,1.3451426530769016e-11,3.0027525397178924e-08,14220350426.247763,12.1389973206539,0.0003205598773058091,72550363.62965098,6.482309467256971e+16,0.0028697951056719465,72167026.50547886,5.803252777276959e+17,0.030105012158636424,68134839.50458689,6.087786374513896e+18,0.18846871180326555,47394416.74173136,3.811183498920981e+19,0.6308903157676939,14278556.070105555,1.27577608934515e+20,0.9296752370315196,2337863.680223673,1.879974075712119e+20,0.9930670349935464,224754.81056123896,2.0081639338844416e+20,0.9992230718836927,25127.563208604777,2.0206125711091525e+20,0.04313330485043631,66248726.46503961,0.24299613641487375,41468818.144716956,0.706553367153562,10851999.612785425,0.950772316921286,1622552.7240533794
NGC2683,0,53823984719.49303,6.68326787456025,0.0462919445643709,0.0981405519700203,80.18893804654186,383573183.1405301,43044793.7677983,1163571276.797054,266874146.0543702,1.6796615694437587e-10,6.409038459095701e-08,53823984719.49303,6.68326787456025,0.006073934265256068,5203146638.1674795,1.7596317130050183e+19,0.011720074923861783,1115536684.682019,3.3953307056332837e+19,0.04562382150157237,390829770.45727307,1.32173184095634e+20,0.2589768676883704,246498591.74724987,7.502615099505845e+20,0.7787515251760507,66710606.39173285,2.2560597800493882e+21,0.9682843437499438,9216295.2342322,2.8051403983984714e+21,0.9970423179422865,854101.6675776308,2.888452863072458e+21,0.9996703097457209,95150.32202041065,2.8960662113849217e+21,0.025538136452202563,489787214.522427,0.14054915768490125,299504932.22732157,0.6178357027152629,118492603.57417983,0.9321592242030419,19863960.04563155
